No,DocId,key-phrases
1,106,"['CUPSs facilitate people', 'normal operation situation', 'utilize land resource', 'urban public space', 'urban design theory']"
2,118,"['Urban blight reduces', 'fuzzy cognitive mapping', 'following major cause', 'reduces real property', 'real property value']"
3,210,"['Chinese rural design', 'large rural area', 'ethical value guidance', 'value guidance', 'rural design']"
4,214,"['green ecological planning', 'green ecological civilization', 'green ecological economy', 'green ecological economics', 'urban water use']"
5,252,"['intensive urban building', 'rural local cultural', 'Ecological greenway planning', 'Ecological greenway', 'local cultural']"
6,253,"['public space environment', 'main activity space', 'public space', 'main activity', 'urban space']"
7,256,"['urban residential environment', 'sustainable residential environment', 'residential environmental load', 'residential environmental quality', 'Residential environment evaluation']"
8,259,"['RS spatial analysis', 'spatial analysis method', 'new city planning', 'spatial analysis', 'new city']"
9,273,"['actual urban condition', 'efficient preliminary evaluation', 'urban spatial integration', 'preliminary evaluation tool', 'analytic hierarchy process']"
10,276,"['modern Zhengzhou city', 'relative chronological data', 'Shang capital city', 'ancient capital city', 'Shang dynasty palace']"
11,354,"['local economic development', 'environmental health management', 'environmental pollution effect', 'heavy metal pollution', 'health management system']"
12,359,"['Healthy City project', 'psychological environment supportive', 'urban planning process', 'urban environmental quality', 'city urban environment']"
13,360,"['outstanding traditional culture', 'national general expansion', 'traditional culture protection', 'traditional cultural activity', 'traditional cultural carrier']"
14,364,"['Chinese traditional folk', 'typical cultural space', 'traditional residential architecture', 'traditional folk residence', 'characteristic dwelling protection']"
15,366,"['traditional urban axis', 'new urban space', 'urban space axis', 'urban axis', 'urban space']"
16,376,"['noble urban traffic', 'Urban environmental management', 'urban traffic environment', 'urban traffic culture', 'urban traffic convenient']"
17,378,"['urban heat effect', 'vegetation fraction estimation', 'urban open area', 'livable environmental evaluation', 'comprehensive evaluation model']"
18,391,"['beautiful natural scenery', 'rich natural resource', 'natural scenery city', 'natural scenery resort', 'natural scenery']"
