No,DocId,key-phrases,key-phrases-similarity
1,71,"['early modern era', 'tolerated local religion', 'modern Russian identity', 'many subject area', 'large part today']","['Russian empire', 'modern Russian identity', 'Eurasian empire', 'Russian identity', 'Imperial nobility']"
2,75,"['professed different religion', 'several national group', 'single urban space', 'different religion', 'national group']","['multicultural city', 'diverse city', 'national culture', 'urban space', 'urban study']"
3,160,"['Southern European welfare', 'Southern European Society', 'several social scientist', 'European welfare regime', 'recent austerity measure']","['European welfare regime', 'European welfare', 'Southern European welfare', 'Portuguese sociologist', 'welfare regime']"
4,172,"['historical heritage', 'cultural heritage', 'unwanted heritage', 'numerous identity', 'collective memory']","['multicultural city', 'unwanted heritage', 'historical heritage', 'city', 'heritage']"
5,215,"['inland rural area', 'modern bourgeois city', 'hegemonic city representation', 'romantic heritage process', 'hegemonic city']","['modern bourgeois city', 'bourgeois city', 'romantic heritage', 'medieval city', 'hegemonic city']"
6,239,"['relevant regional culture', 'regional culture study', 'particular example therein', 'regional culture', 'particular example']","['regional culture study', 'Krasnoyarsk krai', 'regional culture', 'cultural research', 'krai']"
7,242,"['East Slavic unity', 'cultural heritage object', 'Slavic unity', 'cultural heritage', 'urban heritage']","['urban heritage', 'East Slavic unity', 'Slavic unity', 'cultural heritage object', 'cultural heritage']"
8,284,"['basic function', 'third function', 'last function', 'Philharmonic building', 'Modern building']","['Philharmonic building', 'opera house', 'Modern building', 'urban space', 'architectural concept']"
9,296,"['municipal social welfare', 'modernist urban planning', 'numerous experimental form', 'urban communal living', 'critical spatial practitioner']","['urban communal living', 'communal living', 'critical spatial practitioner', 'modern city', 'urban planning practice']"
10,297,"['additional functional space', 'outstanding architectural structure', 'change internal space', 'cause multiple reconstruction', 'internal space']","['architectural structure', 'Architecture', 'architectural work', 'museum', 'outstanding architectural structure']"
11,301,"['various national culture', 'Cross wooden church', 'various structure builder', 'various structure', 'national culture']","['Cross wooden church', 'wooden church', 'church structure', 'wooden', 'historical panorama']"
12,303,"['average conventual city', 'new conquered land', 'Guadalquivir river valley', 'conquered land', 'Guadalquivir river']","['western monasticism', 'Écija', 'monasticism', 'monasticism repercussion', 'monastic order']"
13,311,"['archival iconographic material', 'old Polish city', 'contemporary satellite image', 'spatial identity space', 'iconographic material']","['old Polish city', 'urbanized space', 'Polish city', 'construction history', 'important building']"
14,313,"['ongoing demographic process', 'contemporary economic transformation', 'geographic location transport', 'local revitalization programme', 'aesthetic programme consistent']","['local revitalization programme', 'local revitalization', 'town attractiveness', 'revitalization programme', 'town']"
15,314,"['former central bank', 'certain expressive character', 'central bank institution', 'new branch office', 'Slovak bank building']","['Slovak bank building', 'Czechoslovak government', 'Slovak bank', 'Slovak part', 'bank architecture']"
16,345,"['continuous technological evolution', 'constant demographical increase', 'stage certain need', 'future urban development', 'valuable coal deposit']","['industrial society', 'mining city', 'urban development', 'future urban development', 'Industry']"
17,385,"['urban planning composition', 'urban planning', 'planning composition', 'traditional theatre', 'extraordinary way']","['traditional theatre', 'theatre', 'theatre practice', 'culture', 'urban planning composition']"
18,394,"['beautiful cosmopolitan city', 'cosmopolitan city', 'Seven day', 'many tragedy', 'present war']","['beautiful cosmopolitan city', 'many tragedy', 'tragedy', 'war', 'present war']"
