cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#-1,100,None,10,0.0,6,61,0.8099490203688938,"[{'group': 4, 'count': 11}, {'group': 2, 'count': 14}, {'group': 0, 'count': 20}, {'group': 1, 'count': 21}, {'group': 3, 'count': 43}, {'group': -1, 'count': 61}]","[3, 3, 0, 0, 2, -1, -1, -1, -1, -1, 4, -1, 3, 0, 0, 0, -1, 3, 1, 0, 3, 3, -1, 4, 3, 3, 3, 3, 3, 1, 3, 3, 2, 0, 2, 3, 3, 3, 3, 3, -1, -1, -1, -1, 2, -1, -1, -1, 0, 0, 2, 1, 2, 2, 1, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 0, 0, -1, -1, 0, -1, -1, -1, -1, 3, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1, 4, 3, 4, 3, 0, 3, 3, 0, 0, 0, -1, -1, -1, -1, -1, 4, 4, 4, 4, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 3, 1, 3, 0, 0, 0, 3, -1, 1, 1, 1, 1, 1, -1, -1, -1, 3, -1, 2, 2, 2, 2, 1, 3, 3, 3, 3, -1, 3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 2, 2, 1, 1, 2, -1, -1, -1, -1, -1]"
#-1,100,None,11,0.0,5,55,0.8078897156752134,"[{'group': 3, 'count': 14}, {'group': 0, 'count': 20}, {'group': 1, 'count': 21}, {'group': -1, 'count': 55}, {'group': 2, 'count': 60}]","[2, 2, 0, 0, 3, -1, -1, -1, -1, -1, 2, 2, 2, 0, 0, 0, -1, 2, 1, 0, 2, 2, -1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 0, 3, 2, 2, 2, 2, 2, -1, -1, -1, -1, 3, -1, -1, -1, 0, 0, 3, 1, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, -1, -1, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 2, 1, 2, 0, 0, 0, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, 2, -1, 3, 3, 3, 3, 1, 2, 2, 2, 2, -1, 2, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 3, 3, 1, 1, 3, -1, -1, 2, -1, -1]"
#-1,100,None,12,0.0,5,55,0.8078897156752134,"[{'group': 3, 'count': 14}, {'group': 0, 'count': 20}, {'group': 1, 'count': 21}, {'group': -1, 'count': 55}, {'group': 2, 'count': 60}]","[2, 2, 0, 0, 3, -1, -1, -1, -1, -1, 2, 2, 2, 0, 0, 0, -1, 2, 1, 0, 2, 2, -1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 0, 3, 2, 2, 2, 2, 2, -1, -1, -1, -1, 3, -1, -1, -1, 0, 0, 3, 1, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, -1, -1, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 2, 1, 2, 0, 0, 0, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, 2, -1, 3, 3, 3, 3, 1, 2, 2, 2, 2, -1, 2, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 3, 3, 1, 1, 3, -1, -1, 2, -1, -1]"
#-1,100,None,13,0.0,5,55,0.8078897156752134,"[{'group': 3, 'count': 14}, {'group': 0, 'count': 20}, {'group': 1, 'count': 21}, {'group': -1, 'count': 55}, {'group': 2, 'count': 60}]","[2, 2, 0, 0, 3, -1, -1, -1, -1, -1, 2, 2, 2, 0, 0, 0, -1, 2, 1, 0, 2, 2, -1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 0, 3, 2, 2, 2, 2, 2, -1, -1, -1, -1, 3, -1, -1, -1, 0, 0, 3, 1, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, -1, -1, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, -1, -1, -1, -1, -1, 2, 2, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 2, 1, 2, 0, 0, 0, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, 2, -1, 3, 3, 3, 3, 1, 2, 2, 2, 2, -1, 2, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 3, 3, 1, 1, 3, -1, -1, 2, -1, -1]"
#-1,100,None,14,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
#-1,100,None,15,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
#-1,100,None,16,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
#-1,100,None,17,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
#-1,100,None,18,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
#-1,100,None,19,0.0,4,55,0.904053617706703,"[{'group': 0, 'count': 20}, {'group': 2, 'count': 21}, {'group': -1, 'count': 55}, {'group': 1, 'count': 74}]","[1, 1, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, -1, 1, 2, 0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 1, 0, 0, 0, 1, -1, 2, 2, 2, 2, 2, -1, -1, -1, 1, -1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, 1, 2, 2, 1, -1, -1, 1, -1, -1]"
