cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#18,20,None,5,0.0,3,13,0.909288547811187,"[{'group': 0, 'count': 8}, {'group': 1, 'count': 9}, {'group': -1, 'count': 13}]","[0, -1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 1, -1, -1, 0, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1]"
#18,20,None,6,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,7,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,8,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,9,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,10,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,11,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,12,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,13,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#18,20,None,14,0.0,1,30,-1.0,"[{'group': -1, 'count': 30}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
