cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,grouped_key_phrases
-1,100,10,14,0,3,84,0.8989320137000001,"[{'cluster': -1, 'group': -1, 'count': 84, 'key-phrases': ['Urban social life', 'urban sociology', 'typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi', 'social inclusion', 'Zurich investigated leisure', 'impact assessment', 'problematic street culture', 'street culture', 'Revanchist sanitisation', 'problematic street', 'revanchist expulsion', 'semantics', 'urban young people', 'mobility', 'mobility experience', 'Portlanders', 'Natural disaster', 'tragic catastrophe', 'Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy', 'British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony', 'heritage', 'event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment', 'address visible homelessness', 'hidden homelessness', 'visible homelessness', 'homeless', 'homelessness', 'housing study', 'housing', 'sociobiology', 'sociology', 'ethology', 'successful Lean implementation', 'Lean implementation', 'Lean practitioner', 'Lean philosophy', 'Lean practice', 'East German protest', 'German protest', 'Communist authority', 'Australian urban water', 'urban water strategy', 'sustainable urban water', 'sustainable water', 'sustainable water management', 'traditional pub', 'conflict activity', 'festival', 'festival show', 'event', 'governance mode', 'traffic simulation', 'pedestrian movement', 'traffic flow', 'Simulated people', 'Structural beauty', 'art', 'beauty', 'digital political discussion', 'communicative organizationality', 'digital social movement', 'political action online', 'political discussion', 'African mobility', 'African history', 'colonial politics', 'African culture', 'colonial authority'], 'NumDocs': 26, 'DocIds': [1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 61, 83, 92, 105, 110, 125, 135, 137, 146, 153, 161, 228, 283, 289]}, {'cluster': -1, 'group': 0, 'count': 56, 'key-phrases': ['urban life', 'automobile', 'public green space', 'Social impact assessment', 'Guangzhou case study', 'urban development', 'participatory planning', 'suburb', 'suburb shape', 'suburban definition', 'area', 'urban study', 'support urban progress', 'Portland style', 'urban progress', 'exemplary American metropolis', 'city branding', 'heritage management', 'architecture revitalization', 'cultural city', 'unpopular outdoor place', 'popular place', 'urban area', 'popular restaurant', 'urban design', 'urban regime theory', 'urban governance', 'urban regime', 'local government', 'governance', 'urban public space', 'contemporary urban street', 'ordinary public space', 'urban neighbourhood', 'outdoor social activity', 'Karl Marx square', 'Marx square', 'urban English pub', 'English pub', 'urban conflict', 'urban space', 'urban resource', 'urban place', 'city', 'city organisation', 'domestic city organisation', 'urban governance study', 'public organisation', 'Urban architecture', 'Smart city', 'Vernacular architecture', 'Modernist high rise', 'high rise housing', 'housing development', 'structural beauty arises', 'architecture'], 'NumDocs': 19, 'DocIds': [1, 11, 13, 18, 27, 29, 56, 60, 78, 84, 110, 135, 137, 146, 153, 157, 161, 194, 228]}, {'cluster': -1, 'group': 1, 'count': 30, 'key-phrases': ['modern civil society', 'foreign resident youth', 'immigrant young people', 'young life', 'nuclear crisis', 'tsunami', 'Japanese culture', 'ethnic concentration', 'ethnic community', 'local ethnic community', 'new Canadian immigrant', 'Canadian immigrant', 'youth drinking culture', 'youth drinking', 'conflict', 'refugee integration', 'refugee interact', 'refugee experience', 'refugee crisis', 'Singaporean society', 'contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture', 'Taiwan Indigenous TV', 'Indigenous TV', 'indigenous people', 'mainstream Taiwanese society', 'Taiwanese society'], 'NumDocs': 11, 'DocIds': [1, 11, 27, 32, 73, 135, 137, 157, 194, 235, 382]}]"
0,5,19,17,0,3,110,0.9619938039,"[{'cluster': 0, 'group': -1, 'count': 110, 'key-phrases': ['revitalisation', 'iconic cultural project', 'iconic project', 'cultural economy', 'heritage', 'city', 'marginal community', 'Transcultural city', 'Dominican immigrant', 'new Dominican presence', 'racialization process', 'contemporary nightlife', 'nightlife', 'urban bar', 'everyday space', 'place identity', 'art activism', 'local cultural policy', 'occupied theatre', 'British suburban literature', 'suburban literature', 'suburban identity', 'contemporary British literature', 'British literature', 'urban tourism', 'urban tourism increase', 'cultural capital', 'new metropolitan age', 'urban study', 'community dance', 'City festival', 'urban music economy', 'grime music scene', 'music economy', 'informal creative economy', 'grime music', 'Chinatowns worldwide', 'downtown ethnography', 'barrio chino barrixino', 'barrio chino', 'Public art', 'Canadian art', 'public space', 'art history', 'art', 'improvisation', 'towards urban modernity', 'urban Indigenous experience', 'Indigenous erasure', 'contemporary Indigenous identity', 'Indigenous artist', 'marginalised city', 'youth culture', 'cultural regeneration', 'youth engagement', 'hip hop culture', 'hip hop study', 'hip hop milieu', 'present hip hop', 'real hip hop', 'Black movement', 'Black struggle', 'African diaspora', 'Black party', 'Black pride', 'modern capital city', 'modern capital', 'Malandros', 'Creole city turn', 'Ethnic tourism', 'ethnic quarter', 'tourist community', 'Many ethnic quarter', 'tourism development', 'touristic poverty', 'tourist commodity', 'tourism', 'tourism study', 'symbol', 'ethnographic work', 'social space', 'word symbol', 'diverse community', 'Toward diversity', 'ethnic diversity', 'ethnic community', 'immigrant community', 'ethnic community formation', 'subway system', 'City subway system', 'city subway', 'York city subway', 'Underground movement', 'modern youth identity', 'modern youth', 'Australian film', 'space', 'remarkable film', 'outwith Troubled narrative', 'Troubled narrative', 'everyday story', 'festival', 'contemporary globalization', 'global study', 'socioscapes', 'international relation', 'marginalized periphery', 'capital', 'global downtown', 'downtown lifestyle'], 'NumDocs': 35, 'DocIds': [14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 141, 142, 154, 155, 165, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 292, 315, 321, 327, 337, 368]}, {'cluster': 0, 'group': 0, 'count': 59, 'key-phrases': ['deindustrialised landscape', 'tyne', 'transcultural placemaking', 'urban place', 'urban space', 'diverse urban environment', 'urban informality', 'Urban planning', 'metropolitan spatial apartheid', 'spatial apartheid', 'creative city', 'urban governance', 'urban development', 'Urban beautification', 'urban wellbeing', 'nurturing urban wellbeing', 'Vancouver urban governance', 'Barcelona satellite city', 'urban capitalism', 'urban economy', 'Diverse urban theory', 'urban life', 'market city', 'urban history', 'contemporary urban case', 'urban design', 'city past', 'urban built environment', 'mark urban space', 'urban living', 'urban civic culture', 'comparative urbanism', 'urban modernity', 'urbanism', 'urban landscape', 'particular urban landscape', 'Ponte City project', 'photographer portrays place', 'City project', 'malandro', 'Asphalt bandit', 'favela', 'urban modernism', 'new urban modernism', 'modern town', 'recent pedestrianization', 'pedestrianization', 'urban renewal', 'urban revitalization', 'Belfast dwells', 'urban spectacle', 'urban semantics', 'urban environment', 'urban planning occur', 'city building', 'different city', 'global downtowns', 'heterogeneous downtown today', 'urban anthropology'], 'NumDocs': 21, 'DocIds': [14, 43, 66, 86, 94, 109, 123, 128, 131, 133, 142, 154, 166, 176, 191, 280, 286, 315, 321, 337, 368]}, {'cluster': 0, 'group': 1, 'count': 26, 'key-phrases': ['alternative culture', 'Dominican presence', 'immigration', 'cultural identity', 'cultural policy', 'cultural policy play', 'cultural dynamic', 'political opening', 'ambiguous political opening', 'Indigenous identity', 'culture', 'subnational identity', 'nationalistic position', 'nationalism', 'postcolonial Creole city', 'cultural form', 'cultural participation', 'cultural participation contributes', 'intangible cultural history', 'interactive cultural history', 'cosmopolitanism', 'postpunk', 'counterculture', 'Irish oral culture', 'cultural expression', 'globalization'], 'NumDocs': 17, 'DocIds': [20, 54, 86, 113, 142, 155, 165, 175, 176, 192, 193, 213, 286, 292, 315, 321, 327]}]"
1,7,20,10,0,3,60,0.8867985021,"[{'cluster': 1, 'group': -1, 'count': 60, 'key-phrases': ['material culture', 'local economy', 'traditional settlement', 'historic Islamic city', 'Islamic city', 'urban cultural landscape', 'modern city centre', 'modern city', 'sustainable traditional market', 'cultural sustainable market', 'sustainable market', 'Traditional market', 'healthy life expectancy', 'geriatric care', 'frailty prevention', 'frailty prevention measure', 'Cubic stone street', 'stone pavement', 'cubic stone pavement', 'city identity', 'architectural form', 'urban cultural identity', 'architectural identity', 'Amman city', 'traditional city', 'Kurdish city', 'city', 'traditional rural home', 'stone masonry', 'large house', 'human culture', 'Jagalchi Market building', 'Market building', 'historic seafood market', 'Market Modernization project', 'Market modernization', 'Modern house type', 'traditional house type', 'house improvement', 'traditional house', 'house improvement process', 'renovation', 'style', 'art', 'architectural work', 'housing', 'implemented urban transformation', 'urban transformation project', 'urban transformation policy', 'Arabian Gulf city', 'Gulf city', 'urban identity', 'architectural difference', 'architecture object', 'culture', 'modern city begin', 'housing pattern', 'Housing provision', 'Housing provision mechanism', 'ismailia project'], 'NumDocs': 25, 'DocIds': [68, 91, 103, 121, 201, 205, 226, 238, 244, 264, 268, 294, 298, 302, 319, 324, 344, 347, 349, 350, 361, 362, 365, 371, 395]}, {'cluster': 1, 'group': 0, 'count': 42, 'key-phrases': ['recognizable material culture', 'national geography', 'national integration', 'heritage building', 'heritage', 'Arab culture', 'genealogical tree', 'genealogy', 'traditional architecture', 'architecture', 'cultural landscape', 'Japanese medicine', 'Elisabetin neighbourhood monument', 'neighbourhood monument area', 'typological analysis method', 'Typology method', 'typology', 'Typological Analysis', 'traditional Anatolian citadel', 'Anatolian citadel', 'Balinese architecture', 'Balinese town', 'cultural heritage district', 'heritage district', 'historic preservation', 'vernacular architecture', 'Architectural conservation', 'architectural heritage', 'local architectural heritage', 'cultural identity', 'modern architecture', 'Modern Movement heritage', 'old structure', 'architectural style', 'Persian community', 'people culture', 'Islamic world', 'Iranian nation', 'early seventh century', 'Bahrain', 'orient', 'Australian architecture'], 'NumDocs': 19, 'DocIds': [68, 91, 103, 129, 201, 226, 238, 244, 264, 268, 269, 302, 319, 347, 349, 350, 362, 365, 371]}, {'cluster': 1, 'group': 1, 'count': 43, 'key-phrases': ['urban plan', 'walled city', 'building', 'traditional community', 'urban sustainable structure', 'sustainable vernacular city', 'urban structure', 'traditional urban settlement', 'urban settlement', 'new housing development', 'urban planning', 'Nowadays sustainable development', 'traditional urban form', 'urban design', 'urban design process', 'urban space', 'urban morphology', 'urban design enhancement', 'downtown urban development', 'urban development', 'urban redevelopment', 'urban form configuration', 'urban form', 'building material', 'Wind flow prediction', 'wind environment', 'Wind flow', 'urban building complex', 'urban building', 'many valuable building', 'urban transformation', 'urban transformation implementation', 'urban healing agenda', 'city shape', 'traditional urban scene', 'urban renewal', 'commercial pedestrian street', 'cartographic information', 'satellite image processing', 'geomatics technology', 'cartographic data', 'cartographic data base', 'new development scheme'], 'NumDocs': 21, 'DocIds': [68, 91, 103, 121, 129, 201, 205, 264, 268, 269, 294, 298, 302, 330, 347, 361, 362, 365, 371, 384, 395]}]"
2,6,14,9,0,3,49,0.9513678334000001,"[{'cluster': 2, 'group': -1, 'count': 49, 'key-phrases': ['resilience', 'urban blight determinant', 'urban blight expert', 'urban blight', 'Urban blight reduces', 'fuzzy cognitive mapping', 'Chinese rural design', 'rural design', 'rural construction', 'ecological city', 'green ecological planning', 'ecological planning', 'green ecological civilization', 'Ecological greenway planning', 'Ecological greenway', 'greenway planning', 'cultural landscape', 'wangjiang avenue', 'Beijing city', 'modern Zhengzhou city', 'ancient landscape', 'ancient city', 'ancient capital city', 'environmental health management', 'environmental health', 'environmental pollution effect', 'heavy metal pollution', 'healthy city issue', 'healthy city', 'Healthy City project', 'cultural heritage protection', 'traditional culture protection', 'heritage protection', 'Qijiang ancient town', 'culture protection measure', 'traditional residential architecture', 'urban space axis', 'traditional urban axis', 'urban axis', 'space axis', 'traffic environmental problem', 'urban traffic environment', 'urban traffic culture', 'traffic environment improvement', 'livable city', 'natural scenery city', 'natural scenery resort', 'scenery city', 'scenery resort'], 'NumDocs': 16, 'DocIds': [106, 118, 210, 214, 252, 253, 259, 276, 354, 359, 360, 364, 366, 376, 378, 391]}, {'cluster': 2, 'group': 0, 'count': 28, 'key-phrases': ['urban public space', 'urban design theory', 'urban design', 'urban area', 'city design', 'foreign design', 'new urban planning', 'intensive urban building', 'urban space', 'public space environment', 'urban road', 'urban history', 'new city planning', 'city planning', 'spatial analysis method', 'spatial analysis', 'urban spatial structure', 'urban spatial configuration', 'urban spatial integration', 'urban functionality index', 'urban morphology', 'geomorphology', 'urban environment design', 'city urban environment', 'urban development', 'new urban space', 'urban planning', 'urban science'], 'NumDocs': 12, 'DocIds': [106, 210, 214, 252, 253, 259, 273, 276, 354, 359, 366, 378]}, {'cluster': 2, 'group': 1, 'count': 13, 'key-phrases': ['Residential environment evaluation', 'sustainable residential environment', 'Residential environment quality', 'residential environmental satisfaction', 'residential environmental quality', 'characteristic dwelling protection', 'nationality characteristic dwelling', 'traditional folk residence', 'characteristic dwelling', 'Urban environmental management', 'livable environmental evaluation', 'environmental evaluation', 'urban ecosystem'], 'NumDocs': 5, 'DocIds': [256, 364, 376, 378, 391]}]"
3,15,13,5,0,3,40,0.9548207318,"[{'cluster': 3, 'group': -1, 'count': 40, 'key-phrases': ['cultural economy', 'art social milieu', 'cultural economic development', 'New York culture', 'Art', 'economic development', 'regional entrepreneurial ecosystem', 'regional innovation', 'regional economic development', 'entrepreneurial ecosystem', 'creative waterfront', 'cultural industry metropolis', 'cultural industry', 'knowledge creation', 'place branding', 'branding campaign', 'branding', 'Lille experience', 'Lille métropole', 'creative industry', 'creative cluster', 'impressive creative cluster', 'industrial park', 'community art', 'Urban branding', 'product luxury place', 'product experience', 'creative economy sector', 'creative people', 'city', 'public art', 'smart creative city', 'Lyon metropolis', 'city culture', 'contemporary creative placemaking', 'Creative placemaking', 'placemaking', 'art center', 'creative crucible', 'Liverpool'], 'NumDocs': 17, 'DocIds': [15, 22, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]}, {'cluster': 3, 'group': 0, 'count': 21, 'key-phrases': ['cultural producer', 'cultural production', 'subculture', 'knowledge spillover', 'culture hub', 'cultural planning', 'authentic cultural element', 'cultural development', 'new creative cluster', 'cultural participation', 'cultural participation contribute', 'cultural expression', 'cultural institution', 'creative economy', 'Cultural activity', 'cultural project', 'creative externality', 'planning culture', 'cultural politics', 'culture', 'cultural heritage'], 'NumDocs': 12, 'DocIds': [15, 22, 33, 59, 79, 81, 96, 149, 200, 211, 339, 377]}, {'cluster': 3, 'group': 1, 'count': 29, 'key-phrases': ['redevelopment', 'urban regeneration', 'urban design technique', 'wider cultural regeneration', 'urban design', 'urban development', 'creative waterfront renewal', 'Creative city', 'Urban history', 'waterfront renewal', 'urban planning', 'metropolitan development strategy', 'metropolitan development', 'urban experience', 'urban regeneration project', 'city development', 'contemporary city', 'gentrification', 'appropriate urban design', 'urban landscape', 'urban space', 'urban environment', 'Urban Regeneration Policy', 'urban regeneration programme', 'urban regeneration process', 'town planner', 'European Capital', 'Capital', 'urban geography'], 'NumDocs': 12, 'DocIds': [22, 24, 48, 59, 81, 184, 200, 211, 223, 281, 339, 377]}]"
4,6,20,6,0,3,38,0.9543835847000001,"[{'cluster': 4, 'group': -1, 'count': 38, 'key-phrases': ['Russian empire', 'modern Russian identity', 'Eurasian empire', 'Russian identity', 'Imperial nobility', 'urban study', 'European welfare', 'regional culture', 'East Slavic unity', 'Slavic unity', 'Philharmonic building', 'opera house', 'Modern building', 'architectural concept', 'critical spatial practitioner', 'urban planning practice', 'architectural structure', 'Architecture', 'architectural work', 'outstanding architectural structure', 'Cross wooden church', 'wooden church', 'church structure', 'wooden', 'western monasticism', 'monasticism', 'monasticism repercussion', 'monastic order', 'construction history', 'important building', 'local revitalization programme', 'local revitalization', 'revitalization programme', 'Slovak bank building', 'Slovak bank', 'bank architecture', 'industrial society', 'urban planning composition'], 'NumDocs': 15, 'DocIds': [71, 75, 160, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385]}, {'cluster': 4, 'group': 0, 'count': 28, 'key-phrases': ['multicultural city', 'diverse city', 'urban space', 'European welfare regime', 'Southern European welfare', 'welfare regime', 'city', 'modern bourgeois city', 'bourgeois city', 'medieval city', 'hegemonic city', 'Krasnoyarsk krai', 'krai', 'urban communal living', 'communal living', 'modern city', 'Écija', 'old Polish city', 'urbanized space', 'Polish city', 'town attractiveness', 'town', 'Czechoslovak government', 'Slovak part', 'mining city', 'urban development', 'future urban development', 'beautiful cosmopolitan city'], 'NumDocs': 12, 'DocIds': [75, 160, 172, 215, 239, 296, 303, 311, 313, 314, 345, 394]}, {'cluster': 4, 'group': 1, 'count': 24, 'key-phrases': ['national culture', 'Portuguese sociologist', 'unwanted heritage', 'historical heritage', 'heritage', 'historian', 'romantic heritage', 'regional culture study', 'cultural research', 'urban heritage', 'cultural heritage object', 'cultural heritage', 'music', 'museum', 'historical panorama', 'Industry', 'traditional theatre', 'theatre', 'theatre practice', 'culture', 'many tragedy', 'tragedy', 'war', 'present war'], 'NumDocs': 12, 'DocIds': [75, 160, 172, 215, 239, 242, 284, 297, 301, 345, 385, 394]}]"
5,5,2,8,0,3,11,0.8834248250000001,"[{'cluster': 5, 'group': -1, 'count': 11, 'key-phrases': ['urban planner', 'Japanese urban study', 'later Japanese architect', 'Urban survey', 'Japanese architect', 'urban study', 'urbanizing city', 'urban history', 'dystopian city', 'urban geographer opine', 'Indian city'], 'NumDocs': 6, 'DocIds': [173, 185, 232, 285, 329, 348]}, {'cluster': 5, 'group': 0, 'count': 11, 'key-phrases': ['urban governance', 'good urban governance', 'urban reform', 'governance', 'urban development', 'urban planning', 'urbanisation', 'urban management', 'urban development policy', 'urban growth', 'development policy'], 'NumDocs': 3, 'DocIds': [173, 232, 348]}, {'cluster': 5, 'group': 1, 'count': 8, 'key-phrases': ['western urban model', 'urban planning model', 'urban model', 'English garden city', 'urban space', 'urban area', 'cityscape', 'city'], 'NumDocs': 3, 'DocIds': [285, 329, 348]}]"
6,60,20,20,0,3,55,0.9564419871000001,"[{'cluster': 6, 'group': -1, 'count': 55, 'key-phrases': ['urban design consideration', 'public apartment', 'apartment', 'housing', 'commenrcial signage approach', 'commenrcial signage', 'commercial signage', 'commercial signage control', 'signage approach', 'Product Urban design', 'smart urban furniture', 'innovative urban furniture', 'urban smart furniture', 'urban furniture', 'smart furniture', 'street furniture', 'furniture', 'sustainable architecture', 'pleasure model', 'urban public art', 'public art', 'urban culture', 'art', 'digital information technology', 'cultural conceptualization', 'cultural process', 'environmental affordances', 'social sustainability', 'sustainable development', 'contemporary urban design', 'disability', 'warning system', 'unified warning system', 'disability move', 'blindness', 'urban context', 'Contemporary library', 'library', 'civic culture', 'contemporary information technology', 'social interaction technology', 'small bathroom', 'bathroom transformation', 'little bathroom space', 'bathroom space', 'bathroom product', 'ConnectiCity initiative', 'pervasive system', 'urban design contribute', 'socialization', 'sociability', 'Calligraphy art', 'calligraphy', 'Calligraphy art play', 'designer personal perception'], 'NumDocs': 22, 'DocIds': [76, 82, 90, 122, 179, 222, 243, 261, 270, 279, 295, 299, 312, 318, 326, 338, 343, 346, 358, 370, 375, 388]}, {'cluster': 6, 'group': 0, 'count': 59, 'key-phrases': ['inclusive urban design', 'sustainable urban area', 'urban design', 'courtyard', 'large courtyard', 'public area', 'urban land use', 'urban land', 'pedestrianization', 'land use', 'land value', 'Public open space', 'urban space organization', 'urban space', 'urban planning', 'open space availability', 'urban material structure', 'pedestrian mall', 'modern city development', 'commercial area', 'Irbid city downtown', 'downtown commercial area', 'sustainable urban planning', 'quality urban space', 'urban environment', 'place genius', 'place genius loci', 'place', 'Modern urban life', 'urban life', 'city planning', 'city planning process', 'contemporary public space', 'urban space design', 'urban design criterion', 'urban public space', 'different urban space', 'urban open space', 'public space', 'contemporary city', 'city', 'urban resource', 'placemaking', 'urban landscape', 'urban planning process', 'Urban planner', 'Introduction landscape', 'public space activization', 'public space creation', 'attractive public space', 'city space attractiveness', 'city centre space', 'city space', 'urban reality', 'surrounding development', 'poetic dwelling', 'urban living environment', 'urban pattern', 'major urban plaza'], 'NumDocs': 19, 'DocIds': [76, 122, 222, 246, 272, 279, 288, 295, 299, 318, 326, 336, 338, 340, 355, 358, 370, 375, 388]}, {'cluster': 6, 'group': 1, 'count': 31, 'key-phrases': ['inclusive design', 'housing anxiety', 'improved building', 'urban interior design', 'interior design', 'Ergonomics methodology', 'Ergonomics', 'contemporary architecture', 'glass facade', 'modern building', 'contemporary building', 'product design', 'design', 'design approach', 'built environment', 'environmental design', 'building designer', 'architecture humanization', 'architecture', 'architectural space', 'Today architectural space', 'architectural concept', 'Chinese architectural design', 'building design', 'residential design', 'modern residential design', 'architectural design', 'architect', 'Good architecture', 'designed space', 'design concept'], 'NumDocs': 14, 'DocIds': [76, 82, 122, 222, 243, 261, 279, 295, 326, 343, 352, 358, 370, 388]}]"
7,85,2,16,0,2,0,0.9920077672000001,"[{'cluster': 7, 'group': 0, 'count': 54, 'key-phrases': ['public transport', 'private transport', 'private transport service', 'transport need', 'transport', 'careful traffic', 'traffic behaviour', 'traffic infrastructure', 'transit village', 'public transit system', 'urban public transit', 'transit system', 'sustainable transportation', 'unsustainable transportation', 'intercity public transportation', 'electric vehicle', 'transportation', 'sustainable active mobility', 'sustainable mobility', 'walking mindset', 'walking culture', 'active mobility', 'international walkability research', 'walkability research', 'walkability research agenda', 'fivefold international walkability', 'walkability', 'pedestrian movement', 'vehicle choice model', 'vehicle use', 'vehicle choice', 'vehicle type choice', 'developed vehicle choice', 'bicycle movement infrastructure', 'transit infrastructure', 'urban mass transit', 'mass transit', 'transit', 'energy intensive development', 'sustainable mobility strategy', 'sustainable neighbourhood road', 'urban mobility', 'sustainable neighbourhood street', 'street mobility', 'initiative Cycling', 'Cycling', 'urban rail corridor', 'urban rail', 'Several commuter rail', 'rail corridor', 'commuter rail', 'public transport company', 'transport service', 'transport company'], 'NumDocs': 15, 'DocIds': [37, 42, 55, 70, 119, 145, 189, 230, 247, 255, 266, 277, 331, 356, 390]}, {'cluster': 7, 'group': 1, 'count': 66, 'key-phrases': ['urban design', 'urban environment', 'Urban planning', 'urban design practice', 'Urban design need', 'public space', 'urban design today', 'public behaviour', 'urban rural settlement', 'rural settlement potential', 'rural settlement', 'Smart settlement', 'urban area', 'chosen public space', 'privacy need', 'privacy', 'urban life', 'privacy issue', 'neighborhood design concept', 'urban neighborhood design', 'neighborhood urban design', 'new neighborhood design', 'theoretical urban neighborhood', 'urban space', 'anatolian city', 'Anatolian town', 'small anatolian city', 'microcosmic city', 'population density', 'urban development', 'land use', 'microcosmic world space', 'Smart City concept', 'smart city', 'City concept', 'Sustainable social innovation', 'social innovation', 'vibrant city', 'talaat harb street', 'rich urban culture', 'urban culture', 'revitalization', 'everyday urban function', 'urbanity', 'place theory', 'modality place', 'TOD design', 'decentralizing urbanization help', 'urbanization help', 'decentralizing urbanization', 'size city', 'governance', 'governance practice', 'public policy strategy', 'public administration', 'economic development', 'ICT enable indicator', 'city transformation', 'city', 'city towards', 'Indian prospective', 'urban landscape', 'local society', 'elderly people', 'activity centre', 'attraction park'], 'NumDocs': 17, 'DocIds': [42, 55, 139, 158, 168, 178, 189, 196, 207, 241, 247, 255, 266, 322, 323, 331, 390]}]"
8,60,8,6,0,4,36,0.9298538831000001,"[{'cluster': 8, 'group': -1, 'count': 36, 'key-phrases': ['green space', 'city planning perspective', 'environmental aesthetic', 'nature', 'cultural service', 'green space designing', 'green landscape', 'preferred flower', 'ornamental plant specie', 'riparian landscape', 'riparian management', 'riparian area', 'Community attachment', 'old masonry', 'public space varies', 'public open space', 'public space', 'open space', 'green space assessment', 'green space use', 'green space type', 'sensory dimension', 'green space user', 'fMRI', 'brain region activity', 'neuroscience', 'brain region', 'brain', 'immense landscape park', 'landscape park area', 'landscape park', 'tourist attraction', 'open public space', 'public square case', 'new public space', 'public square'], 'NumDocs': 12, 'DocIds': [2, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 310]}, {'cluster': 8, 'group': 0, 'count': 12, 'key-phrases': ['natural environment', 'restorative environment', 'provide nature', 'pure environmental aesthetic', 'aesthetic', 'ecology', 'cultural ecosystem service', 'cultural ecosystem', 'ecosystem service', 'cultural value', 'cultural sustainability', 'Ecological sustainability'], 'NumDocs': 6, 'DocIds': [2, 3, 9, 12, 40, 58]}, {'cluster': 8, 'group': 1, 'count': 11, 'key-phrases': ['urban green space', 'urban landscape', 'urban environment', 'outdoor urban environment', 'Urban Planning contribution', 'urban green landscape', 'stonewall tree', 'Mature urban tree', 'urban development', 'healthy urban environment', 'urban design'], 'NumDocs': 6, 'DocIds': [2, 3, 53, 63, 87, 310]}, {'cluster': 8, 'group': 2, 'count': 16, 'key-phrases': ['transdisciplinary landscape research', 'different landscape concept', 'landscape research', 'landscape concept', 'transdisciplinary landscape concept', 'landscape taste', 'scenic landscape', 'behavioral landscape preference', 'arcadian landscape', 'landscape', 'Historic landscape', 'landscape designing', 'landscape significance', 'landscape symbol', 'landscape perception', 'landscape perception research'], 'NumDocs': 5, 'DocIds': [8, 9, 12, 203, 250]}]"
