cluster,group,count,key-phrases,NumDocs,DocIds
-1,-1,120,"['typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi', 'Zurich investigated leisure', 'Social impact assessment', 'urban development', 'impact assessment', 'problematic street culture', 'street culture', 'Revanchist sanitisation', 'semantics', 'inclusive landscape', 'inclusive design', 'towards inclusive design', 'landscape architect', 'Urban sustainability transition', 'transition towards urbanisation', 'Chinatown landscape', 'urban renewal', 'landscape meaning', 'landscape reality', 'urban study', 'multinaturalism', 'multiculturalism', 'collective experiment', 'scientific laboratory', 'modernity', 'sustainable city', 'Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy', 'middle class society', 'regional landscape', 'Artistic interpretation', 'heritage management', 'heritage', 'Soviet influence', 'economic development', 'ocean health', 'ocean literacy', 'ocean activist', 'healthy ocean', 'ethnic concentration', 'ethnic community', 'local ethnic community', 'urban regime theory', 'urban governance', 'urban regime', 'Chinese architecture', 'ethology', 'successful Lean implementation', 'Lean implementation', 'Lean practitioner', 'Lean philosophy', 'Lean practice', 'East German protest', 'Karl Marx square', 'Marx square', 'German protest', 'Communist authority', 'environment', 'city system', 'Bangkok man', 'Chicago sociology', 'Chicago sociologist', 'urban bureaucrat', 'Sociological theory', 'risk society', 'consumption', 'Community development', 'business', 'entrepreneurship', 'city organisation', 'domestic city organisation', 'urban governance study', 'Visual approach', 'revered monument', 'monument', 'historic building', 'arch', 'urban transformation', 'urban economy', 'communist state', 'Singaporean society', 'public participation', 'urban forest manager', 'urban environmental history', 'urban ecology', 'urban creativity', 'public art', 'Human sensory assessment', 'sensory assessment', 'Bengali community', 'intangible cultural resource', 'cultural heritage', 'tradition', 'art', 'beauty', 'Urban cohesion', 'urban study theorist', 'benefit big city', 'urban historical process', 'centennial', 'tourist destination', 'digital political discussion', 'political action online', 'political discussion', 'site interpretation centre', 'site interpretation', 'sustainable urban environment', 'landscape design', 'human environment', 'landscape', 'town reconstruction', 'square design', 'style line design']",51,"[4, 11, 13, 17, 18, 19, 23, 26, 27, 28, 36, 39, 45, 52, 56, 69, 72, 73, 78, 88, 92, 105, 110, 111, 116, 117, 130, 146, 148, 153, 156, 163, 187, 194, 197, 198, 212, 217, 219, 225, 228, 234, 251, 254, 258, 271, 283, 304, 334, 335, 369]"
-1,0,16,"['housing landscape', 'urban housing complies', 'residential standard', 'current residential standard', 'housing complies', 'urban housing', 'housing study', 'housing', 'Modernist high rise', 'high rise housing', 'housing development', 'iranian housing culture', 'housing culture', 'contemporary housing', 'iranian housing', 'contemporary housing solution']",5,"[26, 65, 92, 194, 278]"
-1,1,22,"['mobility', 'mobility experience', 'mobility paradigm', 'mobile risk society', 'regime mobility', 'traffic simulation', 'pedestrian movement', 'traffic flow', 'Simulated people', 'Smart city', 'online decision support', 'smart city application', 'Smart City road', 'smart application', 'intelligent system', 'intelligent system analyze', 'digital social movement', 'human mobility system', 'human mobility', 'mobility model', 'smart transportation', 'mobility system']",7,"[27, 130, 161, 197, 204, 283, 332]"
-1,2,14,"['foreign resident youth', 'immigrant young people', 'urban young people', 'young life', 'embed diverse youth', 'diverse youth voice', 'diverse youth', 'youth drinking culture', 'youth drinking', 'contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture']",5,"[11, 27, 34, 135, 235]"
-1,3,13,"['new Canadian immigrant', 'Canadian immigrant', 'Russian student', 'Whither aboriginal education', 'aboriginal education', 'indigenous student', 'aboriginal student', 'tribal college', 'Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']",4,"[73, 236, 257, 373]"
-1,4,8,"['nuclear crisis', 'tsunami', 'Natural disaster', 'tragic catastrophe', 'tsunami disaster prevention', 'east Japan earthquake', 'Japan earthquake', 'disaster prevention']",2,"[32, 335]"
-1,5,49,"['public green space', 'problematic street', 'suburb', 'suburb shape', 'suburban definition', 'area', 'Portland style', 'Portlanders', 'exemplary American metropolis', 'intergenerational urban space', 'urban space', 'genuinely urban environment', 'cultural city', 'unpopular outdoor place', 'popular place', 'urban area', 'popular restaurant', 'street view', 'contemporary city', 'Blue urbanism', 'urban public space', 'contemporary urban street', 'ordinary public space', 'urban neighbourhood', 'outdoor social activity', 'Gaza city', 'livable community', 'urban community', 'land use', 'city', 'land', 'urban life', 'urban English pub', 'traditional pub', 'English pub', 'urban place', 'urban setting', 'urban condition', 'urbanism', 'modern city', 'spatial appropriation', 'urban environment', 'social spatialization', 'Pakistani neighborhood', 'compartmentalized public space', 'Future metropolis', 'urban renaissance', 'American industrial metropolis', 'city square']",25,"[11, 17, 18, 29, 34, 50, 56, 60, 67, 72, 84, 85, 111, 130, 135, 146, 156, 187, 212, 217, 219, 234, 251, 254, 369]"
-1,6,7,"['Guangzhou case study', 'Chinese middle class', 'contemporary Chinese society', 'Chinese society', 'Chinese politics', 'Confucianism', 'Chinese city']",4,"[13, 45, 69, 187]"
-1,7,10,"['local government', 'governance', 'national development', 'small business influence', 'Small business', 'governance mode', 'public organisation', 'public consultation', 'governance challenge', 'critical governance']",6,"[78, 116, 148, 153, 197, 198]"
-1,8,11,"['revanchist expulsion', 'British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony', 'African mobility', 'African history', 'colonial politics', 'African culture', 'colonial authority']",3,"[17, 49, 289]"
