Cluster,NumDocs,Percent,DocIds,Topics
-1,39,0.09898477157360407,"[4, 10, 13, 17, 27, 29, 32, 39, 49, 52, 71, 73, 80, 83, 132, 137, 140, 163, 204, 212, 221, 232, 236, 239, 249, 254, 257, 258, 289, 306, 320, 323, 332, 335, 373, 381, 382, 383, 389]","typhoid fever, smart city, indigenous knowledge, typhoid fever case, social impact assessment, urban growth boundary, smart city application, system take place, inter cultural dialogue, relevant regional culture"
0,28,0.07106598984771574,"[18, 20, 43, 86, 94, 98, 108, 113, 123, 131, 133, 156, 157, 166, 175, 190, 191, 213, 218, 231, 245, 280, 286, 315, 321, 327, 337, 368]","case study city, multilocal creative knowledge, creative knowledge worker, nationalism, creative knowledge, many different dimension, inspiring marginal community, three city government, diverse urban environment, decaying urban landscape"
1,36,0.09137055837563451,"[65, 68, 85, 91, 92, 99, 100, 103, 121, 129, 170, 201, 205, 234, 238, 241, 244, 246, 264, 268, 269, 278, 287, 294, 298, 311, 319, 344, 345, 349, 350, 361, 362, 380, 384, 395]","city identity, cubic stone street, urban transformation project, old city center, residential standard, local urban space, typological analysis method, urban land use, urban street façades, outstanding universal value"
2,24,0.06091370558375635,"[75, 110, 111, 142, 151, 160, 172, 215, 242, 284, 291, 296, 297, 300, 301, 302, 303, 313, 314, 325, 347, 374, 385, 394]","branch office building, small town, spoken various language, professed different religion, particularly diverse city, one national narrative, several national group, single urban space, essential turning point, intimate local trauma"
3,19,0.048223350253807105,"[57, 69, 88, 106, 186, 210, 214, 226, 253, 259, 276, 360, 364, 365, 366, 369, 371, 372, 391]","urban space axis, healthy life expectancy, nationality characteristic dwelling, medical care, older people, integrated community care, natural scenery city, life expectancy, green ecological planning, community care system"
4,17,0.04314720812182741,"[25, 38, 64, 78, 97, 114, 116, 152, 153, 173, 177, 265, 267, 285, 348, 379, 392]","urban regime theory, urban planning model, sustainable urban development, inclusive municipal governance, indigenous urban form, draws architectural comparison, regime theory, developing country, slum, urban governance"
5,20,0.050761421319796954,"[41, 82, 139, 147, 178, 179, 223, 233, 261, 270, 290, 299, 326, 340, 343, 346, 363, 370, 375, 388]","urban neighborhood design, neighborhood design concept, neighborhood design, social capital, sustainable food culture, changing public life, theoretical urban neighborhood, neighborhood urban design, bathroom, foster social capital"
6,19,0.048223350253807105,"[14, 15, 22, 24, 48, 56, 59, 61, 79, 81, 96, 109, 149, 184, 200, 211, 281, 342, 377]","urban economic development, new creative cluster, urban regeneration process, smart creative city, festival, economic development, cultural producer, cultural sector, creative cluster, special event"
7,7,0.017766497461928935,"[95, 243, 252, 272, 310, 334, 393]","public open space, eight sensory dimension, perceived sensory dimension, green space assessment, main design strategy, community social interaction, sustainable urban environment, urban green space, sensory dimension, open public space"
8,8,0.02030456852791878,"[6, 50, 67, 146, 206, 271, 305, 307]","transnational capitalist class, modern city planning, historical city center, major transnational corporation, major global consumer, global consumer good, aspiring global city, deliberately iconic architecture, central urban manifestation, underlying recent debate"
9,12,0.030456852791878174,"[23, 118, 196, 202, 227, 263, 266, 273, 295, 308, 359, 376]","urban blight, medium size city, urban environmental management, urban sustainability transition, fuzzy cognitive mapping, historic urban landscape, main urban design, healthy city, urban traffic, sustainability transition"
10,6,0.015228426395939087,"[11, 84, 165, 318, 331, 338]","public green space, urban public space, foreign resident youth, investigated leisure activity, facilitate social interaction, immigrant young people, friend across culture, newly implanted suburbanite, reclaimed public space, neighbourhood main street"
11,8,0.02030456852791878,"[74, 101, 136, 164, 199, 309, 317, 367]","yanama budyari gumada, natural resource management, frame natural resource, make explicit practice, two specific activity, invites new way, unceded urban place, diverse major city, contemporary policy aim, northernmost capital city"
12,8,0.02030456852791878,"[16, 30, 87, 174, 330, 333, 336, 352]","experimental study, open space, thermal comfort, mountainous climate, comfort, different thermal index, hot arid climate, day care unit, evaluation index system, rural residential building"
13,6,0.015228426395939087,"[3, 40, 63, 203, 240, 304]","site interpretation centre, cultural ecosystem service, old masonry wall, national park, site interpretation, urban green space, provide valuable insight, two overarching group, offer strong support, nearby natural environment"
14,21,0.0532994923857868,"[37, 42, 55, 70, 76, 90, 119, 145, 168, 189, 217, 222, 230, 247, 255, 277, 288, 312, 355, 356, 390]","modality environment, control commercial signage, sustainable active mobility, vehicle type choice, transit, transit village, vehicle, public transport, sustainable transportation, commercial signage"
15,18,0.04568527918781726,"[34, 35, 46, 54, 104, 124, 127, 135, 141, 143, 155, 167, 171, 181, 193, 292, 341, 353]","hip hop, everyday public space, hop, hip, intergenerational urban space, integrate young people, paper describes approach, effectively involve youth, embed diverse youth, diverse youth voice"
16,11,0.027918781725888325,"[2, 8, 9, 12, 19, 28, 53, 58, 180, 228, 250]","ethnic minority group, people reporting stress, reporting stress prefer, urban park user, sustainability requires people, urban green space, perceived sensory dimension, landscape type, structural beauty, perceive green space"
17,11,0.027918781725888325,"[36, 105, 107, 158, 159, 162, 183, 256, 354, 357, 378]","residential environment, residential environmental quality, remote sensing data, waste, municipal solid waste, satisfy project requirement, contemporary construction field, waste activated carbon, acid dye wastewater, dye wastewater treatment"
18,10,0.025380710659898477,"[1, 130, 144, 176, 185, 192, 225, 282, 328, 329]","vernacular architectural heritage, reconfigures urban life, involving distinct way, trace urban sociology, makes instantaneous time, within fragmented moment, entailed various mobility, modern civil society, without physical mobility, mobile risk society"
19,12,0.030456852791878174,"[7, 93, 102, 115, 117, 120, 138, 188, 197, 219, 283, 358]","human sensory assessment, beyond binary choice, virtual design studio, decision support system, planning process, social creativity, design studio, unaided individual mind, embody collective knowledge, proper collaboration model"
20,14,0.03553299492385787,"[26, 44, 45, 66, 126, 128, 154, 169, 187, 194, 195, 235, 248, 275]","middle class, different social milieu, new town, square dance, embodies multiple level, everyday meaning implicit, public housing scheme, along modernist line, organised vernacular association, physically polluted landscape"
21,8,0.02030456852791878,"[77, 89, 150, 182, 229, 237, 339, 386]","new town building, town building movement, local regional influence, newly achieved nationhood, local political leader, facilitates daily life, engages numerous agent, civic authority design, designated agency maintain, among different constituent"
22,8,0.02030456852791878,"[31, 72, 216, 224, 293, 316, 324, 387]","sustainable floating community, floating village, waterfront, given new life, analyses three form, include reclaiming functionality, commemorate local culture, coastal city begin, rising sea level, upon ocean resource"
23,8,0.02030456852791878,"[5, 47, 122, 208, 209, 262, 279, 351]","road traffic noise, soundscape, soundscape evaluation method, inclusive design research, acoustic environment, noise, community response, road traffic, sound source, noise control policy"
24,6,0.015228426395939087,"[21, 51, 62, 125, 198, 220]","natural property right, property right value, urban forest manager, property right, governance challenge, double bottom line, wildfire risk, landscape planning, cultural ecosystem service, environmental hazard"
25,10,0.025380710659898477,"[33, 60, 134, 148, 161, 207, 251, 260, 274, 322]","small business, using social medium, sustainable social innovation, current global situation, final two article, natural capital indicator, urban livability measure, urban livability, natural capital, smart city"
