0,1
record breaking magnitude,{-1}
disaster first hand,{-1}
reshaping japanese culture,{-1}
tour de force,{-1}
critical role astronomy,{-1}
providing extraordinary example,{-1}
people merged idea,{-1}
understanding ancient culture,{-1}
mesoamerican religious imagery,{-1}
architectural alignment study,{-1}
explore new dimension,{-1}
maximize customer satisfaction,{-1}
makes lean implementation,{-1}
though lean effort,{-1}
successful lean implementation,{-1}
affects project performance,{-1}
construction industry practitioner,{-1}
might conduct project,{-1}
satisfy project requirement,{-1}
guide construction professional,{-1}
better satisfy project,{-1}
seven major enabler,{-1}
implementation whereas lack,{-1}
top management support,{-1}
lead lean practitioner,{-1}
serve multiple function,{-1}
many urban bridge,{-1}
discusses several example,{-1}
following available research,{-1}
available research method,{-1}
spectacular new implementation,{-1}
widely recognized structure,{-1}
widely divergent motivation,{-1}
provocative new light,{-1}
shrewd city leader,{-1}
destroy historic building,{-1}
failed urban planning,{-1}
one urban crucible,{-1}
center city business,{-1}
city business district,{-1}
emerging economic reality,{-1}
accomplish lasting change,{-1}
one powerful idea,{-1}
longest winning streak,{-1}
urban planning body,{-1}
market east transportation,{-1}
east transportation center,{-1}
postwar federal legislation,{-1}
legislation enabled city,{-1}
enabled city official,{-1}
broadly exercise eminent,{-1}
exercise eminent domain,{-1}
eminent domain power,{-1}
bulldozing whole section,{-1}
old industrial city,{-1}
integrated transportation hub,{-1}
shopping center downtown,{-1}
center downtown reverse,{-1}
reverse massive job,{-1}
massive job loss,{-1}
street pedestrian mall,{-1}
modern urban planning,{-1}
elite architecture firm,{-1}
truly seductive model,{-1}
useful permanent structure,{-1}
rejuvenating public faith,{-1}
announced new era,{-1}
offered host city,{-1}
host city opportunities,{-1}
fair took place,{-1}
played defining role,{-1}
philadelphia planning process,{-1}
main analytical point,{-1}
gain critical insight,{-1}
american industrial metropolis,{-1}
shows two quite,{-1}
urban historical process,{-1}
society urban liberalism,{-1}
time adding element,{-1}
creeping urban pessimism,{-1}
hesitant municipal leadership,{-1}
since early morning,{-1}
giant corliss engine,{-1}
hundred invited guest,{-1}
huge metal monster,{-1}
towering forty foot,{-1}
five major building,{-1}
group built dozen,{-1}
hires root beer,{-1}
westinghouse air brake,{-1}
first international exposition,{-1}
important cultural event,{-1}
american industrial innovation,{-1}
large arab tent,{-1}
opened philadelphia andthe,{-1}
oriental design fashion,{-1}
previously divided elite,{-1}
local political culture,{-1}
next sixty year,{-1}
combined several element,{-1}
several city agency,{-1}
public construction contract,{-1}
reformist civic organization,{-1}
played crucial role,{-1}
cultural project play,{-1}
extreme political discord,{-1}
elite network formation,{-1}
east japan earthquake,{-1}
drew respective plan,{-1}
planning central city,{-1}
central city area,{-1}
unprecedented national crisis,{-1}
securing financial resource,{-1}
identifying afflicted area,{-1}
integrated national measure,{-1}
back better concept,{-1}
promoting dramatic measure,{-1}
also reconstruction measure,{-1}
lead prosperous life,{-1}
honoring local culture,{-1}
afflicted local government,{-1}
significantly larger budget,{-1}
larger budget fund,{-1}
affected city area,{-1}
lead city center,{-1}
city center towards,{-1}
center towards recovery,{-1}
allows prefectural government,{-1}
tsunami hazard zone,{-1}
make integrated town,{-1}
integrated town plan,{-1}
tsunami disaster prevention,{-1}
presumed tsunami hazard,{-1}
tsunami warning zone,{-1}
normal town planning,{-1}
change management project,{-1}
culture organizational culture,{-1}
good project manager,{-1}
first civil engineer,{-1}
civil engineer construct,{-1}
construct seventh century,{-1}
seventh century suspension,{-1}
century suspension bridge,{-1}
longest lasting civilization,{-1}
maya held domain,{-1}
scientifically based culture,{-1}
seven hundred year,{-1}
ingenious engineering application,{-1}
application including manufacturing,{-1}
ceremonial urban center,{-1}
civil engineering history,{-1}
meter center span,{-1}
massive financial investment,{0}
flagship regeneration project,{0}
iconic cultural project,{0}
whilst balancing achievement,{0}
inspiring marginal community,{0}
three city government,{0}
diverse urban environment,{0}
decaying urban landscape,{0}
renewed cultural ambiance,{0}
asian night market,{0}
major cultural event,{0}
foreign domestic worker,{0}
deserted office district,{0}
different ethnic community,{0}
northern manhattan neighborhood,{0}
new dominican presence,{0}
york city politics,{0}
tackled local concern,{0}
created new route,{0}
first large wave,{0}
share common goal,{0}
organize around issue,{0}
regulated global city,{0}
foster social sustainability,{0}
reborn german capital,{0}
gdr full square,{0}
detroit raises question,{0}
metropolitan spatial apartheid,{0}
ulster unionist tradition,{0}
intense emotional meaning,{0}
extensive interview source,{0}
case study city,"{0, 19}"
using environmental concern,{0}
social medium activity,{0}
local cultural policy,{0}
related question concern,{0}
concern macao claim,{0}
different cultural offer,{0}
british suburban literature,{0}
conceals two home,{0}
unexpected fictional locale,{0}
contemporary multicultural fiction,{0}
contemporary british literature,{0}
place shapes class,{0}
physical redevelopment strategy,{0}
many urban center,{0}
changing economic environment,{0}
evolving metropolitan hierarchy,{0}
led city government,{0}
related specialized bureaucracy,{0}
sophisticated public demand,{0}
public works activity,{0}
related cultural form,{0}
local economic activity,{0}
two fundamental factor,{0}
appropriately utilized leisure,{0}
utilized leisure time,{0}
projected onto destination,{0}
post war restructuring,{0}
new fiscal reality,{0}
various remaining sector,{0}
new growth potential,{0}
face numerous challenge,{0}
identifiable manufacturing economy,{0}
intoa tourist destination,{0}
convince potential visitor,{0}
urban tourism increase,{0}
increase intermunicipal competition,{0}
international marketing guru,{0}
dying urban core,{0}
new metropolitan age,{0}
cultural policy play,{0}
truly global contribution,{0}
skilfully steer debate,{0}
including alternative economy,{0}
paper examines practice,{0}
vancouver urban governance,{0}
urban governance policy,{0}
manage healthy people,{0}
new legislative alliance,{0}
favouring individual responsibility,{0}
performing art industry,{0}
drawing upon interview,{0}
community dance project,{0}
bringing together scholarship,{0}
creative dance practice,{0}
urban health legislation,{0}
contested role artist,{0}
nurturing urban wellbeing,{0}
one million mark,{0}
many young people,{0}
informal creative economy,{0}
urban music economy,{0}
grime music scene,{0}
incorporating insightful dialogue,{0}
marginalised young people,{0}
grime culture result,{0}
historic city center,"{0, 9}"
earlier urban wall,{0}
exotic nocturnal amusement,{0}
amusement including prostitution,{0}
lured adventurous bourgeois,{0}
adventurous bourgeois men,{0}
even transnational revolutionary,{0}
olympic urban revitalization,{0}
historical core outward,{0}
sanitized public space,{0}
tourist ser vice,{0}
facility including museum,{0}
dense central zone,{0}
poorer spanish region,{0}
using barrio chino,{0}
suburban barcelona satellite,{0}
barcelona satellite city,{0}
center city development,{0}
even suggestive phenomenon,{0}
including chinese enclave,{0}
multisite downtown ethnography,{0}
examined shared characteristic,{0}
cultural feature embody,{0}
evolving chinese globalization,{0}
relationship mapped decade,{0}
illuminate critical feature,{0}
articulation shaping downtown,{0}
five specific theme,{0}
competing contemporary demand,{0}
exotic alternative space,{0}
offer fundamental insight,{0}
political economic power,{0}
contested global flow,{0}
diverse urban theory,{0}
economic process shape,{0}
process shape conception,{0}
urban life contribute,{0}
