dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
70,None,5,0.0,0.5015237776225089,10,143,"[{'cluster_no': -1, 'count': 143}, {'cluster_no': 0, 'count': 17}, {'cluster_no': 1, 'count': 8}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 41}, {'cluster_no': 4, 'count': 19}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 7, 'count': 14}, {'cluster_no': 8, 'count': 23}]","[-1, 7, 7, -1, 6, -1, 4, 7, 7, 8, -1, 7, 0, -1, -1, -1, 0, -1, 8, 0, 8, -1, -1, -1, 0, -1, 2, -1, 4, 2, 5, 8, -1, 7, 4, 5, 0, 0, 6, -1, -1, 8, -1, 7, 5, 0, 0, 7, -1, -1, 8, 7, -1, -1, -1, -1, 0, 5, 3, -1, -1, 8, 3, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1, 4, -1, 3, 8, -1, 8, -1, 5, 4, -1, 8, 0, -1, -1, -1, 3, -1, 8, -1, 4, -1, 8, -1, 4, 1, 5, -1, 4, -1, 3, -1, 8, -1, -1, 5, 3, 8, 6, -1, -1, 3, 8, 6, -1, -1, -1, 7, -1, -1, -1, -1, -1, 0, 4, 6, 0, 0, -1, -1, 8, 3, 3, 7, 2, -1, 2, 6, 6, -1, 3, -1, 4, -1, -1, 8, 8, -1, -1, 0, -1, 1, 1, -1, 1, 5, 8, -1, -1, 5, -1, -1, 3, 3, 3, -1, 3, 3, 5, -1, -1, -1, 7, -1, -1, 5, 7, 3, -1, -1, 0, -1, 4, 6, -1, 1, 2, 1, -1, -1, -1, -1, -1, 0, 5, -1, -1, 1, 3, 4, 3, -1, 3, -1, 8, -1, -1, 3, -1, -1, -1, -1, -1, 3, 3, 4, -1, 3, -1, 3, -1, 3, -1, 3, -1, 8, 6, 3, -1, 3, 3, -1, -1, 4, -1, 2, 2, -1, 3, 3, 3, 5, -1, -1, -1, 6, 5, 4, 4, -1, -1, 3, 4, 3, -1, 6, -1, -1, 3, 5, 4, 0, 4, -1, -1, 8, -1, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, 3, 5, 8, -1, 3, 3]"
70,None,6,0.0,0.6166687041853987,8,161,"[{'cluster_no': -1, 'count': 161}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 42}, {'cluster_no': 2, 'count': 24}, {'cluster_no': 3, 'count': 20}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 5, 'count': 8}, {'cluster_no': 6, 'count': 13}]","[-1, 6, 6, -1, -1, -1, 2, 6, 6, 5, -1, 6, 0, -1, -1, -1, -1, -1, 4, 0, 4, -1, -1, -1, 0, -1, -1, -1, -1, 3, 3, 4, -1, 6, 2, 3, 0, 0, 2, -1, -1, 5, -1, 6, 3, 0, 0, -1, -1, -1, 6, 6, -1, -1, -1, -1, 0, 3, 1, -1, -1, 5, 1, -1, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 4, -1, -1, -1, 2, -1, 1, 4, -1, 4, -1, 3, 2, -1, 4, 0, -1, -1, -1, -1, -1, 5, -1, 2, -1, 5, -1, 2, -1, 3, -1, 2, -1, -1, -1, -1, -1, -1, 3, 1, -1, 2, -1, -1, 1, 4, 2, -1, -1, -1, 6, -1, -1, -1, -1, -1, 0, 2, 2, 0, 0, -1, -1, -1, 1, 1, -1, -1, -1, 3, -1, -1, -1, 1, -1, 2, -1, -1, 5, 5, -1, -1, 0, -1, -1, -1, -1, -1, 3, 4, -1, -1, 3, -1, 1, 1, 1, 1, -1, 1, 1, 3, -1, -1, -1, 6, -1, -1, 3, 6, 1, -1, -1, 0, 4, 2, -1, -1, -1, 3, -1, -1, 1, -1, -1, -1, 0, 3, -1, -1, -1, 1, -1, 1, -1, 1, -1, 4, -1, -1, 1, -1, -1, -1, 0, -1, 1, 1, 2, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 2, 1, -1, 1, 1, -1, -1, 2, -1, 3, 3, -1, 1, -1, 1, 3, -1, 2, -1, -1, 2, 2, 2, -1, -1, 1, 2, 1, -1, -1, -1, -1, 1, 3, 2, 0, 2, 0, 1, 5, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 3, 4, -1, 1, 1]"
70,None,7,0.0,0.6336881492971558,7,182,"[{'cluster_no': -1, 'count': 182}, {'cluster_no': 0, 'count': 15}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 2, 'count': 23}, {'cluster_no': 3, 'count': 35}, {'cluster_no': 4, 'count': 20}, {'cluster_no': 5, 'count': 15}]","[-1, 2, 2, -1, -1, -1, 5, 2, 2, 2, -1, 2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 4, 4, 1, -1, 2, 5, -1, 0, 0, -1, -1, -1, 2, -1, 2, 4, 0, 0, 2, -1, -1, 2, 2, -1, -1, -1, -1, 0, 4, 3, -1, -1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, 5, -1, 3, 1, -1, 1, -1, 4, 5, -1, -1, 0, -1, -1, -1, -1, -1, 2, -1, 5, -1, 2, -1, 5, -1, 4, -1, 5, -1, -1, -1, -1, -1, -1, 4, -1, -1, -1, -1, -1, 3, 1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 0, 5, 4, 0, 0, -1, 2, -1, 3, 3, 2, -1, -1, 4, -1, -1, -1, 3, -1, -1, -1, -1, 2, 2, -1, -1, 0, -1, -1, -1, -1, -1, 4, 1, -1, -1, 4, -1, -1, 3, 3, 3, -1, 3, 3, 4, -1, -1, -1, 2, -1, -1, 4, 2, 3, -1, -1, 0, 1, 5, -1, -1, -1, 4, -1, -1, -1, -1, -1, -1, 0, 4, -1, -1, -1, -1, -1, 3, -1, 3, -1, 1, -1, -1, 3, -1, -1, -1, -1, -1, 3, 3, 5, -1, 3, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, 3, 3, -1, -1, -1, -1, 4, -1, -1, 3, -1, 3, 4, -1, -1, -1, -1, 4, 5, 5, -1, -1, 3, 5, 3, -1, -1, -1, -1, 3, 4, 5, 0, 5, 0, -1, -1, -1, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, 3, 4, 1, -1, 3, 3]"
70,None,8,0.0,0.660879456735709,7,189,"[{'cluster_no': -1, 'count': 189}, {'cluster_no': 0, 'count': 15}, {'cluster_no': 1, 'count': 15}, {'cluster_no': 2, 'count': 14}, {'cluster_no': 3, 'count': 38}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 5, 'count': 19}]","[-1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 5, 5, 2, -1, 1, -1, -1, -1, 0, -1, -1, -1, 2, -1, 1, 5, 0, 0, 1, -1, -1, 1, 1, -1, -1, -1, -1, 0, 5, 3, -1, -1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 4, -1, 3, 2, -1, -1, -1, 5, 4, -1, -1, 0, -1, -1, -1, -1, -1, 2, -1, -1, -1, 2, -1, 4, -1, 5, -1, 4, -1, -1, -1, -1, -1, -1, 5, -1, -1, -1, -1, -1, 3, 2, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, 2, -1, 3, 3, 1, -1, -1, 5, -1, -1, -1, 3, -1, -1, -1, -1, 2, 2, -1, -1, 0, -1, -1, -1, -1, -1, 5, 2, -1, -1, 5, -1, 3, 3, 3, 3, -1, 3, 3, 5, -1, -1, -1, 1, -1, -1, 5, 1, 3, -1, -1, 0, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 5, -1, -1, -1, -1, -1, 3, -1, -1, -1, 2, -1, -1, 3, -1, -1, -1, -1, -1, 3, 3, 4, -1, 3, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, 3, 3, -1, -1, -1, -1, 5, -1, -1, 3, 3, 3, 5, -1, -1, -1, -1, 5, 4, 5, -1, -1, 3, -1, 3, 0, -1, -1, -1, 3, 5, 4, 0, 4, 0, 3, 2, -1, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, 3, 3, 5, 2, -1, 3, 3]"
70,None,9,0.0,0.6178862935364305,6,186,"[{'cluster_no': -1, 'count': 186}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 22}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 3, 'count': 13}, {'cluster_no': 4, 'count': 40}]","[-1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 2, 2, 2, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 2, 0, 0, 1, -1, -1, 1, 1, -1, -1, 3, -1, 0, 2, 4, -1, -1, 1, 4, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 3, -1, 4, -1, -1, -1, -1, 2, 3, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 2, 1, -1, -1, -1, 2, -1, 3, -1, -1, -1, -1, -1, -1, 2, -1, 1, 2, -1, -1, 4, -1, -1, -1, -1, 3, 1, -1, -1, -1, -1, -1, 0, 3, 2, 0, 0, -1, -1, -1, 4, 4, 1, -1, -1, 2, -1, -1, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 2, -1, -1, -1, 2, -1, -1, 4, 4, 4, -1, 4, 4, 2, -1, -1, -1, 1, -1, -1, 2, 1, 4, -1, -1, 0, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 2, -1, -1, -1, -1, -1, 4, -1, 4, 4, -1, -1, -1, 4, -1, -1, -1, -1, -1, 4, 4, 3, -1, 4, -1, 4, -1, 4, 3, -1, -1, 1, -1, 4, -1, 4, 4, -1, -1, -1, -1, 2, 2, -1, 4, 4, 4, 2, 2, 3, -1, -1, 2, 3, 2, -1, -1, 4, -1, 4, -1, -1, -1, -1, 4, 2, 3, 0, 3, -1, 4, 1, -1, -1, 4, -1, 4, -1, -1, -1, -1, -1, 4, -1, -1, 4, -1, 4, 4, 2, -1, -1, 4, 4]"
70,None,10,0.0,0.6713414590729607,5,198,"[{'cluster_no': -1, 'count': 198}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 23}, {'cluster_no': 2, 'count': 11}, {'cluster_no': 3, 'count': 39}]","[-1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 2, -1, -1, -1, 3, -1, -1, 0, 3, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 2, -1, 3, -1, -1, -1, -1, 1, 2, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 1, 0, -1, -1, -1, 1, -1, 2, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 3, -1, -1, -1, -1, 2, 0, -1, -1, -1, -1, -1, -1, 2, 1, -1, 0, -1, -1, -1, 3, -1, 0, -1, -1, 1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 3, 3, -1, -1, 3, -1, 1, -1, -1, -1, 0, -1, -1, 1, 0, 3, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, 3, -1, 3, 3, -1, -1, -1, 3, -1, -1, -1, -1, -1, 3, 3, 2, -1, 3, -1, 3, -1, 3, -1, -1, -1, 0, -1, 3, -1, 3, 3, -1, -1, -1, -1, -1, 1, -1, 3, 3, 3, 1, 1, -1, -1, -1, 1, 2, 1, -1, 3, 3, -1, 3, -1, -1, -1, -1, 3, 1, 2, 0, 2, -1, 3, -1, -1, -1, 3, 3, 3, -1, -1, -1, -1, -1, 3, -1, -1, 3, -1, 3, 3, 1, -1, -1, 3, 3]"
70,None,11,0.0,0.7348726716206012,4,201,"[{'cluster_no': -1, 'count': 201}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 30}, {'cluster_no': 2, 'count': 40}]","[-1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 1, -1, -1, -1, 2, -1, -1, 0, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 2, -1, -1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 2, 2, -1, -1, 2, -1, 1, -1, -1, -1, 0, -1, -1, 1, 0, 2, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, 2, -1, -1, 2, -1, -1, 0, 2, -1, -1, -1, -1, -1, 2, 2, 1, -1, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, 2, -1, 2, 2, -1, -1, 1, -1, -1, 1, -1, 2, 2, 2, 1, 1, -1, -1, -1, 1, 1, 1, -1, 2, 2, -1, 2, -1, -1, -1, -1, 2, 1, 1, 0, 1, -1, 2, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, -1, 2, 2, 1, -1, -1, 2, 2]"
70,None,12,0.0,0.7687596512706456,4,206,"[{'cluster_no': -1, 'count': 206}, {'cluster_no': 0, 'count': 23}, {'cluster_no': 1, 'count': 30}, {'cluster_no': 2, 'count': 40}]","[-1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, -1, 0, 0, -1, -1, 0, 0, -1, -1, 1, -1, -1, -1, 2, -1, -1, 0, 2, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 2, -1, -1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 2, 2, -1, -1, 2, -1, 1, -1, -1, -1, 0, -1, -1, 1, 0, 2, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, 2, 1, -1, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, 2, -1, 2, 2, -1, -1, 1, -1, -1, -1, -1, 2, 2, 2, 1, 1, 2, -1, -1, 1, 1, 1, -1, -1, 2, -1, 2, -1, -1, 2, -1, 2, 1, 1, -1, 1, -1, 2, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, -1, 2, 2, 1, -1, -1, 2, 2]"
70,None,13,0.0,0.7415882070388327,4,219,"[{'cluster_no': -1, 'count': 219}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 16}, {'cluster_no': 2, 'count': 34}]","[-1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, 2, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 2, -1, -1, 0, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 2, 2, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 2, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, 2, 1, -1, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 2, -1, 2, 0, -1, 1, -1, -1, -1, 1, -1, 1, -1, 2, -1, 2, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 1, -1, 2, 2, -1, 0, -1, 2, 2]"
70,None,14,0.0,0.7301943390963316,4,215,"[{'cluster_no': -1, 'count': 215}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 1, 'count': 24}, {'cluster_no': 2, 'count': 33}]","[-1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 2, 2, -1, -1, 2, -1, 1, -1, -1, -1, 0, -1, -1, 1, 0, 2, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, 2, 1, -1, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, -1, 2, 1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 2, -1, 2, 0, -1, 1, -1, 2, 1, 1, -1, 1, -1, 2, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 1, -1, 2, 2, 1, 0, -1, 2, 2]"
