,parent,child,lambda_val,child_size
0,299,83,3709.311518903383,1
1,299,284,3972.8193227563343,1
2,299,12,4069.1768130002424,1
3,299,37,4078.0787554691296,1
4,299,190,4194.304,1
5,299,56,4206.924774322969,1
6,299,13,4221.745344740815,1
7,299,283,4223.8710976837865,1
8,299,134,4248.472018232464,1
9,299,138,4256.016235413495,1
10,299,286,4261.421386842773,1
11,299,185,4311.80056540735,1
12,299,115,4437.243057392225,1
13,299,96,4439.591426303255,1
14,299,285,4457.283740701381,1
15,299,23,4485.886631016043,1
16,299,117,4495.502679528403,1
17,299,114,4550.370490914022,1
18,299,278,4565.228843537415,1
19,299,152,4577.685129604366,1
20,299,189,4609.125274725275,1
21,299,76,4652.583471991126,1
22,299,60,4674.621342992477,1
23,299,49,4679.83709902371,1
24,299,160,4801.721808815111,1
25,299,52,4803.096478671629,1
26,299,21,4809.981651376147,1
27,299,191,4832.147465437788,1
28,299,130,4864.371122064366,1
29,299,75,4879.934845840605,1
30,299,30,4899.887850467289,1
31,299,32,4922.892018779343,1
32,299,108,4928.676850763807,1
33,299,70,4930.125183661476,1
34,299,169,4956.3415066469715,1
35,299,4,4957.806146572104,1
36,299,150,4965.142349807636,1
37,299,171,4990.248661511006,1
38,299,40,5026.128220491312,1
39,299,145,5036.690483338337,1
40,299,24,5042.746017433123,1
41,299,104,5084.0048484848485,1
42,299,80,5085.545923006972,1
43,299,53,5091.719575113809,1
44,299,204,5108.774665042631,1
45,299,38,5122.814045801527,1
46,299,20,5135.358432812978,1
47,299,100,5143.229920294298,1
48,299,246,5151.125575683144,1
49,299,36,5162.220307692308,1
50,299,272,5173.3629355534995,1
51,299,147,5184.553770086526,1
52,299,89,5202.237519379845,1
53,299,57,5207.081315952824,1
54,299,131,5216.796019900497,1
55,299,288,5229.805486284289,1
56,299,289,5229.805486284289,1
57,299,180,5262.614805520702,1
58,299,221,5284.162519685039,1
59,299,216,5302.533501896334,1
60,299,148,5305.887413029728,1
61,299,164,5315.974651457541,1
62,299,10,5343.062420382165,1
63,299,242,5344.76457470532,1
64,299,184,5348.172138986292,1
65,299,166,5356.710089399745,1
66,299,73,5384.215661103979,1
67,299,129,5385.944141252006,1
68,299,22,5433.036269430052,1
69,299,39,5441.847551086604,1
70,299,183,5454.231469440832,1
71,299,220,5457.780091086533,1
72,299,19,5459.55613407094,1
73,299,99,5477.380346065948,1
74,299,26,5479.169170476813,1
75,299,141,5529.7350032959785,1
76,299,3,5540.692206076618,1
77,299,195,5548.021164021164,1
78,299,274,5549.856434005955,1
79,299,133,5549.856434005955,1
80,299,235,5568.27613674079,1
81,299,149,5575.678298438019,1
82,299,18,5584.9587217043945,1
83,299,81,5586.818514818515,1
84,299,5,5603.612558450234,1
85,299,266,5607.358288770053,1
86,299,27,5654.605999325919,1
87,299,17,5669.893883068604,1
88,299,276,5692.981336952834,1
89,299,206,5694.913781398506,1
90,299,208,5698.782608695652,1
91,299,163,5708.477713507996,1
92,299,8,5749.559972583962,1
93,299,68,5761.406593406594,1
