dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
200,30,30,1.0,0.8082114984000001,3,142,"[{'cluster_no': -1, 'count': 142}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 63}]","[-1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 0, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, -1, 0, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 1, 1, -1, -1, -1, 0, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 0, 1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0, -1, 1, -1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 0, -1, -1, -1, 0, 0, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 1, 0, 1, -1, -1, 1, -1, 0, -1, 1, 0, 1, -1, 1, -1, 1, 1, -1, -1, -1]"
150,27,30,1.0,0.8320044535000001,3,120,"[{'cluster_no': -1, 'count': 120}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 75}]","[-1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 0, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 0, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, -1, 0, 1, -1, 0, -1, 0, 0, -1, 1, -1, -1, 1, 1, -1, -1, -1, 0, 1, 1, 1, -1, -1, 1, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 1, -1, 0, 0, -1, 1, 0, 1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, -1, 0, 1, 1, 0, 1, 0, 1, 0, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 0, -1, -1, -1, 0, 0, 1, 1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 0, -1, 1, 0, 1, -1, 1, -1, 1, 1, -1, -1, -1]"
100,10,12,0.0,0.8163076852000001,6,104,"[{'cluster_no': -1, 'count': 104}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 2, 'count': 31}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 4, 'count': 24}]","[-1, 1, 0, 2, -1, 4, 4, -1, 0, 2, -1, 0, 2, 2, -1, -1, 0, 4, -1, 0, 0, 2, 2, -1, -1, 4, -1, 1, -1, -1, 2, -1, 0, -1, -1, 4, 0, -1, 0, 0, -1, 2, -1, 3, 0, 1, 1, -1, -1, 1, 2, 4, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 1, 2, -1, 2, -1, -1, 0, -1, 1, -1, -1, -1, 0, -1, 2, -1, -1, -1, -1, 4, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0, 2, 4, 1, 3, 1, 4, 1, -1, 2, 4, 2, -1, 2, -1, 1, -1, -1, 0, -1, 0, 0, -1, -1, 1, -1, 4, 2, -1, -1, 3, 0, -1, 3, 2, 2, 2, -1, -1, 4, -1, 4, 3, -1, 2, -1, 1, 0, -1, 0, 3, 3, -1, 4, 3, -1, -1, 0, 0, -1, -1, 0, 4, 4, 1, -1, -1, -1, 4, -1, -1, -1, 1, -1, -1, 0, 0, 0, 3, 0, 0, 0, 0, 4, 2, 3, -1, 0, 4, -1, 0, 4, 1, -1, -1, -1, 0, 2, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 2, 0, 0, 4, 2, 1, 0, 0, 4, -1, 4, 4, -1, -1, 3, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, 2, -1, 2, -1, 2, 2, 2, 1, 2]"
95,11,13,0.0,0.8079533027,6,112,"[{'cluster_no': -1, 'count': 112}, {'cluster_no': 0, 'count': 41}, {'cluster_no': 1, 'count': 16}, {'cluster_no': 2, 'count': 31}, {'cluster_no': 3, 'count': 13}, {'cluster_no': 4, 'count': 22}]","[-1, 1, 0, 2, -1, 4, -1, -1, 0, 2, -1, 0, 2, 2, -1, -1, 0, -1, -1, 0, 0, 2, 2, -1, -1, 4, -1, 1, -1, -1, 2, -1, 0, -1, -1, 4, 0, -1, 0, 0, 0, 2, -1, 3, -1, 1, 1, -1, -1, 1, 2, 4, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 1, 2, -1, 2, -1, -1, 0, -1, 1, -1, -1, -1, 0, -1, 2, -1, -1, -1, -1, 4, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 2, 4, 1, 3, -1, 4, 1, -1, 2, 4, 2, -1, 2, -1, -1, 4, -1, -1, -1, 0, -1, -1, -1, 1, -1, 4, 2, -1, -1, 3, 0, -1, 3, 2, 2, 2, -1, -1, 4, -1, 4, 3, -1, 2, -1, 1, -1, -1, 0, 3, 3, -1, 4, 3, -1, -1, 0, 0, -1, -1, 0, -1, -1, 1, 4, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 3, 0, 0, 0, 0, 4, 2, 3, -1, 0, 4, -1, 0, 4, 1, 4, 0, -1, 0, 2, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 2, 0, 0, 4, 2, -1, 0, 0, 4, -1, 4, 4, -1, -1, 3, -1, -1, -1, -1, 3, -1, -1, 0, 3, 0, 2, -1, 2, -1, 2, 2, 2, 1, 2]"
90,16,5,0.0,0.8354699273,6,127,"[{'cluster_no': -1, 'count': 127}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 3, 'count': 10}, {'cluster_no': 4, 'count': 29}]","[-1, -1, 0, 2, -1, 4, -1, -1, 0, 2, -1, 0, -1, 2, -1, -1, 0, 4, -1, 0, 0, 2, -1, -1, -1, 4, -1, -1, -1, -1, -1, -1, 0, -1, -1, 4, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, -1, -1, -1, 2, 4, -1, -1, -1, 0, -1, 3, -1, -1, 0, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 2, 4, -1, -1, -1, 4, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 4, -1, 3, -1, 4, -1, -1, 2, 4, 2, 4, 2, -1, -1, 4, -1, -1, -1, 0, -1, -1, -1, 1, -1, 4, 2, -1, -1, -1, 0, -1, -1, 2, 2, 2, 4, -1, 4, -1, 4, 3, -1, 2, -1, -1, -1, -1, 0, 3, 3, -1, 4, 3, 4, -1, 0, 0, -1, -1, 0, -1, 4, -1, 4, -1, -1, 4, -1, -1, -1, -1, -1, -1, 0, 0, 0, 3, 0, 0, 0, -1, 4, 2, -1, -1, 0, 4, -1, 0, 4, 1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 0, 0, 4, 2, -1, -1, 0, 4, -1, 4, 4, 4, -1, 3, -1, -1, -1, -1, 3, -1, 0, -1, 3, 0, 2, -1, 2, -1, 2, 2, 2, -1, -1]"
85,29,30,1.0,0.8183187190000001,3,124,"[{'cluster_no': -1, 'count': 124}, {'cluster_no': 0, 'count': 41}, {'cluster_no': 1, 'count': 70}]","[-1, -1, -1, -1, -1, 1, 1, 1, 0, 1, 0, 0, -1, -1, -1, 1, -1, 1, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 0, 1, 0, -1, 0, -1, 0, -1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, 1, 0, -1, -1, 1, 0, -1, -1, 1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 1, 1, -1, -1, -1, 0, 1, 1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 1, -1, 0, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, -1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, 0, -1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 0, -1, -1, -1, 0, 0, 1, 1, -1, 0, 0, 1, 1, 1, -1, 1, -1, 1, 0, 1, -1, -1, 1, -1, 0, -1, 1, 0, 1, -1, -1, -1, 1, 1, 1, -1, -1]"
80,15,5,0.0,0.8376454006,6,121,"[{'cluster_no': -1, 'count': 121}, {'cluster_no': 0, 'count': 44}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 4, 'count': 32}]","[-1, 1, -1, 2, -1, 4, -1, -1, 0, 2, -1, 0, -1, 2, -1, -1, 0, 4, -1, 0, -1, -1, -1, -1, -1, 4, -1, -1, -1, -1, 2, -1, 0, -1, 0, 4, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, -1, -1, -1, 2, 4, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 1, 2, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 2, -1, -1, -1, -1, 4, 4, -1, -1, 0, -1, -1, 0, -1, 0, 0, 2, 4, -1, 3, -1, 4, -1, -1, 2, 4, 2, -1, 2, -1, -1, 4, -1, -1, -1, 0, -1, -1, -1, -1, 4, 4, 2, -1, -1, -1, 0, -1, -1, 2, 2, 2, 4, -1, 4, 4, 4, 3, -1, 2, -1, -1, -1, -1, 0, 3, 3, -1, 4, 3, -1, -1, 0, 0, -1, -1, 0, 4, 4, -1, 4, 4, -1, 4, -1, -1, -1, -1, -1, -1, 0, 0, 0, 3, 0, 0, 0, 0, 4, 2, 3, -1, 0, 4, -1, 0, 4, 1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 2, 0, 0, 4, 2, -1, 0, 0, 4, -1, 4, 4, 4, 4, 3, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 2, -1, 2, -1, 2, 2, 2, -1, 2]"
75,28,30,1.0,0.8220476984,3,123,"[{'cluster_no': -1, 'count': 123}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 72}]","[-1, -1, -1, -1, -1, 1, 1, 1, 0, 1, 0, 0, -1, -1, -1, 1, 0, 1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 0, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 0, -1, -1, 0, -1, 0, 0, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 1, 1, -1, -1, -1, 0, 1, 1, 1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 1, 1, -1, -1, 1, -1, -1, 0, 0, -1, 1, 0, 1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, -1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 0, -1, -1, -1, 0, 0, 1, 1, -1, -1, 0, 1, -1, 1, 1, 1, -1, 1, 0, 1, -1, -1, 1, 0, 0, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, -1, -1]"
70,23,30,1.0,0.8180005091,3,108,"[{'cluster_no': -1, 'count': 108}, {'cluster_no': 0, 'count': 44}, {'cluster_no': 1, 'count': 83}]","[-1, -1, -1, 1, -1, 1, 1, 1, -1, 1, 0, 0, -1, -1, -1, 1, 0, 1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, 1, -1, 0, 1, -1, -1, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 1, 1, -1, -1, 1, 0, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, -1, 1, 1, -1, 0, 0, -1, 1, 0, 1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, 1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 0, -1, -1, -1, 0, 0, 1, 1, -1, 0, -1, 1, 1, 1, 1, 1, -1, 1, 0, 1, -1, 1, 1, 0, 0, -1, 1, 0, 1, -1, 1, -1, 1, 1, -1, -1, -1]"
65,14,6,0.0,0.8064048607000001,6,129,"[{'cluster_no': -1, 'count': 129}, {'cluster_no': 0, 'count': 35}, {'cluster_no': 1, 'count': 6}, {'cluster_no': 2, 'count': 28}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 4, 'count': 28}]","[-1, 1, -1, 2, -1, 4, 4, -1, 0, 2, -1, 0, -1, -1, -1, -1, 0, 4, -1, 0, -1, 2, 2, -1, -1, 4, -1, -1, -1, -1, 2, -1, -1, -1, -1, 4, 0, -1, 0, 0, 0, 2, -1, -1, -1, -1, 1, -1, -1, -1, 2, 4, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 1, 2, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 2, 4, -1, -1, -1, 4, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 2, 4, 1, 3, -1, 4, -1, -1, 2, 4, 2, 4, 2, -1, -1, 4, -1, -1, -1, 0, -1, -1, -1, -1, -1, 4, 2, -1, -1, -1, 0, -1, 3, 2, 2, 2, 4, -1, 4, -1, 4, 3, -1, 2, -1, -1, -1, -1, 0, 3, 3, -1, 4, 3, -1, -1, 0, 0, -1, -1, 0, 3, 4, -1, 4, -1, -1, 4, -1, -1, -1, -1, -1, -1, 0, 0, 0, 3, -1, 0, 0, -1, 4, 2, -1, -1, 0, 4, -1, 0, 4, 1, -1, -1, -1, 0, 2, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 2, 0, 0, 4, 2, -1, -1, 0, 4, -1, 4, 4, -1, -1, 3, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 2, -1, 2, -1, 2, 2, 2, -1, 2]"
