dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
7,None,5,0.0,0.6709959175282199,9,86,"[{'cluster_no': -1, 'count': 86}, {'cluster_no': 0, 'count': 10}, {'cluster_no': 1, 'count': 7}, {'cluster_no': 2, 'count': 15}, {'cluster_no': 3, 'count': 31}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 5, 'count': 30}, {'cluster_no': 6, 'count': 20}, {'cluster_no': 7, 'count': 24}]","[-1, 0, 5, 3, -1, 7, -1, 7, 5, 3, -1, 5, 3, 3, -1, 6, 5, 7, -1, 5, 4, 3, 3, -1, -1, 7, 6, 1, 2, -1, 3, 2, 4, -1, -1, 7, 5, 6, 5, 5, -1, 3, -1, 6, 5, 1, 0, -1, -1, 1, 3, 7, -1, -1, 2, -1, -1, 6, -1, -1, 5, -1, -1, 3, -1, 3, 2, 2, 5, -1, 1, -1, -1, -1, 5, 2, 3, -1, 5, -1, -1, 7, 2, -1, -1, 5, 2, 4, -1, 2, 5, 5, 3, 7, 0, 6, 0, 7, 1, -1, 3, 7, 3, -1, 3, 2, 0, -1, -1, -1, -1, 5, 4, -1, -1, -1, 2, 7, 3, -1, -1, 6, 5, -1, 6, 3, 3, 3, -1, -1, 7, 2, 7, 6, -1, 3, 5, 1, 5, -1, 5, 6, 6, -1, 7, 6, 6, -1, 4, 5, -1, -1, 5, 7, 7, 0, -1, -1, -1, 7, -1, -1, -1, 1, -1, -1, 5, 4, -1, 6, 5, 5, 5, 4, 7, 3, 6, -1, 4, 7, -1, -1, 7, 0, 6, 4, -1, -1, 3, -1, -1, 6, -1, -1, -1, -1, 0, 2, 5, -1, -1, 3, -1, 5, 7, 3, 0, 4, 4, 7, -1, 7, 7, -1, 2, 6, -1, -1, -1, 2, 6, -1, -1, 4, 6, 5, 3, -1, 3, -1, 3, 3, 3, 0, 3]"
7,None,5,0.5,0.07036314486067809,3,35,"[{'cluster_no': -1, 'count': 35}, {'cluster_no': 0, 'count': 179}, {'cluster_no': 1, 'count': 21}]","[0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0]"
7,None,5,1.0,0.07036314486067809,3,35,"[{'cluster_no': -1, 'count': 35}, {'cluster_no': 0, 'count': 179}, {'cluster_no': 1, 'count': 21}]","[0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0]"
7,None,6,0.0,0.6835741539662453,8,91,"[{'cluster_no': -1, 'count': 91}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 2, 'count': 32}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 5, 'count': 19}, {'cluster_no': 6, 'count': 23}]","[-1, 0, 4, 2, -1, 6, -1, -1, 4, 2, -1, 4, 2, 2, -1, 5, 4, 6, -1, 4, 3, 2, 2, -1, -1, 6, 5, 0, -1, -1, 2, 1, 3, -1, -1, 6, 4, 5, 4, 4, -1, 2, -1, 5, 4, 0, 0, 1, -1, 0, 2, 6, -1, -1, 1, -1, -1, 5, -1, -1, 4, -1, 0, 2, -1, 2, -1, 1, 4, -1, 0, -1, -1, -1, 4, -1, 2, -1, 4, -1, -1, 6, 1, -1, -1, -1, 1, 3, -1, 1, 4, -1, 2, 6, 0, 5, 0, 6, 0, -1, 2, 6, 2, -1, 2, -1, 0, -1, -1, -1, -1, 4, -1, -1, -1, -1, 1, 6, 2, -1, -1, 5, -1, -1, 5, 2, 2, 2, -1, -1, 6, 1, 6, 5, -1, 2, 4, 0, 4, -1, 4, 5, 5, -1, 6, 5, 5, -1, 3, 4, -1, -1, 4, 6, 6, 0, -1, -1, -1, 6, -1, -1, -1, 0, -1, 0, 4, 3, -1, 5, 4, 4, 4, 3, 6, 2, 5, -1, 3, 6, -1, 3, 6, 0, -1, 3, -1, -1, 2, -1, -1, 5, -1, -1, -1, 2, 0, 1, 4, -1, -1, 2, -1, 4, 6, 2, 0, 3, 3, 6, -1, 6, 6, -1, 1, 5, -1, -1, -1, 1, 5, -1, -1, 3, 5, 4, 2, -1, 2, -1, 2, 2, 2, 0, 2]"
7,None,6,0.5,0.06466511857410845,3,46,"[{'cluster_no': -1, 'count': 46}, {'cluster_no': 0, 'count': 170}, {'cluster_no': 1, 'count': 19}]","[-1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 0, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0]"
7,None,6,1.0,0.06466511857410845,3,46,"[{'cluster_no': -1, 'count': 46}, {'cluster_no': 0, 'count': 170}, {'cluster_no': 1, 'count': 19}]","[-1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 0, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0]"
7,None,7,0.0,0.7171708070703553,8,104,"[{'cluster_no': -1, 'count': 104}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 2, 'count': 30}, {'cluster_no': 3, 'count': 10}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 5, 'count': 15}, {'cluster_no': 6, 'count': 22}]","[-1, 0, 4, 2, -1, 6, -1, -1, 4, 2, -1, 4, 2, 2, -1, -1, 4, 6, -1, 4, 3, 2, 2, -1, -1, 6, -1, 0, -1, -1, 2, 1, 3, -1, -1, 6, 4, 5, 4, 4, -1, 2, -1, 5, -1, 0, 0, 1, -1, 0, 2, 6, -1, -1, 1, -1, -1, 5, -1, -1, 4, -1, 0, 2, -1, 2, -1, -1, 4, -1, 0, -1, -1, -1, 4, -1, 2, -1, 4, -1, -1, 6, -1, -1, -1, -1, 1, 3, 4, 1, -1, -1, 2, 6, 0, 5, 0, 6, 0, -1, 2, 6, 2, -1, 2, -1, 0, -1, -1, -1, -1, 4, -1, -1, -1, -1, 1, 6, 2, -1, -1, 5, -1, -1, 5, 2, 2, 2, -1, -1, -1, 1, 6, 5, -1, 2, 4, 0, 4, -1, 4, 5, 5, -1, 6, 5, 5, -1, 3, 4, -1, -1, 4, 6, 6, 0, -1, -1, -1, 6, -1, -1, -1, 0, -1, -1, 4, 3, -1, 5, 4, 4, 4, 3, 6, 2, 5, -1, 3, 6, -1, 4, 6, 0, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, 0, 1, 4, -1, -1, 2, -1, 4, 6, 2, 0, 3, 3, 6, -1, 6, 6, -1, 1, 5, -1, 0, -1, -1, -1, -1, -1, 3, 5, -1, -1, -1, 2, -1, 2, 2, 2, 0, 2]"
7,None,7,0.5,0.01604284132879139,3,61,"[{'cluster_no': -1, 'count': 61}, {'cluster_no': 0, 'count': 155}, {'cluster_no': 1, 'count': 19}]","[-1, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, -1, 1, 0, 0, -1, -1, 0, 0, -1, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 1, 0]"
7,None,7,1.0,0.01604284132879139,3,61,"[{'cluster_no': -1, 'count': 61}, {'cluster_no': 0, 'count': 155}, {'cluster_no': 1, 'count': 19}]","[-1, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, -1, 1, 0, 0, -1, -1, 0, 0, -1, 0, -1, -1, 0, -1, 1, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 1, 0]"
7,None,8,0.0,0.49267376897251935,7,94,"[{'cluster_no': -1, 'count': 94}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 31}, {'cluster_no': 2, 'count': 51}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 5, 'count': 24}]","[-1, 0, 5, 1, -1, 2, -1, 2, 5, 1, -1, 5, 1, 1, -1, 2, 5, 2, -1, 5, 4, 1, 1, 2, -1, 2, 2, 0, -1, -1, 1, 3, -1, -1, -1, 2, 5, 2, 5, 5, -1, 1, -1, 2, -1, 0, 0, -1, -1, 0, 1, 2, -1, -1, 3, -1, -1, 2, -1, -1, 5, -1, 0, 1, -1, 1, -1, -1, 5, 1, 0, -1, 2, -1, 5, -1, 1, -1, 5, -1, -1, 2, 3, -1, -1, -1, 3, 4, -1, 3, -1, -1, 1, 2, 0, 2, 0, 2, 0, -1, 1, 2, 1, -1, 1, -1, 0, 2, -1, -1, -1, 5, -1, -1, -1, -1, 3, 2, 1, -1, -1, 2, -1, -1, 2, 1, 1, 1, -1, -1, 2, 3, 2, 2, -1, 1, -1, 0, 5, -1, 5, 2, 2, -1, 2, 2, 2, 2, -1, 5, -1, -1, 5, 2, 2, 0, 2, -1, -1, 2, -1, -1, -1, 0, -1, -1, 5, 4, -1, 2, 5, 5, 5, 4, 2, 1, 2, -1, 4, 2, -1, 5, 2, 0, 2, -1, -1, -1, 1, -1, -1, 2, -1, -1, 2, -1, 0, 3, 5, -1, -1, 1, -1, 5, 2, 1, 0, 4, 4, 2, -1, 2, 2, 2, 3, 2, -1, -1, -1, -1, 2, -1, -1, 4, 2, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1]"
