,parent,child,lambda_val,child_size
0,134,86,4185.932135728543,1
1,134,40,4517.290253096392,1
2,134,36,4585.191582399562,1
3,134,75,4656.457396613933,1
4,134,56,4825.198734541271,1
5,134,126,4861.552013909012,1
6,134,0,4937.379635079458,1
7,134,113,5068.645317220544,1
8,134,16,5242.88,1
9,134,125,5244.51891216005,1
10,134,118,5277.513683548285,1
11,134,37,5277.513683548285,1
12,134,20,5307.565960139196,1
13,134,102,5332.872218690401,1
14,134,79,5349.877551020408,1
15,134,38,5372.147294268331,1
16,134,50,5399.81203733505,1
17,134,111,5427.763183435782,1
18,134,128,5440.083009079118,1
19,134,3,5445.380071405388,1
20,134,51,5461.333333333333,1
21,134,101,5463.111690003257,1
22,134,91,5468.4537157757495,1
23,134,122,5497.121887287025,1
24,134,33,5537.03498349835,1
25,134,105,5607.358288770053,1
26,134,7,5720.155472212751,1
27,134,70,5833.524339360222,1
28,134,19,5839.615732683606,1
29,134,100,5849.796373779637,1
30,134,35,5849.796373779637,1
31,134,129,5860.012574222843,1
32,134,66,5878.491941135248,1
33,134,74,5892.9455567263785,1
34,134,135,5945.15095676825,89
35,134,136,5945.15095676825,11
36,135,123,5981.182174688057,1
37,136,130,5945.15095676825,1
38,135,78,6017.652797704448,1
39,136,60,9289.709856035437,1
40,135,94,6058.9440231130375,1
41,136,6,10538.452261306533,1
42,135,109,6080.904675607104,1
43,136,52,11267.438549361988,1
44,136,83,11267.438549361988,1
45,136,68,11267.438549361988,1
46,136,133,11267.438549361988,1
47,136,87,11267.438549361988,1
48,136,13,11267.438549361988,1
49,136,131,11267.438549361988,1
50,136,110,11267.438549361988,1
51,135,71,6111.91839708561,1
52,135,62,6111.91839708561,1
53,135,132,6111.91839708561,1
54,135,63,6111.91839708561,1
55,135,99,6111.91839708561,1
56,135,112,6111.91839708561,1
57,135,97,6111.91839708561,1
58,135,22,6118.605397520058,1
59,135,114,6138.754482253933,1
60,135,69,6253.155423033917,1
61,135,104,6267.170713485245,1
62,135,57,6381.596044123241,1
63,135,76,6432.981595092025,1
64,135,12,6477.689575289575,1
65,135,43,6528.099610894942,1
66,135,90,6556.161000390778,1
67,135,4,6558.724003127443,1
68,135,137,6566.425048923679,49
69,135,138,6566.425048923679,19
70,137,15,6566.425048923679,1
71,138,49,6673.514717581544,1
72,137,10,6633.932779754844,1
73,138,139,6892.85784716516,10
74,138,140,6892.85784716516,8
75,137,141,6694.818834796489,37
76,137,142,6694.818834796489,10
77,139,120,6892.85784716516,1
78,140,77,8797.701101206083,1
79,140,31,8797.701101206083,1
80,140,18,8797.701101206083,1
81,140,103,8797.701101206083,1
82,140,64,8797.701101206083,1
83,140,47,8797.701101206083,1
84,140,34,8797.701101206083,1
85,140,89,8797.701101206083,1
86,141,8,6921.293729372937,1
87,142,124,8224.125490196078,1
88,139,84,7064.090947368421,1
89,141,24,6993.420591913297,1
90,142,14,12000.869814020029,1
91,139,53,7130.138546536336,1
92,139,81,7130.138546536336,1
93,139,72,7130.138546536336,1
94,139,55,7130.138546536336,1
95,139,116,7130.138546536336,1
96,139,61,7130.138546536336,1
97,139,67,7130.138546536336,1
98,139,17,7130.138546536336,1
99,141,73,6993.420591913297,1
100,142,121,12273.018288222385,1
101,142,2,12273.018288222385,1
102,142,5,12273.018288222385,1
103,142,115,12273.018288222385,1
104,142,42,12273.018288222385,1
105,142,41,12273.018288222385,1
106,142,21,12273.018288222385,1
107,142,29,12273.018288222385,1
108,141,98,7013.886287625418,1
109,141,59,7070.044669195112,1
110,141,30,7078.994092827004,1
111,141,44,7142.28011919966,1
112,141,32,7142.28011919966,1
113,141,58,7142.28011919966,1
114,141,117,7142.28011919966,1
115,141,54,7163.6276686592655,1
116,141,88,7364.888498683055,1
117,141,48,7364.888498683055,1
118,141,1,7364.888498683055,1
119,141,23,7364.888498683055,1
120,141,95,7364.888498683055,1
121,141,107,7364.888498683055,1
122,141,25,7364.888498683055,1
123,141,143,7436.709219858156,11
124,141,144,7436.709219858156,8
125,143,65,7436.709219858156,1
126,144,93,7469.820124666073,1
127,144,82,7469.820124666073,1
128,144,127,7469.820124666073,1
129,144,46,7469.820124666073,1
130,144,119,7469.820124666073,1
131,144,80,7469.820124666073,1
132,144,85,7469.820124666073,1
133,144,106,7469.820124666073,1
134,143,39,8710.91173416407,1
135,143,27,9264.061844284926,1
136,143,45,10446.585305105853,1
137,143,26,10446.585305105853,1
138,143,28,10446.585305105853,1
139,143,9,10446.585305105853,1
140,143,11,10446.585305105853,1
141,143,96,10446.585305105853,1
142,143,108,10446.585305105853,1
143,143,92,10446.585305105853,1
