1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
expansion,0.0097021736,13,4,2,urban land,0.015210504500000001,13,3,2,carbon sequestration potential,0.0346706888,8,1,1,carbon sequestration potential,0.0346706888,8,1,1
sequestration,0.0092740526,8,1,1,carbon sequestration,0.0145393211,8,1,1,land use change,0.0216691805,5,2,1,land use change,0.0216691805,5,2,1
automata,0.008114796,7,5,1,sequestration potential,0.0145393211,8,1,1,urban land growth,0.0216691805,5,1,1,urban land growth,0.0216691805,5,1,1
productivity,0.008114796,7,1,1,urban expansion,0.014040465700000001,12,4,2,simulating urban expansion,0.0130015083,3,2,1,urban land,0.015210504500000001,13,3,2
growth,0.0066677105,20,5,4,food productivity,0.012721906000000002,7,1,1,urban land use,0.0111603701,4,2,2,urban expansion,0.014040465700000001,12,4,2
food,0.0059705684,8,2,2,cellular automata,0.0109044908,6,3,1,land use policy,0.0111603701,4,1,2,simulating urban expansion,0.0130015083,3,2,1
carbon,0.0059705684,8,1,2,cellular automaton,0.0090870757,5,4,1,artificial immune system,0.0086676722,2,1,1,food productivity,0.012721906000000002,7,1,1
automaton,0.0057962829000000006,5,4,1,transition rule,0.0090870757,5,3,1,land change science,0.0086676722,2,1,1,urban land use,0.0111603701,4,2,2
rule,0.0057962829000000006,5,3,1,use change,0.0090870757,5,2,1,highest simulation accuracy,0.0086676722,2,2,1,land use policy,0.0111603701,4,1,2
afforestation,0.0057962829000000006,5,1,1,land growth,0.0090870757,5,1,1,urban growth simulation,0.0086676722,2,1,1,cellular automata,0.0109044908,6,3,1
farmland,0.0046370263,4,1,1,agricultural afforestation,0.0090870757,5,1,1,growth simulation model,0.0086676722,2,1,1,expansion,0.0097021736,13,4,2
swarm,0.0046370263,4,2,1,urban growth,0.008704827200000001,11,3,3,artificial fish swarm,0.0086676722,2,1,1,cellular automaton,0.0090870757,5,4,1
cell,0.0037316052000000003,5,3,2,planning policy,0.0072696606,4,2,1,fish swarm algorithm,0.0086676722,2,1,1,transition rule,0.0090870757,5,3,1
urbanization,0.0035333848,7,4,3,neighborhood effect,0.0072696606,4,3,1,urban growth model,0.0086676722,2,2,1,agricultural afforestation,0.0090870757,5,1,1
immune,0.0034777697,3,1,1,driving factor,0.007020232800000001,6,3,2,particle swarm optimization,0.0086676722,2,1,1,urban growth,0.008704827200000001,11,3,3
restriction,0.0034777697,3,2,1,land use,0.0062719496,12,3,4,current food productivity,0.0086676722,2,1,1,artificial immune system,0.0086676722,2,1,1
change,0.0030067497,15,5,5,immune system,0.0054522454,3,1,1,convolutional neural network,0.0055801851,2,1,2,land change science,0.0086676722,2,1,1
uncertainty,0.0029852842,4,1,2,land change,0.0054522454,3,2,1,integrating artificial immune,0.0043338361,1,1,1,highest simulation accuracy,0.0086676722,2,2,1
potential,0.0024053998,12,4,5,simulation accuracy,0.0054522454,3,2,1,deriving transition rule,0.0043338361,1,1,1,urban growth simulation,0.0086676722,2,1,1
transition,0.0023336987,7,5,4,national policy,0.0054522454,3,1,1,possible external intervention,0.0043338361,1,1,1,growth simulation model,0.0086676722,2,1,1
