dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
100,20,40,0.0,0.9569757198000001,3,30,"[{'cluster_no': -1, 'count': 30}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 59}]","[-1, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 0, 1, -1, 1, 0, 0, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 1, -1, 0, -1, 1, 1, 0, -1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, 0, 1, 1]"
95,30,30,0.0,0.9786224436000001,3,67,"[{'cluster_no': -1, 'count': 67}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 32}]","[-1, 1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, -1, -1, 0, 0, 1, -1, -1, -1, -1, 1, 1, 0, -1, -1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, 1, -1, -1, 0, 0, -1, 0, 0, 0, 1, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, -1, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, 0, 1, -1, -1, 0, 1, -1, 1, 0, 0, 0, 1, -1, -1, -1, 0, 1, 0, 1, 1, 1, 1, -1, -1, -1, 1]"
90,25,30,0.0,0.9590751333,3,51,"[{'cluster_no': -1, 'count': 51}, {'cluster_no': 0, 'count': 33}, {'cluster_no': 1, 'count': 45}]","[-1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, 1, 1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, 0, -1, -1, 1, 0, 0, 0, -1, 0, 0, 0, 1, 1, 1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, 0, -1, 1, 0, -1, 1, -1, -1, -1, -1, 0, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, -1, 1, 1]"
85,15,40,0.0,0.9627021938,3,33,"[{'cluster_no': -1, 'count': 33}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 1, 'count': 54}]","[-1, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, 1, 0, 1, 1, 1, 0, -1, 1, -1, -1, 0, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, 0, 1, 1, 1, 0, 1, -1, 1, 1, 1, -1, 0, -1, 1, 1, 0, -1, 0, 1, 0, 0, 0, 1, 1, 1, -1, 0, 1, 1, 1, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, -1, 0, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, 0, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, 0, 1, 1]"
80,30,30,0.0,0.9656609104,3,59,"[{'cluster_no': -1, 'count': 59}, {'cluster_no': 0, 'count': 33}, {'cluster_no': 1, 'count': 37}]","[-1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1, 1, 0, 1, 1, -1, -1, 0, 1, -1, -1, -1, 0, 1, 1, 0, 1, -1, 1, 0, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 1, 0, -1, -1, 1, -1, 0, -1, 1, -1, 0, 0, 0, -1, 0, 0, 0, 1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 1, -1, 0, 0, 1, -1, -1, 0, 1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 0, 1, 0, 1, -1, 1, 1, 0, 0, 1, 1]"
75,25,25,0.0,0.9634983799000001,3,55,"[{'cluster_no': -1, 'count': 55}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 46}]","[-1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 0, 1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1, -1, 0, -1, 1, -1, 0, -1, 0, -1, 0, 0, 0, 1, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 1, 0, 0, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, -1, 1, 1, -1, -1, 1, 1]"
70,30,25,0.0,0.9577785860000001,3,62,"[{'cluster_no': -1, 'count': 62}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 39}]","[-1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, 1, -1, -1, 0, 1, -1, -1, -1, 0, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 0, -1, 1, 1, 0, -1, -1, 1, 0, 0, 0, 1, 1, -1, 1, -1, -1, -1, 1, -1, 0, 0, 0, 1, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1, 1, -1, 0, 0, 1, -1, -1, 0, 1, 1, 1, -1, 0, 0, 1, -1, -1, 1, 0, 1, 0, 1, -1, 1, 1, -1, -1, -1, 1]"
65,20,40,0.0,0.97030558,3,31,"[{'cluster_no': -1, 'count': 31}, {'cluster_no': 0, 'count': 41}, {'cluster_no': 1, 'count': 57}]","[-1, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 0, 1, -1, -1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, 0, -1, 0, 1, 0, 1, 1, 1, -1, 1, -1, 1, 1, 1, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, -1, -1, 0, 0, -1, 0, 0, 0, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, 0, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
60,20,35,0.0,0.9581968922,3,41,"[{'cluster_no': -1, 'count': 41}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 1, 'count': 52}]","[-1, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, 0, -1, 1, -1, -1, 0, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, -1, 0, -1, 1, 1, 0, 0, -1, 1, 0, 0, 0, 1, 1, -1, -1, -1, 1, 1, 1, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, -1, 1, -1, 0, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, -1, 1, 1, 0, 0, 1, 1]"
55,25,30,0.0,0.9678475193,3,42,"[{'cluster_no': -1, 'count': 42}, {'cluster_no': 0, 'count': 33}, {'cluster_no': 1, 'count': 54}]","[-1, 1, 0, -1, 1, 0, -1, -1, 1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 0, 1, 1, 1, 0, -1, 1, -1, 1, -1, -1, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, 1, 1, -1, 1, 0, 1, 1, 1, -1, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 0, -1, 0, 0, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, 0, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, -1, 1, 1]"
50,25,35,0.0,0.9700098610000001,3,44,"[{'cluster_no': -1, 'count': 44}, {'cluster_no': 0, 'count': 37}, {'cluster_no': 1, 'count': 48}]","[-1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 0, 1, 1, -1, -1, 0, 1, -1, -1, -1, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, 1, 1, -1, 1, 0, 1, 1, -1, -1, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, -1, 1, 1, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 1, 0, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, -1, 0, 1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, 0, -1, 1, 1]"
45,20,35,0.0,0.9577209017,3,41,"[{'cluster_no': -1, 'count': 41}, {'cluster_no': 0, 'count': 35}, {'cluster_no': 1, 'count': 53}]","[-1, 1, -1, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 0, 1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 0, -1, 0, -1, 0, 1, -1, 1, -1, 1, -1, 1, 0, 1, 1, -1, -1, 0, -1, 1, 1, 0, -1, -1, 1, 0, 0, 0, 1, 1, 1, -1, 0, 1, 1, 1, -1, -1, 0, 0, 0, -1, 0, 0, 1, 0, -1, 1, 0, 1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, -1, 1, 1, 0, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
40,25,30,0.0,0.9573118769000001,3,49,"[{'cluster_no': -1, 'count': 49}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 50}]","[-1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 0, 1, 1, -1, -1, 0, 1, -1, -1, -1, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 0, 1, 0, 0, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, -1, 1, 1]"
35,20,35,0.0,0.9503321473,3,39,"[{'cluster_no': -1, 'count': 39}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 1, 'count': 54}]","[-1, 1, -1, 1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 0, 1, 1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 1, 0, -1, -1, 1, 0, 1, 0, -1, 0, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, -1, -1, 0, -1, 1, 1, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, -1, -1, 1, 1, 1, -1, -1, 0, 0, 1, 0, 0, 0, 1, 0, -1, 1, 0, 1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, 0, 1, 1]"
30,25,35,0.0,0.9608297436000001,3,49,"[{'cluster_no': -1, 'count': 49}, {'cluster_no': 0, 'count': 35}, {'cluster_no': 1, 'count': 45}]","[-1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1, 1, 0, 1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 0, -1, 1, 1, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, -1, 1, 0, -1, 1, 1, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, 0, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, -1, 0, -1, 1, 1, -1, 0, 0, 1, -1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, -1, 1, 1]"
25,25,25,0.0,0.9623532794,3,48,"[{'cluster_no': -1, 'count': 48}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 53}]","[-1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, 1, 0, -1, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 0, 1, 1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, -1, 1, -1, 1, 1, 1, -1, 1, 0, 1, 1, -1, -1, 0, -1, 1, 1, 0, -1, -1, 1, 0, 0, 0, 1, 1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 0, 1, 0, 0, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 1, -1, 0, 1, 1]"
