,parent,child,lambda_val,child_size
0,67,11,943.3882141250563,1
1,67,13,1040.8993671671424,1
2,67,38,1185.4176499682046,1
3,67,30,1296.8397619231662,1
4,67,49,1381.7506176906604,1
5,67,32,1520.3639329406435,1
6,67,24,1524.2314890524212,1
7,67,20,1546.0022115739034,1
8,67,27,1565.0388059701493,1
9,67,41,1583.8021334843766,1
10,67,3,1588.300293477232,1
11,67,10,1598.8960259220432,1
12,67,0,1625.85676906677,1
13,67,1,1679.2329096186568,1
14,67,39,1704.1357034027426,1
15,67,5,1718.0968766001024,1
16,67,6,1727.4728171334432,1
17,67,37,1735.1552383907333,1
18,67,8,1769.3752372917106,1
19,67,17,1773.6775557669944,1
20,67,4,1784.430546692193,1
21,67,29,1793.9709153122326,1
22,67,68,1837.7934056304086,28
23,67,69,1837.7934056304086,17
24,68,9,1879.800112044818,1
25,69,40,2572.0091982216773,1
26,68,42,1916.0822293284605,1
27,69,35,2637.927044025157,1
28,68,12,1955.614407273575,1
29,69,16,2683.925131978883,1
30,69,2,2683.925131978883,1
31,69,21,2683.925131978883,1
32,69,44,2683.925131978883,1
33,69,36,2683.925131978883,1
34,69,19,2683.925131978883,1
35,69,60,2683.925131978883,1
36,69,66,2683.925131978883,1
37,69,50,2683.925131978883,1
38,69,59,2683.925131978883,1
39,69,58,2683.925131978883,1
40,69,31,2683.925131978883,1
41,69,52,2683.925131978883,1
42,69,61,2683.925131978883,1
43,69,33,2683.925131978883,1
44,68,64,1962.936234936235,1
45,68,62,1977.2794342958161,1
46,68,14,2028.6839177750908,1
47,68,7,2053.514810281518,1
48,68,56,2087.757093081135,1
49,68,57,2087.757093081135,1
50,68,25,2087.757093081135,1
51,68,23,2090.879361914257,1
52,68,46,2108.750125691302,1
53,68,48,2153.9627680061626,1
54,68,53,2167.879054141362,1
55,68,26,2167.879054141362,1
56,68,28,2167.879054141362,1
57,68,55,2167.879054141362,1
58,68,45,2167.879054141362,1
59,68,43,2167.879054141362,1
60,68,54,2167.879054141362,1
61,68,65,2167.879054141362,1
62,68,34,2167.879054141362,1
63,68,47,2167.879054141362,1
64,68,15,2167.879054141362,1
65,68,18,2167.879054141362,1
66,68,51,2167.879054141362,1
67,68,63,2167.879054141362,1
68,68,22,2167.879054141362,1
