dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
90,10,15,0.0,0.8282385476,3,59,"[{'cluster_no': -1, 'count': 59}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 20}]","[0, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, 1, -1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, 0, 0, -1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 0, -1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, -1, 0, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
85,10,15,0.0,0.8086680694,3,58,"[{'cluster_no': -1, 'count': 58}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 20}]","[0, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, -1, 1, -1, 1, -1, 0, 1, 1, 0, -1, -1, 1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, -1, -1, -1]"
80,10,10,0.0,0.29713375410000004,3,6,"[{'cluster_no': -1, 'count': 6}, {'cluster_no': 0, 'count': 79}, {'cluster_no': 1, 'count': 12}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
75,10,15,0.0,0.8190068607000001,3,60,"[{'cluster_no': -1, 'count': 60}, {'cluster_no': 0, 'count': 17}, {'cluster_no': 1, 'count': 20}]","[0, -1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1, 0, -1, -1, 1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
70,10,15,0.0,0.8409803585000001,3,55,"[{'cluster_no': -1, 'count': 55}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 23}]","[0, 1, -1, -1, -1, 0, 1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 0, 1, 1, 0, -1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, -1, -1, -1]"
65,15,10,0.0,0.7050005533,3,63,"[{'cluster_no': -1, 'count': 63}, {'cluster_no': 0, 'count': 10}, {'cluster_no': 1, 'count': 24}]","[-1, -1, 1, 1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, 0, 1, 1, -1, -1, -1, 1, -1, -1, 0, 1, 0, -1, 1, -1, 1, 1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1, 1, 1, -1, 1, -1, -1, -1]"
60,10,10,0.0,0.34372394370000003,3,20,"[{'cluster_no': -1, 'count': 20}, {'cluster_no': 0, 'count': 65}, {'cluster_no': 1, 'count': 12}]","[0, -1, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, -1]"
55,10,20,0.0,0.7734035586,3,45,"[{'cluster_no': -1, 'count': 45}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 24}]","[0, 1, 1, 1, -1, 0, 1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 0, -1, -1, 1, 0, -1, 0, 0, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
50,10,10,0.0,0.3376527418,3,12,"[{'cluster_no': -1, 'count': 12}, {'cluster_no': 0, 'count': 73}, {'cluster_no': 1, 'count': 12}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
45,10,10,0.0,0.343720524,3,9,"[{'cluster_no': -1, 'count': 9}, {'cluster_no': 0, 'count': 76}, {'cluster_no': 1, 'count': 12}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
