0,1
land cover pattern,"{1, -1}"
used multivariate regression,{-1}
multivariate regression technique,{-1}
otherwise biased parameter,{-1}
biased parameter estimate,{-1}
using hydrological modeling,{-1}
watershed soil erosion,{-1}
largest patch index,"{1, -1}"
patch cohesion index,{-1}
patch land cover,{-1}
land cover type,"{1, -1}"
significantly accelerate soilerosion,{-1}
increase sediment export,{-1}
providing quantitative information,{-1}
allow decision maker,{-1}
make better choice,{-1}
choice regarding landscape,{-1}
regarding landscape planning,{-1}
remote sensing data,"{1, 3, -1}"
geographic information system,"{1, 6, 7, 8, -1}"
simple plsr approach,{-1}
using image recognition,{-1}
cultural ecosystem service,{-1}
social medium photographs,{-1}
mapping cultural ecosystem,{-1}
mapping cultural use,{-1}
manual content analysis,{-1}
automating content analysis,{-1}
ecosystem service assessment,{-1}
particular natural attraction,{-1}
high vegetation cover,{-1}
inform urban planning,"{-1, 7}"
urban arid environment,{-1}
desert urban center,{-1}
daily net contribution,{-1}
entire study period,{-1}
dust storm intensity,{-1}
storm intensity parameter,{-1}
analyze several storm,{-1}
arid urban environment,{-1}
urban environment experience,{-1}
level whose origin,{-1}
regional dust event,{-1}
arid environment experience,{-1}
increased air pollution,{-1}
daily accessed street,{-1}
accessed street greenery,{-1}
better urban planning,"{0, 1, -1}"
urban planning practice,"{0, 1, 2, -1}"
visible street greenery,{-1}
integrating high resolution,{-1}
high resolution measurement,{-1}
machine learning algorithm,"{0, 1, 2, 3, 4, 5, 8, -1}"
spatial design network,{-1}
design network analysis,{-1}
urban green cover,{-1}
urban water resource,{-1}
water resource management,"{8, 3, -1}"
using artificial intelligence,"{0, 4, -1}"
artificial intelligence technique,"{0, 4, -1}"
properly controlled water,{-1}
controlled water resource,{-1}
conventional water system,{-1}
sustainable water resource,{-1}
sustainable water development,{-1}
adaptive intelligent approach,{-1}
intelligence modeling improves,{-1}
modeling improves water,{-1}
improves water efficiency,{-1}
numeric ai tool,{-1}
human intellectual skill,{-1}
dynamic water resource,{-1}
resource management issue,{-1}
released locational constraint,{-1}
efficient environmental planning,{-1}
local economic efficiency,{-1}
mapping urban form,{-1}
city block level,{-1}
open space area,{-1}
mapping distinct type,{-1}
along contour parallel,{-1}
urban block boundary,{-1}
identifying different type,"{1, -1}"
decision tree classification,{-1}
urban form classification,{-1}
analysing urban landscape,{-1}
nested logit model,{-1}
artificial neural network,"{1, 2, 3, 4, 8, 11, -1}"
predicting household automobile,{-1}
household automobile choice,{-1}
formal statistical approach,{-1}
discrete choice model,"{2, -1}"
model nonlinear system,{-1}
two modeling technique,{-1}
household vehicle choice,{-1}
vehicle choice problem,{-1}
generated strong result,{-1}
better predictive potential,{-1}
serious fine particulate,{-1}
fine particulate matter,"{3, -1}"
corresponding landscape pattern,{-1}
six urban agglomeration,{-1}
four landscape index,{-1}
represent land use,{-1}
landscape index refer,{-1}
fractal dimension index,{-1}
potential urban planning,{-1}
land use coverage,{-1}
relatively large scale,{-1}
improve air quality,{-1}
present positive correlation,{-1}
public transport use,{-1}
two differing level,{-1}
granular amenity structure,{-1}
public transit ridership,{-1}
explored three machine,{-1}
machine learning model,"{0, 1, 2, 3, 4, 6, 7, 8, 10, 11, -1}"
decision tree model,"{8, -1}"
tree model performs,{-1}
exploring practicable scenario,{-1}
continued strategic increase,{-1}
alleviate future strain,{-1}
amenity resource distribution,{-1}
shape public transportation,{-1}
public transportation demand,{-1}
upscaling urban data,{-1}
urban data science,"{0, -1}"
global climate solution,{-1}
reduce greenhouse gas,{-1}
greenhouse gas emission,"{0, -1}"
provide valuable insight,{-1}
including earth observation,{-1}
social medium data,"{0, -1, 7}"
advance climate change,{-1}
climate change science,{-1}
present three route,{-1}
global urban area,{-1}
mainstreaming data collection,{-1}
analyse qualitative data,{-1}
gain new insight,{-1}
upscale urban climate,{-1}
urban climate solution,{-1}
increasingly integral role,{-1}
addressing climate change,{-1}
related greenhouse gas,{-1}
urban metabolism study,{-1}
big data approach,{-1}
outline three route,{-1}
harmonizing data collection,{-1}
exploiting big data,{-1}
applying computational technique,{-1}
data science method,{-1}
published qualitative information,{-1}
collaborative effort towards,{-1}
joint data platform,{-1}
integrated urban service,{-1}
global urban sustainability,{-1}
urban sustainability science,{-1}
microsite condition dominate,{-1}
dominate habitat selection,{-1}
red mason bee,{-1}
common wild bee,{-1}
citizen science approach,{-1}
volunteer hung trap,{-1}
local flower availability,{-1}
digital gis biotope,{-1}
gis biotope data,{-1}
biotope data map,{-1}
urban matrix property,{-1}
nearby floral resource,{-1}
open housing structure,{-1}
higher sun exposure,{-1}
suitable nesting opportunity,{-1}
urban soundscape evaluation,{-1}
soundscape classification model,{-1}
ensure appropriate soundscape,{-1}
appropriate soundscape management,{-1}
comprehensive urban soundscape,{-1}
two machine learning,{-1}
machine learning technique,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 11, -1}"
developing model classification,{-1}
examining threshold effect,{-1}
built environment element,{-1}
built environment feature,{-1}
environmentally sustainable travel,{-1}
land use policy,"{1, 4, -1}"
gradient boosting decision,"{8, -1}"
