1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
energy,0.0035540329000000002,55,10,7,electric consumption,0.0040975045,15,2,2,stream water quality,0.0076391434,8,1,1,stream water quality,0.0076391434,8,1,1
water,0.0034500707,45,10,6,health hazard,0.0036422262,10,2,1,urban functional zone,0.0057293576,6,1,1,urban functional zone,0.0057293576,6,1,1
consumption,0.0027600566,36,7,6,carbon emission,0.0032780036,12,2,2,road traffic noise,0.0057293576,6,1,1,road traffic noise,0.0057293576,6,1,1
soundscape,0.0024381479,15,3,2,landscape pattern,0.0030786395,14,3,3,electric consumption data,0.0047744646,5,1,1,electric consumption data,0.0047744646,5,1,1
emission,0.0022756047,21,6,4,sediment yield,0.0029137810000000003,8,1,1,artificial neural network,0.0040536279000000005,12,7,6,electric consumption,0.0040975045,15,2,2
mosquito,0.0021672426,10,2,1,stream water,0.0029137810000000003,8,1,1,cultural ecosystem service,0.0038195717,4,1,1,artificial neural network,0.0040536279000000005,12,7,6
travel,0.0021130615,13,3,2,water quality,0.0028587367,13,3,3,urban form indicator,0.0038195717,4,1,1,cultural ecosystem service,0.0038195717,4,1,1
personality,0.0017879751,11,2,2,road traffic,0.0027316697,10,3,2,water resource management,0.0035808485,5,2,2,urban form indicator,0.0038195717,4,1,1
landscape,0.0017539995,39,7,9,interface network,0.0025495583,7,1,1,social medium data,0.0035808485,5,2,2,health hazard,0.0036422262,10,2,1
noise,0.0017337941000000001,16,4,4,social medium,0.002444767,16,6,5,urban development pattern,0.0034591533,6,1,3,water resource management,0.0035808485,5,2,2
player,0.0016254319,10,3,2,energy use,0.002418931,11,3,3,big data analysis,0.0028826278000000003,5,1,3,social medium data,0.0035808485,5,2,2
forecasting,0.0015333648,20,5,6,energy consumption,0.0021990282,10,5,3,watershed soil erosion,0.0028646788,3,1,1,energy,0.0035540329000000002,55,10,7
erosion,0.0014628887,9,1,2,soil erosion,0.0021853357000000003,8,1,2,natural gas use,0.0028646788,3,1,1,urban development pattern,0.0034591533,6,1,3
mode,0.0014393423,11,4,3,predictive model,0.0021853357000000003,8,3,2,heterogeneous urban environment,0.0028646788,3,1,1,water,0.0034500707,45,10,6
photographs,0.0014393423,11,3,3,consumption data,0.0021853357000000003,8,3,2,travel carbon emission,0.0028646788,3,1,1,carbon emission,0.0032780036,12,2,2
electricity,0.0013003456,6,3,1,traffic noise,0.0021853357000000003,6,1,1,urban planning firm,0.0028646788,3,3,1,landscape pattern,0.0030786395,14,3,3
leisure,0.0013003456,6,1,1,urban design,0.0020633445,19,7,7,functional zone classification,0.0028646788,3,1,1,sediment yield,0.0029137810000000003,8,1,1
yield,0.0013003456,8,1,2,consumption forecasting,0.0018211131,5,1,1,electric consumption forecasting,0.0028646788,3,1,1,big data analysis,0.0028826278000000003,5,1,3
road,0.0011919834000000001,22,8,8,mosquito occurrence,0.0018211131,5,1,1,interface network connectivity,0.0028646788,3,1,1,watershed soil erosion,0.0028646788,3,1,1
carbon,0.0011819564,13,3,5,mosquito control,0.0018211131,5,1,1,land cover pattern,0.0021485091,3,1,2,natural gas use,0.0028646788,3,1,1
