1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
designer,0.0066751745000000005,6,2,5,cooperative design,0.0249763083,5,1,1,integrated computational framework,0.0297051561,2,1,1,integrated computational framework,0.0297051561,2,1,1
al,0.0059728866,2,1,1,feature parameter,0.014985785000000001,3,1,1,online cooperative design,0.0297051561,2,1,1,online cooperative design,0.0297051561,2,1,1
layout,0.0054014815,6,3,6,design feature,0.0099905233,2,1,1,early design stage,0.0216776895,2,1,2,cooperative design,0.0249763083,5,1,1
sketch,0.0029864433,1,1,1,design data,0.0099905233,2,1,1,drawing urban scale,0.014852578000000002,1,1,1,early design stage,0.0216776895,2,1,2
preview,0.0029864433,1,1,1,building reconstruction,0.0099905233,2,1,1,urban scale plan,0.014852578000000002,1,1,1,feature parameter,0.014985785000000001,3,1,1
inspires,0.0029864433,1,1,1,historical map,0.0099905233,2,1,1,costs much time,0.014852578000000002,1,1,1,drawing urban scale,0.014852578000000002,1,1,1
architectural,0.0029864433,1,1,1,missing height,0.0099905233,2,1,1,backward drawing sketch,0.014852578000000002,1,1,1,urban scale plan,0.014852578000000002,1,1,1
voxels,0.0029864433,1,1,1,street park,0.0099905233,2,1,1,generate image data,0.014852578000000002,1,1,1,costs much time,0.014852578000000002,1,1,1
pixelization,0.0029864433,1,1,1,design aspect,0.0099905233,2,1,1,creating urban design,0.014852578000000002,1,1,1,backward drawing sketch,0.014852578000000002,1,1,1
infers,0.0029864433,1,1,1,et al,0.0099905233,2,1,1,urban design plan,0.014852578000000002,1,1,1,generate image data,0.014852578000000002,1,1,1
evident,0.0029864433,1,1,1,early design,0.0072907028,2,1,2,automatic design tool,0.014852578000000002,1,1,1,creating urban design,0.014852578000000002,1,1,1
operationalization,0.0029864433,1,1,1,design stage,0.0072907028,2,1,2,urban design task,0.014852578000000002,1,1,1,urban design plan,0.014852578000000002,1,1,1
allow,0.0029864433,1,1,1,design tool,0.0072907028,2,2,2,different city inspires,0.014852578000000002,1,1,1,automatic design tool,0.014852578000000002,1,1,1
interpreting,0.0029864433,1,1,1,computational framework,0.0072907028,2,1,2,inspires urban designer,0.014852578000000002,1,1,1,urban design task,0.014852578000000002,1,1,1
operationalize,0.0029864433,1,1,1,urban layout,0.0072907028,2,2,2,urban design method,0.014852578000000002,1,1,1,different city inspires,0.014852578000000002,1,1,1
thumb,0.0029864433,1,1,1,performance data,0.0072907028,2,1,2,faster computation speed,0.014852578000000002,1,1,1,inspires urban designer,0.014852578000000002,1,1,1
autocorrelation,0.0029864433,1,1,1,analysis tool,0.0072907028,2,1,2,generating design feature,0.014852578000000002,1,1,1,urban design method,0.014852578000000002,1,1,1
townscape,0.0029864433,1,1,1,urban designer,0.0057114089,2,1,3,customized data structure,0.014852578000000002,1,1,1,faster computation speed,0.014852578000000002,1,1,1
workspace,0.0029864433,1,1,1,visual representation,0.0057114089,2,1,3,appending additional input,0.014852578000000002,1,1,1,generating design feature,0.014852578000000002,1,1,1
consensus,0.0029864433,1,1,1,scale plan,0.0049952617,1,1,1,generated design data,0.014852578000000002,1,1,1,customized data structure,0.014852578000000002,1,1,1
