1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
bee,0.0166660205,8,1,1,street greenery,0.0213118581,8,1,2,urban greenness space,0.0505932766,5,1,1,urban greenness space,0.0505932766,5,1,1
greenery,0.0093746365,9,1,4,land policy,0.017759881800000002,5,1,1,red mason bee,0.0303559659,3,1,1,red mason bee,0.0303559659,3,1,1
housing,0.008074888,13,3,7,greenness space,0.017759881800000002,5,1,1,daily accessed street,0.022766974500000002,3,1,2,daily accessed street,0.022766974500000002,3,1,2
mason,0.0062497577000000006,3,1,1,housing estate,0.017759881800000002,5,1,1,visible street greenery,0.022766974500000002,3,1,2,visible street greenery,0.022766974500000002,3,1,2
bicornis,0.0062497577000000006,3,1,1,urban greenness,0.0142079054,4,1,1,body mass index,0.0202373106,2,1,1,street greenery,0.0213118581,8,1,2
sun,0.0062497577000000006,3,1,1,microsite condition,0.010655929100000001,3,1,1,land readjustment policy,0.0202373106,2,1,1,body mass index,0.0202373106,2,1,1
estate,0.0062497577000000006,6,2,4,red mason,0.010655929100000001,3,1,1,spatially varied impact,0.0202373106,2,1,1,land readjustment policy,0.0202373106,2,1,1
greenness,0.0062497577000000006,4,1,2,mason bee,0.010655929100000001,3,1,1,assessment using machine,0.0202373106,2,1,1,spatially varied impact,0.0202373106,2,1,1
street,0.0043231397,10,1,9,sun exposure,0.010655929100000001,3,1,1,accessed street greenery,0.015177983,2,1,2,assessment using machine,0.0202373106,2,1,1
trap,0.0041665051000000005,2,1,1,housing price,0.0085781561,4,1,3,new urban data,0.012218466,2,1,3,land policy,0.017759881800000002,5,1,1
effect,0.0035314876,10,3,10,accessed street,0.0079919468,3,1,2,dominate habitat selection,0.0101186553,1,1,1,housing estate,0.017759881800000002,5,1,1
suggest,0.0031248788,2,2,2,visible street,0.0079919468,3,1,2,common wild bee,0.0101186553,1,1,1,bee,0.0166660205,8,1,1
difference,0.0031248788,6,2,8,wild bee,0.0071039527,2,1,1,citizen science approach,0.0101186553,1,1,1,accessed street greenery,0.015177983,2,1,2
readjustment,0.0031248788,2,1,2,landscape factor,0.0071039527,2,1,1,local flower availability,0.0101186553,1,1,1,urban greenness,0.0142079054,4,1,1
favour,0.0031248788,2,1,2,floral resource,0.0071039527,2,1,1,biotope data map,0.0101186553,1,1,1,new urban data,0.012218466,2,1,3
walkability,0.0031248788,2,1,2,body mass,0.0071039527,2,1,1,urban matrix property,0.0101186553,1,1,1,microsite condition,0.010655929100000001,3,1,1
landscape,0.0030261978000000003,7,2,9,mass index,0.0071039527,2,1,1,nearby floral resource,0.0101186553,1,1,1,sun exposure,0.010655929100000001,3,1,1
exposure,0.0029478805,4,2,6,collective effect,0.0071039527,2,1,1,open housing structure,0.0101186553,1,1,1,dominate habitat selection,0.0101186553,1,1,1
index,0.0028251901,8,2,10,land readjustment,0.0071039527,2,1,1,higher sun exposure,0.0101186553,1,1,1,common wild bee,0.0101186553,1,1,1
neighborhood,0.0026040657000000003,5,3,8,readjustment policy,0.0071039527,2,1,1,suitable nesting opportunity,0.0101186553,1,1,1,citizen science approach,0.0101186553,1,1,1
