Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
-1,5,"['watershed soil erosion', 'multivariate regression technique', 'land cover pattern', 'hydrological modeling', 'geomorphological process']",96,"['watershed soil erosion', 'soil erosion', 'land cover pattern', 'land cover', 'land cover type', 'geomorphological process', 'hydrological modeling', 'watershed soil', 'patch land cover', 'landscape characteristic', 'landscape planning', 'sediment yield', 'erosion', 'multivariate regression technique', 'soilerosion', 'multivariate regression', 'landscape pattern', 'geographic information system', 'many landscape', 'landscape level', 'regression technique', 'spatial pattern', 'cohesion index', 'sediment export', 'soil', 'watershed', 'geographic information', 'landscape', 'land', 'diversity index', 'regression', 'patch land', 'quantitative information', 'cover pattern', 'interspersion', 'Greater interspersion', 'spatial configuration', 'aggregation index', 'cohesion', 'simple PLSR approach', 'cover type', 'pattern', 'aggregation', 'patch index', 'PLSR approach', 'data', 'PLSR', 'response', 'redundancy', 'technique', 'important aspect', 'information system', 'information', 'cover', 'aspect', 'parameter estimate', 'modeling', 'diversity', 'variation', 'Many study', 'decision maker', 'characteristic', 'variety', 'technology', 'yield', 'configuration', 'parameter', 'contagion', 'relationship', 'study', 'number', 'decision', 'confidence interval', 'patch', 'type', 'increased number', 'index', 'confidence', 'planning', 'singular solution', 'result', 'estimate', 'process', 'development', 'rapid development', 'export', 'system', 'choice', 'strong tie', 'assumption', 'solution', 'level', 'approach', 'interval', 'tie', 'maker']"
-1,14,"['nature photographs', 'manual classification', 'urban planning', 'cultural ecosystem service', 'vegetation cover']",64,"['nature photographs', 'cultural ecosystem service', 'cultural ecosystem', 'ecosystem service assessment', 'manual classification', 'social medium photographs', 'image recognition', 'ecosystem service', 'vegetation cover', 'classification', 'urban planning', 'vegetation', 'high vegetation cover', 'ecosystem', 'photograph', 'high vegetation', 'photographs', 'mapping', 'manual content analysis', 'nature', 'content analysis', 'large area', 'medium photographs', 'recognition', 'image', 'area', 'cultural use', 'service assessment', 'plant', 'park', 'social medium', 'content', 'group', 'assessment', 'animal', 'analysis', 'Data', 'service', 'natural attraction', 'manual work', 'planning', 'manual content', 'intangibility', 'particular natural attraction', 'attraction', 'accuracy', 'appreciation', 'use', 'work', 'time', 'machine', 'cover', 'method', 'comparison', 'online machine', 'indicator', 'novel method', 'study', 'large number', 'distribution', 'h', 'number', 'approach', 'medium']"
-1,24,"['dust storm intensity', 'urban environment', 'particulate matter', 'desertification', 'regional dust']",83,"['dust storm intensity', 'regional dust event', 'urban arid environment', 'regional dust', 'particulate matter', 'dust storm', 'arid urban environment', 'air pollution', 'dust day', 'storm intensity parameter', 'dust event', 'arid environment experience', 'storm intensity', 'dust', 'desertification', 'arid environment', 'urban environment', 'desert urban center', 'pollution', 'several storm', 'urban environment experience', 'environmental change', 'storm', 'global warming', 'calculated threshold', 'threshold value', 'air', 'daily concentration', 'Quantitative information', 'aerodynamic diameter', 'intensity parameter', 'city', 'environment', 'environment experience', 'threshold', 'parameter', 'urban center', 'risk exposure', 'background value', 'human health', 'matter', 'net contribution', 'daily net contribution', 'analysis', 'season', 'hourly average', 'warming', 'event', 'exposure', 'finding indicate', 'risk', 'average', 'background', 'indicate', 'intensity', 'proximity', 'year', 'day', 'level', 'Contribution', 'health', 'source', 'close proximity', 'concentration', 'entire study', 'Implication', 'study', 'information', 'entire study period', 'finding', 'diameter', 'change', 'end', 'time', 'origin', 'yr', 'study period', 'value', 'experience', 'main objective', 'center', 'objective', 'period']"
-1,27,"['visible street greenery', 'urban planning', 'spatial design network', 'remote sensing', 'accessed street']",72,"['visible street greenery', 'urban greenery', 'accessed street greenery', 'street greenery', 'urban planning', 'urban planning practice', 'visible greenery', 'visible street', 'urban planner', 'remote sensing', 'spatial design network', 'urban green cover', 'spatial design', 'greenery', 'accessed street', 'Street network', 'street', 'city', 'urban resident', 'planning practice', 'city resident', 'area', 'datasets', 'accessibility', 'network analysis', 'design network analysis', 'accessibility value', 'perspective', 'design network', 'green cover', 'planning', 'public benefit', 'planner', 'viewpoint', 'design', 'satellite', 'sensing', 'daily exposure', 'analysis', 'network', 'prioritisation', 'algorithm', 'exposure', 'measurement', 'resolution measurement', 'benefit', 'analytical approach', 'accurate measurement', 'sDNA', 'cover', 'high resolution', 'actionable approach', 'resident', 'resolution', 'contribution', 'performance', 'high resolution measurement', 'new measurement', 'trend', 'practice', 'value', 'response', 'literature', 'approach', 'machine', 'tool', 'integration', 'step', 'situation', 'mismatch', 'intervention', 'issue']"
-1,35,"['water resource management', 'numeric AI tool', 'adaptive intelligent approach', 'efficient environmental planning', 'Urban water']",100,"['water resource management', 'dynamic water resource', 'sustainable water development', 'Urban water resource', 'efficient environmental planning', 'environmental planning', 'adaptive intelligent approach', 'ecological planning', 'Sustainable water resource', 'Sustainable water', 'Urban water', 'water resource', 'Water system', 'Conventional Water system', 'artificial intelligence technique', 'water development', 'adaptive intelligent', 'water efficiency', 'water environment', 'numeric AI tool', 'dynamic water', 'resource management', 'improves water efficiency', 'resource management issue', 'intelligent approach', 'sustainable environment', 'AI tool', 'artificial intelligence', 'hydraulic constraint', 'groundwater', 'urban area', 'Climatic change', 'local economic efficiency', 'planning', 'improves water', 'intelligence technique', 'stochastic dynamic', 'intelligent', 'management issue', 'water', 'economic efficiency', 'locational constraint', 'management policy', 'significant resource', 'numerical outcome', 'intelligence', 'future', 'healthy environment', 'uncertainty', 'annual use', 'process', 'human intellectual skill', 'dynamic', 'environment', 'management', 'resource', 'leaner process', 'constraint', 'Nonlinear effect', 'specific challenge', 'area', 'essential process', 'equity', 'information', 'method', 'issue', 'efficiency', 'policy', 'earth', 'current era', 'system', 'use', 'era', 'intellectual skill', 'development', 'growth', 'poverty', 'demand', 'change', 'supply', 'improvement', 'substantial improvement', 'approach', 'skill', 'specific relief', 'technique', 'protection', 'challenge', 'tool', 'life', 'subset', 'outcome', 'improves', 'effect', 'paper', 'relief', 'engagement', 'part', 'leaner', 'vital part']"
-1,36,"['urban form classification', 'landscape ecology', 'Decision tree classification', 'morphological characteristic', 'open space area']",72,"['urban form classification', 'urban landscape', 'urban form', 'urban block boundary', 'landscape ecology', 'land use', 'tree classification', 'Decision tree classification', 'urban block', 'city', 'city block', 'form classification', 'traditional landscape', 'morphological characteristic', 'classification', 'urban fabric', 'city block level', 'open space area', 'landscape', 'area', 'land', 'space area', 'ecology', 'open space', 'vector data', 'morphological property', 'bootstrap aggregation', 'radial transects', 'structure', 'spatial arrangement', 'aggregation', 'perimeter', 'data', 'distinctive character', 'distinct type', 'space', 'transects', 'property', 'form', 'vector', 'characteristic', 'contour parallel', 'robustness', 'composition', 'use', 'fabric', 'block boundary', 'type', 'different type', 'internal composition', 'configuration', 'study point', 'block level', 'function', 'presence', 'arrangement', 'character', 'study', 'need', 'boundary', 'insight', 'block', 'set', 'paper', 'alternative approach', 'parallel', 'approach', 'conjunction', 'level', 'potential', 'shortcoming', 'point']"
-1,38,"['automobile choice', 'artificial neural network', 'nested logit model', 'categorical variable', 'transportation problem']",59,"['automobile choice', 'household automobile choice', 'vehicle choice problem', 'household vehicle choice', 'vehicle choice', 'logit model', 'household automobile', 'nested logit model', 'household vehicle', 'automobile', 'artificial neural network', 'vehicle', 'neural network', 'discrete choice model', 'transportation problem', 'multilayer perceptron', 'choice model', 'choice problem', 'categorical variable', 'modeling technique', 'perceptron', 'traffic', 'transportation', 'statistical approach', 'predictive potential', 'modeling', 'discrete choice', 'choice', 'model', 'nonlinear system', 'formal statistical approach', 'system', 'data', 'network', 'problem', 'household', 'variable', 'research trend', 'multilayer', 'potential advantage', 'trend', 'reason', 'Comparison', 'year', 'use', 'applicability', 'performance', 'advantage', 'Part', 'research', 'method', 'potential', 'result', 'strong result', 'approach', 'ability', 'term', 'technique', 'ease']"
-1,42,"['land use coverage', 'fine particulate matter', 'fractal dimension index', 'urban agglomeration', 'area ratio']",82,"['land use coverage', 'urban planning', 'air quality', 'heterogeneous landscape', 'land use', 'potential urban planning', 'centralized urbanization', 'particulate matter', 'urban agglomeration', 'landscape index refer', 'area ratio', 'fractal dimension index', 'landscape index', 'fine particulate matter', 'spatial datasets', 'rapid urbanization', 'pollution', 'urbanization', 'fractal dimension', 'corresponding landscape', 'corresponding landscape pattern', 'landscape pattern', 'diversity index', 'many city', 'fine particulate', 'dimension index', 'area', 'forest', 'serious fine particulate', 'particulate', 'land', 'landscape', 'coverage index', 'regional value', 'large scale', 'aggregation index', 'city', 'correlation', 'region', 'positive correlation', 'interspersion', 'juxtaposition index', 'agglomeration', 'air', 'datasets', 'different region', 'ratio', 'aggregation', 'present positive correlation', 'emission source', 'emission', 'dimension', 'use coverage', 'significant gap', 'scale', 'pattern', 'adsorption', 'index refer', 'significance', 'index', 'juxtaposition', 'coverage', 'quality', 'matter', 'diversity', 'use', 'study', 'p', 'planning', 'Implication', 'helps', 'concentration', 'situ', 'refer', 'adsorption sink', 'gap', 'source', 'value', 'lt', 'result', 'sink', 'aid']"
-1,51,"['urban planning', 'predicted ridership', 'decision tree model', 'public transport use', 'amenity structure']",113,"['urban planning', 'urban plan', 'public transit ridership', 'transit ridership', 'public transportation demand', 'predicted ridership', 'public transport use', 'land use', 'transportation demand', 'public transit', 'transportation system', 'ridership', 'decision tree model', 'public transport', 'decision tree', 'public transportation', 'amenity structure', 'city component', 'city', 'transport use', 'granular amenity structure', 'amenity resource distribution', 'transit', 'transportation', 'predictive accuracy', 'land', 'amenity resource', 'predictive', 'tree model', 'transport', 'tree model performs', 'transport goal', 'predictor', 'granular amenity', 'amenity', 'model performs', 'planner', 'alleviate future', 'planning', 'resource distribution', 'interpretability', 'regional center', 'accuracy', 'granularity', 'peak hour', 'future', 'interdependency', 'sector', 'computational efficiency', 'decision', 'structure', 'development', 'generality', 'use', 'sector type', 'efficiency', 'insight', 'model', 'space', 'tree', 'increase', 'strategic increase', 'feature', 'plan', 'complex relationship', 'relationship', 'design', 'system', 'demand', 'machine', 'support', 'initial increase', 'type', 'framework', 'effect', 'distribution', 'dependence', 'continued strategic increase', 'practicable scenario', 'resource', 'configuration', 'tipping point', 'developed framework', 'time', 'problem', 'alleviate future strain', 'approach', 'current level', 'work', 'strategizing', 'innovative approach', 'hour', 'tipping', 'tool', 'amount', 'level', 'Impact', 'foundation', 'center', 'experiment support', 'point', 'good foundation', 'trend', 'demonstrate', 'scenario', 'performs', 'future strain', 'dynamic', 'goal', 'term', 'component', 'hand', 'strain']"
-1,52,"['urban data science', 'global climate solution', 'global urban area', 'upscale urban climate', 'urban climate solution']",122,"['urban data science', 'urban climate solution', 'urban sustainability science', 'urban climate', 'urban data', 'global urban sustainability', 'urban sustainability', 'upscaling urban data', 'global urban area', 'urban metabolism study', 'global climate', 'climate change science', 'upscale urban climate', 'urban economics', 'urban metabolism', 'urban area', 'climate solution', 'global climate solution', 'sustainability science', 'mainstreaming data collection', 'big data approach', 'climate', 'big data', 'weather study', 'climate effect', 'climate change', 'mainstreaming data', 'city', 'data science method', 'integrated urban service', 'climate threat', 'city worldwide', 'urban service', 'data', 'greenhouse gas emission', 'data science', 'data approach', 'greenhouse gas', 'data collection', 'representative data', 'data platform', 'related greenhouse gas', 'weather', 'qualitative data', 'earth observation', 'change science', 'data infrastructure', 'sustainability', 'social medium data', 'global scale', 'joint data platform', 'joint data', 'medium data', 'quantitative foundation', 'related greenhouse', 'greenhouse', 'qualitative information', 'machine learning', 'Applying computational technique', 'computational technique', 'infrastructure', 'science method', 'computational method', 'area', 'scalability', 'systematization', 'scale', 'information', 'gas emission', 'sensing', 'science', 'change', 'knowledge', 'case study', 'new insight', 'insight', 'contribution', 'common understanding', 'context', 'valuable insight', 'privacy', 'mainstreaming', 'economics', 'emission', 'use', 'gas', 'effect change', 'social medium', 'route', 'worldwide', 'observation', 'contexts', 'study', 'learning', 'method', 'towards', 'platform', 'threat', 'Collaborative effort towards', 'understanding', 'metabolism', 'advantage', 'effect', 'foundation', 'integral role', 'solution', 'Collaborative effort', 'approach', 'service', 'action', 'machine', 'current state', 'comparability', 'metabolism study', 'state', 'technique', 'case', 'role', 'collection', 'effort towards', 'effort', 'medium']"
