Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
1,13,"['urban activity inference', 'Foursquare user', 'phone usage pattern', 'classifier', 'activity recommendation']",122,"['urban activity inference', 'foursquare', 'specific urban activity', 'Foursquare place category', 'urban activity', 'activity inference', 'Foursquare place', 'Foursquare user', 'activity recommendation', 'urban environment', 'supervised learning', 'machine learning', 'mobile phone usage', 'classifier', 'city', 'user activity', 'phone usage', 'phone usage pattern', 'data', 'cellular data', 'place category', 'urban center', 'urban planning', 'prediction', 'activity type', 'dataset', 'phone', 'supervised learning framework', 'mobile phone', 'neighborhood', 'machine learning feature', 'prediction task', 'social medium', 'database', 'activity', 'mobile web', 'social life', 'venue', 'learning feature', 'place', 'recommendation', 'automatic characterization', 'random guess', 'telecommunication', 'class', 'nearby venue', 'inference', 'geographic area', 'Shopping area', 'learning', 'Entertainment spot', 'application', 'category', 'web', 'spot', 'station', 'accuracy', 'type', 'planning', 'random', 'area', 'user communication pattern', 'tower', 'telecommunication provider', 'provider', 'geographical evolution', 'guess', 'application scenario', 'environment', 'signal', 'learning framework', 'base station', 'candidate class', 'telecommunication signal', 'longitudinal attribute', 'candidate set', 'user', 'user communication', 'content delivery', 'label', 'usage', 'number', 'rate', 'work', 'usage pattern', 'pattern', 'communication', 'characterization', 'candidate class increases', 'framework', 'analysis', 'attribute', 'station level', 'communication pattern', 'diverse set', 'level', 'candidate', 'understanding', 'scenario', 'class increases', 'input telecommunication signal', 'task', 'dynamic', 'life', 'machine', 'input telecommunication', 'accuracy rate', 'base station level', 'feature', 'base', 'medium', 'evolution', 'year', 'delivery', 'input', 'set', 'increases', 'difficulty', 'performance', 'problem', 'order', 'center']"
1,33,"['mobility data mining', 'urban planning', 'deep learning', 'Urban human mobility', 'traffic forecasting']",79,"['mobility data mining', 'human mobility data', 'Urban human mobility', 'mobility data', 'mobility data set', 'human mobility model', 'mobility data contains', 'human mobility', 'Pervasive GPS data', 'mobility model', 'traffic forecasting', 'traffic forecasting system', 'GPS data', 'city', 'traffic', 'data mining', 'urban planning', 'deep learning', 'many urban challenge', 'traffic congestion', 'data mining view', 'deep learning predictor', 'data', 'mobility', 'mobile operator', 'data set', 'city challenge', 'cellular network', 'air pollution problem', 'cellular network location', 'data collection', 'urban challenge', 'mobile phone', 'forecasting', 'air pollution', 'predictive tool', 'pollution problem', 'phone', 'congestion', 'pollution', 'network', 'learning predictor', 'mobile', 'predictor', 'forecasting system', 'epidemic control', 'data contains', 'network location', 'mining', 'network application', 'application', 'mining view', 'operator', 'planning', 'movement', 'people', 'location', 'various mobile', 'learning', 'survey', 'air', 'article', 'model', 'cleaning', 'overview', 'tool', 'problem', 'view', 'survey recent literature', 'collection', 'challenge', 'system', 'Nowadays', 'set', 'contains', 'literature', 'variety', 'control', 'recent literature']"
1,40,"['human mobility data', 'machine learning method', 'WiFi positioning', 'place modeling', 'daily commute pattern']",81,"['human mobility data', 'human mobility analysis', 'mobility data', 'Human mobility pattern', 'mobility analysis', 'human mobility', 'mobility pattern', 'place modeling', 'machine learning method', 'machine learning', 'positioning system', 'global positioning', 'WiFi positioning system', 'trajectory modeling', 'global positioning system', 'mobility', 'WiFi positioning', 'daily commute pattern', 'user modeling', 'daily commute', 'data', 'commute', 'trajectory', 'positioning', 'positioning characteristic', 'place', 'modeling approach', 'advanced analysis technique', 'learning method', 'technology', 'significant pattern', 'planning', 'application', 'modeling', 'trend', 'cellular radio', 'pattern', 'taxonomy', 'future challenge', 'prevalence', 'advanced analysis', 'analysis', 'learning', 'user', 'analysis technique', 'cellular radio tower', 'tower', 'global spread', 'service', 'commute pattern', 'survey', 'radio tower', 'development', 'machine', 'many aspect', 'method', 'model', 'use', 'radio', 'analyze', 'scale', 'infectious disease', 'spread', 'approach', 'assess different approach', 'class', 'disease', 'characteristic', 'technique', 'property', 'aspect', 'different approach', 'system', 'interest', 'recent year', 'life', 'order', 'year', 'challenge', 'effort', 'paper']"
1,65,"['Mobility data', 'probabilistic topic', 'semantic decomposition', 'bike', 'urban data analysis']",61,"['Mobility data', 'social medium data', 'urban data analysis', 'urban data', 'probabilistic topic', 'mobility flow', 'semantic decomposition', 'data', 'semantic enrichment', 'medium data', 'trip count', 'topic', 'mobility', 'causality', 'social medium', 'fleet management', 'Temporal decomposition', 'data analysis', 'bike', 'dataset', 'network', 'decision support', 'GIS system', 'trip', 'predictability', 'decomposition', 'technology', 'real dataset', 'correlation', 'decision support platform', 'localisation technology', 'volume', 'platform', 'management', 'analysis', 'related application', 'fleet', 'machine', 'generation', 'enrichment', 'term', 'support', 'flow', 'localisation', 'application', 'count', 'support platform', 'analytical approach', 'question', 'approach', 'medium', 'backend', 'decision', 'method', 'decade', 'paper', 'system', 'operation', 'new generation', 'Novel analytical approach', 'past decade']"
1,78,"['restaurant data', 'urban neighborhood', 'timely socioeconomic data', 'nighttime population number', 'spatial location demographic']",72,"['restaurant data', 'socioeconomic data', 'urban neighborhood', 'timely socioeconomic data', 'neighborhood level', 'spatial location demographic', 'location demographic', 'restaurant model', 'neighborhood', 'Chinese city', 'restaurant', 'city', 'socioeconomic attribute', 'big data', 'population employment', 'dataset', 'data', 'nighttime population number', 'demographic', 'nighttime population', 'spatial location', 'firm industry', 'location', 'different spatial location', 'trained model', 'accuracy', 'data gap', 'test dataset', 'employment', 'population number', 'industry', 'population', 'sample', 'predicted result', 'consumption level', 'updated location', 'generality', 'social scientist', 'heterogeneity', 'model', 'country', 'consumption', 'accuracy spatial resolution', 'daytime', 'attribute', 'platform', 'feature', 'enterprise activity', 'policy maker', 'microdatasets', 'spatial resolution', 'number', 'various spatial resolution', 'online platform', 'range', 'resolution', 'firm', 'maker', 'algorithm dividend', 'level', 'policy', 'transferability', 'scientist', 'activity', 'variation', 'gap', 'dividend', 'test', 'method', 'enterprise', 'result', 'tradeoff']"
1,82,"['crime prediction', 'human mobility data', 'top predictive feature', 'urban study', 'machine learning']",98,"['crime prediction', 'Traditional crime prediction', 'crime prediction model', 'human mobility data', 'census feature', 'predictive feature', 'mobility data', 'prediction', 'crime level', 'prediction model', 'crime category', 'machine learning', 'main crime category', 'crime type', 'criminology', 'top predictive feature', 'urban study', 'crime', 'human mobility', 'census data', 'census', 'city', 'Traditional crime', 'data', 'taxi', 'human dynamic feature', 'large human mobility', 'urban policy', 'POI data', 'taxi ride', 'residential population', 'main crime', 'law enforcement', 'census tract', 'dynamic feature', 'ambient population', 'ensemble technique', 'Foursquare venue', 'feature', 'predictive gain', 'census tract level', 'mobility', 'larceny', 'assault', 'population', 'category', 'feature varies', 'grand larceny', 'dynamic feature varies', 'count', 'human presence', 'ride', 'boost', 'ubiquitous computing', 'human activity', 'baseline model', 'law', 'computing', 'offer valuable insight', 'insight', 'activity', 'type', 'presence', 'venue', 'learning', 'model', 'complexity', 'area', 'enforcement', 'dynamic', 'theory', 'power', 'opportunity', 'case', 'extensive set', 'valuable insight', 'machine', 'rise', 'test set', 'technique', 'level', 'different type', 'study', 'policy', 'test', 'proxy', 'result', 'baseline', 'gain', 'paper', 'result offer', 'absolute', 'tract', 'checkins', 'set', 'tract level', 'varies', 'offer']"
1,87,"['public transportation data', 'Interactive visual learning', 'work place detection', 'urban planner', 'analytics']",72,"['public transportation data', 'transportation data', 'visual analytics', 'public transport commuter', 'transport commuter', 'interactive visual analytics', 'work place detection', 'planner classification', 'massive public transportation', 'commuter', 'place detection', 'public transport', 'classifier', 'public transportation', 'analytics', 'urban planner', 'decipher activity location', 'Interactive visual learning', 'urban planning', 'visual learning', 'transforming modern city', 'modern city', 'single public transport', 'complex travel pattern', 'travel pattern', 'data', 'activity location', 'decipher activity', 'card transaction data', 'city', 'complex travel', 'smart card data', 'classification', 'planner', 'transportation', 'learning', 'transport', 'travel', 'card data', 'transaction data', 'planning', 'detection', 'traditional survey', 'transport smart card', 'Iviztrans', 'smart card', 'activity', 'smart card transaction', 'homework dynamic', 'work place', 'survey', 'home', 'homework', 'place', 'dynamic', 'work', 'efficient', 'machine', 'card', 'card transaction', 'location', 'pattern', 'decipher', 'previous work', 'method', 'tool', 'evaluation', 'component', 'paper', 'year', 'transaction', 'alternative']"
1,97,"['impact pedestrian activity', 'heterogeneous urban datasets', 'analyze place', 'urban walkability', 'pedestrian count data']",124,"['impact pedestrian activity', 'local pedestrian activity', 'influence pedestrian activity', 'pedestrian behavior modeling', 'urban walkability', 'heterogeneous urban datasets', 'pedestrian count data', 'pedestrian activity', 'pedestrian behavior', 'urban data', 'urban environment', 'pedestrian volume', 'local pedestrian count', 'urban datasets', 'pedestrian count', 'pedestrian volume relate', 'walkability', 'dense urban environment', 'immediate urban environment', 'analyze place', 'urban computing', 'urban context', 'urban landscape', 'streetscape', 'city planning', 'city', 'streetscape quality', 'crime risk', 'individual geolocations', 'contextual feature', 'building density', 'transit infrastructure', 'geolocations', 'activity', 'behavior modeling', 'weather', 'transportation', 'land use', 'crime', 'place', 'feature relevant', 'modeling', 'data', 'multivariate regression', 'air quality', 'contextual indicator', 'specific contextual feature', 'environment', 'multivariate regression model', 'count data', 'datasets', 'transportation infrastructure', 'regression', 'planning', 'open datasets', 'observation', 'regression model', 'quantification', 'classify', 'land', 'landscape', 'typology', 'situational indicator', 'infrastructure', 'building', 'public health', 'situational indicator impact', 'density', 'context', 'feature', 'relate', 'behavior', 'quantification process', 'count', 'situational factor', 'development', 'aspect', 'many aspect', 'model', 'health', 'influence', 'analysis', 'emergency response', 'volume', 'indicator', 'risk', 'dynamic', 'insight', 'time', 'computing', 'day', 'generalizability', 'air', 'economic development', 'driver', 'design', 'importance accounting', 'impact', 'attribute', 'importance', 'response', 'use', 'relevant', 'year', 'management', 'indicator impact', 'extensive array', 'standard error', 'volume relate', 'season', 'factor', 'resolution', 'array', 'accounting', 'error', 'week', 'emergency', 'study', 'process', 'quality', 'standard', 'siloed', 'result', 'key driver']"
1,124,"['Extracting leisure activity', 'semantic topic model', 'city', 'Web data', 'geographic analysis']",82,"['Extracting leisure activity', 'urban leisure', 'leisure ontology', 'leisure activity potential', 'tourism research', 'tourism', 'semantic topic model', 'geographic analysis', 'urban space', 'Extracting leisure', 'semantic topic', 'tourism study', 'leisure', 'leisure activity', 'city', 'topic model', 'leisure ontology class', 'Web data', 'related city policy', 'ontology', 'webtexts', 'related city', 'Web ranking', 'city policy', 'topic', 'semantic level', 'place tag', 'Web information', 'ontology class', 'official webtexts', 'medium semantic level', 'data', 'affordance estimation', 'place', 'activity', 'mobile sensor data', 'dataset', 'ranking', 'available Web information', 'affordance', 'sensor data', 'information', 'prominent source', 'planning', 'tag', 'content', 'article', 'space', 'unstructured form', 'opportunity', 'research', 'class', 'new opportunity', 'type', 'policy', 'analysis', 'study', 'diversity', 'mobile sensor', 'sensor', 'source', 'computer', 'quality', 'estimation', 'approach', 'model', 'amount', 'activity potential', 'potential', 'level', 'function', 'strategy', 'subtle quality', 'recent year', 'form', 'machine', 'difficulty', 'particular function', 'method', 'year', 'medium', 'bulk']"
1,175,"['graph machine learning', 'poverty research', 'phone datasets', 'convolutional network', 'citation network']",72,"['graph machine learning', 'Graph convolutional network', 'citation network', 'social network', 'graph machine', 'global poverty', 'poverty research', 'poverty estimation', 'phone datasets', 'convolutional network', 'mobile phone datasets', 'graph', 'node labelling', 'network', 'poverty', 'machine learning', 'datasets', 'learning algorithms', 'prediction task', 'phone network', 'labelling', 'relevance', 'relation', 'different prediction task', 'mobile phone network', 'algorithms', 'phone', 'epidemic containment', 'prediction', 'algorithm', 'treat relation', 'mobile phone', 'citation', 'learning', 'different prediction', 'people', 'model treat relation', 'humanitarian response', 'sudden relevance', 'estimation', 'research', 'binary', 'majority', 'country', 'vast majority', 'computational tool', 'mobile', 'task', 'application range', 'range', 'model', 'containment', 'application', 'expansion', 'planning', 'response', 'method', 'tool', 'machine', 'use', 'Recent application', 'rapid expansion', 'Recent application range', 'benchmark', 'study', 'way', 'myriad way', 'nature', 'model treat', 'treat', 'paper', 'set']"
