No,Cluster,DocId,key-phrases,top_0_phrase,top_0_score,top_1_phrase,top_1_score,top_2_phrase,top_2_score,top_3_phrase,top_3_score,top_4_phrase,top_4_score
1,1,1,"['hyperspectral image classification', 'hyperspectral imagery', 'hyperspectral image', 'residual network', 'supervised deep learning']",hyperspectral image classification,0.6396377086639404,hyperspectral imagery,0.5533463954925537,hyperspectral image,0.5263592600822449,residual network,0.475412517786026,supervised deep learning,0.39443254470825195
2,1,2,"['land cover change', 'new urban land', 'Landsat imagery', 'Landsat data', 'Landsat satellite data']",land cover change,0.520033061504364,new urban land,0.4675125479698181,Landsat imagery,0.4205745756626129,Landsat data,0.41955527663230896,Landsat satellite data,0.4173450767993927
3,1,3,"['building detection', 'automated building detection', 'building detection framework', 'building extraction', 'automated building']",building detection,0.5682255625724792,automated building detection,0.5408848524093628,building detection framework,0.4950084686279297,building extraction,0.4504585564136505,automated building,0.4066530466079712
4,1,12,"['OSM urban area', 'spatial data quality', 'urban area', 'spatial data', 'geographic information']",OSM urban area,0.519610583782196,spatial data quality,0.44336193799972534,urban area,0.4386867880821228,spatial data,0.4346027374267578,geographic information,0.4060140550136566
5,1,17,"['Land use', 'remote sensing', 'environmental impact analysis', 'GIS modelling', 'evident environmental impact']",Land use,0.4770587086677551,remote sensing,0.45545411109924316,environmental impact analysis,0.42605048418045044,GIS modelling,0.42509087920188904,evident environmental impact,0.36564451456069946
6,1,19,"['land classification dataset', 'Urban Atlas land', 'deep architecture', 'land classification', 'convolutional network']",land classification dataset,0.5313107371330261,Urban Atlas land,0.5269745588302612,deep architecture,0.5033806562423706,land classification,0.47276270389556885,convolutional network,0.4611988663673401
7,1,20,"['building type information', 'building type', 'LiDAR data', 'urban planning', 'environmental landscape attribute']",building type information,0.6109441518783569,building type,0.524265468120575,LiDAR data,0.4996201992034912,urban planning,0.44516557455062866,environmental landscape attribute,0.3613947033882141
8,1,21,"['deep belief network', 'land cover classification', 'deep learning architecture', 'Deep learning', 'sar data']",deep belief network,0.577459990978241,land cover classification,0.5076007843017578,deep learning architecture,0.48663532733917236,Deep learning,0.4541120231151581,sar data,0.4211982190608978
9,1,25,"['SAR feature', 'land cover classification', 'SAR data', 'land cover mapping', 'synthetic aperture radar']",SAR feature,0.5630934834480286,land cover classification,0.5550888776779175,SAR data,0.5356943607330322,land cover mapping,0.5242562890052795,synthetic aperture radar,0.4909164607524872
10,1,26,"['urban water type', 'water type classification', 'urban water', 'complex urban area', 'urban planning']",urban water type,0.46440839767456055,water type classification,0.4422134757041931,urban water,0.40412354469299316,complex urban area,0.382089763879776,urban planning,0.35722815990448
11,1,30,"['random forest', 'urban structure type', 'urban structure', 'land cover', 'urbanization process']",random forest,0.5577361583709717,urban structure type,0.4994150996208191,urban structure,0.4949837625026703,land cover,0.4165821671485901,urbanization process,0.39111876487731934
12,1,31,"['SVM modeling', 'SVM modeling framework', 'land use', 'land', 'classification']",SVM modeling,0.506615161895752,SVM modeling framework,0.461484432220459,land use,0.4331636428833008,land,0.2762807011604309,classification,0.26694685220718384
13,1,37,"['aerial image dataset', 'image classification', 'convolutional neural network', 'convolutional', 'feature learning']",aerial image dataset,0.4881415069103241,image classification,0.4800340533256531,convolutional neural network,0.46193617582321167,convolutional,0.4304046630859375,feature learning,0.4178350567817688
14,1,41,"['scene classification algorithms', 'scene classification', 'support vector machine', 'Street View image', 'SVM classifier']",scene classification algorithms,0.49668359756469727,scene classification,0.4767889380455017,support vector machine,0.4566553831100464,Street View image,0.45172610878944397,SVM classifier,0.4203270971775055
15,1,53,"['random forest', 'support vector machine', 'SVM classifier', 'Landsat data', 'heterogeneous landscape']",random forest,0.4626515507698059,support vector machine,0.45602720975875854,SVM classifier,0.4266710877418518,Landsat data,0.42431163787841797,heterogeneous landscape,0.4099971652030945
16,1,54,"['automatic building detection', 'building detection', 'region descriptor extraction', 'automatic building', 'region descriptor']",automatic building detection,0.6878638863563538,building detection,0.6365014910697937,region descriptor extraction,0.47932106256484985,automatic building,0.4678439497947693,region descriptor,0.45503413677215576
17,1,56,"['lidar point cloud', 'urban lidar', 'point cloud labelling', 'urban lidar point', 'urban point cloud']",lidar point cloud,0.6669497489929199,urban lidar,0.6438355445861816,point cloud labelling,0.6187721490859985,urban lidar point,0.6148022413253784,urban point cloud,0.6109484434127808
18,1,58,"['urban area extraction', 'unsupervised urban area', 'area extraction', 'SAR image', 'synthetic aperture radar']",urban area extraction,0.6474248170852661,unsupervised urban area,0.6025670766830444,area extraction,0.549465537071228,SAR image,0.504696249961853,synthetic aperture radar,0.4400952458381653
19,1,61,"['urban point cloud', 'point cloud data', 'point cloud', 'outdoor urban data', 'Terrestrial laser scanner']",urban point cloud,0.5474250316619873,point cloud data,0.48755306005477905,point cloud,0.45226210355758667,outdoor urban data,0.3871617913246155,Terrestrial laser scanner,0.38062554597854614
20,1,63,"['urban area extraction', 'green urban area', 'satellite imagery', 'satellite image', 'urban planning']",urban area extraction,0.5681300759315491,green urban area,0.48861995339393616,satellite imagery,0.44534286856651306,satellite image,0.4272553324699402,urban planning,0.4130936861038208
21,1,64,"['hyperspectral data', 'urban land cover', 'land cover estimation', 'multilabel classification', 'multispectral image']",hyperspectral data,0.5305684208869934,urban land cover,0.5034651160240173,land cover estimation,0.49929186701774597,multilabel classification,0.4924432039260864,multispectral image,0.48177576065063477
22,1,68,"['urban land cover', 'land cover change', 'thematic land cover', 'land cover map', 'land cover']",urban land cover,0.6067299842834473,land cover change,0.4914475679397583,thematic land cover,0.4905243217945099,land cover map,0.48979806900024414,land cover,0.48535725474357605
23,1,70,"['urban expansion trend', 'urban area expansion', 'urban expansion', 'urban development', 'Urban planning']",urban expansion trend,0.584541380405426,urban area expansion,0.5756060481071472,urban expansion,0.4917599558830261,urban development,0.4839034080505371,Urban planning,0.4680624306201935
24,1,71,"['change detection approach', 'change detection method', 'Change detection', 'traditional change detection', 'new change detection']",change detection approach,0.6487101316452026,change detection method,0.6282627582550049,Change detection,0.613927960395813,traditional change detection,0.6008384227752686,new change detection,0.5997089743614197
25,1,72,"['big geo data', 'Remote sensing', 'Sentinel datasets', 'GEE platform', 'GEE publication']",big geo data,0.49593111872673035,Remote sensing,0.4894210696220398,Sentinel datasets,0.4602266252040863,GEE platform,0.4289388060569763,GEE publication,0.4100085496902466
