cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#-1,100,15,20,0.0,7,168,0.8645,"[{'group': 3, 'count': 20}, {'group': 1, 'count': 21}, {'group': 5, 'count': 24}, {'group': 2, 'count': 26}, {'group': 0, 'count': 32}, {'group': 4, 'count': 53}, {'group': -1, 'count': 168}]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, -1, 4, 4, 1, 1, 1, 1, -1, 3, 3, 3, 3, 1, -1, 4, -1, -1, 4, -1, -1, -1, -1, -1, 4, 4, 4, 4, -1, 5, 5, 5, 2, -1, 1, -1, 2, -1, 4, 4, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, 2, 3, -1, 2, 1, 1, 4, -1, -1, -1, -1, 0, 3, 3, 3, 3, 3, 2, 0, 2, 0, -1, -1, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, 0, 0, 0, -1, 1, 4, -1, -1, -1, 0, 5, 1, -1, -1, 0, 4, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 4, 0, 0, -1, 2, -1, -1, 4, 2, 0, 2, 2, -1, -1, -1, -1, -1, -1, -1, 5, 5, 0, 5, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, 4, 2, 2, -1, -1, -1, -1, 5, 2, 2, 1, 2, 2, -1, -1, -1, -1, 4, 4, -1, -1, -1, -1, -1, -1, -1, 3, 0, 0, 0, 3, -1, -1, -1, 1, 1, 4, -1, 2, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 5, 1, 1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 1, -1, -1, -1, 3, -1, 0, -1, 5, 5, 4, 4, 3, 3, 3, 3, 3, 4, 5, 2, 2, 0, -1, -1, -1, -1, -1, -1, -1, 4, 4, 4, 0, 0, 2, 0, 0, 0, 2, 4, 2, -1, -1, -1, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5, 1, -1, -1, -1, -1, -1, 4, 4, 4, 4, 2, 5, -1, -1, 5, 5, 4, 4, -1, 4, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, 1, -1, -1, -1, 4, 5, 0, 0, 4, 4, 4, 4, 4]"
#-1,100,15,25,0.0,4,153,0.8072,"[{'group': 0, 'count': 32}, {'group': 2, 'count': 54}, {'group': 1, 'count': 105}, {'group': -1, 'count': 153}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 2, 1, -1, 1, 2, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, 1, -1, -1, -1, -1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, -1, -1, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 1, 1, 1, -1, 2, -1, 0, 0, 0, 1, -1, 1, -1, -1, -1, 0, 1, -1, -1, -1, 0, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 1, 0, 0, 1, 2, 2, 1, 1, 2, 0, 2, 2, 1, 1, -1, -1, -1, -1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 2, 2, -1, -1, -1, -1, 1, 2, 2, -1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, 2, 0, 0, 0, 2, -1, -1, -1, -1, -1, 1, 1, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 2, -1, 0, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 2, 1, 2, -1, -1, -1, 2, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 2, 1, -1, -1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
#-1,100,15,30,0.0,4,153,0.8072,"[{'group': 0, 'count': 32}, {'group': 2, 'count': 54}, {'group': 1, 'count': 105}, {'group': -1, 'count': 153}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 2, 1, -1, 1, 2, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, 1, -1, -1, -1, -1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, -1, -1, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 1, 1, 1, -1, 2, -1, 0, 0, 0, 1, -1, 1, -1, -1, -1, 0, 1, -1, -1, -1, 0, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 1, 0, 0, 1, 2, 2, 1, 1, 2, 0, 2, 2, 1, 1, -1, -1, -1, -1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 2, 2, -1, -1, -1, -1, 1, 2, 2, -1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, 2, 0, 0, 0, 2, -1, -1, -1, -1, -1, 1, 1, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 2, -1, 0, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 2, 1, 2, -1, -1, -1, 2, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 2, 1, -1, -1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
#-1,100,15,35,0.0,3,185,0.7871,"[{'group': 1, 'count': 54}, {'group': 0, 'count': 105}, {'group': -1, 'count': 185}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 1, 1, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, -1, -1, -1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 1, -1, -1, -1, 1, 0, 1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0]"
#-1,100,15,40,0.0,3,185,0.7871,"[{'group': 1, 'count': 54}, {'group': 0, 'count': 105}, {'group': -1, 'count': 185}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 1, 1, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, -1, -1, -1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 1, -1, -1, -1, 1, 0, 1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0]"
#-1,100,15,45,0.0,3,185,0.7871,"[{'group': 1, 'count': 54}, {'group': 0, 'count': 105}, {'group': -1, 'count': 185}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 1, 1, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, -1, -1, -1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 1, -1, -1, -1, 1, 0, 1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0]"
#-1,100,15,50,0.0,3,185,0.7871,"[{'group': 1, 'count': 54}, {'group': 0, 'count': 105}, {'group': -1, 'count': 185}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 1, 1, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, -1, -1, -1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 1, -1, -1, -1, 1, 0, 1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0]"
#-1,100,15,55,0.0,1,344,-1.0,"[{'group': -1, 'count': 344}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#-1,100,15,60,0.0,1,344,-1.0,"[{'group': -1, 'count': 344}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#-1,100,20,20,0.0,6,163,0.834,"[{'group': 1, 'count': 21}, {'group': 4, 'count': 24}, {'group': 0, 'count': 32}, {'group': 2, 'count': 51}, {'group': 3, 'count': 53}, {'group': -1, 'count': 163}]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, -1, 3, 3, 1, 1, 1, 1, -1, 2, 2, 2, 2, 1, -1, 3, -1, -1, 3, -1, -1, -1, -1, -1, 3, 3, 3, 3, -1, 4, 4, 4, 2, -1, 1, -1, 2, -1, 3, 3, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, -1, -1, -1, -1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, -1, -1, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, 4, 4, 4, 4, 4, 4, 4, -1, -1, -1, 0, 0, 0, -1, 1, 3, -1, -1, -1, 0, 4, 1, -1, -1, 0, 3, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 3, 0, 0, -1, 2, -1, -1, 3, 2, 0, 2, 2, -1, -1, -1, -1, -1, -1, -1, 4, 4, 0, 4, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, 2, 2, -1, -1, -1, -1, 4, 2, 2, 1, 2, 2, -1, -1, -1, -1, 3, 3, -1, -1, -1, -1, -1, -1, -1, 2, 0, 0, 0, 2, -1, -1, -1, 1, 1, 3, -1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 4, 1, 1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 1, -1, -1, -1, 2, -1, 0, -1, 4, 4, 3, 3, 2, 2, 2, 2, 2, 3, 4, 2, 2, 0, -1, -1, -1, -1, -1, -1, -1, 3, 3, 3, 0, 0, 2, 0, 0, 0, 2, 3, 2, -1, -1, -1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, 1, -1, -1, -1, -1, -1, 3, 3, 3, 3, 2, 4, -1, -1, 4, 4, 3, 3, -1, 3, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, 1, -1, -1, -1, 3, 4, 0, 0, 3, 3, 3, 3, 3]"
