cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#3,100,15,20,0.0,5,107,0.7829,"[{'group': 3, 'count': 23}, {'group': 2, 'count': 32}, {'group': 1, 'count': 39}, {'group': 0, 'count': 44}, {'group': -1, 'count': 107}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 3, -1, -1, -1, -1, 3, 2, 2, 2, 2, 2, -1, -1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 2, -1, 1, 1, -1, 2, 3, 1, -1, -1, 2, 2, -1, 1, 2, 1, 1, 1, -1, 1, 1, 1, -1, -1, -1, 1, -1, 0, 1, -1, -1, -1, -1, -1, -1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, -1, -1, 0, 0, 3, 3, 3, 3, 3, 0, 0, 0, -1, 1, 2, 1, 2, -1, 3, 0, 0, 0, 0, 0, -1, 1, -1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 0, 0, -1, 0, 0, 3, 3, -1, 3, 0, 3, 1, 1, -1, 2, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 1, -1, 0, 1, -1, 0, 0, 2, 2, 2, 2, 2, 0, -1, -1, -1, 0, -1, -1, 1, 1, 1, 2, -1, 3, 2, 3, -1, -1, -1, 0, -1, 2, 2, 2, 2, 2, 1, 2, 1, -1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 3, 3, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1]"
#3,100,15,25,0.0,4,107,0.7678,"[{'group': 2, 'count': 39}, {'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 107}]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 2, 2, -1, 0, 0, 2, -1, -1, 0, 0, -1, 2, 0, 2, 2, 2, -1, 2, 2, 2, -1, -1, -1, 2, -1, 1, 2, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, -1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, 2, 0, 2, 0, -1, 0, 1, 1, 1, 1, 1, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, -1, 0, 1, 0, 2, 2, -1, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, 1, 2, -1, 1, 1, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, 2, 2, 2, 0, -1, 0, 0, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 2, 0, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1]"
#3,100,15,30,0.0,4,107,0.7678,"[{'group': 2, 'count': 39}, {'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 107}]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 2, 2, -1, 0, 0, 2, -1, -1, 0, 0, -1, 2, 0, 2, 2, 2, -1, 2, 2, 2, -1, -1, -1, 2, -1, 1, 2, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, -1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, 2, 0, 2, 0, -1, 0, 1, 1, 1, 1, 1, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, -1, 0, 1, 0, 2, 2, -1, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, 1, 2, -1, 1, 1, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, 2, 2, 2, 0, -1, 0, 0, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 2, 0, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1]"
#3,100,15,35,0.0,4,107,0.7678,"[{'group': 2, 'count': 39}, {'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 107}]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 2, 2, -1, 0, 0, 2, -1, -1, 0, 0, -1, 2, 0, 2, 2, 2, -1, 2, 2, 2, -1, -1, -1, 2, -1, 1, 2, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, -1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, 2, 0, 2, 0, -1, 0, 1, 1, 1, 1, 1, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, -1, 0, 1, 0, 2, 2, -1, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, 1, 2, -1, 1, 1, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, 2, 2, 2, 0, -1, 0, 0, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 2, 0, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1]"
#3,100,15,40,0.0,3,107,0.5061,"[{'group': 1, 'count': 55}, {'group': 0, 'count': 83}, {'group': -1, 'count': 107}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 1, -1, 0, 0, -1, 1, 1, 0, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, -1, 0, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, 1, -1, 1, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
#3,100,15,45,0.0,3,107,0.5061,"[{'group': 1, 'count': 55}, {'group': 0, 'count': 83}, {'group': -1, 'count': 107}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 1, -1, 0, 0, -1, 1, 1, 0, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, -1, 0, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, 1, -1, 1, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
#3,100,15,50,0.0,3,107,0.5061,"[{'group': 1, 'count': 55}, {'group': 0, 'count': 83}, {'group': -1, 'count': 107}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 1, -1, 0, 0, -1, 1, 1, 0, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, -1, 0, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, 1, -1, 1, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
#3,100,15,55,0.0,3,107,0.5061,"[{'group': 1, 'count': 55}, {'group': 0, 'count': 83}, {'group': -1, 'count': 107}]","[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 1, -1, 0, 0, -1, 1, 1, 0, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, -1, 0, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, -1, 0, 0, 1, 1, -1, 1, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 1, 1, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, 1, -1, 1, 1, 1, -1, -1, -1, 0, -1, 1, 1, 1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
#3,100,15,60,0.0,1,245,-1.0,"[{'group': -1, 'count': 245}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#3,100,20,20,0.0,4,108,0.772,"[{'group': 2, 'count': 38}, {'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 108}]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 2, 2, -1, 0, 0, 2, -1, -1, 0, 0, -1, 2, 0, 2, 2, 2, -1, 2, 2, 2, -1, -1, -1, 2, -1, 1, 2, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, -1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, 2, 0, 2, 0, -1, 0, 1, 1, 1, 1, 1, -1, 2, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, 1, 0, 0, -1, 0, 1, 0, 2, 2, -1, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, 1, 2, -1, 1, 1, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 2, 2, 0, -1, 0, 0, 0, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 2, 0, 2, -1, 2, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1]"
