dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
200,20,12,0.0,0.8412384657,5,136,"[{'cluster_no': -1, 'count': 136}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 1, 'count': 29}, {'cluster_no': 2, 'count': 20}, {'cluster_no': 3, 'count': 22}]","[-1, -1, -1, -1, -1, 1, 0, 2, 0, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1, 2, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 0, -1, 0, 0, 0, -1, -1, 3, 0, 3, 0, -1, -1, -1, -1, 2, 1, -1, -1, 0, -1, -1, -1, 3, -1, -1, 0, -1, -1, -1, 0, 3, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 1, -1, 0, 0, 1, 0, 2, 1, -1, 3, -1, -1, -1, 3, -1, -1, 2, 1, 2, -1, 2, -1, -1, -1, -1, -1, -1, 0, 0, 1, -1, -1, -1, 1, 2, -1, -1, 3, -1, 0, -1, 3, 2, 2, -1, 2, -1, -1, 1, 1, 1, 3, -1, -1, 2, -1, -1, -1, -1, 0, 3, 3, -1, 3, -1, -1, -1, -1, 0, -1, 3, 0, -1, 1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 3, 0, 0, 0, -1, 2, -1, 3, -1, 0, 1, -1, 0, 1, -1, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, 3, -1, 3, -1, -1, 0, -1, -1, 2, 1, 0, 0, 1, 2, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 3, -1, 3, -1, 3, -1, 3, -1, 0, 0, 3, -1, -1, -1, 2, -1, 2, 2, 2, -1, 2]"
150,15,12,0.0,0.8235357245,5,121,"[{'cluster_no': -1, 'count': 121}, {'cluster_no': 0, 'count': 61}, {'cluster_no': 1, 'count': 31}, {'cluster_no': 2, 'count': 18}, {'cluster_no': 3, 'count': 19}]","[-1, 0, 0, 1, -1, -1, 0, 1, 0, -1, 0, 1, 1, -1, -1, -1, 0, -1, 0, -1, 1, -1, -1, -1, -1, 3, -1, -1, -1, -1, 1, -1, 0, -1, 0, 3, 0, -1, 0, 0, 0, -1, 1, -1, 0, 2, 0, -1, 0, -1, -1, 1, 3, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, -1, 2, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 1, -1, 0, -1, 3, -1, -1, -1, 0, -1, 0, 0, 0, -1, 0, 1, 3, -1, 2, -1, -1, -1, 2, -1, -1, 1, 3, 1, 3, 1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 3, 1, -1, -1, 2, -1, 0, -1, 2, 1, 1, -1, 1, 3, -1, 3, -1, 3, 2, -1, -1, 1, 0, -1, 0, -1, 0, 2, 2, -1, 2, -1, -1, -1, 0, 0, -1, -1, 0, -1, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 2, -1, 0, 3, -1, 0, -1, 0, 2, 0, -1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, 3, 1, -1, 0, 0, 0, 3, -1, 3, 3, 3, 1, -1, 2, -1, 2, -1, 2, -1, 2, -1, 0, 0, 2, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1]"
100,7,21,0.0,0.8542722675000001,4,146,"[{'cluster_no': -1, 'count': 146}, {'cluster_no': 0, 'count': 47}, {'cluster_no': 1, 'count': 22}, {'cluster_no': 2, 'count': 35}]","[-1, -1, 0, 2, -1, -1, 0, 2, -1, -1, 0, 2, 2, -1, -1, -1, 0, -1, 0, 0, 2, -1, 2, -1, -1, -1, 1, -1, -1, -1, 2, -1, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, 2, 1, 0, 1, -1, -1, -1, -1, -1, 2, -1, -1, -1, 0, -1, -1, 2, 1, -1, -1, 0, -1, -1, 2, 0, 1, 2, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 2, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0, 2, -1, -1, 1, -1, -1, -1, 1, -1, -1, 2, -1, 2, -1, 2, -1, -1, -1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 2, 0, -1, 1, 2, 2, -1, 2, -1, -1, -1, -1, -1, 1, -1, -1, 2, 0, -1, 0, -1, 0, 1, 1, -1, 1, -1, -1, -1, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, 0, 0, -1, 1, 0, 0, 0, 0, 2, 2, -1, 2, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 2, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, 2, -1, -1, 0, 0, -1, -1, -1, -1, -1, 2, -1, 1, -1, 1, -1, 1, -1, 1, -1, 0, 0, 1, -1, -1, -1, 2, -1, 2, 2, 2, -1, 2]"
95,14,8,0.0,0.8085265522,6,118,"[{'cluster_no': -1, 'count': 118}, {'cluster_no': 0, 'count': 51}, {'cluster_no': 1, 'count': 14}, {'cluster_no': 2, 'count': 16}, {'cluster_no': 3, 'count': 34}, {'cluster_no': 4, 'count': 17}]","[-1, -1, 0, 3, -1, -1, 0, 3, 0, -1, 0, 3, 3, -1, -1, -1, 0, -1, 0, -1, 3, -1, 3, -1, -1, 2, -1, -1, -1, -1, 3, 1, -1, -1, 0, 2, 0, -1, 0, 0, 0, -1, 3, 4, 0, 4, 0, -1, -1, -1, -1, 3, 2, -1, 1, 0, -1, -1, 3, -1, -1, -1, 0, -1, -1, 3, 0, 4, 3, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 3, -1, 0, -1, 2, 1, -1, -1, 0, 1, 0, 0, -1, 1, 0, 3, 2, -1, 4, -1, -1, -1, 4, -1, -1, 3, 2, 3, -1, 3, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 1, 2, -1, -1, -1, 4, -1, 0, -1, 4, 3, 3, -1, 3, -1, -1, 2, 1, 2, 4, -1, 3, 3, -1, -1, 0, -1, 0, 4, 4, -1, 4, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, 2, -1, -1, -1, 1, -1, -1, 3, -1, -1, 0, 0, 0, 0, 4, 0, 0, 0, -1, 3, 3, -1, -1, 0, 2, -1, 0, 2, -1, -1, 0, -1, 0, 3, -1, -1, -1, -1, -1, 4, -1, 3, -1, 1, 0, -1, -1, -1, 1, 0, 0, 2, 3, -1, -1, 0, 0, 2, -1, 2, 2, -1, 3, 1, 4, -1, -1, -1, 4, 1, 4, 0, 0, 0, 4, -1, -1, 1, 3, 1, 3, 3, 3, -1, 3]"
90,27,30,0.0,0.8296796603000001,3,148,"[{'cluster_no': -1, 'count': 148}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 1, 'count': 64}]","[-1, -1, -1, -1, -1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, 0, 0, 0, -1, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 1, -1, 0, 1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, 0, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, 0, 1, 1, 1, 1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 0, -1, 0, -1, 0, 1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 1, 0, 1, 1, 1, -1, 1, 1, -1, -1, -1, -1, -1, 1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, 1, -1, 0, 0, 1, 1, -1, -1, -1, 0, 1, -1, -1, 1, 1, -1, -1, 1, 0, 1, -1, 1, -1, 1, -1, 0, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1]"
85,7,21,0.0,0.8151446743,5,117,"[{'cluster_no': -1, 'count': 117}, {'cluster_no': 0, 'count': 53}, {'cluster_no': 1, 'count': 25}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 3, 'count': 34}]","[-1, -1, 0, 3, -1, -1, 0, 3, -1, -1, 0, 3, 3, -1, -1, -1, 0, 0, 0, 0, 3, -1, 3, -1, -1, 1, -1, -1, -1, -1, 3, -1, 0, -1, 0, 1, 0, 2, 0, 0, 0, -1, 3, 2, 0, 2, -1, -1, -1, -1, -1, 3, 1, -1, -1, 0, -1, -1, 3, 2, 0, -1, 0, -1, -1, 3, 0, 2, 3, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 3, 1, 0, -1, 1, -1, -1, -1, 0, -1, 0, 0, 0, -1, 0, 3, 1, -1, 2, -1, -1, -1, 2, -1, -1, 3, 1, 3, -1, 3, -1, -1, 1, -1, 0, -1, 0, 0, 1, -1, -1, -1, 1, 3, -1, -1, 2, 3, 0, -1, 2, 3, 3, -1, 3, 1, -1, 1, -1, 1, 2, -1, -1, 3, -1, -1, -1, -1, 0, 2, 2, -1, 2, 1, -1, 0, 0, 0, -1, -1, 0, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, -1, -1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 3, -1, 3, 0, 1, -1, 0, 1, -1, -1, 0, -1, 0, 3, 1, -1, -1, -1, -1, 2, -1, 2, -1, -1, 0, -1, -1, -1, -1, 0, 0, 1, 3, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, -1, 2, -1, -1, -1, 2, -1, 2, -1, 0, 0, 2, 2, -1, -1, 3, -1, 3, 3, 3, -1, 3]"
80,8,22,0.0,0.8109007183,5,106,"[{'cluster_no': -1, 'count': 106}, {'cluster_no': 0, 'count': 54}, {'cluster_no': 1, 'count': 31}, {'cluster_no': 2, 'count': 37}, {'cluster_no': 3, 'count': 22}]","[-1, -1, 0, 2, -1, 1, 0, 2, -1, -1, 0, 2, 2, -1, -1, -1, 0, 0, 0, 0, 2, -1, 2, 3, -1, 1, -1, -1, -1, -1, 2, -1, 0, -1, 0, 1, 0, 3, 0, 0, 0, -1, 2, 3, 0, 3, -1, -1, -1, -1, -1, 2, 1, -1, -1, 0, -1, -1, 2, 3, -1, -1, 0, -1, -1, 2, 0, 3, 2, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 2, 1, 0, -1, 1, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0, 2, 1, -1, 3, -1, 1, -1, 3, -1, -1, 2, 1, 2, 1, 2, -1, -1, 1, 3, 0, -1, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 3, -1, 0, 1, -1, 2, 2, -1, 2, 1, -1, 1, -1, 1, 3, -1, 2, 2, -1, -1, -1, -1, 0, 3, 3, -1, 3, 1, -1, -1, 0, 0, -1, 3, 0, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 2, 3, 2, 0, 1, -1, 0, 1, -1, -1, 0, -1, 0, 2, 1, -1, -1, -1, 0, 3, -1, -1, -1, -1, 0, -1, 1, 2, -1, 0, 0, 1, 2, -1, -1, 0, 0, 1, -1, 1, 1, 1, 2, -1, 3, -1, 3, -1, 3, -1, 3, 0, 0, 0, -1, 2, -1, -1, 2, -1, 2, 2, 2, -1, 2]"
75,30,30,0.0,0.8017994854,3,159,"[{'cluster_no': -1, 'count': 159}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 61}]","[-1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, 1, 0, -1, 0, -1, -1, 1, 0, 1, 0, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 0, -1, -1, 0, -1, -1, -1, -1, 1, -1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 0, -1, 0, 0, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, 0, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, 1, 1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 1, 0, -1, -1, -1, 1, 1, 1, -1, 0, 1, 1, 0, 1, -1, 1, 0, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, 1, 1, -1, -1, 1, 0, 1, -1, 1, -1, 1, -1, 0, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1]"
70,20,9,0.0,0.8414402149,6,143,"[{'cluster_no': -1, 'count': 143}, {'cluster_no': 0, 'count': 49}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 2, 'count': 18}, {'cluster_no': 3, 'count': 18}, {'cluster_no': 4, 'count': 13}]","[-1, -1, -1, -1, -1, -1, 0, 2, 0, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 4, 0, -1, 0, 0, 0, -1, -1, -1, 0, 3, 0, -1, -1, -1, -1, 2, 4, -1, -1, 0, -1, -1, -1, 3, -1, -1, 0, -1, -1, -1, -1, 3, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 2, -1, 0, -1, -1, 1, -1, -1, 0, 1, 0, 0, 0, 1, 0, -1, 4, -1, 3, 0, -1, -1, 3, -1, -1, 2, 4, -1, -1, 2, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, 4, 2, -1, -1, 3, -1, 0, -1, 3, 2, 2, -1, 2, -1, -1, 4, 1, -1, 3, -1, -1, 2, 0, -1, 0, -1, 0, 3, 3, -1, 3, -1, -1, -1, -1, 0, -1, -1, 0, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, -1, -1, 0, 0, 0, 3, 0, 0, 0, 0, -1, 2, 3, -1, 0, 4, -1, 0, 4, -1, 3, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, -1, -1, 1, 0, 0, 4, 2, -1, -1, 0, 0, 4, -1, -1, 4, -1, -1, 1, 3, -1, -1, -1, 3, 1, 3, -1, 0, 0, 3, -1, -1, -1, 2, -1, 2, 2, 2, -1, 2]"
65,6,24,0.0,0.8244427673,5,111,"[{'cluster_no': -1, 'count': 111}, {'cluster_no': 0, 'count': 54}, {'cluster_no': 1, 'count': 24}, {'cluster_no': 2, 'count': 24}, {'cluster_no': 3, 'count': 37}]","[-1, -1, 0, 3, -1, -1, 0, 3, -1, -1, 0, 3, 3, -1, -1, -1, 0, -1, 0, 0, 3, -1, 3, 2, -1, 1, 2, -1, -1, -1, 3, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, -1, 3, 2, 0, 2, 0, -1, -1, -1, -1, 3, 1, -1, -1, 0, -1, -1, 3, 2, 0, -1, 0, -1, -1, 3, -1, 2, 3, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 3, 1, 0, -1, 1, -1, -1, -1, 0, -1, 0, 0, 0, -1, 0, 3, 1, -1, 2, -1, -1, -1, 2, -1, -1, 3, 1, 3, -1, 3, -1, -1, 1, -1, 0, 0, 0, -1, -1, -1, -1, -1, 1, 3, -1, -1, 2, 3, 0, -1, 2, 3, 3, -1, 3, -1, -1, 1, -1, 1, 2, -1, 3, 3, 0, -1, 0, -1, 0, 2, 2, -1, 2, 1, -1, -1, 0, 0, -1, 2, 0, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 3, 2, 3, 0, 1, -1, 0, 1, -1, -1, 0, -1, 0, 3, 1, -1, -1, -1, -1, 2, -1, 2, -1, -1, 0, -1, -1, -1, -1, 0, 0, 1, 3, 3, -1, 0, 0, 1, -1, 1, 1, 1, 3, -1, 2, -1, 2, -1, 2, -1, 2, -1, 0, 0, 2, 3, -1, -1, 3, -1, 3, 3, 3, -1, 3]"
