HDBSCAN_Cluster,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y
-1,1,315.0,2018,Article,Spectral-Spatial Residual Network for Hyperspectral Image Classification: A 3-D Deep Learning Framework,"In this paper, we designed an end-to-end spectral-spatial residual network (SSRN) that takes raw 3-D cubes as input data without feature engineering for hyperspectral image classification. In this network, the spectral and spatial residual blocks consecutively learn discriminative features from abundant spectral signatures and spatial contexts in hyperspectral imagery (HSI). The proposed SSRN is a supervised deep learning framework that alleviates the declining-accuracy phenomenon of other deep learning models. Specifically, the residual blocks connect every other 3-D convolutional layer through identity mapping, which facilitates the backpropagation of gradients. Furthermore, we impose batch normalization on every convolutional layer to regularize the learning process and improve the classification performance of trained models. Quantitative and qualitative results demonstrate that the SSRN achieved the state-of-the-art HSI classification accuracy in agricultural, rural-urban, and urban data sets: Indian Pines, Kennedy Space Center, and University of Pavia. © 1980-2012 IEEE.",3-D deep learning; hyperspectral image classification; spectral-spatial feature extraction; spectral-spatial residual network (SSRN),"Zhong Z., Li J., Luo Z., Chapman M.",10.1109/TGRS.2017.2755542,7.29,2.19
1,2,274.0,2012,Article,Monitoring land cover change in urban and peri-urban areas using dense time stacks of Landsat satellite data and a data mining approach,"Given the pace and scale of urban expansion in many parts of the globe, urban environments are playing an increasingly important role in daily quality-of-life issues, ecological processes, climate, material flows, and land transformations. Remote sensing has emerged as a powerful tool to monitor rates and patterns of urban expansion, but many early challenges - such as distinguishing new urban land from bare ground - remain unsolved. To deal with the high temporal and spatial variability as well as complex, multi-signature classes within settlements, this paper presents a new approach that exploits multi-seasonal information in dense time stacks of Landsat imagery using a multi-date composite change detection technique. The central premise of the approach is that lands within/near urban areas have distinct temporal trajectories both before and after change occurs, and that these lead to characteristic temporal signatures in several spectral regions. The method relies on a supervised classification that exploits training data of stable/changed areas interpreted from Google Earth images, and a 'brute force' approach of providing all available Landsat data as input, including scenes with data gaps due to the Scan Line Corrector (SLC) problem. Three classification algorithms (maximum likelihood, boosted decision trees, and support vector machines) were tested for their ability to monitor expansion across five time periods (1988-1995, 1996-2000, 2001-2003, 2004-2006, 2007-2009) in three study areas that differ in size, eco-climatic conditions, and rates/patterns of development. Both the decision trees and support vector machines outperformed the maximum likelihood classifier (overall accuracy of 90-93%, compared to 65%), but the decision trees were superior at handling missing data. Adding transformed features such as band metrics to the Landsat data stack increased accuracy 1-4%, while experiments with a reduced number of features (designed to mimic noisy or missing data) led to a drop in accuracy of 1-9%. The methodology also proved particularly effective for monitoring peri-urbanization outside the urban core, capturing > 98% of village settlements. © 2012 Elsevier Inc.",Change detection; Cities; Classification; Decision trees; Environment; Land cover; Machine learning; Peri-urban; Random forests; Support vector machines; Urban areas; Urbanization,Schneider A.,10.1016/j.rse.2012.06.006,7.84,0.23
-1,3,181.0,2015,Conference Paper,Building detection in very high resolution multispectral data with deep learning features,"The automated man-made object detection and building extraction from single satellite images is, still, one of the most challenging tasks for various urban planning and monitoring engineering applications. To this end, in this paper we propose an automated building detection framework from very high resolution remote sensing data based on deep convolutional neural networks. The core of the developed method is based on a supervised classification procedure employing a very large training dataset. An MRF model is then responsible for obtaining the optimal labels regarding the detection of scene buildings. The experimental results and the performed quantitative validation indicate the quite promising potentials of the developed approach. © 2015 IEEE.",deep convolutional networks; extraction; ImageNet; Machine learning; man made objects,"Vakalopoulou M., Karantzalos K., Komodakis N., Paragios N.",10.1109/IGARSS.2015.7326158,5.72,1.94
-1,12,88.0,2012,Article,Mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks,"In the context of OpenStreetMap (OSM), spatial data quality, in particular completeness, is an essential aspect of its fitness for use in specific applications, such as planning tasks. To mitigate the effect of completeness errors in OSM, this study proposes a methodological framework for predicting by means of OSM urban areas in Europe that are currently not mapped or only partially mapped. For this purpose, a machine learning approach consisting of artificial neural networks and genetic algorithms is applied. Under the premise of existing OSM data, the model estimates missing urban areas with an overall squared correlation coefficient (R 2) of 0.589. Interregional comparisons of European regions confirm spatial heterogeneity in the model performance, whereas the R 2 ranges from 0.129 up to 0.789. These results show that the delineation of urban areas by means of the presented methodology depends strongly on location. © 2012 Taylor &amp; Francis Group, LLC.",Machine learning; OpenStreetMap UK; Spatial data quality; Volunteered geographic information,"Hagenauer J., Helbich M.",10.1080/13658816.2011.619501,7.39,-1.59
-1,17,77.0,2008,Article,Land-cover change and environmental impact analysis in the Greater Mankato area of Minnesota using remote sensing and GIS modelling,"Land use and land-cover (LULC) data provide essential information for environmental management and planning. This research evaluates the land-cover change dynamics and their effects for the Greater Mankato Area of Minnesota using image classification and Geographic Information Systems (GIS) modelling in high-resolution aerial photography and QuickBird imagery. Results show that from 1971 to 2003, urban impervious surfaces increased from 18.3% to 32.6%, while cropland and grassland decreased from 54.2% to 39.1%. The dramatic urbanization caused evident environmental impacts in terms of runoff and water quality, whereas the annual air pollution removal rate and carbon storage/sequestration remained consistent since urban forests were steady over the 32-year span. The results also indicate that highly accurate land-cover features can be extracted effectively from high-resolution imagery by incorporating both spectral and spatial information, applying an image-fusion technique, and utilizing the hierarchical machine-learning Feature Analyst classifier. This research fills the high-resolution LULC data gap for the Greater Mankato Area. The findings of the study also provide valuable inputs for local decision-makers and urban planners.",,Yuan F.,10.1080/01431160701294703,7.95,-0.14
0,19,69.0,2017,Conference Paper,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale,"Urban planning applications (energy audits, investment, etc.) require an understanding of built infrastructure and its environment, i.e., both low-level, physical features (amount of vegetation, building area and geometry etc.), as well as higher-level concepts such as land use classes (which encode expert understanding of socioeconomic end uses). This kind of data is expensive and labor-intensive to obtain, which limits its availability (particularly in developing countries). We analyze patterns in land use in urban neighborhoods using large-scale satellite imagery data (which is available worldwide from third-party providers) and state-of-the-art computer vision techniques based on deep convolutional neural networks. For supervision, given the limited availability of standard benchmarks for remote-sensing data, we obtain ground truth land use class labels carefully sampled from open-source surveys, in particular the Urban Atlas land classification dataset of 20 land use classes across 300 European cities. We use this data to train and compare deep architectures which have recently shown good performance on standard computer vision tasks (image classification and segmentation), including on geospatial data. Furthermore, we show that the deep representations extracted from satellite imagery of urban environments can be used to compare neighborhoods across several cities. We make our dataset available for other machine learning researchers to use for remote-sensing applications. © 2017 Copyright held by the owner/author(s).",Convolutional networks; Land use classification; Satellite imagery,"Albert A., Kaur J., Gonzalez M.C.",10.1145/3097983.3098070,6.3,2.21
-1,20,61.0,2014,Article,Building type classification using spatial and landscape attributes derived from LiDAR remote sensing data,"Building information is one of the key elements for a range of urban planning and management practices. In this study, an investigation was performed to classify buildings delineated from light detection and ranging (LiDAR) remote sensing data into three types: single-family houses, multiple-family houses, and non-residential buildings. Four kinds of spatial attributes describing the shape, location, and surrounding environment of buildings were calculated and subsequently employed in the classification. Experiments were performed in suburban and downtown sites in Denver, CO, USA, considering different building components and neighborhood environments. Building type classification results yielded overall accuracy > 70% and Kappa > 0.5 for both sites, demonstrating the feasibility of obtaining building type information from LiDAR data. The shape attributes, such as width, footprint area, and perimeter, were most useful for identifying building types. Environmental landscape attributes surrounding buildings, such as the number of road and parking lot pixels, also contributed to obtaining building type information. Combining shape and environmental landscape attributes was necessary to obtain accurate and consistent classification results. © 2014 Elsevier B.V.",Building classification; Decision trees; LiDAR; Machine learning; Random forest; Support vector machines,"Lu Z., Im J., Rhee J., Hodgson M.",10.1016/j.landurbplan.2014.07.005,5.09,0.73
-1,21,59.0,2015,Article,Urban land use and land cover classification using remotely sensed sar data through deep belief networks,"Land use and land cover (LULC) mapping in urban areas is one of the core applications in remote sensing, and it plays an important role in modern urban planning and management. Deep learning is springing up in the field of machine learning recently. By mimicking the hierarchical structure of the human brain, deep learning can gradually extract features from lower level to higher level. The Deep Belief Networks (DBN) model is a widely investigated and deployed deep learning architecture. It combines the advantages of unsupervised and supervised learning and can archive good classification performance. This study proposes a classification approach based on the DBN model for detailed urban mapping using polarimetric synthetic aperture radar (PolSAR) data. Through the DBN model, effective contextual mapping features can be automatically extracted from the PolSAR data to improve the classification performance. Two-date high-resolution RADARSAT-2 PolSAR data over the Great Toronto Area were used for evaluation. Comparisons with the support vector machine (SVM), conventional neural networks (NN), and stochastic Expectation-Maximization (SEM) were conducted to assess the potential of the DBN-based classification approach. Experimental results show that the DBN-based method outperforms three other approaches and produces homogenous mapping results with preserved shape details. © 2015 Qi Lv et al.",,"Lv Q., Dou Y., Niu X., Xu J., Xu J., Xia F.",10.1155/2015/538063,7.11,2.25
-1,25,51.0,2018,Article,Exploring the optimal integration levels between SAR and optical data for better urban land cover mapping in the Pearl River Delta,"Integrating synthetic aperture radar (SAR) and optical data to improve urban land cover classification has been identified as a promising approach. However, which integration level is the most suitable remains unclear but important to many researchers and engineers. This study aimed to compare different integration levels for providing a scientific reference for a wide range of studies using optical and SAR data. SAR data from TerraSAR-X and ENVISAT ASAR in both WSM and IMP modes were used to be combined with optical data at pixel level, feature level and decision levels using four typical machine learning methods. The experimental results indicated that: 1) feature level that used both the original images and extracted features achieved a significant improvement of up to 10% compared to that using optical data alone; 2) different levels of fusion required different suitable methods depending on the data distribution and data resolution. For instance, support vector machine was the most stable at both the feature and decision levels, while random forest was suitable at the pixel level but not suitable at the decision level. 3) By examining the distribution of SAR features, some features (e.g., homogeneity) exhibited a close-to-normal distribution, explaining the improvement from the maximum likelihood method at the feature and decision levels. This indicated the benefits of using texture features from SAR data when being combined with optical data for land cover classification. Additionally, the research also shown that combining optical and SAR data does not guarantee improvement compared with using single data source for urban land cover classification, depending on the selection of appropriate fusion levels and fusion methods. © 2017 Elsevier B.V.",Fusion level; Fusion strategies; Optical and SAR fusion; Urban land cover,"Zhang H., Xu R.",10.1016/j.jag.2017.08.013,6.88,0.78
-1,26,51.0,2015,Article,Combining Pixel-and Object-Based Machine Learning for Identification of Water-Body Types from Urban High-Resolution Remote-Sensing Imagery,"Water is one of the vital components for the ecological environment, which plays an important role in human survival and socioeconomic development. Water resources in urban areas are gradually decreasing due to the rapid urbanization, especially in developing countries. Therefore, the precise extraction and automatic identification of water bodies are of great significance and urgently required for urban planning. It should be noted that although some studies have been reported regarding the water-area extraction, to our knowledge, few papers concern the identification of urban water types (e.g., rivers, lakes, canals, and ponds). In this paper, a novel two-level machine-learning framework is proposed for identifying the water types from urban high-resolution remote-sensing images. The framework consists of two interpretation levels: 1) water bodies are extracted at the pixel level, where the water/shadow/vegetation indexes are considered and 2) water types are further identified at the object level, where a set of geometrical and textural features are used. Both levels employ machine learning for the image interpretation. The proposed framework is validated using the GeoEye-1 and WorldView-2 images, over two mega cities in China, i.e., Wuhan and Shenzhen, respectively. The experimental results show that the proposed method achieved satisfactory accuracies for both water extraction [95.4% (Shenzhen), 96.2% (Wuhan)], and water type classification [94.1% (Shenzhen), 95.9% (Wuhan)] in complex urban areas. © 2015 IEEE.",High resolution; machine learning; object-oriented; water detection; water extraction; water index,"Huang X., Xie C., Fang X., Zhang L.",10.1109/JSTARS.2015.2420713,6.44,-0.1
