,parent,child,lambda_val,child_size
0,129,18,2672.808029313366,1
1,129,25,2818.2791869645557,1
2,129,59,2916.2551712150184,1
3,129,91,2922.350809963421,1
4,129,16,2925.4081952920665,1
5,129,6,3117.282794500186,1
6,129,35,3134.1707453764243,1
7,129,48,3182.928476569911,1
8,129,106,3263.4148998249366,1
9,129,52,3303.9023237495076,1
10,129,13,3325.5135777998016,1
11,129,78,3346.074192261667,1
12,129,3,3368.918875502008,1
13,129,51,3460.6468646864687,1
14,129,43,3463.5045417010733,1
15,129,0,3466.3669421487602,1
16,129,23,3468.516849286748,1
17,129,31,3519.4495489825886,1
18,129,63,3540.2439333192656,1
19,129,88,3567.3433978311714,1
20,129,8,3597.173241852487,1
21,129,81,3630.6461804804153,1
22,129,17,3630.6461804804153,1
23,129,94,3748.260947274352,1
24,129,9,3803.4948991158467,1
25,129,115,3819.0794445709084,1
26,129,19,3856.831264367816,1
27,129,61,3867.5002305209773,1
28,129,20,3872.8568790397044,1
29,129,99,3993.624375148774,1
30,129,105,4067.2038787878787,1
31,129,58,4088.01559454191,1
32,129,66,4102.00880195599,1
33,129,10,4109.04139113397,1
34,129,22,4156.891972249752,1
35,129,37,4254.936850114126,1
36,129,38,4280.994131155907,1
37,129,95,4306.2669404517455,1
38,129,36,4310.692702980473,1
39,129,7,4340.806209573092,1
40,129,49,4396.545073375262,1
41,129,54,4429.043294614572,1
42,129,116,4473.924266666667,1
43,129,2,4507.580870499732,1
44,129,117,4536.835045970795,1
45,129,55,4562.745716616807,1
46,129,93,4590.209575923393,1
47,129,82,4606.594179022515,1
48,129,126,4634.590055248619,1
49,129,60,4644.8549280177185,1
50,129,42,4650.0044345898,1
51,129,97,4691.615212527964,1
52,129,12,4698.184262111454,1
53,129,75,4708.733090092619,1
54,129,53,4715.3501967397415,1
55,129,69,4729.973498731322,1
56,129,127,4736.6504799548275,1
57,129,24,4739.326553672317,1
58,129,125,4747.372948500283,1
59,129,92,4805.848181036952,1
60,129,98,4814.122238163558,1
61,129,96,4829.365572826713,1
62,129,85,4833.539613944108,1
63,129,65,4848.906358381503,1
64,129,30,4853.114260919872,1
65,129,4,4911.36299765808,1
66,129,109,4930.125183661476,1
67,129,130,4979.8800831107155,30
68,129,131,4979.8800831107155,32
69,130,33,4991.733412674799,1
70,130,68,4991.733412674799,1
71,130,86,4991.733412674799,1
72,130,57,4991.733412674799,1
73,130,77,4991.733412674799,1
74,130,111,4991.733412674799,1
75,130,32,4991.733412674799,1
76,130,45,4991.733412674799,1
77,130,72,4991.733412674799,1
78,130,28,4991.733412674799,1
79,130,5,4991.733412674799,1
80,130,103,4991.733412674799,1
81,130,15,4991.733412674799,1
82,130,118,4991.733412674799,1
83,130,41,4991.733412674799,1
84,130,113,4991.733412674799,1
85,130,107,4991.733412674799,1
86,130,83,4991.733412674799,1
87,130,71,4991.733412674799,1
88,130,62,4991.733412674799,1
89,130,67,4991.733412674799,1
90,130,84,4991.733412674799,1
91,130,90,4991.733412674799,1
92,130,101,4991.733412674799,1
93,130,70,4991.733412674799,1
94,130,87,4991.733412674799,1
95,130,112,4991.733412674799,1
96,130,102,4991.733412674799,1
97,130,120,4991.733412674799,1
98,130,47,4991.733412674799,1
99,131,122,4979.8800831107155,1
100,131,44,5021.615085303802,1
101,131,46,5029.141486810551,1
102,131,39,5029.141486810551,1
103,131,1,5029.141486810551,1
104,131,11,5029.141486810551,1
105,131,114,5029.141486810551,1
106,131,123,5029.141486810551,1
107,131,14,5029.141486810551,1
108,131,56,5029.141486810551,1
109,131,64,5029.141486810551,1
110,131,76,5029.141486810551,1
111,131,29,5029.141486810551,1
112,131,79,5029.141486810551,1
113,131,50,5029.141486810551,1
114,131,40,5029.141486810551,1
115,131,110,5029.141486810551,1
116,131,26,5029.141486810551,1
117,131,89,5029.141486810551,1
118,131,124,5029.141486810551,1
119,131,74,5029.141486810551,1
120,131,34,5029.141486810551,1
121,131,21,5029.141486810551,1
122,131,100,5029.141486810551,1
123,131,80,5029.141486810551,1
124,131,121,5029.141486810551,1
125,131,104,5029.141486810551,1
126,131,128,5029.141486810551,1
127,131,73,5029.141486810551,1
128,131,27,5029.141486810551,1
129,131,119,5029.141486810551,1
130,131,108,5029.141486810551,1
