iteration,total_papers,dimension,min_samples,min_cluster_size,score,Cluster,NumDocs,Percent,DocIds
0,584,40,30,24,0.8463242702,-1,250,0.4280821918,"[5, 6, 8, 9, 10, 14, 22, 23, 24, 27, 28, 29, 34, 35, 36, 38, 39, 42, 45, 46, 48, 49, 50, 51, 52, 59, 66, 67, 69, 73, 75, 79, 83, 85, 86, 88, 89, 91, 95, 98, 101, 103, 104, 107, 114, 117, 119, 120, 121, 128, 130, 131, 132, 134, 136, 138, 140, 142, 143, 145, 146, 149, 151, 153, 154, 155, 157, 159, 160, 162, 164, 165, 167, 168, 169, 173, 174, 179, 181, 183, 184, 185, 188, 194, 195, 196, 198, 199, 200, 201, 206, 209, 212, 213, 216, 217, 221, 222, 226, 227, 229, 232, 233, 234, 235, 239, 241, 243, 244, 246, 247, 251, 252, 253, 254, 255, 257, 259, 263, 266, 269, 271, 274, 277, 278, 283, 285, 286, 287, 290, 293, 294, 304, 306, 307, 308, 309, 312, 314, 315, 318, 320, 322, 323, 325, 326, 328, 330, 333, 336, 338, 340, 342, 343, 345, 348, 349, 350, 355, 356, 363, 365, 379, 380, 383, 384, 386, 391, 394, 395, 396, 399, 403, 411, 412, 413, 414, 415, 416, 418, 420, 421, 424, 425, 426, 429, 432, 434, 435, 436, 438, 440, 441, 443, 445, 446, 447, 452, 456, 457, 462, 463, 466, 467, 468, 472, 473, 475, 476, 479, 480, 481, 484, 492, 493, 499, 507, 509, 516, 524, 526, 527, 536, 541, 544, 546, 551, 552, 553, 554, 560, 562, 565, 567, 569, 570, 571, 572, 573, 579, 583, 588, 589, 590, 592, 594, 595, 596, 598, 599]"
0,584,40,30,24,0.8463242702,0,181,0.30993150680000003,"[4, 7, 13, 18, 32, 33, 40, 44, 47, 57, 60, 65, 78, 82, 87, 92, 94, 97, 106, 108, 116, 118, 122, 123, 124, 127, 129, 133, 141, 158, 161, 170, 175, 180, 187, 189, 190, 191, 192, 193, 203, 205, 207, 208, 210, 215, 218, 219, 225, 230, 231, 236, 240, 248, 250, 258, 260, 261, 262, 264, 265, 268, 270, 272, 273, 275, 276, 279, 281, 282, 284, 288, 289, 295, 296, 298, 299, 301, 302, 305, 310, 311, 316, 317, 321, 334, 335, 337, 339, 341, 344, 351, 352, 353, 354, 357, 368, 369, 370, 371, 372, 373, 374, 376, 377, 381, 387, 388, 392, 393, 397, 398, 400, 402, 404, 405, 406, 408, 409, 417, 419, 433, 442, 448, 449, 453, 461, 464, 477, 478, 482, 483, 487, 489, 490, 491, 494, 495, 496, 498, 500, 501, 502, 508, 511, 512, 514, 515, 519, 520, 523, 525, 528, 529, 530, 533, 534, 543, 545, 547, 549, 550, 555, 556, 558, 559, 561, 563, 566, 574, 577, 578, 581, 582, 584, 585, 587, 591, 593, 597, 600]"
0,584,40,30,24,0.8463242702,1,129,0.220890411,"[1, 2, 3, 12, 17, 19, 20, 21, 25, 26, 30, 31, 37, 41, 53, 54, 56, 58, 61, 63, 64, 68, 70, 71, 72, 74, 76, 77, 81, 84, 90, 96, 99, 100, 102, 105, 109, 110, 111, 112, 113, 125, 126, 137, 139, 144, 147, 148, 150, 156, 166, 171, 172, 176, 177, 178, 182, 186, 197, 202, 204, 211, 220, 223, 224, 228, 237, 238, 242, 245, 249, 256, 292, 297, 300, 313, 324, 327, 329, 332, 347, 361, 364, 367, 378, 382, 385, 389, 401, 407, 428, 430, 431, 437, 439, 444, 450, 451, 454, 455, 459, 460, 465, 469, 471, 474, 485, 486, 488, 497, 503, 504, 505, 506, 521, 522, 531, 532, 535, 537, 538, 539, 540, 548, 564, 568, 575, 576, 580]"
0,584,40,30,24,0.8463242702,2,24,0.0410958904,"[11, 15, 16, 43, 62, 93, 115, 135, 331, 346, 360, 366, 375, 390, 410, 422, 423, 427, 470, 513, 517, 518, 542, 557]"
1,250,60,12,17,0.8601405219,-1,129,0.516,"[5, 6, 10, 14, 24, 27, 35, 36, 38, 42, 49, 51, 52, 66, 67, 69, 73, 79, 85, 91, 103, 120, 121, 128, 130, 134, 136, 140, 142, 145, 146, 149, 153, 154, 157, 162, 164, 167, 168, 173, 174, 181, 184, 188, 195, 196, 198, 200, 209, 212, 221, 226, 227, 229, 233, 234, 246, 247, 251, 252, 253, 254, 259, 263, 266, 269, 277, 278, 285, 287, 304, 307, 308, 312, 318, 320, 323, 325, 326, 328, 338, 342, 343, 345, 350, 355, 380, 383, 386, 391, 394, 395, 396, 399, 412, 413, 432, 434, 438, 443, 445, 447, 457, 462, 463, 466, 467, 472, 473, 475, 476, 480, 481, 484, 492, 516, 524, 541, 553, 560, 565, 567, 569, 571, 579, 588, 589, 592, 598]"
1,250,60,12,17,0.8601405219,0,49,0.196,"[8, 22, 28, 39, 45, 46, 83, 86, 89, 95, 98, 101, 114, 119, 138, 151, 165, 169, 179, 185, 199, 201, 206, 213, 255, 257, 286, 330, 348, 349, 356, 414, 415, 416, 420, 421, 424, 425, 435, 440, 446, 452, 479, 493, 499, 526, 527, 572, 573]"
1,250,60,12,17,0.8601405219,1,34,0.136,"[9, 23, 29, 34, 48, 50, 75, 104, 131, 143, 155, 160, 183, 216, 235, 241, 244, 274, 293, 294, 306, 322, 403, 426, 429, 456, 509, 552, 583, 590, 594, 595, 596, 599]"
1,250,60,12,17,0.8601405219,2,17,0.068,"[107, 117, 159, 222, 232, 283, 290, 315, 333, 336, 340, 363, 418, 468, 554, 562, 570]"
1,250,60,12,17,0.8601405219,3,21,0.084,"[59, 88, 132, 194, 217, 239, 243, 271, 309, 314, 365, 379, 384, 411, 436, 441, 507, 536, 544, 546, 551]"
2,129,25,8,14,0.8752775368,-1,94,0.7286821705000001,"[5, 10, 14, 24, 27, 35, 36, 38, 42, 49, 51, 52, 66, 69, 73, 85, 91, 103, 128, 134, 136, 140, 142, 145, 146, 149, 153, 157, 167, 173, 174, 181, 184, 188, 196, 198, 209, 227, 234, 246, 247, 251, 252, 253, 254, 259, 263, 277, 278, 285, 287, 307, 308, 318, 320, 323, 326, 338, 342, 343, 345, 355, 380, 383, 386, 391, 394, 395, 399, 412, 413, 432, 434, 438, 447, 457, 462, 463, 466, 467, 472, 473, 480, 481, 484, 516, 560, 565, 567, 569, 571, 579, 588, 589]"
