Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,root_-1_-1,-1,10,"['disaster risk management', 'disaster risk assessment', 'random forest', 'natural disaster prediction', 'natural disaster evaluation', 'hydrologic risk', 'Random Forest machine', 'Random Forest algorithm', 'large earthquake', 'flood loss assessment']",19,"[25, 30, 53, 111, 204, 228, 242, 313, 324, 401, 431, 451, 460, 465, 488, 497, 503, 532, 568]",0.9883000000000001,5,5,10
1,root_-1_-1,0,14,"['video semantic segmentation', 'semantic segmentation', 'explainable semantic segmentation', 'semantic net', 'semantic labelling', 'semantic inpainting algorithm', 'sar data', 'meaningful semantic class', 'synthetic aperture radar', 'SAR mapping', 'SAR image classification', 'SAR image', 'SAR feature', 'inpainting']",16,"[21, 25, 56, 58, 77, 109, 144, 148, 178, 202, 249, 313, 486, 506, 538, 568]",0.9883000000000001,5,5,10
1,root_-1_-1,1,10,"['wave signature', 'temporal information', 'spectral information', 'spatiotemporal uncertainty', 'spatiotemporal change', 'information entropy', 'abundant spectral signature', 'Spatiotemporal modeling', 'learned uncertainty estimate', 'HSV color space']",10,"[1, 202, 256, 297, 361, 407, 469, 485, 486, 506]",0.9883000000000001,5,5,10
1,root_-1_3,0,19,"['fast building detection', 'building extraction accuracy', 'building extraction', 'Automatic building extraction', 'automatic building detection', 'vehicle detection', 'unreinforced masonry building', 'single vehicle extraction', 'shadow detection', 'road infrastructure extraction', 'road edge detection', 'Road detection', 'Precise object detection', 'object detection method', 'light detection', 'edge detection', 'classification road extraction', 'Accurate road extraction', 'nighttime light']",18,"[54, 100, 125, 137, 249, 292, 364, 385, 389, 401, 428, 444, 451, 454, 460, 488, 505, 575]",0.9694,15,15,19
1,root_-1_3,1,19,"['Road centerline extraction', 'centerline extraction method', 'texture analysis', 'Multiscale road centerline', 'intensity analysis', 'image analysis', 'contour extraction', 'connected component analysis', 'unsupervised spectral unmixing', 'unsupervised feature learning', 'textural information', 'recognition system', 'novel method', 'new index', 'Jaccard index', 'image interpretation', 'computer vision', 'automatic method', 'automatic identification']",19,"[26, 31, 58, 64, 76, 77, 100, 111, 125, 126, 148, 224, 327, 364, 367, 385, 430, 576, 580]",0.9694,15,15,19
1,root_0_-1,-1,7,"['small object', 'tree', 'scene object', 'object', 'deciduous tree', 'appearance object', 'forest']",9,"[109, 125, 150, 156, 176, 186, 211, 245, 454]",0.9428000000000001,40,10,11
1,root_0_-1,0,113,"['urban land prediction', 'urban data', 'sensed urban data', 'land use datasets', 'land use data', 'land classification dataset', 'land boundary data', 'digital urban data', 'water consumption data', 'vacant land spread', 'urbanization lead', 'urbanization', 'urban water type', 'urban sprawl', 'urban planning model', 'urban intelligent navigator', 'urban hydrologic modelling', 'urban growth', 'urban feature extraction', 'urban expansion trend', 'urban city modelling', 'urban area extraction', 'sustainable urban planning', 'spatial data quality', 'spatial data', 'smart urban planning', 'sensed activity data', 'Rapid urban growth', 'predict urban expansion', 'LandUse data set', 'landscape structural transformation', 'Landsat data stack', 'Landsat data', 'landcover classification', 'land use map', 'land use information', 'land use dynamic', 'land use classification', 'land use class', 'land use change', 'land use category', 'land price prediction', 'land expansion', 'land cover classification', 'land cover change', 'land change model', 'industrial land recognition', 'future urban extent', 'future land use', 'future land management', 'footprint data', 'digital landscape model', 'croplands', 'area geospatial data', 'annual urbanization', 'air quality data', 'accurate urban mapping', 'accelerated land use', 'volunteered geographic information', 'Various graph measure', 'Urban population distribution', 'time series', 'surface openness', 'spatial trend', 'spatial logistic regression', 'spatial distribution', 'spatial', 'smart city growth', 'roofs', 'roof superstructure classification', 'roof diaphragms', 'regional planning relies', 'Regional mapping', 'precision agriculture', 'population mapping', 'population forecasting', 'population density', 'perennial drainage', 'material consumption analysis', 'Logistic regression analysis', 'Landsat satellite imagery', 'Landsat satellite image', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image', 'Interregional comparison', 'historical topographic map', 'growth modeling', 'GIS workflow', 'GIS modelling', 'GIS functionality', 'GIS approach', 'geospatial application', 'geographic information system', 'geographic information', 'fertile Tarai region', 'facing sustainability threat', 'elevation model', 'elevation', 'ecosystem service', 'distribution map', 'decadal historical pattern', 'cover classification', 'cover change analysis', 'combinatory trend', 'census population', 'building type information', 'building size prediction', 'building height', 'building footprint', 'building detection', 'anthropogenic impervious surface', 'annual air pollution']",80,"[2, 3, 12, 17, 19, 20, 21, 25, 26, 30, 53, 56, 58, 63, 68, 70, 74, 76, 77, 81, 84, 90, 96, 99, 112, 125, 126, 139, 144, 147, 156, 166, 172, 176, 177, 182, 197, 202, 204, 223, 224, 228, 242, 297, 300, 313, 324, 327, 329, 332, 347, 361, 401, 407, 428, 430, 431, 437, 439, 455, 459, 460, 465, 471, 485, 488, 497, 503, 504, 521, 522, 531, 532, 535, 537, 538, 548, 564, 576, 580]",0.9428000000000001,40,10,11
1,root_0_-1,1,11,"['slum mapping', 'mapping', 'deprivation mapping', 'automatic mapping', 'urban slum area', 'slum', 'map revision', 'map', 'complex map production', 'change map', 'urban neighborhood']",10,"[19, 21, 71, 77, 110, 324, 531, 532, 568, 580]",0.9428000000000001,40,10,11
1,root_0_0,-1,3,"['planning coastal area', 'conflict zone', 'bathymetry estimation']",3,"[166, 347, 469]",0.8712000000000001,20,5,12
1,root_0_0,0,12,"['urban planning sector', 'urban planning', 'urban building', 'local urban planning', 'urban structure type', 'urban morphology', 'urban governance implication', 'urban development', 'individual building', 'common building typology', 'binary urban footprint', 'development zone construction']",38,"[3, 30, 41, 53, 70, 96, 110, 111, 126, 137, 144, 171, 176, 177, 197, 202, 223, 228, 237, 297, 367, 385, 428, 430, 444, 450, 451, 459, 460, 474, 488, 497, 506, 522, 531, 538, 540, 548]",0.8712000000000001,20,5,12
1,root_0_0,1,20,"['complex urban area', 'urban area', 'OSM urban area', 'complex urban study', 'urban environment', 'surface urban heat', 'populated urban region', 'large urban scene', 'catchment area', 'Athens area', 'water body', 'Urban Atlas land', 'Taliban regime', 'small polish city', 'Population spatialization', 'populated emirate', 'large window', 'Lahore city', 'Historical Cityscape', 'Coastal development']",22,"[2, 12, 19, 26, 58, 77, 81, 147, 156, 166, 171, 182, 224, 228, 347, 389, 469, 474, 521, 540, 564, 580]",0.8712000000000001,20,5,12
1,root_0_1,-1,15,"['Urban land use', 'urban land cover', 'truth land use', 'optimal urban land', 'urban vegetation mapping', 'urban greenery information', 'urban forest cover', 'residential land', 'landscape diversity', 'Land use', 'inefficient industrial land', 'green urban area', 'agricultural land', 'sand consumption', 'agricultural conversion']",25,"[17, 19, 21, 25, 31, 63, 64, 68, 102, 109, 112, 139, 176, 186, 204, 324, 329, 332, 382, 407, 431, 459, 471, 537, 576]",0.8667,15,5,10
1,root_0_1,0,10,"['vegetation specie mapping', 'vegetation', 'greenery land cover', 'greenery auto extraction', 'difference vegetation index', 'climate zone mapping', 'shrubland coverage', 'green space analysis', 'environmental landscape attribute', 'climate analysis']",9,"[20, 72, 90, 99, 102, 150, 249, 382, 540]",0.8667,15,5,10
1,root_0_1,1,14,"['landcover map', 'land cover mapping', 'land cover map', 'sensed land cover', 'land use mapping', 'land cover pattern', 'land cover extraction', 'land cover class', 'land cover', 'natural land', 'cloud coverage', 'settlement pattern', 'nonroad area removing', 'cadastral parcel layer']",19,"[30, 53, 76, 102, 113, 178, 186, 224, 245, 347, 364, 382, 407, 459, 505, 531, 537, 538, 539]",0.8667,15,5,10
1,root_2_-1,-1,20,"['ensemble learning', 'transfer learning', 'shape descriptor', 'many visual descriptor', 'feature descriptor', 'extreme learning machine', 'ensemble classifier', 'descriptor extraction', 'trained SVM classifier', 'SVM technique', 'SVM modeling', 'support vector regression', 'Support Vector Machine', 'invariant augmentation', 'feature importance', 'feature extraction', 'Ensemble method', 'Conditional random field', 'conditional adversarial term', 'adversarial training']",22,"[31, 37, 41, 54, 61, 68, 84, 105, 109, 137, 148, 156, 211, 242, 256, 329, 428, 439, 444, 504, 540, 575]",0.9931000000000001,15,10,11
1,root_2_-1,0,13,"['deep learning scheme', 'deep learning model', 'deep learning framework', 'deep learning algorithm', 'deep belief network', 'neural network paradigm', 'neural network', 'deep representation', 'Deep learning paradigm', 'deep architecture', 'artificial neural network', 'fractal net evolution', 'cellular automaton model']",17,"[12, 19, 21, 81, 105, 111, 139, 156, 172, 292, 382, 389, 454, 465, 485, 522, 532]",0.9931000000000001,15,10,11
1,root_2_-1,1,13,"['image classification task', 'supervised image classification', 'OLI image classification', 'image classification method', 'image classification approach', 'image classification', 'secondary task', 'object classification result', 'multilabel classification', 'CNN classification', 'binary feature classification', 'CNNs parameter', 'binary class']",16,"[17, 64, 68, 72, 113, 137, 150, 186, 245, 256, 361, 378, 385, 471, 539, 575]",0.9931000000000001,15,10,11
1,root_2_-1,2,11,"['high classification accuracy', 'high classification', 'classification accuracy', 'significant accuracy', 'consistent classification result', 'accuracy', 'RMSE value', 'prediction error', 'powerful sensor', 'hyperspectral system', 'accurate prediction']",13,"[20, 63, 68, 74, 197, 238, 327, 451, 454, 455, 505, 535, 539]",0.9931000000000001,15,10,11
