dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
85,8,5,0.0,0.6585221968,4,77,"[{'cluster_no': -1, 'count': 77}, {'cluster_no': 0, 'count': 5}, {'cluster_no': 1, 'count': 6}, {'cluster_no': 2, 'count': 6}]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, -1, -1, 1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, 2, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 2, -1, -1, -1, -1, 1, 2, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]"
80,11,6,0.0,0.6203376167,3,76,"[{'cluster_no': -1, 'count': 76}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 6}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, 1]"
75,9,5,0.0,0.7744980583000001,4,78,"[{'cluster_no': -1, 'count': 78}, {'cluster_no': 0, 'count': 5}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 2, 'count': 6}]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, -1, -1, 1, 2, -1, 1, -1, -1, -1, -1, 2, 1, -1, -1, -1, -1, 1, 2, -1, -1, -1, 2]"
70,3,18,0.0,0.6657140907,3,54,"[{'cluster_no': -1, 'count': 54}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 22}]","[0, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1, -1, 0, 1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 0, 1, -1, -1, -1, 1]"
65,9,7,0.0,0.6102902321,3,77,"[{'cluster_no': -1, 'count': 77}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 10}]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, -1, -1]"
60,4,9,0.0,0.6442084699,4,50,"[{'cluster_no': -1, 'count': 50}, {'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 2, 'count': 11}]","[0, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, -1, 2, -1, 1, -1, -1, -1, 0, -1, -1, 2, 0, -1, -1, 1, 0, -1, -1, 2, -1, -1, 2, -1, 2, -1, -1, -1, 2, 1, 0, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 2, -1, 0, 2, 0, -1, -1, -1, -1, -1, 1, 2, -1, 2, -1, 2, 0, 1, -1, 0, -1, 1]"
55,4,9,0.0,0.6449240435,4,63,"[{'cluster_no': -1, 'count': 63}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 10}, {'cluster_no': 2, 'count': 10}]","[0, 0, -1, -1, 0, 2, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, 0, -1, 2, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, 2, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 0, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, 1, -1, -1, 1, 2, -1, -1, 2, -1, -1, -1, 1, 2, 1, -1, 1, -1, -1, 2, -1, -1, -1]"
50,9,5,0.0,0.644780338,3,79,"[{'cluster_no': -1, 'count': 79}, {'cluster_no': 0, 'count': 5}, {'cluster_no': 1, 'count': 10}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1, 0, 1, 1, -1, -1, -1, 1, 0, -1, 1, -1, 0]"
45,10,7,0.0,0.6273757626,4,70,"[{'cluster_no': -1, 'count': 70}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 7}, {'cluster_no': 2, 'count': 10}]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 2, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, -1, -1, -1, 0, 0, -1, -1, -1, 0, 1, -1, -1, -1, 2, -1, 2, 2, -1, -1, -1, -1, 0, 2, 2, -1, -1, -1, -1, 0, 2, 2, -1, 0]"
40,5,6,0.0,0.5861481524000001,6,52,"[{'cluster_no': -1, 'count': 52}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 3, 'count': 10}, {'cluster_no': 4, 'count': 6}]","[3, 3, -1, -1, 3, 1, -1, 4, 3, 3, 4, 1, 3, -1, -1, 4, -1, -1, 1, -1, -1, -1, 1, 3, -1, -1, -1, 3, -1, -1, -1, -1, 2, 1, -1, -1, -1, -1, 3, -1, -1, 2, 4, -1, -1, 0, 1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, 3, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 2, 1, 4, -1, 1, 2, 0, 1, -1, -1, 0, 2, 1, 2, -1, -1, 4, 0, 1, -1, -1, 0]"
