,parent,child,lambda_val,child_size
0,94,26,2643.7466120390795,1
1,94,47,2852.2978578714724,1
2,94,13,3093.7149179420985,1
3,94,49,3177.5030303030303,1
4,94,31,3255.8152532505337,1
5,94,48,3273.6031219512197,1
6,94,39,3294.171608089535,1
7,94,54,3358.802002002002,1
8,94,36,3380.458593592585,1
9,94,20,3459.219793814433,1
10,94,28,3956.890566037736,1
11,94,18,3957.8240150979004,1
12,94,55,4020.4208003834174,1
13,94,72,4054.4262928951184,1
14,94,29,4094.0009760858957,1
15,94,85,4151.74857708488,1
16,94,5,4279.902040816327,1
17,94,79,4305.161919425199,1
18,94,19,4356.5868605557,1
19,94,56,4443.118644067797,1
20,94,81,4483.489043292357,1
21,94,6,4551.604991861096,1
22,94,66,4621.82258953168,1
23,94,59,4642.284449363586,1
24,94,67,4662.928293496387,1
25,94,63,4691.615212527964,1
26,94,44,4750.061155152888,1
27,94,17,4774.392714854866,1
28,94,40,4775.751779106177,1
29,94,4,4775.751779106177,1
30,94,50,4857.329473074696,1
31,94,62,4875.680325486777,1
32,94,68,4878.515847630125,1
33,94,2,4993.219047619048,1
34,94,92,5008.124179104478,1
35,94,16,5018.610828597069,1
36,94,14,5029.141486810551,1
37,94,57,5104.1119561910555,1
38,94,21,5202.237519379845,1
39,94,78,5213.55376009944,1
40,94,11,5236.334581772784,1
41,94,34,5292.497160883281,1
42,94,86,5304.209927284224,1
43,94,27,5304.209927284224,1
44,94,0,5348.172138986292,1
45,94,43,5361.845957174816,1
46,94,24,5433.036269430052,1
47,94,8,5454.231469440832,1
48,94,7,5479.169170476813,1
49,94,42,5479.169170476813,1
50,94,87,5489.926701570681,1
51,94,37,5502.530665792063,1
52,94,33,5515.192636423406,1
53,94,41,5559.0510271703115,1
54,94,30,5607.358288770053,1
55,94,3,5643.194080053818,1
56,94,64,5650.7969013135735,1
57,94,53,5654.605999325919,1
58,94,80,5689.12037978976,1
59,94,15,5729.92349726776,1
60,94,73,5803.257004496714,1
61,94,91,5874.375350140056,1
62,94,32,5919.977417078335,1
63,94,23,5926.250794772165,1
64,94,65,5964.172058300746,1
65,94,22,5979.050605844619,1
66,94,61,5989.723670117815,1
67,94,90,6037.141417776178,1
68,94,35,6181.730287398674,1
69,94,25,6206.887162412135,1
70,94,51,6218.389918458117,1
71,94,52,6236.883271375465,1
72,94,10,6248.497579143389,1
73,94,46,6269.512705530643,1
74,94,12,6379.169581749049,1
75,94,71,6405.962581137839,1
76,94,84,6445.338455628122,1
77,94,95,6445.338455628122,5
78,94,96,6445.338455628122,12
79,95,38,6462.718027734977,1
80,95,1,6462.718027734977,1
81,95,9,6462.718027734977,1
82,95,60,6462.718027734977,1
83,95,70,6462.718027734977,1
84,96,76,6445.338455628122,1
85,96,97,6477.689575289575,5
86,96,98,6477.689575289575,6
87,97,74,6477.689575289575,1
88,97,88,6477.689575289575,1
89,97,77,6477.689575289575,1
90,97,58,6477.689575289575,1
91,97,83,6477.689575289575,1
92,98,75,6502.796899224806,1
93,98,45,7154.463113006396,1
94,98,82,7154.463113006396,1
95,98,69,7154.463113006396,1
96,98,89,7154.463113006396,1
97,98,93,7154.463113006396,1
