dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
90,10.0,15.0,0.0,0.8282385476,3.0,59.0,"[{'cluster_no': -1, 'count': 59}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 20}]","[0, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, 1, -1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, 0, 0, -1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 0, -1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, -1, 0, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
85,10.0,15.0,0.0,0.8086680694,3.0,58.0,"[{'cluster_no': -1, 'count': 58}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 20}]","[0, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, 1, 1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, 1, -1, -1, 1, -1, 1, -1, 0, 1, 1, 0, -1, -1, 1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, -1, -1, -1]"
80,,,,0.0,,,,
75,10.0,15.0,0.0,0.8190068607000001,3.0,60.0,"[{'cluster_no': -1, 'count': 60}, {'cluster_no': 0, 'count': 17}, {'cluster_no': 1, 'count': 20}]","[0, -1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1, 0, -1, -1, 1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
70,10.0,15.0,0.0,0.8409803585000001,3.0,55.0,"[{'cluster_no': -1, 'count': 55}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 23}]","[0, 1, -1, -1, -1, 0, 1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 0, 1, 1, 0, -1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1, -1, -1, -1]"
65,,,,0.0,,,,
60,,,,0.0,,,,
55,10.0,20.0,0.0,0.7734035586,3.0,45.0,"[{'cluster_no': -1, 'count': 45}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 1, 'count': 24}]","[0, 1, 1, 1, -1, 0, 1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 0, -1, -1, 1, 0, -1, 0, 0, 0, -1, 1, -1, 1, 0, 0, -1, -1, -1, 1, 1, -1, 1, -1, -1, 0, 1, 1, -1, 1, 0, -1, -1]"
50,,,,0.0,,,,
45,,,,0.0,,,,
