1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
nationalism,0.0088675503,19,1,2,creative industry,0.0040283819,11,3,2,transnational capitalist class,0.0036268674000000003,2,1,1,nationalism,0.0088675503,19,1,2
creativity,0.0075947914,23,10,3,cultural industry,0.003886576,15,1,3,imperilled industrial city,0.0036268674000000003,2,1,1,creativity,0.0075947914,23,10,3
regeneration,0.0062739581,19,9,3,shopping mall,0.0032959489000000002,9,1,2,political economy approach,0.0036268674000000003,2,1,1,regeneration,0.0062739581,19,9,3
governance,0.0060672712,13,3,2,creative city,0.0032959489000000002,6,3,1,bid team member,0.0036268674000000003,2,1,1,governance,0.0060672712,13,3,2
mall,0.0056005581,12,2,2,urban regeneration,0.0029297323,8,5,2,urban regeneration process,0.0036268674000000003,2,2,1,mall,0.0056005581,12,2,2
fraction,0.0049004883,7,1,1,place identity,0.002746624,5,3,1,cultural tourism development,0.0036268674000000003,2,1,1,fraction,0.0049004883,7,1,1
consumer,0.0042927082,13,7,3,theme park,0.0023319456,9,1,3,final two article,0.0036268674000000003,2,1,1,consumer,0.0042927082,13,7,3
shopping,0.0036322915000000003,11,1,3,political economy,0.0021972992000000003,6,2,2,natural capital indicator,0.0036268674000000003,2,1,1,creative industry,0.0040283819,11,3,2
ride,0.0035003488,5,2,1,creative economy,0.0021972992000000003,6,2,2,smart creative city,0.0036268674000000003,2,1,1,cultural industry,0.003886576,15,1,3
temptation,0.0035003488,5,1,1,creative class,0.0021972992000000003,6,3,2,speculative design fiction,0.0036268674000000003,2,1,1,shopping,0.0036322915000000003,11,1,3
bidding,0.0035003488,5,1,1,entrepreneurial learning,0.0021972992000000003,4,1,1,urban good life,0.0036268674000000003,2,1,1,transnational capitalist class,0.0036268674000000003,2,1,1
industry,0.0031961072,33,5,6,urban indicator,0.0021972992000000003,4,1,1,creating great place,0.0036268674000000003,2,1,1,imperilled industrial city,0.0036268674000000003,2,1,1
art,0.0030064183,19,10,5,natural capital,0.0021972992000000003,4,1,1,case study approach,0.0024179116000000002,2,2,2,political economy approach,0.0036268674000000003,2,1,1
indicator,0.0030064183,19,2,5,cultural planning,0.0021972992000000003,4,1,1,major transnational corporation,0.0018134337000000002,1,1,1,bid team member,0.0036268674000000003,2,1,1
