No,DocId,key-phrases
1,10,"['Aboriginal health', 'Aboriginal patient', 'Aboriginal health worker', 'Aboriginal family', 'Australian hospital setting']"
2,11,"['health care equity', 'Indigenous community', 'health equity', 'health equity guideline', 'Indigenous population']"
3,14,"['feeding tube', 'tube benefit patient', 'jejunostomy tube', 'endoscopic gastrostomy', 'palliative care']"
4,23,"['elder mistreatment', 'total loneliness', 'total loneliness score', 'loneliness score', 'Loneliness']"
5,27,"['psychologic distress', 'posttraumatic stress disorder', 'posttraumatic stress', 'psychiatry', 'psychotic disorder']"
6,29,"['self care disability', 'care disability', 'Mobility disability', 'Physical functioning', 'age related change']"
7,30,"['Native Hawaiian cancer', 'Hawaiian cancer survivor', 'Hawaiian spiritual belief', 'Hawaiian cultural value', 'Hawaiian cancer']"
8,32,"['ecological sanitation', 'sanitation', 'human excreta', 'agricultural community towards', 'excreta']"
9,33,"['melioidosis incidence', 'high melioidosis incidence', 'Melioidosis', 'high melioidosis', 'Indigenous Australian patient']"
10,37,"['palliative care context', 'palliative care need', 'generalist palliative care', 'palliative care provider', 'inappropriate hospitalisation']"
11,41,"['local palliative care', 'palliative care provision', 'remote Aboriginal community', 'Aboriginal community', 'local palliative']"
12,43,"['tuberculosis isolates', 'Mycobacterium tuberculosis', 'Mycobacterium tuberculosis isolates', 'tuberculosis control', 'tuberculosis']"
13,46,"['hypertension risk', 'hypertension prevalence', 'hypertension', 'Blood pressure', 'standardized blood pressure']"
14,48,"['drinking culture', 'similar drinking culture', 'drinking', 'drinking varies', 'similar drinking']"
15,51,"['promote breastfeeding', 'breastfeeding promotion', 'Successful breastfeeding promotion', 'Successful breastfeeding', 'Ojibwe community']"
16,56,"['Ramadan fast', 'fasting', 'health belief', 'Muslim community', 'Muslim participant']"
17,57,"['psychological stress', 'psychiatric distress', 'neurotic disorder', 'stress', 'neurotic disturbance']"
18,65,"['intergenerational relation', 'Chinese population', 'aging', 'disability', 'rapid aging']"
19,67,"['infective keratitis', 'corneal ulcer', 'keratitis', 'suppurative keratitis', 'Staphylococus aureus']"
20,69,"['pulmonary tuberculosis prevalence', 'tuberculosis prevalence', 'pulmonary tuberculosis survey', 'tuberculosis survey', 'national pulmonary tuberculosis']"
21,76,"['youth mental health', 'mental health service', 'community engagement', 'Extensive community engagement', 'Irish young people']"
22,77,"['sexual health survey', 'sexual health literature', 'health survey', 'sexual health', 'survey topic']"
23,80,"['Bangladeshi young people', 'ethnicity', 'substance consumption', 'ethnic variation', 'substance use']"
24,82,"['Indigenous cohort', 'Indigenous Australian adult', 'Comorbid mental disorder', 'Indigenous people', 'Common mental disorder']"
25,83,"['appropriate health promotion', 'health promotion', 'South Asian community', 'Asian community context', 'physical activity']"
26,86,"['influence HIV disclosure', 'HIV disclosure', 'stigmatisation', 'stigma', 'disclosure']"
27,98,"['Disability culture', 'cause disability', 'disabled person', 'Qualitative research', 'qualitative analytic method']"
28,100,"['Sexual health amongst', 'sexual health policy', 'health amongst teenager', 'sex education', 'sex education service']"
29,101,"['intimate partner violence', 'partner violence', 'Aboriginal woman', 'Indigenous woman', 'Australian Aboriginal woman']"
30,103,"['fecal bacterial exposure', 'fecal contamination exposure', 'quantitative microbial exposure', 'microbial exposure', 'microbial exposure model']"
31,108,"['care home staff', 'care home', 'staff emotional response', 'home staff understand', 'care home structure']"
32,109,"['condom use', 'HIV transmission', 'HIV infection', 'adolescent', 'condom']"
33,110,"['Indigenous youth', 'Indigenous young people', 'illicit drug use', 'cannabis use', 'cannabis']"
34,114,"['drug misuse trend', 'drug trend', 'urban youth culture', 'Prescription drug misuse', 'youth culture']"
35,125,"['patient care', 'healthcare organization', 'hospital center', 'qualitative descriptive study', 'focus group']"
36,129,"['African society', 'counsellor', 'asymptomatic seropositive', 'infection', 'cultural factor']"
37,135,"['cortisol exposure', 'cortisol concentration', 'diabetes', 'saliva cortisol concentration', 'cortisol homeostasis']"
38,139,"['Belief system', 'religious group', 'diverse religious group', 'Belief', 'grounded theory']"
39,141,"['staphylococcus aureus', 'aureus antibiotic', 'clinician antimicrobial selection', 'staphylococcus', 'cutaneous abscess']"
40,147,"['health disparity', 'indigenous respondent', 'Métis people', 'public health', 'health']"
41,148,"['patient preference', 'hospitalisation', 'influence patient preference', 'influence patient', 'hospital setting']"
42,152,"['disease diagnosis software', 'tuberculosis diagnosis', 'Tuberculosis diagnostic purpose', 'Tuberculosis case study', 'diagnosis software']"
43,155,"['First Nation population', 'First Nation culture', 'First Nation people', 'First Nation', 'urban First Nation']"
44,157,"['schizophrenia living', 'constitute community participation', 'constitute community', 'community participation', 'community']"
45,159,"['epistemic development', 'Arab society', 'epistemic thinking', 'epistemology', 'Muslim Arab adolescent']"
46,161,"['herbal medicine consumption', 'herbal medicine', 'elderly health', 'local herbal', 'medicine consumption']"
47,166,"['Aid patient', 'HIV reactive patient', 'HIV status', 'counselling model', 'qualitative research design']"
48,168,"['Nursing Assistant student', 'Nursing Assistant certification', 'professional vocation', 'motivation', 'vocation']"
49,179,"['general practice organization', 'public involvement activity', 'Organizational value', 'public involvement', 'general practice']"
50,180,"['rural caregiver', 'rural patient', 'cancer caregiver', 'access cancer treatment', 'cancer care']"
51,188,"['HIV prevention', 'HIV education', 'condom salience', 'traditional belief', 'HIV education program']"
52,190,"['obesity', 'cultural dimension', 'different culture', 'culture', 'national culture']"
53,194,"['indigenous water right', 'indigenous water', 'climate change adaptation', 'Indigenous grassroots', 'Indigenous Title']"
54,202,"['vagrant population', 'alcohol abuse characteristic', 'deinstitutionalized population', 'alcohol use behavior', 'alcohol abuser']"
55,203,"['family farming', 'rural development', 'rural woman', 'family farm', 'rural attractiveness']"
56,205,"['lesbian teacher', 'workplace autoethnography', 'heteronormative discourse', 'autoethnographers', 'Headteachers']"
57,210,"['later life homelessness', 'contemporary homelessness prevention', 'contemporary homelessness initiative', 'homelessness prevention framework', 'homelessness policy']"
58,219,"['Aboriginal birth', 'Aboriginal birth cohort', 'Aboriginal infant', 'Aboriginal baby', 'Aboriginal culture']"
59,220,"['tuberculosis transmission dynamic', 'tuberculosis transmission', 'TB case attributable', 'recent TB transmission', 'Molecular epidemiology']"
60,232,"['epilepsy', 'epileptic population', 'preferred spiritual treatment', 'une epilepsie et', 'Spiritual treatment']"
61,233,"['GLBT research', 'sexual minority adolescent', 'GLBT community', 'sexual minority', 'GLBT life']"
62,239,"['pharmacoepidemiology', 'di farmacoepidemiologia', 'anni di farmacoepidemiologia', 'farmacoepidemiologia', 'participative research']"
