Collocation By PMI,Score By PMI,Document By PMI,Collocation By Chi_square,Score By Chi_square,Document By Chi_square,Collocation By Likelihood_ratio,Score By Likelihood_ratio,Document By Likelihood_ratio
adsorption sinks,16.99140005153885,1,adsorption sinks,130293.0,1,machine learning,5760.603873963641,367
adversary fraught,16.99140005153885,1,adversary fraught,130293.0,1,urban planning,2248.4542029221134,291
advices exams,16.99140005153885,1,advices exams,130293.0,1,land use,1697.676250554574,73
aesthetically pleasing,16.99140005153885,1,aesthetically pleasing,130293.0,1,remote sensing,1640.5460859051682,76
android malware,16.99140005153885,1,android malware,130293.0,1,neural network,1173.6902285624028,90
artur lugmayr,16.99140005153885,1,apparently amorphous,130293.0,2,land cover,1166.1884454991093,37
batch normalization,16.99140005153885,1,artur lugmayr,130293.0,1,random forest,1148.0297954915602,74
bay hobart,16.99140005153885,1,babylon governorate,130293.0,1,artificial intelligence,1087.76912854433,61
beautiful wealthy,16.99140005153885,1,batch normalization,130293.0,1,big data,835.8234869991185,56
bekas manned,16.99140005153885,1,bay hobart,130293.0,1,deep learning,779.4134193054626,56
belo horizonte,16.99140005153885,1,beautiful wealthy,130293.0,1,support vector,730.5028168923434,48
bespoke microcontrollers,16.99140005153885,1,bekas manned,130293.0,1,rights reserved,646.2890476978968,36
bing streetside,16.99140005153885,1,belo horizonte,130293.0,1,licensee mdpi,629.0714019287371,34
biometric attendance,16.99140005153885,1,bespoke microcontrollers,130293.0,1,mdpi basel,629.0714019287371,34
blogs instant,16.99140005153885,1,bing streetside,130293.0,1,case study,619.1102866185203,56
blood donation,16.99140005153885,1,biometric attendance,130293.0,1,basel switzerland,608.2476657989722,34
bounding rectangle,16.99140005153885,1,blogs instant,130293.0,1,smart cities,595.1213476255018,35
breeze mountains,16.99140005153885,1,blood donation,130293.0,1,social media,578.4265000287328,24
british columbia,16.99140005153885,1,bounding rectangle,130293.0,1,results show,531.7719789986049,80
bungeana zucc,16.99140005153885,1,breeze mountains,130293.0,1,computer vision,510.7215324235543,21
cards obstruct,16.99140005153885,1,british columbia,130293.0,1,urban areas,508.98502833296766,75
ceder soria,16.99140005153885,1,bungeana zucc,130293.0,1,built environment,496.8144605792526,33
cinque terre,16.99140005153885,1,cards obstruct,130293.0,1,artificial neural,493.17621011653733,36
clock synchronization,16.99140005153885,1,ceder soria,130293.0,1,convolutional neural,488.85118245155314,30
columbia canada,16.99140005153885,1,cinque terre,130293.0,1,neural networks,445.5931064478191,38
computable algebras,16.99140005153885,1,clock synchronization,130293.0,1,learning techniques,435.95992672584345,56
consent decrees,16.99140005153885,1,columbia canada,130293.0,1,urban environments,428.69850089211667,44
contract execution,16.99140005153885,1,commons attribution,130293.0,5,learning algorithms,423.65715095077417,50
corrector slc,16.99140005153885,1,computable algebras,130293.0,1,air quality,413.6516838547289,14
countryside bringing,16.99140005153885,1,consent decrees,130293.0,1,street view,393.57208863059884,19
covid pandemic,16.99140005153885,1,contract execution,130293.0,1,decision tree,384.42855067631103,35
customers residence,16.99140005153885,1,corrector slc,130293.0,1,proposed method,374.5821224945568,49
david wasserman,16.99140005153885,1,countryside bringing,130293.0,1,human mobility,373.5320197253084,13
deemed exempt,16.99140005153885,1,covid pandemic,130293.0,1,urban environment,361.0893229141741,78
deeplab dilated,16.99140005153885,1,customers residence,130293.0,1,overall accuracy,359.4398049879497,30
demidov yaroslavl,16.99140005153885,1,david wasserman,130293.0,1,smart city,339.68013934918133,29
der enz,16.99140005153885,1,de janeiro,130293.0,1,paper presents,336.13327971924343,32
didi chuxing,16.99140005153885,1,deemed exempt,130293.0,1,remotely sensed,335.09702116476825,18
drastic declines,16.99140005153885,1,deeplab dilated,130293.0,1,intelligence ai,327.9946338892188,35
dresden salzburg,16.99140005153885,1,demidov yaroslavl,130293.0,1,landslide susceptibility,322.8228999656048,6
duplicate elimination,16.99140005153885,1,depok baru,130293.0,1,vector machines,320.7100156294069,16
ecml pkdd,16.99140005153885,1,der enz,130293.0,1,decision making,309.29630699499813,22
el venizelos,16.99140005153885,1,didi chuxing,130293.0,1,proceedings contain,308.0817590690624,18
emirates uae,16.99140005153885,1,directional suppression,130293.0,1,cellular automata,300.7675474629301,12
entrances graffiti,16.99140005153885,1,drastic declines,130293.0,1,contain papers,296.84768529441976,18
envisat asar,16.99140005153885,1,dresden salzburg,130293.0,1,urban land,289.84529834747366,46
enz potsdam,16.99140005153885,1,duplicate elimination,130293.0,1,satellite images,286.1029483026359,23
epistemological quadriptych,16.99140005153885,1,ecml pkdd,130293.0,1,surface temperature,284.23287476259634,13
euonymus japonicus,16.99140005153885,1,educ res,130293.0,1,semantic segmentation,281.76469947512214,8
exactly scrutinised,16.99140005153885,1,el venizelos,130293.0,1,climate change,279.05674678656334,19
exit ramp,16.99140005153885,1,emirates uae,130293.0,1,mobile phone,279.04703949640697,11
exo datasondes,16.99140005153885,1,entrances graffiti,130293.0,1,data mining,277.28282444695117,27
fault tolerant,16.99140005153885,1,envisat asar,130293.0,1,urban expansion,265.701939499318,18
female mage,16.99140005153885,1,enz potsdam,130293.0,1,image classification,260.6131412362945,22
fitting mhl,16.99140005153885,1,epistemological quadriptych,130293.0,1,gradient boosting,260.60597387638546,14
fpga processor,16.99140005153885,1,euonymus japonicus,130293.0,1,urban planners,260.2096955871688,41
gaining traction,16.99140005153885,1,exactly scrutinised,130293.0,1,urban design,256.36271650877575,42
generator story,16.99140005153885,1,exit ramp,130293.0,1,high resolution,252.09928241002189,21
gorges reservoir,16.99140005153885,1,exo datasondes,130293.0,1,urban form,249.48246549792688,17
gotten fame,16.99140005153885,1,fault tolerant,130293.0,1,recent years,240.60472815236778,20
guest editorial,16.99140005153885,1,female mage,130293.0,1,point clouds,240.29165327229134,5
handwritten digit,16.99140005153885,1,fitting mhl,130293.0,1,forest rf,239.12873090741002,20
haul railroads,16.99140005153885,1,fpga processor,130293.0,1,experimental results,238.48553487710734,24
hostage salvage,16.99140005153885,1,gaining traction,130293.0,1,road traffic,236.0586201049568,13
hue saturation,16.99140005153885,1,generator story,130293.0,1,linear regression,235.36408694399518,16
hymenoptera megachilidae,16.99140005153885,1,gorges reservoir,130293.0,1,thermal comfort,232.47083452313464,4
ikonosand aster,16.99140005153885,1,gotten fame,130293.0,1,new york,229.34058458029187,18
immense moral,16.99140005153885,1,gross domestic,130293.0,2,mean absolute,229.20606510585338,13
immersive artistic,16.99140005153885,1,guest editorial,130293.0,1,change detection,228.60275505106597,9
impose batch,16.99140005153885,1,handwritten digit,130293.0,1,electric consumption,226.0409399606623,3
incarceration sentencing,16.99140005153885,1,haul railroads,130293.0,1,satellite imagery,221.35831315047145,18
ineffective uninformed,16.99140005153885,1,hong kong,130293.0,3,data sets,217.67838594605095,17
innovations flowing,16.99140005153885,1,hostage salvage,130293.0,1,random forests,217.52866381704854,13
insert spontaneously,16.99140005153885,1,hue saturation,130293.0,1,study area,215.3685007952776,38
instant messaging,16.99140005153885,1,hymenoptera megachilidae,130293.0,1,reinforcement learning,212.195333744358,13
internally displaced,16.99140005153885,1,ikonosand aster,130293.0,1,traffic congestion,211.48550269652873,14
inversely proportional,16.99140005153885,1,immense moral,130293.0,1,proposed approach,209.73654162226808,24
irs liss,16.99140005153885,1,immersive artistic,130293.0,1,vector machine,207.47045838456384,41
itinerary request,16.99140005153885,1,impose batch,130293.0,1,geographic information,206.40566365065536,20
jakarta indonesia,16.99140005153885,1,incarceration sentencing,130293.0,1,results indicate,205.04911981955436,34
jane jacobs,16.99140005153885,1,indianapolis indiana,130293.0,1,learning methods,203.27972015290175,32
japonicus thunb,16.99140005153885,1,ineffective uninformed,130293.0,1,path loss,202.25627892382207,3
kazakhstan megalopolises,16.99140005153885,1,innovations flowing,130293.0,1,traffic flow,202.25201548023813,9
klein nurcan,16.99140005153885,1,insert spontaneously,130293.0,1,developing countries,200.36220716164752,12
laminated wood,16.99140005153885,1,instant messaging,130293.0,1,carbon emissions,199.85202885364265,3
lamp bump,16.99140005153885,1,internally displaced,130293.0,1,heat island,192.7796170979866,13
latitude longitude,16.99140005153885,1,inversely proportional,130293.0,1,logistic regression,189.50182161516457,12
lazy ibk,16.99140005153885,1,irs liss,130293.0,1,learning algorithm,187.531388412539,78
learner gmel,16.99140005153885,1,itinerary request,130293.0,1,sensing images,181.672209155308,14
learnin david,16.99140005153885,1,jakarta indonesia,130293.0,1,time series,181.473605006671,10
lithuania sixteen,16.99140005153885,1,jane jacobs,130293.0,1,air pollution,175.7364080497349,11
localized retention,16.99140005153885,1,japonicus thunb,130293.0,1,wide range,174.98797641955971,13
lsd hough,16.99140005153885,1,kazakhstan megalopolises,130293.0,1,public spaces,173.91543607128415,10
mage sdage,16.99140005153885,1,klein nurcan,130293.0,1,positive deviance,172.9999839837182,1
malware evasion,16.99140005153885,1,laminated wood,130293.0,1,energy consumption,171.98147869160462,11
massachusetts amherst,16.99140005153885,1,lamp bump,130293.0,1,earth observation,171.414693004937,10
massively multiplayer,16.99140005153885,1,las vegas,130293.0,1,unmanned aerial,170.77735262903158,10
mentor player,16.99140005153885,1,latin american,130293.0,2,classification accuracy,168.83446239814694,19
messaging forums,16.99140005153885,1,latitude longitude,130293.0,1,results showed,165.6633603637688,20
misamis oriental,16.99140005153885,1,lazy ibk,130293.0,1,aperture radar,164.89012302914858,8
modeler lcm,16.99140005153885,1,learner gmel,130293.0,1,soil erosion,163.75315725950236,2
mutual supplement,16.99140005153885,1,learnin david,130293.0,1,learning models,163.05077612407194,34
nantong jiangsu,16.99140005153885,1,licensee mdpi,130293.0,34,using machine,162.20539056555538,40
navy beans,16.99140005153885,1,lithuania sixteen,130293.0,1,driving forces,162.0533720933374,6
negating dubious,16.99140005153885,1,localized retention,130293.0,1,feature extraction,160.87737938067738,14
newtonian mechanics,16.99140005153885,1,lsd hough,130293.0,1,street greenery,159.4457157407345,3
nicosia cyprus,16.99140005153885,1,mage sdage,130293.0,1,decision support,156.5895731419625,15
niigata prefecture,16.99140005153885,1,malware evasion,130293.0,1,landscape pattern,155.63183812041362,7
nitrogen oxides,16.99140005153885,1,massachusetts amherst,130293.0,1,normalized difference,155.06098757235077,5
numpy pandas,16.99140005153885,1,massively multiplayer,130293.0,1,travel behavior,151.6972972359647,9
nurcan okukuni,16.99140005153885,1,mdpi basel,130293.0,34,urbanization process,151.50566844891236,8
nvidia supercomputer,16.99140005153885,1,mentor player,130293.0,1,recent advances,150.6452235785155,11
observer habitual,16.99140005153885,1,messaging forums,130293.0,1,latent dirichlet,150.44140147490864,7
officially proclaimed,16.99140005153885,1,misamis oriental,130293.0,1,synthetic aperture,149.6138443951098,8
onsite containments,16.99140005153885,1,mob recursive,130293.0,1,lucc analog,149.42398522215572,1
organising formalising,16.99140005153885,1,modeler lcm,130293.0,1,closely packed,148.98839097640493,1
origami joints,16.99140005153885,1,monte carlo,130293.0,3,special focus,148.19935979423548,11
p lt,16.99140005153885,1,montevideo uruguay,130293.0,1,sediment yield,147.56696028291026,1
pandas matplotlib,16.99140005153885,1,mutual supplement,130293.0,1,mobility patterns,145.53401091700826,7
pcc thirdly,16.99140005153885,1,nantong jiangsu,130293.0,1,root mean,145.4146438010955,9
pension appropriation,16.99140005153885,1,navy beans,130293.0,1,urban development,143.33058149928274,28
permissive licence,16.99140005153885,1,negating dubious,130293.0,1,heat islands,143.30572594768245,3
petersburg russia,16.99140005153885,1,nested logit,130293.0,1,rapid urbanization,142.46528048618225,13
pid lateral,16.99140005153885,1,newtonian mechanics,130293.0,1,water quality,142.199521638058,7
pine bamboo,16.99140005153885,1,nicosia cyprus,130293.0,1,building heights,141.73911342459226,2
pines kennedy,16.99140005153885,1,niigata prefecture,130293.0,1,point cloud,140.88122446353168,7
pinus bungeana,16.99140005153885,1,nitrogen oxides,130293.0,1,machine svm,140.5792579620432,20
pixelated mosaic,16.99140005153885,1,numpy pandas,130293.0,1,geographically weighted,140.43356792501822,6
pneumatic origami,16.99140005153885,1,nurcan okukuni,130293.0,1,decision makers,139.6924683566269,12
prematurely fixes,16.99140005153885,1,nvidia supercomputer,130293.0,1,dirichlet allocation,139.07252872834545,7
presidential election,16.99140005153885,1,observer habitual,130293.0,1,urban heat,138.45821392047336,14
privately owned,16.99140005153885,1,officially proclaimed,130293.0,1,natural language,138.32124020300287,9
progressive iteration,16.99140005153885,1,onsite containments,130293.0,1,view images,137.58571624489252,12
proprietary incompany,16.99140005153885,1,organising formalising,130293.0,1,google street,137.38020294414193,9
ranking surgery,16.99140005153885,1,origami joints,130293.0,1,carbon sequestration,137.00694966636883,1
rectangle mabr,16.99140005153885,1,p lt,130293.0,1,real time,135.55196879896192,12
regularly relabel,16.99140005153885,1,pandas matplotlib,130293.0,1,international workshop,135.0996418560998,3
remedy defective,16.99140005153885,1,pcc thirdly,130293.0,1,ecosystem services,134.63270579122715,5
respiratory illnesses,16.99140005153885,1,pension appropriation,130293.0,1,york city,133.4573085737601,13
rigorously enforced,16.99140005153885,1,permissive licence,130293.0,1,network ann,133.34718109062115,14
royal botanic,16.99140005153885,1,petersburg russia,130293.0,1,nlos multipath,133.34407757394317,2
rush hour,16.99140005153885,1,pid lateral,130293.0,1,cover classification,132.87793647333547,10
salvage evacuation,16.99140005153885,1,pine bamboo,130293.0,1,air temperature,132.86820537114755,7
salzburg szeged,16.99140005153885,1,pines kennedy,130293.0,1,google earth,131.56472895576167,6
sandy bay,16.99140005153885,1,pinus bungeana,130293.0,1,visual analytics,131.53491622239454,9
saudi arabia,16.99140005153885,1,pixelated mosaic,130293.0,1,operating characteristic,130.3384054429054,10
schedule adherence,16.99140005153885,1,pneumatic origami,130293.0,1,airborne lidar,130.0618993577454,6
scotchman creek,16.99140005153885,1,prematurely fixes,130293.0,1,decision trees,129.41686034319105,11
session imitates,16.99140005153885,1,presidential election,130293.0,1,object detection,129.0324287851455,8
shake calling,16.99140005153885,1,privately owned,130293.0,1,land surface,128.41002236285513,14
sheet metal,16.99140005153885,1,progressive iteration,130293.0,1,paper proposes,128.20984836290793,15
sketching notations,16.99140005153885,1,proprietary incompany,130293.0,1,receiver operating,126.93422200588407,8
soms rfs,16.99140005153885,1,pumps valves,130293.0,1,south korea,126.20612020732366,6
standout amongst,16.99140005153885,1,ranking surgery,130293.0,1,united states,125.80725992961457,6
stars shining,16.99140005153885,1,rectangle mabr,130293.0,1,important role,124.43997093048247,15
statewide commodity,16.99140005153885,1,regularly relabel,130293.0,1,previous studies,124.03648786938984,11
subspace discriminant,16.99140005153885,1,remedy defective,130293.0,1,conditioning factors,123.77032072886293,4
suppliers pioneers,16.99140005153885,1,respiratory illnesses,130293.0,1,expert systems,123.72879923105248,4
tallinn estonia,16.99140005153885,1,rigorously enforced,130293.0,1,food productivity,122.69983866441227,1
thick antecedents,16.99140005153885,1,rio de,130293.0,1,trajectory data,122.63649424098585,12
thinning harris,16.99140005153885,1,roman corinthian,130293.0,1,deprivation pockets,122.57947756741613,1
tie bt,16.99140005153885,1,royal botanic,130293.0,1,last decade,122.39089194449006,10
uc merced,16.99140005153885,1,rush hour,130293.0,1,light detection,121.7830263901096,12
univariate bivariate,16.99140005153885,1,salvage evacuation,130293.0,1,large scale,121.14903004826074,10
