dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results
768,8,8,0.0,0.2122579829,3,517,"[{'cluster_no': 1, 'count': 8}, {'cluster_no': 0, 'count': 59}, {'cluster_no': -1, 'count': 517}]"
500,11,15,0.0,0.6781369366000001,7,237,"[{'cluster_no': 3, 'count': 17}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 1, 'count': 45}, {'cluster_no': 4, 'count': 54}, {'cluster_no': 5, 'count': 86}, {'cluster_no': 2, 'count': 102}, {'cluster_no': -1, 'count': 237}]"
450,7,15,0.0,0.7274376258,8,257,"[{'cluster_no': 4, 'count': 18}, {'cluster_no': 6, 'count': 31}, {'cluster_no': 1, 'count': 38}, {'cluster_no': 0, 'count': 48}, {'cluster_no': 5, 'count': 49}, {'cluster_no': 2, 'count': 53}, {'cluster_no': 3, 'count': 90}, {'cluster_no': -1, 'count': 257}]"
400,13,13,0.0,0.7665768836,8,289,"[{'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 5, 'count': 45}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 4, 'count': 77}, {'cluster_no': -1, 'count': 289}]"
350,13,13,0.0,0.7348684201,8,305,"[{'cluster_no': 2, 'count': 15}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 1, 'count': 44}, {'cluster_no': 3, 'count': 44}, {'cluster_no': 5, 'count': 53}, {'cluster_no': 4, 'count': 56}, {'cluster_no': -1, 'count': 305}]"
300,5,13,0.0,0.6822070699,8,223,"[{'cluster_no': 4, 'count': 16}, {'cluster_no': 6, 'count': 35}, {'cluster_no': 1, 'count': 47}, {'cluster_no': 0, 'count': 49}, {'cluster_no': 5, 'count': 51}, {'cluster_no': 2, 'count': 60}, {'cluster_no': 3, 'count': 103}, {'cluster_no': -1, 'count': 223}]"
250,7,12,0.0,0.7303949545,8,289,"[{'cluster_no': 2, 'count': 20}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 1, 'count': 34}, {'cluster_no': 5, 'count': 39}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 3, 'count': 50}, {'cluster_no': 4, 'count': 79}, {'cluster_no': -1, 'count': 289}]"
200,8,14,0.0,0.7411198608,8,267,"[{'cluster_no': 4, 'count': 16}, {'cluster_no': 6, 'count': 30}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 1, 'count': 42}, {'cluster_no': 5, 'count': 47}, {'cluster_no': 2, 'count': 53}, {'cluster_no': 3, 'count': 87}, {'cluster_no': -1, 'count': 267}]"
150,14,15,0.0,0.7884208535,8,309,"[{'cluster_no': 2, 'count': 18}, {'cluster_no': 4, 'count': 32}, {'cluster_no': 1, 'count': 35}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 3, 'count': 45}, {'cluster_no': 6, 'count': 49}, {'cluster_no': 5, 'count': 51}, {'cluster_no': -1, 'count': 309}]"
100,14,9,0.0,0.7817642888,8,318,"[{'cluster_no': 2, 'count': 9}, {'cluster_no': 6, 'count': 30}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 3, 'count': 46}, {'cluster_no': 5, 'count': 49}, {'cluster_no': 4, 'count': 54}, {'cluster_no': -1, 'count': 318}]"
90,9,14,0.0,0.7355350081,8,276,"[{'cluster_no': 2, 'count': 16}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 46}, {'cluster_no': 3, 'count': 53}, {'cluster_no': 5, 'count': 55}, {'cluster_no': 6, 'count': 64}, {'cluster_no': -1, 'count': 276}]"
80,10,15,0.0,0.8017300319,8,294,"[{'cluster_no': 2, 'count': 17}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 5, 'count': 43}, {'cluster_no': 3, 'count': 53}, {'cluster_no': 6, 'count': 65}, {'cluster_no': -1, 'count': 294}]"
70,8,15,0.0,0.7548696075,7,292,"[{'cluster_no': 5, 'count': 34}, {'cluster_no': 1, 'count': 41}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 4, 'count': 50}, {'cluster_no': 3, 'count': 55}, {'cluster_no': 2, 'count': 69}, {'cluster_no': -1, 'count': 292}]"
60,10,15,0.0,0.7382540393,8,273,"[{'cluster_no': 2, 'count': 22}, {'cluster_no': 6, 'count': 29}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 41}, {'cluster_no': 5, 'count': 46}, {'cluster_no': 3, 'count': 51}, {'cluster_no': 4, 'count': 82}, {'cluster_no': -1, 'count': 273}]"
50,7,15,0.0,0.7246804178,8,269,"[{'cluster_no': 2, 'count': 15}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 1, 'count': 37}, {'cluster_no': 0, 'count': 50}, {'cluster_no': 5, 'count': 53}, {'cluster_no': 3, 'count': 54}, {'cluster_no': 4, 'count': 78}, {'cluster_no': -1, 'count': 269}]"
40,10,13,0.0,0.6395000178,7,240,"[{'cluster_no': 3, 'count': 14}, {'cluster_no': 1, 'count': 34}, {'cluster_no': 5, 'count': 38}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 4, 'count': 50}, {'cluster_no': 2, 'count': 165}, {'cluster_no': -1, 'count': 240}]"
30,12,15,0.0,0.7966451648,7,310,"[{'cluster_no': 3, 'count': 30}, {'cluster_no': 1, 'count': 38}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 4, 'count': 47}, {'cluster_no': 2, 'count': 49}, {'cluster_no': 5, 'count': 68}, {'cluster_no': -1, 'count': 310}]"
20,4,15,0.0,0.7151896399000001,8,232,"[{'cluster_no': 4, 'count': 17}, {'cluster_no': 6, 'count': 42}, {'cluster_no': 1, 'count': 45}, {'cluster_no': 2, 'count': 51}, {'cluster_no': 0, 'count': 52}, {'cluster_no': 5, 'count': 53}, {'cluster_no': 3, 'count': 92}, {'cluster_no': -1, 'count': 232}]"
15,10,15,0.0,0.7845398855,8,299,"[{'cluster_no': 2, 'count': 22}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 1, 'count': 37}, {'cluster_no': 5, 'count': 43}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 3, 'count': 48}, {'cluster_no': 6, 'count': 60}, {'cluster_no': -1, 'count': 299}]"
10,9,7,0.0,0.76079372,10,296,"[{'cluster_no': 4, 'count': 7}, {'cluster_no': 3, 'count': 13}, {'cluster_no': 5, 'count': 14}, {'cluster_no': 6, 'count': 17}, {'cluster_no': 8, 'count': 30}, {'cluster_no': 1, 'count': 39}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 7, 'count': 46}, {'cluster_no': 2, 'count': 82}, {'cluster_no': -1, 'count': 296}]"
