dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
400,None,5,0.0,12,229,0.5763538270835912,"[{'cluster_no': 5, 'count': 6}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 3, 'count': 13}, {'cluster_no': 0, 'count': 14}, {'cluster_no': 8, 'count': 18}, {'cluster_no': 10, 'count': 28}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 2, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 9, 'count': 48}, {'cluster_no': 4, 'count': 93}, {'cluster_no': -1, 'count': 229}]"
400,None,6,0.0,12,236,0.6198158137651335,"[{'cluster_no': 1, 'count': 6}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 0, 'count': 14}, {'cluster_no': 3, 'count': 14}, {'cluster_no': 6, 'count': 16}, {'cluster_no': 10, 'count': 29}, {'cluster_no': 4, 'count': 38}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 9, 'count': 47}, {'cluster_no': 7, 'count': 50}, {'cluster_no': 8, 'count': 81}, {'cluster_no': -1, 'count': 236}]"
400,None,7,0.0,9,228,0.5143939243632009,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 14}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 7, 'count': 27}, {'cluster_no': 3, 'count': 39}, {'cluster_no': 6, 'count': 44}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 2, 'count': 162}, {'cluster_no': -1, 'count': 228}]"
400,None,8,0.0,9,296,0.6886084963019283,"[{'cluster_no': 2, 'count': 10}, {'cluster_no': 3, 'count': 16}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 6, 'count': 44}, {'cluster_no': 0, 'count': 47}, {'cluster_no': 4, 'count': 48}, {'cluster_no': 5, 'count': 62}, {'cluster_no': -1, 'count': 296}]"
400,None,9,0.0,7,220,0.5731807267390219,"[{'cluster_no': 3, 'count': 15}, {'cluster_no': 5, 'count': 31}, {'cluster_no': 2, 'count': 40}, {'cluster_no': 0, 'count': 47}, {'cluster_no': 4, 'count': 50}, {'cluster_no': 1, 'count': 181}, {'cluster_no': -1, 'count': 220}]"
400,None,10,0.0,7,230,0.5602638600148784,"[{'cluster_no': 3, 'count': 14}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 44}, {'cluster_no': 4, 'count': 50}, {'cluster_no': 2, 'count': 177}, {'cluster_no': -1, 'count': 230}]"
400,None,11,0.0,8,274,0.745081924252428,"[{'cluster_no': 2, 'count': 15}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 46}, {'cluster_no': 5, 'count': 50}, {'cluster_no': 3, 'count': 53}, {'cluster_no': 4, 'count': 78}, {'cluster_no': -1, 'count': 274}]"
400,None,12,0.0,6,228,0.6189191747196849,"[{'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 3, 'count': 52}, {'cluster_no': 4, 'count': 82}, {'cluster_no': 2, 'count': 137}, {'cluster_no': -1, 'count': 228}]"
400,None,13,0.0,8,289,0.7665768836096022,"[{'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 5, 'count': 45}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 4, 'count': 77}, {'cluster_no': -1, 'count': 289}]"
400,None,14,0.0,5,170,0.5002602689180045,"[{'cluster_no': 1, 'count': 44}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 2, 'count': 151}, {'cluster_no': -1, 'count': 170}, {'cluster_no': 3, 'count': 174}]"
400,None,15,0.0,5,184,0.5071356397042719,"[{'cluster_no': 1, 'count': 42}, {'cluster_no': 0, 'count': 46}, {'cluster_no': 2, 'count': 143}, {'cluster_no': 3, 'count': 169}, {'cluster_no': -1, 'count': 184}]"
