iteration,dimension,min_samples,min_cluster_size,epsilon,score,total_clusters,cluster_results,outliers
1,80,10,15,0.0,0.8017300318630917,8,"[{'cluster_no': 2, 'count': 17}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 5, 'count': 43}, {'cluster_no': 3, 'count': 53}, {'cluster_no': 6, 'count': 65}, {'cluster_no': -1, 'count': 294}]",294
2,80,10,15,0.0,0.8265781394168259,8,"[{'cluster_no': -1, 'count': 15}, {'cluster_no': 1, 'count': 17}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 2, 'count': 37}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 3, 'count': 42}, {'cluster_no': 5, 'count': 46}, {'cluster_no': 4, 'count': 62}]",15
3,80,10,15,0.0,0.7416169224189528,7,"[{'cluster_no': -1, 'count': 1}, {'cluster_no': 1, 'count': 17}, {'cluster_no': 4, 'count': 35}, {'cluster_no': 2, 'count': 38}, {'cluster_no': 5, 'count': 44}, {'cluster_no': 3, 'count': 61}, {'cluster_no': 0, 'count': 79}]",1
4,80,10,15,0.0,0.7232467265739791,7,"[{'cluster_no': -1, 'count': 1}, {'cluster_no': 2, 'count': 17}, {'cluster_no': 3, 'count': 35}, {'cluster_no': 0, 'count': 38}, {'cluster_no': 4, 'count': 42}, {'cluster_no': 5, 'count': 62}, {'cluster_no': 1, 'count': 79}]",1
5,80,10,15,0.0,0.717926916702393,7,"[{'cluster_no': -1, 'count': 1}, {'cluster_no': 1, 'count': 17}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 2, 'count': 38}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 5, 'count': 61}, {'cluster_no': 0, 'count': 79}]",1
6,80,10,15,0.0,0.834064517927682,8,"[{'cluster_no': -1, 'count': 5}, {'cluster_no': 3, 'count': 17}, {'cluster_no': 5, 'count': 32}, {'cluster_no': 1, 'count': 33}, {'cluster_no': 4, 'count': 38}, {'cluster_no': 6, 'count': 41}, {'cluster_no': 2, 'count': 46}, {'cluster_no': 0, 'count': 60}]",5
7,80,10,15,0.0,0.8500171601961378,8,"[{'cluster_no': -1, 'count': 12}, {'cluster_no': 4, 'count': 17}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 2, 'count': 31}, {'cluster_no': 1, 'count': 38}, {'cluster_no': 6, 'count': 38}, {'cluster_no': 3, 'count': 42}, {'cluster_no': 0, 'count': 60}]",12
8,80,10,15,0.0,0.8564901174997847,8,"[{'cluster_no': -1, 'count': 4}, {'cluster_no': 4, 'count': 17}, {'cluster_no': 5, 'count': 30}, {'cluster_no': 2, 'count': 31}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 1, 'count': 38}, {'cluster_no': 3, 'count': 42}, {'cluster_no': 0, 'count': 60}]",4
9,80,10,15,0.0,0.7841693270741199,6,"[{'cluster_no': 4, 'count': 17}, {'cluster_no': 2, 'count': 30}, {'cluster_no': 3, 'count': 33}, {'cluster_no': 5, 'count': 38}, {'cluster_no': 1, 'count': 60}, {'cluster_no': 0, 'count': 73}]",0
10,80,10,15,0.0,0.7841693270741199,6,"[{'cluster_no': 4, 'count': 17}, {'cluster_no': 2, 'count': 30}, {'cluster_no': 3, 'count': 33}, {'cluster_no': 5, 'count': 38}, {'cluster_no': 1, 'count': 60}, {'cluster_no': 0, 'count': 73}]",0
