0,1
land cover pattern,"[-1, 4]"
geomorphological process related,[-1]
erosion within watershed,[-1]
used multivariate regression,[-1]
multivariate regression technique,[-1]
many landscape metric,[-1]
otherwise biased parameter,[-1]
biased parameter estimate,[-1]
landscape pattern within,[-1]
pattern within watershed,[-1]
Upper Du River,[-1]
Du River watershed,[-1]
watershed using hydrological,[-1]
using hydrological modeling,[-1]
watershed soil erosion,[-1]
largest patch index,"[-1, 4]"
patch cohesion index,[-1]
primary metric controlling,[-1]
watershed could account,[-1]
patch land cover,[-1]
land cover type,[-1]
cover type may,[-1]
type may significantly,[-1]
may significantly accelerate,[-1]
significantly accelerate soilerosion,[-1]
increase sediment export,[-1]
providing quantitative information,[-1]
allow decision maker,[-1]
make better choice,[-1]
better choice regarding,[-1]
choice regarding landscape,[-1]
regarding landscape planning,[-1]
readily available remote,[-1]
available remote sensing,[-1]
remote sensing data,"[-1, 0, 2, 3, 4]"
geographic information system,"[-1, 0, 1, 2, 3, 4]"
simple PLSR approach,[-1]
PLSR approach could,[-1]
urban flood risk,[-1]
flood risk mapping,[-1]
risk mapping using,[-1]
machine learning technique,"[-1, 0, 1, 3, 4, 5, 6]"
prevent urban flood,[-1]
urban flood damage,[-1]
flood risk map,[-1]
hydraulic data using,[-1]
data using two,[-1]
machine learning model,"[-1, 0, 1, 2, 4, 6]"
Quick Unbiased Efficient,[-1]
Unbiased Efficient Statistical,[-1]
Efficient Statistical Tree,[-1]
flood conditioning factor,[-1]
conditioning factor used,[-1]
flooded zone assigned,[-1]
different conditioning factor,[-1]
including urban density,[-1]
analyze flood vulnerability,[-1]
Fuzzy Analytical Network,[-1]
Analytical Network Process,[-1]
produced using flood,[-1]
using flood hazard,[-1]
flood vulnerability map,[-1]
evaluate model performance,[-1]
higher performance accuracy,[-1]
result also indicated,"[-1, 4]"
elevation played major,[-1]
played major role,[-1]
flood hazard determination,[-1]
whereas population density,[-1]
spatial heterogeneity perspective,[-1]
landscape pattern change,"[-1, 4]"
urban ecological management,[-1]
using four landscape,[-1]
four landscape metric,[-1]
geographically weighted regression,"[-1, 0]"
gross domestic production,[-1]
urban landscape pattern,[-1]
landscape pattern indicated,[-1]
different urbanization mode,[-1]
infilling mode made,[-1]
leapfrog mode made,[-1]
mode made PD,[-1]
SHDI increase slightly,[-1]
GWR effectively identified,[-1]
explanatory ability compared,[-1]
ordinary least Square,"[-1, 0]"
landscape pattern decreased,[-1]
spatial differentiation characteristic,[-1]
volunteered geographic information,[-1]
artificial neural network,"[-1, 1, 2, 3, 4]"
spatial data quality,[-1]
OSM urban area,[-1]
machine learning approach,"[-1, 0, 1, 3, 6]"
learning approach consisting,[-1]
existing OSM data,[-1]
model estimates missing,[-1]
estimates missing urban,[-1]
missing urban area,[-1]
overall squared correlation,[-1]
squared correlation coefficient,[-1]
European region confirm,[-1]
region confirm spatial,[-1]
confirm spatial heterogeneity,[-1]
presented methodology depends,[-1]
methodology depends strongly,[-1]
infer user activity,[-1]
urban center may,[-1]
contexts including urban,[-1]
including urban planning,[-1]
mobile web user,[-1]
may even yield,[-1]
mobile phone usage,[-1]
phone usage pattern,[-1]
urban activity inference,[-1]
supervised learning framework,[-1]
exploit user communication,[-1]
user communication pattern,[-1]
communication pattern observed,[-1]
base station level,[-1]
machine learning feature,[-1]
input telecommunication signal,[-1]
supervised learning algorithms,[-1]
learning algorithms using,[-1]
algorithms using label,[-1]
using label extracted,[-1]
Foursquare place category,[-1]
consider two application,[-1]
two application scenario,[-1]
predict specific urban,[-1]
specific urban activity,[-1]
lowest accuracy rate,[-1]
considerably better performance,[-1]
better performance compared,[-1]
random guess even,[-1]
candidate class increases,[-1]
building type classification,[-1]
type classification using,[-1]
classification using spatial,[-1]
landscape attribute derived,[-1]
LiDAR remote sensing,[-1]
classify building delineated,[-1]
spatial attribute describing,[-1]
considering different building,[-1]
different building component,[-1]
type classification result,[-1]
classification result yielded,[-1]
result yielded overall,[-1]
yielded overall accuracy,"[-1, 4]"
obtaining building type,[-1]
building type information,[-1]
identifying building type,[-1]
environmental landscape attributes,[-1]
landscape attributes surrounding,[-1]
attributes surrounding building,[-1]
parking lot pixel,[-1]
environmental landscape attribute,[-1]
consistent classification result,[-1]
urban land use,"[-1, 2, 4]"
land cover classification,"[-1, 3, 4]"
cover classification using,"[-1, 4]"
classification using remotely,[-1]
using remotely sensed,"[-1, 4]"
remotely sensed sar,[-1]
sensed sar data,[-1]
deep belief network,[-1]
modern urban planning,[-1]
machine learning recently,[-1]
gradually extract feature,[-1]
Deep Belief Networks,[-1]
deployed deep learning,[-1]
deep learning architecture,"[-1, 3]"
archive good classification,[-1]
good classification performance,[-1]
classification approach based,"[-1, 3]"
detailed urban mapping,[-1]
urban mapping using,[-1]
mapping using polarimetric,[-1]
using polarimetric synthetic,[-1]
polarimetric synthetic aperture,[-1]
synthetic aperture radar,"[-1, 3, 4]"
effective contextual mapping,[-1]
contextual mapping feature,[-1]
Great Toronto Area,[-1]
support vector machine,"[-1, 0, 2, 3, 4, 6]"
conventional neural network,"[-1, 3]"
experimental result show,"[-1, 3, 6]"
method outperform three,[-1]
produces homogenous mapping,[-1]
homogenous mapping result,[-1]
preserved shape detail,[-1]
Urban Energy Simulation,[-1]
integrating engineering simulation,[-1]
machine learning method,"[-1, 0, 1, 2, 3, 4, 6]"
urban energy modeling,[-1]
energy modeling workflow,[-1]
energy intensive built,[-1]
intensive built environment,[-1]
becoming increasingly responsible,[-1]
associated environmental emission,[-1]
characterize building energy,[-1]
building energy consumption,[-1]
building energy simulation,[-1]
statistical learning method,[-1]
dense urban area,"[-1, 6]"
current urban building,[-1]
urban building energy,[-1]
building energy model,[-1]
urban microclimate factor,[-1]
building energy use,[-1]
machine learning algorithm,"[-1, 0, 1, 3, 4, 6]"
building consume energy,[-1]
concept case study,[-1]
densely located university,[-1]
located university building,[-1]
accurately predict urban,[-1]
predict urban scale,[-1]
urban scale energy,[-1]
scale energy consumption,[-1]
result also demonstrate,[-1]
engineering simulation approach,[-1]
merit future work,[-1]
scale energy prediction,[-1]
urban sustainability stakeholder,[-1]
sustainability stakeholder including,[-1]
stakeholder including architect,[-1]
artificial intelligence solution,[-1]
urban land dynamic,[-1]
AI approaches urban,[-1]
land dynamic modeling,[-1]
dynamic modeling process,[-1]
land dynamic domain,[-1]
author discuss hybrid,[-1]
discuss hybrid AI,[-1]
hybrid AI system,[-1]
although challenge exist,[-1]
approach offer promising,[-1]
offer promising solution,[-1]
optimal integration level,[-1]
better urban land,[-1]
urban land cover,"[-1, 3, 4]"
land cover mapping,"[-1, 3, 4]"
Pearl River Delta,"[-1, 2]"
integrating synthetic aperture,[-1]
improve urban land,[-1]
suitable remain unclear,[-1]
compare different integration,[-1]
different integration level,[-1]
study using optical,[-1]
decision level using,[-1]
level using four,[-1]
using four typical,[-1]
four typical machine,[-1]
typical machine learning,[-1]
