cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result
#6,10,None,5,0.0,20,56,0.7586071067024508,"[{'cluster_no': 3, 'count': 6}, {'cluster_no': 5, 'count': 8}, {'cluster_no': 17, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 13, 'count': 11}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 12, 'count': 12}, {'cluster_no': 11, 'count': 15}, {'cluster_no': 14, 'count': 17}, {'cluster_no': 16, 'count': 20}, {'cluster_no': 10, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 15, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': -1, 'count': 56}]"
#6,10,None,6,0.0,19,83,0.792214145226838,"[{'cluster_no': 16, 'count': 7}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 3, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 17, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 11, 'count': 11}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 15, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 13, 'count': 19}, {'cluster_no': 14, 'count': 19}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 7, 'count': 24}, {'cluster_no': 12, 'count': 24}, {'cluster_no': -1, 'count': 83}]"
#6,10,None,7,0.0,17,77,0.7802121225326077,"[{'cluster_no': 12, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 15, 'count': 15}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 14, 'count': 19}, {'cluster_no': 13, 'count': 21}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 10, 'count': 24}, {'cluster_no': 3, 'count': 36}, {'cluster_no': -1, 'count': 77}]"
#6,10,None,8,0.0,15,80,0.7981603842614302,"[{'cluster_no': 8, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 12, 'count': 17}, {'cluster_no': 10, 'count': 19}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 4, 'count': 23}, {'cluster_no': 9, 'count': 25}, {'cluster_no': 6, 'count': 31}, {'cluster_no': 3, 'count': 41}, {'cluster_no': -1, 'count': 80}]"
#6,10,None,9,0.0,9,72,0.5880536422887922,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 2, 'count': 12}, {'cluster_no': 7, 'count': 19}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 5, 'count': 26}, {'cluster_no': 3, 'count': 33}, {'cluster_no': 4, 'count': 41}, {'cluster_no': -1, 'count': 72}, {'cluster_no': 1, 'count': 87}]"
#6,10,None,10,0.0,8,70,0.6655229700820989,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 19}, {'cluster_no': 5, 'count': 23}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 2, 'count': 32}, {'cluster_no': 3, 'count': 41}, {'cluster_no': -1, 'count': 70}, {'cluster_no': 1, 'count': 102}]"
#6,10,None,11,0.0,7,86,0.6921433285297733,"[{'cluster_no': 5, 'count': 19}, {'cluster_no': 1, 'count': 24}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 2, 'count': 31}, {'cluster_no': 3, 'count': 41}, {'cluster_no': -1, 'count': 86}, {'cluster_no': 0, 'count': 100}]"
#6,10,None,12,0.0,7,99,0.7180257317921598,"[{'cluster_no': 3, 'count': 19}, {'cluster_no': 5, 'count': 19}, {'cluster_no': 4, 'count': 21}, {'cluster_no': 1, 'count': 32}, {'cluster_no': 2, 'count': 41}, {'cluster_no': 0, 'count': 94}, {'cluster_no': -1, 'count': 99}]"
#6,10,None,13,0.0,7,105,0.7306063063187833,"[{'cluster_no': 3, 'count': 18}, {'cluster_no': 5, 'count': 19}, {'cluster_no': 4, 'count': 20}, {'cluster_no': 1, 'count': 28}, {'cluster_no': 2, 'count': 42}, {'cluster_no': 0, 'count': 93}, {'cluster_no': -1, 'count': 105}]"
#6,10,None,14,0.0,6,93,0.7303970144537252,"[{'cluster_no': 3, 'count': 19}, {'cluster_no': 1, 'count': 27}, {'cluster_no': 2, 'count': 42}, {'cluster_no': 4, 'count': 52}, {'cluster_no': 0, 'count': 92}, {'cluster_no': -1, 'count': 93}]"
