cluster,group,count,key-phrases,NumDocs,DocIds
0,-1,15,"['dust storm intensity', 'land surface temperature', 'meteorological data', 'urban surface temperature', 'thermal landscape pattern', 'climate change mitigation', 'Urban ambient air', 'colder air', 'nighttime land surface', 'infrared image', 'nighttime LST image', 'daytime LST image', 'nighttime LST downscalingwas', 'city microclimate', 'daytime temperature']",11,"[24, 28, 83, 95, 98, 138, 199, 255, 356, 424, 499]"
0,0,15,"['support vector regression', 'random forest', 'random forest machine', 'regression tree', 'machine learning', 'machine learning study', 'boosted regression tree', 'boosted regression', 'regression model', 'statistical model', 'extreme learning machine', 'neural network algorithm', 'recurrent neural network', 'big data', 'Machine Learning approach']",9,"[8, 28, 45, 138, 255, 257, 348, 446, 527]"
0,1,69,"['urban arid environment', 'urban vegetation configuration', 'different urban vegetation', 'urban vegetation structure', 'urban vegetation type', 'urban area', 'different urban geometry', 'physical urban form', 'urban spatial structure', 'urban ecological infrastructure', 'Urban green space', 'Urban architecture', 'mean architecture height', 'architecture height', 'building height', 'urban ecosystem', 'urban climate', 'urban geometric form', 'urban geometric type', 'urban geometry', 'urban planning', 'building geometry', 'urban building', 'spatial modeling approach', 'urban building stock', 'spatial modeling', 'urban environmental problem', 'important urban characteristic', 'urban characteristic', 'urban phenomenon', 'geographic information system', 'GIS map', 'sustainable urban management', 'geospatial technology', 'geographic data', 'vegetation distribution', 'sustainable architecture', 'sustainable architecture strategy', 'urban tree specie', 'different urban tree', 'tree management', 'tree management decision', 'tree management practitioner', 'urban environment', 'urban fabric component', 'urban fabric', 'vegetation index', 'urban development', 'urbanization indicator', 'urbanization', 'land use cover', 'rapid urban expansion', 'vegetation barrier design', 'roadside vegetation barrier', 'roadside vegetation', 'roadside green infrastructure', 'vegetation design', 'low carbon city', 'urban block carbon', 'urban planning scheme', 'urban area exerts', 'urban design', 'urban design process', 'urban configuration', 'early urban design', 'CityGML file', 'spatial data', 'open spatial data', 'building simulation']",22,"[24, 39, 45, 89, 95, 98, 101, 119, 206, 253, 257, 286, 349, 414, 421, 435, 440, 446, 479, 499, 526, 572]"
0,2,10,"['energy efficiency market', 'electricity consumption', 'energy use', 'energy efficiency', 'building energy performance', 'engineering energy modeling', 'park cooling efficiency', 'inefficient park', 'park cooling', 'cooling efficiency']",4,"[8, 119, 286, 424]"
0,3,10,"['Effective urban ventilation', 'urban ventilation', 'building ventilation potential', 'building ventilation', 'indoor building ventilation', 'urban natural ventilation', 'indoor ventilation potential', 'indoor ventilation', 'indoor natural ventilation', 'natural ventilation potential']",2,"[114, 213]"
0,4,9,"['turbulent air flow', 'reduced order modelling', 'turbulent flow', 'Gaussian plume model', 'turbulent air', 'wind index', 'CFD simulation', 'wind direction', 'CFD model']",3,"[86, 255, 572]"
0,5,19,"['regional dust event', 'regional dust', 'particulate matter', 'air quality monitoring', 'aerosol monitor', 'air quality monitor', 'Air quality', 'air pollution', 'pollution control', 'air pollutant prediction', 'pollutant prediction model', 'pollutant prediction', 'pollutant concentration prediction', 'carbon emission map', 'air quality prediction', 'air quality varies', 'quality sensor data', 'pollutant concentration data', 'pollutant concentration']",7,"[24, 83, 257, 348, 440, 526, 527]"
0,6,7,"['thermal comfort prediction', 'Thermal sensation prediction', 'comfort prediction', 'Thermal comfort', 'suitable thermal comfort', 'outdoor thermal comfort', 'thermal comfort improvement']",2,"[179, 286]"
0,7,11,"['influence urban temperature', 'urban thermal condition', 'Urban heat island', 'urban thermal environment', 'urban thermal landscape', 'thermal landscape', 'urban heat hazard', 'heat hazard mapping', 'heat island study', 'surface urban heat', 'alleviate urban heat']",8,"[39, 45, 89, 98, 199, 206, 414, 440]"
0,8,25,"['Urban air temperature', 'different climate characteristic', 'climate solution research', 'climate solution', 'city temperature prediction', 'temperature prediction model', 'temperature forecast system', 'temperature prediction', 'air temperature forecast', 'air temperature estimation', 'temperature data', 'colder air mass', 'climate prediction', 'climate', 'Mediterranean climate', 'scale surface climate', 'surface climate information', 'surface climate', 'climate information', 'scale atmospheric condition', 'microclimate simulation program', 'microclimate simulation', 'outdoor air temperature', 'climate change problem', 'predicted microclimate']",11,"[28, 138, 151, 199, 255, 446, 479, 493, 499, 527, 572]"
