HDBSCAN_Cluster,DocId,x,y
1,5,11.38,2.06
-1,6,10.92,2.63
1,10,11.09,2.36
1,12,10.1,2.67
2,13,7.69,3.12
1,20,9.92,1.19
-1,21,10.78,0.53
2,22,10.92,4.16
0,23,9.86,3.69
-1,25,10.97,1.2
1,26,10.7,1.42
1,30,10.44,1.59
1,31,10.72,2.04
2,32,7.86,2.71
0,34,8.61,5.07
-1,35,10.4,3.42
-1,36,9.73,2.43
2,38,7.3,3.95
1,41,9.85,1.16
1,42,11.26,2.81
-1,43,9.1,2.12
2,44,8.58,4.2
2,46,8.43,3.7
2,47,7.98,4.4
0,48,9.48,3.99
2,51,9.22,3.13
2,52,10.37,3.69
1,63,10.57,1.24
-1,64,10.98,0.9
-1,66,9.2,2.36
-1,67,11.15,2.44
1,70,10.54,2.45
2,73,9.62,3.14
2,78,8.02,2.97
-1,85,9.46,3.29
-1,88,8.59,1.57
1,91,9.22,2.29
2,92,8.21,3.67
2,97,7.94,2.99
-1,100,10.31,0.47
-1,105,10.97,0.8
-1,106,6.65,3.88
2,107,8.39,3.05
2,108,7.78,3.91
-1,110,9.77,0.86
1,112,10.58,1.74
-1,117,8.64,2.79
-1,120,11.15,2.45
-1,121,10.86,2.67
-1,123,7.38,4.19
2,124,8.02,2.65
-1,127,7.93,3.69
-1,128,10.15,3.7
-1,130,11.14,2.34
-1,132,7.79,2.41
2,134,8.47,3.72
1,139,10.72,2.2
2,140,8.72,3.79
2,142,8.63,3.24
1,145,9.4,2.51
-1,146,10.33,4.33
-1,149,10.22,4.35
-1,150,10.99,1.08
2,153,8.85,3.54
-1,154,10.91,2.78
1,157,11.24,3.06
2,159,8.37,2.81
2,162,8.51,2.94
2,164,8.69,3.45
1,165,11.51,2.69
-1,167,9.75,2.97
-1,168,11.11,2.43
2,169,8.18,3.38
2,170,8.37,3.65
1,172,10.0,2.42
0,173,10.17,3.18
-1,174,10.05,2.02
1,177,9.95,2.6
-1,178,10.79,0.52
2,180,8.16,2.96
2,181,8.2,2.04
0,183,9.44,4.03
-1,184,9.89,1.98
-1,185,10.81,4.23
2,187,8.66,4.01
2,188,8.37,3.47
2,191,8.02,2.99
-1,195,8.59,1.94
-1,196,9.4,4.36
-1,197,10.11,2.65
-1,198,9.7,2.7
-1,200,8.6,2.73
-1,201,10.91,3.52
1,202,10.49,2.51
-1,203,7.58,2.76
2,208,8.64,3.51
-1,209,10.87,4.15
0,216,9.25,3.82
-1,217,9.42,1.21
0,218,9.86,4.34
-1,219,8.27,4.33
-1,221,10.66,3.0
-1,222,9.51,2.6
1,223,10.09,1.43
-1,226,10.64,3.54
2,227,8.17,2.52
1,228,10.58,1.96
-1,229,11.0,2.2
2,232,8.48,3.16
2,233,8.32,2.73
1,234,10.93,2.46
0,235,9.68,3.65
0,241,9.4,3.88
-1,243,6.72,3.68
0,244,9.92,3.5
-1,246,8.34,2.06
-1,247,10.6,2.87
2,248,8.34,3.59
2,250,8.54,3.9
1,251,9.93,1.54
2,252,9.15,3.08
-1,254,10.29,3.68
-1,258,7.61,2.83
-1,259,9.83,4.31
-1,263,10.07,1.9
2,264,7.65,4.04
-1,266,8.15,4.69
-1,269,8.71,2.34
1,271,9.67,1.38
-1,272,7.65,3.7
-1,273,7.38,4.61
0,274,9.59,3.74
-1,276,8.69,4.82
2,277,8.75,3.48
2,278,8.84,3.63
-1,281,8.0,4.49
-1,283,8.5,2.8
-1,284,7.42,2.96
-1,285,8.29,5.03
-1,287,9.69,2.22
2,289,8.51,4.23
-1,290,8.73,2.62
0,293,9.64,3.59
0,294,9.67,3.85
-1,296,7.05,3.4
1,297,10.45,2.39
2,299,7.6,4.55
-1,304,10.45,2.71
0,306,10.06,3.32
-1,307,6.7,3.71
-1,308,9.97,1.4
-1,309,9.64,2.04
-1,310,7.61,3.63
-1,312,8.61,3.64
-1,315,9.46,2.53
0,318,10.18,4.22
-1,320,8.36,5.03
0,322,9.52,4.14
-1,323,10.67,4.35
1,324,10.26,1.74
-1,325,11.11,2.4
-1,326,10.82,4.22
2,328,8.35,3.55
1,329,10.16,2.41
1,330,11.54,2.93
2,333,9.11,2.94
2,336,8.81,2.76
-1,338,9.36,3.97
1,340,9.73,2.47
2,341,8.07,3.39
1,342,10.12,1.99
2,344,8.56,3.28
1,345,10.94,2.46
1,347,10.63,2.16
-1,350,9.03,3.1
2,353,7.44,3.66
-1,355,9.08,3.29
-1,368,7.9,4.31
