dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
768,5,7,0.0,0.24423581490000001,3,198,"[{'cluster_no': 1, 'count': 7}, {'cluster_no': 0, 'count': 89}, {'cluster_no': -1, 'count': 198}]","[-1, 1, 0, 0, 0, 0, -1, -1, 0, -1, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, 1, 0, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 0, 1, -1, -1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1]"
250,14,10,0.0,0.6919888474,4,143,"[{'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 61}, {'cluster_no': 2, 'count': 66}, {'cluster_no': -1, 'count': 143}]","[-1, 1, -1, 1, 2, 1, -1, -1, 0, 1, 1, 1, 1, 2, 0, -1, 1, -1, 1, 1, -1, 2, 2, 2, 0, -1, -1, 1, 1, -1, -1, 1, -1, 2, -1, -1, -1, 2, 2, -1, -1, -1, 2, 2, -1, 1, -1, -1, 1, 2, 2, -1, -1, -1, -1, 2, 1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 2, 2, 2, 1, -1, -1, -1, 2, 1, -1, -1, 1, 1, 2, -1, 0, 1, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, 1, -1, 2, -1, 0, 1, 0, 2, -1, 1, 1, -1, 2, 1, -1, 2, -1, 1, 0, 0, -1, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, 2, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, 2, -1, -1, -1, 2, -1, 0, 0, 2, 1, 2, -1, 0, -1, -1, 1, -1, -1, -1, 0, 0, 0, -1, 1, -1, -1, -1, 1, 1, 1, 2, -1, 1, 2, 1, 2, 1, 1, -1, 2, -1, 2, -1, 2, 2, 2, 2, -1, -1, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, -1, -1, 2, -1, -1, 1, -1, -1, -1, 0, 1, 1, -1, 1, -1, 2, -1, 1, -1, 2, -1, 2, -1, 1, -1, -1, -1, 2, -1, -1, 1, 1, -1, -1, -1, 1, 2, 2, -1, 2, 1, 2, 2, 1, 0, 1, -1, -1, 0, -1, -1, -1, 2, 1, 2, -1, 1, -1, -1, -1, 1, -1, -1, 0, 0, -1, -1, 2, 1, -1, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 1, -1, 2, 2, -1, 0, -1, -1, -1, 0, 1, 0, -1]"
200,15,8,0.0,0.7100257977000001,5,171,"[{'cluster_no': 1, 'count': 8}, {'cluster_no': 0, 'count': 25}, {'cluster_no': 2, 'count': 43}, {'cluster_no': 3, 'count': 47}, {'cluster_no': -1, 'count': 171}]","[-1, 1, -1, 2, 3, 2, -1, -1, 0, 2, 2, 2, 2, -1, 0, -1, -1, -1, 2, -1, -1, 3, -1, 3, 0, -1, -1, 2, 2, -1, -1, 2, -1, 3, -1, -1, -1, 3, 3, -1, -1, -1, 3, 3, 2, 2, -1, -1, 1, 3, 3, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, 0, 2, -1, 1, -1, 3, -1, -1, -1, -1, -1, -1, 3, -1, 0, 2, 2, -1, 3, -1, 0, -1, -1, -1, -1, 3, -1, -1, 2, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, 1, 2, 2, -1, 3, 2, -1, 3, -1, -1, 0, 0, -1, 0, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, -1, 3, -1, -1, 3, -1, 0, 0, -1, 2, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 2, -1, -1, -1, 2, -1, 2, 3, -1, 2, 3, 2, -1, 2, 2, -1, 3, -1, -1, -1, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 2, -1, 2, -1, 3, 1, -1, -1, 3, -1, 3, -1, -1, -1, -1, -1, 3, -1, -1, 2, 1, -1, -1, -1, 2, 3, 3, -1, -1, 2, 3, 3, 2, 0, 1, -1, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 3, 2, -1, 3, 3, -1, -1, -1, -1, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, -1, 0, 1, 0, -1]"
150,15,15,0.0,0.6878524134,4,153,"[{'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 53}, {'cluster_no': 2, 'count': 64}, {'cluster_no': -1, 'count': 153}]","[-1, -1, -1, 1, 2, 1, 1, -1, 0, 1, 1, 1, 1, -1, 0, -1, 1, -1, 1, -1, -1, 2, -1, 2, 0, 2, -1, 1, 1, 2, -1, 1, -1, 2, -1, -1, -1, 2, 2, -1, -1, -1, 2, 2, 1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 2, 2, 2, 1, -1, -1, -1, 2, 1, -1, -1, 1, 1, 2, -1, 0, 1, -1, 2, 2, 2, -1, -1, 1, -1, -1, -1, 1, -1, 2, -1, 0, -1, 0, 2, -1, 1, 1, -1, 2, 1, -1, 2, -1, 1, 0, 0, -1, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 2, -1, -1, 2, -1, 0, 0, -1, 1, 2, -1, 0, -1, -1, 1, -1, -1, 1, 0, 0, 0, -1, 1, -1, -1, -1, 1, 1, 2, 2, -1, 1, 2, 1, 2, 1, 1, -1, 2, -1, 2, -1, 2, 2, 2, 2, -1, 2, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, -1, -1, 2, -1, -1, 1, -1, -1, -1, 0, 1, 1, -1, -1, -1, 2, -1, -1, -1, 2, -1, 2, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 2, 2, -1, 2, 1, 2, 2, 1, 0, -1, -1, -1, 0, -1, -1, -1, 2, 1, 2, -1, 1, -1, 2, -1, 1, -1, -1, 0, 0, -1, -1, 2, 1, -1, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 1, -1, 2, 2, -1, 0, -1, -1, -1, 0, -1, 0, -1]"
100,14,15,0.0,0.6972441317,4,147,"[{'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 51}, {'cluster_no': 2, 'count': 72}, {'cluster_no': -1, 'count': 147}]","[-1, -1, 1, 1, 2, 1, -1, -1, 0, 1, 1, 1, 1, 2, 0, -1, -1, 2, 1, -1, -1, 2, 2, 2, 0, 2, -1, 1, 1, 1, -1, 1, -1, 2, -1, -1, 1, 2, 2, -1, -1, -1, 2, 2, 1, 1, -1, -1, -1, -1, 2, -1, -1, -1, -1, 2, 1, 2, -1, 1, -1, -1, 1, -1, -1, -1, 2, 2, 2, -1, -1, -1, -1, 2, 1, -1, -1, 1, -1, 2, -1, 0, -1, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, 1, -1, 2, -1, 0, 1, 0, -1, -1, 1, 1, -1, 2, 1, -1, 2, 2, 1, 0, 0, -1, 0, -1, -1, 2, 2, 1, -1, -1, -1, -1, -1, 2, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, 2, 2, -1, -1, 2, -1, 0, 0, 2, 1, 2, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 1, -1, -1, -1, 1, 1, 1, 2, -1, 1, 2, 1, 2, -1, 1, -1, 2, -1, 2, 2, 2, 2, 2, 2, -1, 2, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, -1, -1, -1, 2, -1, 1, -1, -1, -1, 0, 1, 1, -1, 1, -1, 2, -1, -1, -1, 2, -1, 2, -1, 1, -1, -1, -1, 2, -1, -1, 1, -1, -1, -1, -1, 1, 2, 2, 0, 2, 1, 2, 2, 1, 0, -1, -1, -1, 0, -1, -1, -1, 2, 1, 2, -1, 1, 2, -1, -1, 1, -1, -1, 0, 0, -1, -1, 2, 1, -1, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 1, -1, 2, 2, -1, 0, -1, -1, -1, 0, -1, 0, -1]"
90,10,14,0.0,0.6202505196,5,131,"[{'cluster_no': 3, 'count': 16}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 2, 'count': 44}, {'cluster_no': 1, 'count': 76}, {'cluster_no': -1, 'count': 131}]","[-1, 3, -1, -1, 1, 2, -1, -1, 0, -1, 2, 2, 2, -1, 0, -1, -1, 1, 2, -1, -1, 1, -1, 1, 0, 1, -1, 2, 2, -1, 3, 2, -1, 1, -1, -1, 2, 1, 1, -1, -1, 1, 1, 1, -1, 2, -1, 3, 3, 1, 1, -1, -1, 3, -1, 1, 2, 1, 1, -1, 0, -1, 2, -1, 3, -1, 1, 1, 1, 2, -1, 3, -1, 1, 2, -1, -1, -1, -1, 1, -1, 0, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, 1, -1, 0, -1, 0, 1, -1, 2, 2, -1, 1, 2, 3, 1, -1, 2, 0, 0, -1, 0, -1, 3, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, 1, 1, 0, -1, 1, -1, 0, 0, -1, 2, 1, -1, 0, 1, -1, -1, -1, -1, 2, -1, 0, 0, 1, 2, 3, 1, -1, 2, 2, 1, 1, -1, 2, 1, 2, -1, 2, 2, -1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 3, -1, -1, -1, 1, -1, -1, 1, 2, -1, -1, 1, -1, -1, 2, 1, 3, -1, 0, 2, 2, 0, 2, -1, 1, 3, -1, -1, 1, -1, 1, -1, 2, -1, -1, -1, 1, -1, -1, 2, 3, -1, 0, -1, -1, 1, 1, -1, -1, 2, 1, 1, 2, 0, 3, 1, -1, 0, -1, -1, -1, 1, 2, 1, -1, 2, -1, 1, 1, 2, -1, -1, 0, 0, -1, -1, 1, 2, -1, 1, 1, -1, -1, -1, 1, 1, 1, 1, -1, 2, -1, 1, 1, -1, 0, -1, -1, -1, 0, 3, 0, -1]"
80,15,6,0.0,0.7122661061000001,5,168,"[{'cluster_no': 1, 'count': 6}, {'cluster_no': 0, 'count': 23}, {'cluster_no': 2, 'count': 45}, {'cluster_no': 3, 'count': 52}, {'cluster_no': -1, 'count': 168}]","[-1, 1, 2, -1, 3, 2, -1, -1, 0, -1, 2, 2, 2, -1, 0, -1, 2, -1, 2, -1, -1, 3, 3, -1, 0, -1, -1, 2, 2, 2, -1, 2, -1, 3, -1, -1, -1, 3, -1, -1, -1, -1, 3, -1, -1, 2, -1, -1, 1, -1, 3, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, 1, -1, 3, 3, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, 3, -1, 0, 2, -1, 3, 3, 3, -1, -1, 2, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, -1, -1, 2, 2, -1, 3, 2, -1, 3, -1, 2, 0, 0, -1, 0, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, -1, 3, -1, -1, 3, -1, 0, 0, -1, 2, 3, -1, 0, -1, -1, -1, -1, -1, 2, 0, -1, 0, -1, 2, -1, -1, -1, 2, 2, 3, 3, -1, 2, 3, 2, -1, 2, 2, -1, -1, -1, -1, -1, 3, 3, 3, 3, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 2, -1, 2, -1, 3, 1, -1, -1, -1, -1, 3, -1, 2, -1, -1, -1, 3, 2, -1, 2, 1, -1, -1, -1, -1, 3, 3, -1, 3, 2, 3, 3, 2, 0, 1, -1, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, 3, -1, -1, -1, -1, -1, 0, 0, -1, -1, 3, 2, -1, 3, 3, -1, -1, -1, 3, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, -1, 0, -1, 0, -1]"
70,14,15,0.0,0.7345329053,4,166,"[{'cluster_no': 0, 'count': 23}, {'cluster_no': 1, 'count': 45}, {'cluster_no': 2, 'count': 60}, {'cluster_no': -1, 'count': 166}]","[-1, -1, 1, -1, 2, 1, -1, -1, 0, -1, 1, 1, 1, -1, 0, -1, -1, -1, 1, -1, -1, 2, -1, 2, 0, -1, -1, 1, 1, -1, -1, 1, -1, 2, -1, -1, -1, 2, 2, -1, -1, -1, 2, 2, 1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 1, 2, -1, -1, -1, -1, 1, -1, -1, -1, 2, 2, 2, -1, -1, -1, -1, 2, 1, -1, 1, -1, -1, 2, -1, 0, 1, -1, 2, -1, 2, -1, -1, 1, -1, -1, -1, 1, -1, 2, -1, 0, -1, 0, -1, -1, 1, 1, -1, 2, 1, -1, 2, -1, 1, 0, 0, -1, 0, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, 2, -1, 2, -1, -1, -1, 2, -1, 0, 0, 2, 1, 2, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 1, -1, -1, -1, 1, 1, 1, 2, -1, 1, 2, 1, 2, 1, 1, -1, 2, -1, -1, -1, 2, 2, -1, 2, -1, 2, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, -1, 2, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, -1, 2, -1, 1, 1, -1, -1, -1, -1, 1, 2, 2, -1, 2, 1, 2, -1, 1, 0, -1, -1, -1, 0, -1, -1, -1, 2, 1, 2, -1, 1, 2, -1, -1, -1, -1, -1, 0, 0, -1, -1, 2, 1, -1, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 1, -1, 2, 2, -1, 0, -1, -1, -1, 0, -1, 0, -1]"
60,13,12,0.0,0.6569370560000001,5,146,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 26}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 3, 'count': 63}, {'cluster_no': -1, 'count': 146}]","[-1, 1, -1, 2, 3, 2, -1, -1, 0, -1, 2, 2, 2, -1, 0, -1, -1, -1, 2, -1, -1, 3, -1, 3, 0, -1, -1, 2, 2, -1, 1, 2, -1, 3, -1, -1, -1, 3, 3, -1, -1, -1, 3, 3, 2, 2, -1, -1, 1, 3, 3, -1, -1, -1, -1, -1, 2, 3, 3, -1, -1, 0, 2, -1, 1, 2, 3, 3, -1, -1, -1, 1, -1, 3, 2, -1, 2, -1, -1, 3, -1, 0, 2, -1, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, 1, 2, 2, -1, 3, 2, -1, 3, -1, 2, 0, 0, -1, 0, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, 3, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, -1, 3, -1, -1, 3, -1, 0, 0, -1, 2, 3, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, 3, 2, -1, -1, -1, 2, 2, 2, 3, -1, 2, 3, 2, -1, 2, 2, -1, 3, -1, 3, -1, 3, 3, -1, 3, 1, 3, -1, -1, -1, 3, -1, 3, -1, 1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, -1, -1, 1, -1, 0, 2, 2, -1, 2, -1, 3, -1, 2, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, -1, 2, 1, -1, 0, -1, 2, 3, 3, -1, -1, 2, 3, 3, 2, 0, 1, -1, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, -1, -1, -1, -1, 0, 0, -1, -1, 3, 2, -1, 3, 3, -1, -1, -1, 3, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, 0, 0, 1, 0, -1]"
50,13,14,0.0,0.6612358065,4,136,"[{'cluster_no': 0, 'count': 30}, {'cluster_no': 1, 'count': 61}, {'cluster_no': 2, 'count': 67}, {'cluster_no': -1, 'count': 136}]","[-1, 1, -1, 1, 2, 1, -1, -1, 0, 1, 1, 1, 1, -1, 0, -1, -1, 2, 1, -1, -1, 2, -1, 2, 0, 2, -1, 1, 1, -1, -1, 1, -1, 2, -1, -1, 1, 2, 2, -1, 1, -1, 2, -1, 1, 1, -1, -1, 1, 2, 2, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 1, -1, 1, -1, 2, 2, 2, 1, -1, -1, -1, 2, 1, -1, 1, 1, -1, 2, -1, 0, 1, -1, 2, 2, 2, -1, -1, 1, -1, -1, -1, 1, -1, 2, -1, 0, 1, 0, 2, 1, 1, 1, -1, 2, 1, -1, 2, -1, 1, 0, 0, -1, 0, -1, -1, 2, 2, 1, -1, -1, 2, -1, -1, 2, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 2, -1, 0, 0, -1, 1, 2, -1, 0, -1, -1, 1, -1, -1, -1, 0, 0, 0, -1, 1, -1, -1, -1, 1, 1, 2, 2, -1, 1, 2, 1, 2, 1, 1, -1, 2, -1, 2, -1, 2, 2, 2, -1, -1, 2, -1, -1, 2, 2, 0, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, -1, -1, 2, 2, -1, -1, -1, -1, -1, 0, 1, 1, -1, 1, -1, 2, -1, -1, -1, 2, -1, 2, -1, 1, -1, -1, -1, 2, 1, 1, 1, 1, -1, 0, -1, 1, 2, 2, -1, -1, 1, 2, 2, 1, 0, 1, -1, -1, 0, -1, -1, -1, -1, 1, 2, -1, 1, 2, 2, 2, 1, -1, -1, 0, 0, -1, -1, 2, 1, -1, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 1, -1, 2, 2, 0, 0, -1, -1, 0, 0, -1, 0, -1]"
