dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
90,None,5,0.0,0.36253077744829293,8,105,"[{'cluster_no': 3, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 0, 'count': 25}, {'cluster_no': 1, 'count': 29}, {'cluster_no': 4, 'count': 46}, {'cluster_no': 5, 'count': 67}, {'cluster_no': -1, 'count': 105}]","[3, 0, 3, -1, 5, 4, 4, 6, 1, 4, 4, 4, 4, -1, 1, 0, 4, 5, 4, 3, -1, 5, -1, -1, 1, 5, -1, 4, 4, -1, 0, 4, -1, 5, 5, 5, 3, 5, 5, -1, 4, 5, 5, 5, 4, 4, -1, 0, 0, 5, 5, -1, -1, 0, -1, 5, 4, -1, -1, -1, -1, 1, 4, -1, 0, 3, 5, -1, 5, -1, -1, 0, -1, 5, 4, 1, -1, -1, 4, 5, -1, 1, -1, 6, 5, 5, 5, 2, 2, -1, -1, -1, -1, 4, -1, 5, 6, 1, -1, 1, 5, 0, 4, 4, 0, 5, 4, 0, 5, -1, 3, 1, 1, -1, 1, -1, 0, 5, 5, 4, -1, -1, -1, -1, -1, -1, -1, 2, 4, -1, 1, -1, -1, -1, -1, 5, 5, 5, 1, -1, -1, 5, 1, 1, -1, -1, 5, 0, 1, -1, -1, -1, -1, -1, 4, 1, 1, 1, 6, 4, 0, 6, -1, 4, 4, -1, 5, -1, 4, 5, 4, 5, 3, 4, 0, 5, -1, -1, -1, 5, 5, -1, -1, 0, 5, -1, -1, 5, 5, -1, 5, -1, 0, 4, -1, -1, 5, 2, -1, 5, 4, -1, -1, 5, -1, -1, 4, 6, 0, -1, 1, 4, 4, 1, 4, -1, 5, 0, -1, -1, 5, -1, 5, -1, -1, -1, -1, -1, 5, -1, 4, 4, 0, 2, 1, 2, -1, 5, 5, -1, -1, 4, 5, 5, 4, 1, 0, 5, -1, 1, -1, -1, 0, 5, 4, 6, -1, 4, 0, 5, 5, 4, 1, -1, 1, -1, 0, -1, 5, 4, -1, 5, 5, 2, -1, -1, -1, 5, 5, 5, -1, 4, -1, 5, 5, -1, 1, 5, 2, -1, 1, 0, 1, -1]"
90,None,6,0.0,0.42640034969011753,6,129,"[{'cluster_no': 1, 'count': 6}, {'cluster_no': 2, 'count': 18}, {'cluster_no': 0, 'count': 28}, {'cluster_no': 3, 'count': 46}, {'cluster_no': 4, 'count': 67}, {'cluster_no': -1, 'count': 129}]","[3, 2, -1, -1, -1, 3, 3, -1, 0, 3, 3, 3, 3, 4, 0, -1, 3, 4, 3, -1, -1, 4, -1, -1, 0, 4, -1, 3, 3, 4, 2, 3, -1, 4, -1, 4, -1, 4, 4, -1, 3, 4, 4, -1, -1, 3, -1, 2, 2, 4, 4, -1, -1, 2, -1, 4, 3, -1, -1, 4, -1, 0, 3, -1, 2, 3, 4, -1, 4, -1, -1, 2, -1, 4, -1, -1, -1, -1, 3, 4, -1, 0, -1, 4, 4, 4, 4, -1, 1, -1, -1, -1, -1, 3, -1, -1, -1, 0, -1, 0, 4, -1, 3, 3, -1, 4, 3, 2, 4, -1, 3, 0, 0, -1, 0, -1, 2, 4, 4, 3, 4, -1, -1, -1, -1, -1, -1, 1, 3, -1, -1, -1, -1, -1, -1, -1, 4, 4, 0, -1, -1, 4, 0, 0, -1, -1, 4, -1, 0, 4, -1, -1, -1, -1, 3, 0, 0, 0, 4, 3, 2, 4, -1, 3, 3, -1, 4, -1, 3, 4, 3, 4, 3, 3, -1, 4, -1, -1, -1, -1, 4, -1, -1, 2, 4, -1, -1, -1, 4, -1, 4, -1, 2, -1, -1, -1, 4, 1, -1, 4, 3, -1, -1, 4, -1, -1, 3, 4, 2, -1, 0, 3, 3, 0, 3, -1, 4, 2, -1, -1, 4, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, 3, 2, 1, 0, 0, -1, 4, 4, -1, -1, 3, 4, -1, 3, 0, 2, 4, -1, 0, -1, -1, -1, 4, 3, 4, -1, 3, -1, 4, 4, 3, 0, -1, 0, -1, 2, -1, 4, 3, -1, 4, 4, 1, -1, -1, -1, 4, 4, 4, -1, 3, -1, 4, 4, -1, 0, -1, 1, -1, 0, 2, 0, -1]"
90,None,7,0.0,0.56059321549715,5,106,"[{'cluster_no': 1, 'count': 18}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 2, 'count': 51}, {'cluster_no': 3, 'count': 77}, {'cluster_no': -1, 'count': 106}]","[2, 1, -1, -1, 3, 2, 2, -1, 0, 2, 2, 2, 2, -1, 0, -1, -1, 3, 2, 2, -1, 3, -1, 3, 0, 3, -1, 2, 2, 2, 1, 2, -1, 3, 3, 3, 2, 3, 3, -1, 2, 3, 3, 3, 2, 2, -1, 1, 1, 3, 3, -1, -1, 1, -1, 3, 2, 3, 3, -1, 0, 0, 2, -1, 1, -1, 3, -1, 3, -1, -1, 1, -1, 3, 2, 0, -1, -1, 2, 3, -1, 0, -1, 3, 3, 3, 3, 0, 0, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, -1, 2, 2, 1, 3, 2, 1, 3, -1, 2, 0, 0, -1, 0, -1, 1, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, 0, 2, -1, -1, 0, -1, -1, -1, -1, 3, 3, 0, -1, -1, -1, 0, 0, -1, 2, 3, -1, 0, 3, -1, -1, 3, -1, 2, 0, 0, 0, 3, 2, 1, 3, -1, 2, 2, 3, 3, -1, 2, 3, 2, 3, 2, 2, -1, 3, -1, -1, -1, 3, 3, 3, -1, 1, 3, -1, -1, 3, 3, -1, 3, -1, 1, -1, -1, -1, 3, 0, -1, 3, 2, 0, -1, 3, -1, -1, 2, 3, 1, -1, 0, 2, 2, 0, 2, -1, 3, 1, -1, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, -1, 2, 1, 0, 0, 0, -1, 3, 3, -1, 3, 2, 3, 3, 2, 0, 1, 3, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, 3, 2, 0, 0, 0, 0, -1, -1, 3, 2, -1, 3, 3, 0, -1, -1, -1, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, 0, 0, 0, 1, 0, -1]"
90,None,8,0.0,0.5870626144243251,5,126,"[{'cluster_no': 1, 'count': 17}, {'cluster_no': 0, 'count': 35}, {'cluster_no': 2, 'count': 50}, {'cluster_no': 3, 'count': 66}, {'cluster_no': -1, 'count': 126}]","[-1, 1, -1, -1, 3, 2, 2, -1, 0, 2, 2, 2, 2, -1, 0, -1, -1, 3, 2, -1, -1, 3, -1, 3, 0, 3, -1, 2, 2, 2, 1, 2, -1, 3, -1, 3, 2, 3, -1, -1, 2, 3, 3, 3, 2, 2, -1, 1, 1, 3, 3, -1, -1, 1, -1, -1, 2, -1, 3, 2, 0, 0, 2, -1, 1, -1, 3, -1, 3, -1, -1, 1, -1, 3, 2, 0, -1, -1, 2, 3, -1, 0, 2, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, -1, 2, 2, -1, 3, 2, 1, 3, -1, 2, 0, 0, -1, 0, -1, 1, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, 0, 2, -1, -1, 0, -1, -1, -1, -1, 3, 3, 0, -1, -1, -1, 0, 0, -1, 2, 3, -1, 0, 3, -1, -1, -1, -1, 2, 0, 0, 0, 3, 2, 1, 3, -1, 2, 2, 2, 3, -1, 2, 3, 2, -1, -1, 2, -1, 3, -1, -1, -1, -1, 3, 3, -1, 1, 3, -1, -1, 3, 3, -1, -1, -1, 1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, -1, 3, 1, -1, 0, 2, 2, 0, 2, -1, 3, 1, -1, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, 2, -1, 2, 1, 0, 0, 0, -1, 3, 3, -1, -1, 2, 3, 3, 2, 0, 1, 3, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, -1, 2, -1, 0, 0, 0, -1, -1, 3, 2, -1, 3, 3, 0, -1, -1, -1, 3, 3, 3, -1, -1, -1, 3, 3, -1, 0, -1, -1, -1, 0, 1, 0, -1]"
90,None,9,0.0,0.5651107395699032,5,121,"[{'cluster_no': 1, 'count': 16}, {'cluster_no': 0, 'count': 32}, {'cluster_no': 2, 'count': 48}, {'cluster_no': 3, 'count': 77}, {'cluster_no': -1, 'count': 121}]","[-1, 1, -1, -1, 3, 2, 2, 3, 0, 2, 2, 2, 2, -1, 0, -1, -1, 3, 2, -1, -1, 3, -1, 3, 0, 3, -1, 2, 2, 2, 1, 2, -1, 3, -1, 3, 2, 3, 3, -1, 2, 3, 3, 3, -1, 2, -1, 1, 1, 3, 3, -1, -1, 1, -1, 3, 2, -1, 3, -1, 0, 0, 2, -1, 1, -1, 3, -1, 3, 2, -1, 1, -1, 3, 2, -1, -1, -1, 2, 3, -1, 0, -1, -1, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, -1, 2, 2, -1, 3, 2, 1, 3, -1, 2, 0, 0, -1, 0, -1, 1, 3, 3, 2, -1, -1, -1, -1, -1, 3, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, 3, 3, 0, -1, 3, -1, 0, 0, -1, 2, 3, -1, 0, 3, -1, -1, -1, -1, 2, -1, 0, 0, 3, 2, 1, 3, -1, 2, 2, 3, 3, -1, 2, 3, 2, -1, 2, 2, -1, 3, -1, 3, -1, 3, 3, 3, -1, -1, 3, -1, -1, 3, 3, -1, 3, -1, 1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, 3, 3, 1, -1, 0, 2, 2, 0, 2, -1, 3, 1, -1, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, -1, 2, 1, 0, 0, 0, -1, 3, 3, -1, -1, 2, 3, 3, 2, 0, 1, 3, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, 3, 2, -1, 0, 0, 0, -1, -1, 3, 2, -1, 3, 3, 0, -1, -1, 3, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, -1, 0, 1, 0, -1]"
90,None,10,0.0,0.6202505195566494,5,131,"[{'cluster_no': 3, 'count': 16}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 2, 'count': 44}, {'cluster_no': 1, 'count': 76}, {'cluster_no': -1, 'count': 131}]","[-1, 3, -1, -1, 1, 2, -1, -1, 0, -1, 2, 2, 2, -1, 0, -1, -1, 1, 2, -1, -1, 1, -1, 1, 0, 1, -1, 2, 2, -1, 3, 2, -1, 1, -1, -1, 2, 1, 1, -1, -1, 1, 1, 1, -1, 2, -1, 3, 3, 1, 1, -1, -1, 3, -1, 1, 2, 1, 1, -1, 0, -1, 2, -1, 3, -1, 1, 1, 1, 2, -1, 3, -1, 1, 2, -1, -1, -1, -1, 1, -1, 0, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 2, -1, 1, -1, 0, -1, 0, 1, -1, 2, 2, -1, 1, 2, 3, 1, -1, 2, 0, 0, -1, 0, -1, 3, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, 1, 1, 0, -1, 1, -1, 0, 0, -1, 2, 1, -1, 0, 1, -1, -1, -1, -1, 2, -1, 0, 0, 1, 2, 3, 1, -1, 2, 2, 1, 1, -1, 2, 1, 2, -1, 2, 2, -1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 3, -1, -1, -1, 1, -1, -1, 1, 2, -1, -1, 1, -1, -1, 2, 1, 3, -1, 0, 2, 2, 0, 2, -1, 1, 3, -1, -1, 1, -1, 1, -1, 2, -1, -1, -1, 1, -1, -1, 2, 3, -1, 0, -1, -1, 1, 1, -1, -1, 2, 1, 1, 2, 0, 3, 1, -1, 0, -1, -1, -1, 1, 2, 1, -1, 2, -1, 1, 1, 2, -1, -1, 0, 0, -1, -1, 1, 2, -1, 1, 1, -1, -1, -1, 1, 1, 1, 1, -1, 2, -1, 1, 1, -1, 0, -1, -1, -1, 0, 3, 0, -1]"
90,None,11,0.0,0.1982895111836937,3,74,"[{'cluster_no': 1, 'count': 30}, {'cluster_no': -1, 'count': 74}, {'cluster_no': 0, 'count': 190}]","[0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, -1, 1, 0, -1, 0, 0, -1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 1, 0, -1, 0, 0, -1, 0, 0, 1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, 0, -1, -1, 1, 0, 1, -1]"
90,None,12,0.0,0.1994001817331539,3,74,"[{'cluster_no': 1, 'count': 29}, {'cluster_no': -1, 'count': 74}, {'cluster_no': 0, 'count': 191}]","[0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 1, -1, -1, 0, 0, 0, 0, 1, -1, 0, -1, 1, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, 0, -1, 0, 1, 0, 1, -1]"
90,None,13,0.0,0.21661891645948475,3,80,"[{'cluster_no': 1, 'count': 29}, {'cluster_no': -1, 'count': 80}, {'cluster_no': 0, 'count': 185}]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, 1, 1, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0, -1, -1, 1, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 1, 0, -1, 0, 1, 0, 1, -1]"
90,None,14,0.0,0.22613244097372628,3,87,"[{'cluster_no': 1, 'count': 29}, {'cluster_no': -1, 'count': 87}, {'cluster_no': 0, 'count': 178}]","[0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1, -1, 1, -1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 1, 1, -1, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, 1, 1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, -1, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, 0, -1, -1, 1, 0, 1, -1]"
