Collocation,Score
machine learning,5759.4528967002525
urban planning,2247.6960267182026
land use,1697.2738018561822
remote sensing,1640.3099633231118
neural network,1173.4730227408445
land cover,1165.9524642435474
random forest,1147.8563895604232
artificial intelligence,1087.5873881883986
big data,835.610799550883
deep learning,779.2196547267226
support vector,730.3816669323446
rights reserved,646.2138443605213
case study,618.9664777585232
smart cities,594.9756393338466
social media,578.3325062302004
results show,531.6490366377716
computer vision,510.65051080509176
urban areas,508.76199505720643
built environment,496.71844475905016
artificial neural,493.0719407355073
convolutional neural,488.7655682266946
neural networks,445.50133077972646
learning techniques,435.8234877436072
urban environments,428.55569337238614
learning algorithms,423.52880105483143
air quality,413.5703071675751
street view,393.5011058251113
decision tree,384.35550516730694
proposed method,374.4723858013406
human mobility,373.4507268958136
urban environment,360.9312135993451
overall accuracy,359.36265811306225
smart city,339.58476244252955
paper presents,336.06442922128394
remotely sensed,335.0594221271719
intelligence ai,327.91964804708726
landslide susceptibility,322.7769489336736
vector machines,320.6640628163754
decision making,309.23994523000965
proceedings contain,308.0441603845188
cellular automata,300.72994881049334
contain papers,296.81008699500165
urban land,289.6722603870689
satellite images,286.0383654877453
surface temperature,284.18277240641163
semantic segmentation,281.71667841515784
mobile phone,279.0073542457249
climate change,278.9963005391811
data mining,277.2018591311873
urban expansion,265.6110216000346
gradient boosting,260.57255362028343
image classification,260.5385586684723
urban planners,260.1208341995562
urban design,256.2261785287317
high resolution,252.04921444882427
urban form,249.39967314053885
recent years,240.56297510370786
point clouds,240.26032107516406
forest rf,239.0828268850716
experimental results,238.4354642841268
road traffic,235.99835458534835
linear regression,235.32441474686013
thermal comfort,232.4374160165032
new york,229.30298551060218
mean absolute,229.17264778673209
change detection,228.54254050299897
electric consumption,226.00543805050506
satellite imagery,221.3124419683417
data sets,217.62009257857227
random forests,217.491082473663
study area,215.29260273239782
reinforcement learning,212.14940302136708
traffic congestion,211.44584047716302
proposed approach,209.66464267721312
vector machine,207.41236553517138
geographic information,206.35776157300538
results indicate,205.00326207569958
learning methods,203.19463460610768
path loss,202.22703950331515
traffic flow,202.2082421476012
developing countries,200.32880078978374
carbon emissions,199.82278991459256
heat island,192.75246451690512
logistic regression,189.4704996923958
learning algorithm,187.46182993226557
sensing images,181.62243784613034
time series,181.44020853672686
air pollution,175.70302351910732
wide range,174.96082847669894
public spaces,173.87998499782236
positive deviance,172.97909625334069
energy consumption,171.94397198940226
earth observation,171.38963138708974
unmanned aerial,170.75229028938037
classification accuracy,168.77499730121082
results showed,165.62176765147103
aperture radar,164.87341297314748
soil erosion,163.73435847065997
learning models,162.97287952278327
using machine,162.12051613484348
driving forces,162.0303975555974
feature extraction,160.84196324828216
street greenery,159.4144226038697
decision support,156.5480625550377
landscape pattern,155.59849152811398
normalized difference,155.04218897598184
travel behavior,151.6680897996076
urbanization process,151.46824524341486
recent advances,150.6201689593959
latent dirichlet,150.4246914189075
synthetic aperture,149.59713440330307
lucc analog,149.40518686641258
closely packed,148.9716809204616
special focus,148.17638925227297
sediment yield,147.55025030719796
mobility patterns,145.49460053000595
root mean,145.39375799640683
heat islands,143.28692706256328
urban development,143.24510569027825
rapid urbanization,142.43608860280116
water quality,142.16418252229428
building heights,141.71405483305986
point cloud,140.85825685899457
machine svm,140.5378448093144
geographically weighted,140.41685809363847
decision makers,139.66741830325404
dirichlet allocation,139.05581867234426
urban heat,138.4068326075586
natural language,138.3003557464572
view images,137.5524314710648
google street,137.3530840754848
carbon sequestration,136.9902396103677
real time,135.52279234744526
international workshop,135.08084457536768
ecosystem services,134.60974114147172
york city,133.43018099146153
nlos multipath,133.32528048588694
network ann,133.31800320259737
air temperature,132.83903976480366
cover classification,132.8346885445589
google earth,131.54384828592939
visual analytics,131.5078125046495
