n_neighbour,cluster,sse
15,1,2728.37353515625
15,2,1500.4239501953125
15,3,1111.93701171875
15,4,858.593505859375
15,5,689.7196655273438
15,6,579.2900390625
15,7,481.0990295410156
15,8,409.235107421875
15,9,358.9153137207031
15,10,326.1340026855469
15,11,299.021240234375
15,12,270.85272216796875
15,13,252.4770050048828
15,14,243.73590087890625
15,15,223.07533264160156
15,16,214.52259826660156
15,17,199.0691375732422
15,18,189.02333068847656
15,19,180.57859802246094
15,20,172.31536865234375
15,21,163.46157836914062
15,22,157.8841094970703
15,23,151.91717529296875
15,24,145.9705352783203
15,25,140.7425994873047
15,26,136.5207977294922
15,27,129.04058837890625
15,28,123.93616485595703
15,29,120.08000183105469
15,30,117.7254638671875
15,31,112.29286193847656
15,32,108.64510345458984
15,33,105.36322784423828
15,34,100.1670150756836
15,35,99.64247131347656
15,36,96.76380157470703
15,37,93.27117919921875
15,38,92.01927947998047
15,39,88.24760437011719
15,40,87.96617889404297
15,41,87.04126739501953
15,42,84.9062271118164
15,43,82.77033233642578
15,44,81.35101318359375
15,45,79.12169647216797
15,46,79.6800537109375
15,47,76.34871673583984
15,48,74.35810852050781
15,49,74.30840301513672
15,50,71.94293212890625
15,51,71.68109893798828
15,52,69.54196166992188
15,53,69.14579010009766
15,54,67.85740661621094
15,55,65.59476470947266
15,56,65.4771728515625
15,57,63.09471893310547
15,58,62.40830612182617
15,59,61.492271423339844
15,60,60.73371505737305
15,61,61.05327224731445
15,62,58.90516662597656
15,63,58.16708755493164
15,64,55.53337097167969
15,65,56.66292190551758
15,66,54.6436653137207
15,67,54.63749694824219
15,68,53.98580551147461
15,69,52.09410095214844
15,70,51.92866516113281
15,71,51.00991439819336
15,72,50.758949279785156
15,73,49.1071891784668
15,74,48.58934020996094
15,75,48.480224609375
15,76,47.1227912902832
15,77,46.59653854370117
15,78,45.208457946777344
15,79,45.92605972290039
15,80,43.7344970703125
15,81,44.27836227416992
15,82,43.793800354003906
15,83,42.03664779663086
15,84,42.59743881225586
15,85,41.40388870239258
15,86,41.612205505371094
15,87,41.46954345703125
15,88,40.24571228027344
15,89,39.68274688720703
15,90,39.25808334350586
15,91,39.108985900878906
15,92,38.52077102661133
15,93,37.14039993286133
15,94,37.67784881591797
15,95,36.76371765136719
15,96,36.59537124633789
15,97,36.16830062866211
15,98,35.57265853881836
15,99,35.38383865356445
15,100,35.020347595214844
15,101,34.6513557434082
15,102,34.472198486328125
15,103,33.62230682373047
15,104,33.565433502197266
15,105,33.24232482910156
15,106,33.085601806640625
15,107,32.828651428222656
15,108,32.07447814941406
15,109,31.672494888305664
15,110,31.2135009765625
15,111,30.435138702392578
15,112,30.57439613342285
15,113,30.282230377197266
