HDBSCAN_Cluster,DocId,x,y
3,1,10.72,0.32
4,2,10.89,1.58
3,3,10.19,0.31
5,4,8.63,4.46
-1,5,11.38,2.06
-1,6,10.92,2.63
5,7,8.59,4.39
0,8,10.85,4.19
2,9,10.08,3.34
-1,10,11.09,2.36
1,11,8.71,1.72
-1,12,10.1,2.67
-1,13,7.69,3.12
1,14,9.6,1.54
1,15,8.95,1.8
1,16,9.14,1.98
4,17,11.19,1.74
6,18,6.82,3.87
3,19,10.01,0.15
-1,20,9.92,1.19
-1,21,10.78,0.53
-1,22,10.92,4.16
-1,23,9.86,3.69
0,24,11.32,3.02
-1,25,10.97,1.2
-1,26,10.7,1.42
1,27,9.24,2.17
0,28,11.53,3.59
2,29,10.45,2.92
-1,30,10.44,1.59
-1,31,10.72,2.04
-1,32,7.86,2.71
6,33,7.32,3.49
-1,34,8.61,5.07
-1,35,10.4,3.42
-1,36,9.73,2.43
3,37,10.62,0.28
-1,38,7.3,3.95
0,39,11.54,3.62
6,40,7.17,3.5
-1,41,9.85,1.16
-1,42,11.26,2.81
-1,43,9.1,2.12
-1,44,8.58,4.2
0,45,11.48,3.51
-1,46,8.43,3.7
-1,47,7.98,4.4
-1,48,9.48,3.99
4,49,11.31,2.07
2,50,10.24,2.95
-1,51,9.22,3.13
-1,52,10.37,3.69
4,53,11.17,1.47
3,54,10.16,0.75
3,56,10.05,0.74
6,57,6.87,4.36
3,58,10.55,1.09
1,59,8.87,1.64
6,60,7.28,4.63
3,61,10.06,0.75
1,62,8.99,1.82
-1,63,10.57,1.24
-1,64,10.98,0.9
6,65,7.41,3.16
-1,66,9.2,2.36
-1,67,11.15,2.44
4,68,11.03,1.63
1,69,8.31,1.97
-1,70,10.54,2.45
3,71,10.77,0.83
4,72,10.91,1.35
-1,73,9.62,3.14
2,74,10.39,2.65
2,75,10.21,3.08
4,76,10.89,1.59
4,77,10.88,1.47
-1,78,8.02,2.97
1,79,8.45,2.24
3,81,10.1,0.4
6,82,7.59,3.43
0,83,11.05,3.41
4,84,10.83,1.73
-1,85,9.46,3.29
0,86,11.05,3.8
6,87,7.3,3.38
-1,88,8.59,1.57
0,89,11.52,3.63
4,90,11.19,1.68
-1,91,9.22,2.29
-1,92,8.21,3.67
1,93,8.77,2.16
6,94,8.47,4.22
0,95,11.47,3.63
2,96,10.26,2.66
-1,97,7.94,2.99
0,98,11.48,3.25
3,99,10.66,0.33
-1,100,10.31,0.47
0,101,11.12,3.95
4,102,11.12,1.57
1,103,8.84,2.4
2,104,10.42,2.87
-1,105,10.97,0.8
-1,106,6.65,3.88
-1,107,8.39,3.05
-1,108,7.78,3.91
4,109,11.09,1.3
-1,110,9.77,0.86
3,111,10.38,0.81
-1,112,10.58,1.74
4,113,11.1,1.39
0,114,11.09,3.83
1,115,9.12,2.22
6,116,7.2,4.22
-1,117,8.64,2.79
6,118,7.28,3.46
0,119,10.68,3.99
-1,120,11.15,2.45
-1,121,10.86,2.67
6,122,7.25,4.53
-1,123,7.38,4.19
-1,124,8.02,2.65
3,125,10.28,0.38
4,126,11.09,1.91
-1,127,7.93,3.69
-1,128,10.15,3.7
5,129,8.86,4.24
-1,130,11.14,2.34
2,131,10.15,3.04
-1,132,7.79,2.41
6,133,6.87,4.3
-1,134,8.47,3.72
1,135,8.84,2.39
1,136,8.38,2.07
3,137,10.25,1.02
0,138,10.47,3.57
-1,139,10.72,2.2
-1,140,8.72,3.79
6,141,6.88,4.07
-1,142,8.63,3.24
2,143,10.3,2.7
3,144,10.03,0.58
-1,145,9.4,2.51
-1,146,10.33,4.33
4,147,10.89,1.65
3,148,10.37,0.19
-1,149,10.22,4.35
-1,150,10.99,1.08
0,151,11.39,3.68
-1,153,8.85,3.54
-1,154,10.91,2.78
2,155,10.4,2.87
3,156,10.05,0.3
-1,157,11.24,3.06
6,158,6.98,4.02
