Cluster,NumDocs,DocIds,TopWords
0,69,"[10, 13, 14, 15, 26, 42, 50, 58, 61, 65, 68, 78, 87, 90, 92, 102, 114, 116, 134, 135, 144, 180, 193, 194, 199, 211, 216, 238, 245, 251, 268, 270, 289, 308, 313, 330, 345, 354, 359, 362, 364, 365, 374, 378, 382, 383, 389, 409, 421, 422, 426, 435, 440, 456, 469, 475, 491, 506, 512, 516, 517, 535, 541, 545, 552, 553, 556, 561, 587]","[{'topic': 'urban environment', 'doc_ids': [13, 15, 114, 251, 268, 308, 362, 516, 535, 552]}, {'topic': 'computer vision', 'doc_ids': [15, 194, 251, 378, 535]}, {'topic': 'street view', 'doc_ids': [15, 194, 409]}, {'topic': 'view images', 'doc_ids': [15, 194, 409]}, {'topic': 'public spaces', 'doc_ids': [135, 422]}, {'topic': 'built environment', 'doc_ids': [114, 440]}, {'topic': 'urban design', 'doc_ids': [135, 556]}, {'topic': 'human perception', 'doc_ids': [365]}, {'topic': 'google street', 'doc_ids': [409]}, {'topic': 'public space', 'doc_ids': [135]}]"
1,68,"[8, 11, 22, 28, 34, 35, 49, 69, 72, 73, 74, 84, 95, 103, 127, 130, 142, 154, 159, 166, 171, 172, 173, 176, 183, 196, 197, 201, 220, 221, 225, 243, 246, 286, 292, 303, 305, 314, 328, 339, 341, 379, 393, 398, 417, 430, 431, 438, 442, 444, 455, 461, 462, 472, 473, 484, 521, 523, 550, 559, 563, 569, 575, 578, 582, 593, 594, 597]","[{'topic': 'land use', 'doc_ids': [49, 72, 73, 74, 84, 103, 166, 431, 472, 484, 594]}, {'topic': 'urban land', 'doc_ids': [49, 84, 431, 472, 594]}, {'topic': 'urban development', 'doc_ids': [172, 197, 431, 521, 594]}, {'topic': 'artificial neural', 'doc_ids': [172, 173, 197, 221, 594]}, {'topic': 'urban expansion', 'doc_ids': [176]}, {'topic': 'cellular automata', 'doc_ids': [484]}, {'topic': 'urbanization process', 'doc_ids': [594]}, {'topic': 'ca model', 'doc_ids': [594]}, {'topic': 'urban growth', 'doc_ids': [74]}, {'topic': 'building heights', 'doc_ids': [172]}]"
2,69,"[0, 2, 18, 19, 20, 36, 40, 53, 55, 57, 60, 62, 63, 70, 80, 98, 99, 104, 109, 110, 124, 136, 143, 147, 155, 170, 177, 185, 210, 219, 222, 236, 237, 241, 248, 250, 255, 262, 291, 326, 363, 366, 377, 381, 384, 388, 400, 410, 427, 429, 436, 437, 443, 449, 450, 453, 454, 459, 464, 468, 485, 503, 504, 505, 530, 534, 537, 567, 574]","[{'topic': 'remote sensing', 'doc_ids': [2, 20, 53, 70, 99, 109, 147, 222, 237, 437, 450, 485, 504, 505, 537]}, {'topic': 'deep learning', 'doc_ids': [99, 210, 219, 237, 326, 366, 384, 436, 437, 450, 454, 505, 530, 534]}, {'topic': 'convolutional neural', 'doc_ids': [19, 99, 104, 110, 143, 210, 436, 505]}, {'topic': 'proposed method', 'doc_ids': [143, 236, 436, 450, 503, 504]}, {'topic': 'satellite images', 'doc_ids': [63, 110, 147, 237]}, {'topic': 'change detection', 'doc_ids': [2, 53, 177, 450]}, {'topic': 'high resolution', 'doc_ids': [503, 504]}, {'topic': 'sensing images', 'doc_ids': [70, 450]}, {'topic': 'semantic segmentation', 'doc_ids': [450]}, {'topic': 'lidar data', 'doc_ids': [20]}]"
3,62,"[17, 37, 56, 59, 86, 105, 107, 115, 117, 121, 122, 132, 140, 157, 160, 188, 204, 206, 209, 214, 224, 235, 239, 242, 260, 261, 271, 272, 287, 294, 295, 297, 298, 300, 301, 306, 310, 320, 334, 338, 350, 351, 352, 380, 387, 397, 399, 407, 460, 463, 476, 482, 489, 497, 507, 528, 542, 543, 560, 590, 596, 599]","[{'topic': 'reinforcement learning', 'doc_ids': [122, 294, 351]}, {'topic': 'real time', 'doc_ids': [37, 140, 261]}, {'topic': 'road traffic', 'doc_ids': [295]}, {'topic': 'urban traffic', 'doc_ids': [295]}, {'topic': 'transportation modes', 'doc_ids': [298]}, {'topic': 'travel behavior', 'doc_ids': [260]}, {'topic': 'intelligent transportation', 'doc_ids': [301]}]"
4,57,"[3, 6, 33, 43, 46, 93, 128, 133, 186, 189, 218, 229, 230, 249, 265, 275, 278, 280, 284, 288, 304, 307, 319, 336, 367, 376, 386, 402, 404, 414, 432, 433, 477, 481, 486, 488, 494, 499, 500, 513, 514, 515, 518, 524, 529, 532, 533, 544, 546, 548, 551, 558, 562, 564, 573, 580, 585]","[{'topic': 'smart cities', 'doc_ids': [230, 280, 500, 533, 551, 585]}, {'topic': 'smart city', 'doc_ids': [265, 500, 515]}, {'topic': 'artificial intelligence', 'doc_ids': [186, 307, 433]}, {'topic': 'big data', 'doc_ids': [477, 481, 573]}, {'topic': 'data analysis', 'doc_ids': [533, 573, 580]}, {'topic': 'real time', 'doc_ids': [494, 524, 585]}, {'topic': 'proceedings contain', 'doc_ids': [533, 573, 585]}, {'topic': 'ai technologies', 'doc_ids': [477, 500, 524]}, {'topic': 'urban environment', 'doc_ids': [280, 518, 558]}, {'topic': 'intelligence ai', 'doc_ids': [433]}]"
5,87,"[12, 31, 32, 39, 45, 64, 77, 81, 91, 96, 106, 123, 126, 131, 139, 141, 152, 158, 161, 163, 169, 174, 179, 187, 190, 192, 202, 207, 226, 231, 232, 247, 257, 259, 263, 264, 269, 276, 277, 282, 283, 302, 309, 311, 327, 332, 333, 335, 340, 343, 349, 368, 369, 370, 371, 372, 373, 391, 392, 396, 403, 408, 416, 418, 425, 441, 446, 447, 448, 452, 457, 467, 490, 493, 495, 510, 511, 519, 527, 540, 549, 565, 566, 576, 577, 584, 586]","[{'topic': 'big data', 'doc_ids': [32, 106, 169, 282, 335, 446, 447, 519, 527, 549, 565, 577, 586]}, {'topic': 'urban data', 'doc_ids': [91, 123, 169, 232, 309, 333, 343, 373, 519, 549, 577]}, {'topic': 'human mobility', 'doc_ids': [372, 392, 416, 577]}, {'topic': 'data mining', 'doc_ids': [264, 540, 549, 565]}, {'topic': 'mobility data', 'doc_ids': [392, 416]}, {'topic': 'trajectory data', 'doc_ids': [302, 511]}, {'topic': 'mobility patterns', 'doc_ids': [416]}, {'topic': 'mobile phone', 'doc_ids': [371]}, {'topic': 'large scale', 'doc_ids': [493]}, {'topic': 'topic modeling', 'doc_ids': [369]}]"
6,60,"[7, 21, 23, 27, 38, 44, 51, 82, 85, 88, 94, 97, 100, 113, 118, 137, 150, 156, 164, 168, 178, 184, 198, 200, 205, 208, 212, 252, 253, 254, 256, 285, 322, 325, 329, 347, 348, 355, 412, 413, 415, 419, 420, 423, 424, 434, 439, 445, 451, 466, 478, 483, 492, 498, 525, 526, 570, 571, 572, 579]","[{'topic': 'air quality', 'doc_ids': [97, 415, 525, 526]}, {'topic': 'climate change', 'doc_ids': [113, 253, 254]}, {'topic': 'energy consumption', 'doc_ids': [420, 571]}, {'topic': 'urban heat', 'doc_ids': [424]}, {'topic': 'thermal comfort', 'doc_ids': [424]}, {'topic': 'heat island', 'doc_ids': [424]}, {'topic': 'urban form', 'doc_ids': [212]}, {'topic': 'urban scale', 'doc_ids': [254]}]"
7,12,"[54, 79, 151, 162, 213, 266, 279, 290, 357, 358, 361, 509]","[{'topic': 'urban environments', 'doc_ids': [79, 358]}, {'topic': 'urban environment', 'doc_ids': [79, 279]}, {'topic': 'positioning accuracy', 'doc_ids': [358]}, {'topic': 'nlos multipath', 'doc_ids': [358]}, {'topic': 'nlos signals', 'doc_ids': [358]}, {'topic': 'nlos signal', 'doc_ids': [358]}, {'topic': 'gnss positioning', 'doc_ids': [358]}, {'topic': 'signal correlation', 'doc_ids': [358]}, {'topic': 'gnss signal', 'doc_ids': [358]}]"
8,50,"[47, 145, 148, 182, 191, 195, 215, 217, 234, 240, 258, 267, 273, 274, 281, 293, 315, 316, 317, 318, 321, 337, 342, 353, 356, 375, 385, 390, 394, 401, 405, 411, 428, 465, 479, 501, 508, 522, 554, 555, 557, 568, 581, 583, 588, 589, 591, 592, 595, 598]","[{'topic': 'artificial intelligence', 'doc_ids': [293, 318, 321, 337, 501, 522, 555, 583, 595]}, {'topic': 'urban design', 'doc_ids': [195, 317, 479, 555, 581, 589]}, {'topic': 'intelligence ai', 'doc_ids': [318, 321, 501]}, {'topic': 'design process', 'doc_ids': [318, 479]}, {'topic': 'decision support', 'doc_ids': [317, 508]}, {'topic': 'performance criteria', 'doc_ids': [317]}, {'topic': 'architectural design', 'doc_ids': [318]}, {'topic': 'urban aesthetics', 'doc_ids': [317]}, {'topic': 'generative design', 'doc_ids': [317]}, {'topic': 'support systems', 'doc_ids': [316]}]"
9,66,"[1, 4, 5, 9, 16, 24, 25, 29, 30, 41, 48, 52, 66, 67, 71, 75, 76, 83, 89, 101, 108, 111, 112, 119, 120, 125, 129, 138, 146, 149, 153, 165, 167, 175, 181, 203, 223, 227, 228, 233, 244, 296, 299, 312, 323, 324, 331, 344, 346, 360, 395, 406, 458, 470, 471, 474, 480, 487, 496, 502, 520, 531, 536, 538, 539, 547]","[{'topic': 'remote sensing', 'doc_ids': [5, 52, 71, 111, 138, 203, 228, 324, 471, 538, 539]}, {'topic': 'random forest', 'doc_ids': [25, 30, 67, 89, 111, 112, 228, 323, 324, 539]}, {'topic': 'land use', 'doc_ids': [76, 112, 203, 244, 324, 471, 539]}, {'topic': 'overall accuracy', 'doc_ids': [30, 76, 112, 203, 471, 531, 539]}, {'topic': 'land cover', 'doc_ids': [5, 25, 30, 471, 531, 539]}, {'topic': 'urban land', 'doc_ids': [25, 76, 112, 244, 324, 471]}, {'topic': 'image classification', 'doc_ids': [1, 471, 539]}, {'topic': 'landslide susceptibility', 'doc_ids': [67, 120]}, {'topic': 'use land', 'doc_ids': [539]}, {'topic': 'cover classification', 'doc_ids': [25]}]"
