Cluster,DocId,x,y
1,0,9.34,2.02
4,1,8.32,3.76
1,2,8.69,1.77
13,3,3.71,4.74
4,4,7.93,4.32
3,5,8.57,5.18
13,6,3.59,4.47
6,7,6.18,6.76
12,8,6.37,5.03
4,9,7.8,4.39
7,10,5.86,2.14
0,11,6.79,4.12
10,12,3.88,2.96
7,13,7.05,2.5
7,14,5.89,2.31
7,15,6.0,2.58
4,16,8.32,3.93
2,17,2.33,2.71
1,18,9.08,1.9500000000000002
1,19,7.76,2.21
1,20,9.17,1.9
6,21,6.3,6.76
12,22,6.04,4.94
11,23,7.36,6.43
4,24,8.69,3.26
4,25,8.26,3.03
7,26,5.86,2.8200000000000003
11,27,7.08,7.18
12,28,6.66,4.91
4,29,7.75,3.16
4,30,7.93,3.92
10,31,3.89,2.1
10,32,3.37,2.99
13,33,5.45,4.98
3,34,7.52,5.3
0,35,6.58,3.5
1,36,9.16,1.9500000000000002
2,37,2.86,3.04
11,38,7.05,7.12
10,39,3.41,2.91
1,40,7.39,2.48
11,41,7.49,6.28
7,42,5.98,2.73
8,43,3.95,4.29
11,44,7.05,7.08
8,45,6.83,6.19
13,46,3.13,4.26
5,47,5.67,4.86
4,48,7.92,4.29
12,49,6.68,4.86
14,50,5.43,3.46
6,51,6.67,6.0
4,52,8.39,3.7199999999999998
1,53,8.43,2.19
9,54,0.76,1.3599999999999999
1,55,8.13,1.82
2,56,2.43,2.84
1,57,8.37,2.7
7,58,5.95,2.11
2,59,2.36,3.87
1,60,8.14,1.82
7,61,6.0,2.4
4,62,8.34,2.83
1,63,8.73,2.75
10,64,3.45,2.46
7,65,5.64,2.87
3,66,8.7,5.11
4,67,8.3,3.76
7,68,5.6,1.78
0,69,7.19,4.09
1,70,8.86,2.4
4,71,8.45,3.37
0,72,5.66,3.68
12,73,6.94,4.66
12,74,6.58,4.96
4,75,8.36,3.41
4,76,8.35,3.58
14,77,4.41,2.71
7,78,5.46,1.98
9,79,0.61,1.21
1,80,8.62,1.71
10,81,3.63,3.12
6,82,7.06,6.49
4,83,8.13,3.8
0,84,5.49,3.66
6,85,6.72,6.85
10,86,3.14,2.75
7,87,6.26,2.04
11,88,7.04,7.1
4,89,8.37,3.8200000000000003
7,90,5.89,2.83
8,91,4.09,3.66
7,92,5.64,2.36
13,93,3.6,4.37
11,94,6.96,7.08
12,95,6.69,4.71
14,96,4.17,2.87
11,97,7.26,7.12
1,98,9.23,1.92
1,99,8.55,2.01
11,100,6.43,6.8
4,101,8.43,3.66
14,102,5.39,2.81
12,103,6.66,4.89
1,104,9.27,2.09
2,105,1.9,2.96
14,106,4.58,2.96
2,107,2.9699999999999998,3.41
4,108,8.66,3.33
1,109,7.85,2.74
1,110,8.43,2.02
4,111,7.84,3.47
4,112,8.57,3.5300000000000002
11,113,6.69,6.93
7,114,5.93,2.66
2,115,2.29,3.5
14,116,4.88,2.9
10,117,3.22,2.79
6,118,6.3,6.58
3,119,8.76,5.06
3,120,8.53,5.18
2,121,2.24,3.85
2,122,2.8,3.69
14,123,4.61,2.2800000000000002
1,124,8.62,1.62
4,125,8.23,4.06
10,126,3.43,3.39
3,127,7.38,5.23
13,128,4.12,4.67
3,129,8.7,5.12
12,130,6.6,4.68
14,131,4.23,1.98
2,132,2.44,2.81
8,133,4.04,3.94
7,134,5.76,2.55
7,135,5.59,1.79
1,136,8.07,1.9300000000000002
6,137,6.71,6.0
4,138,7.84,4.02
8,139,4.11,3.89
2,140,2.42,2.85
14,141,4.55,3.42
