min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,cluster_num,outliers
10,1,0.0,eom,21,133
10,1,0.1,eom,21,133
10,1,0.2,eom,9,57
10,1,0.3,eom,1,3
10,1,0.4,eom,1,3
10,1,0.5,eom,1,3
10,2,0.0,eom,19,126
10,2,0.1,eom,19,126
10,2,0.2,eom,9,73
10,2,0.3,eom,1,6
10,2,0.4,eom,1,6
10,2,0.5,eom,1,6
10,3,0.0,eom,17,157
10,3,0.1,eom,17,157
10,3,0.2,eom,12,120
10,3,0.3,eom,1,10
10,3,0.4,eom,1,10
10,3,0.5,eom,1,10
10,4,0.0,eom,15,162
10,4,0.1,eom,15,162
10,4,0.2,eom,15,162
10,4,0.3,eom,1,19
10,4,0.4,eom,1,19
10,4,0.5,eom,1,19
10,5,0.0,eom,8,126
10,5,0.1,eom,8,126
10,5,0.2,eom,8,126
10,5,0.3,eom,1,38
10,5,0.4,eom,1,38
10,5,0.5,eom,1,38
10,6,0.0,eom,7,140
10,6,0.1,eom,7,140
10,6,0.2,eom,7,140
10,6,0.3,eom,4,69
10,6,0.4,eom,1,62
10,6,0.5,eom,1,62
10,7,0.0,eom,12,205
10,7,0.1,eom,12,205
10,7,0.2,eom,12,205
10,7,0.3,eom,5,104
10,7,0.4,eom,1,82
10,7,0.5,eom,1,82
10,8,0.0,eom,11,205
10,8,0.1,eom,11,205
10,8,0.2,eom,11,205
10,8,0.3,eom,5,113
10,8,0.4,eom,1,76
10,8,0.5,eom,1,76
10,9,0.0,eom,7,158
10,9,0.1,eom,7,158
10,9,0.2,eom,7,158
10,9,0.3,eom,7,158
10,9,0.4,eom,1,105
10,9,0.5,eom,1,105
10,10,0.0,eom,10,237
10,10,0.1,eom,10,237
10,10,0.2,eom,10,237
10,10,0.3,eom,8,226
10,10,0.4,eom,1,150
10,10,0.5,eom,1,150
10,11,0.0,eom,9,236
10,11,0.1,eom,9,236
10,11,0.2,eom,9,236
10,11,0.3,eom,8,226
10,11,0.4,eom,1,126
10,11,0.5,eom,1,126
10,12,0.0,eom,7,278
10,12,0.1,eom,7,278
10,12,0.2,eom,7,278
10,12,0.3,eom,7,278
10,12,0.4,eom,1,174
10,12,0.5,eom,1,174
10,13,0.0,eom,7,276
10,13,0.1,eom,7,276
10,13,0.2,eom,7,276
10,13,0.3,eom,7,276
10,13,0.4,eom,1,172
10,13,0.5,eom,1,172
10,14,0.0,eom,5,205
10,14,0.1,eom,5,205
10,14,0.2,eom,5,205
10,14,0.3,eom,5,205
10,14,0.4,eom,1,157
10,14,0.5,eom,1,157
10,15,0.0,eom,6,264
10,15,0.1,eom,6,264
10,15,0.2,eom,6,264
10,15,0.3,eom,6,264
10,15,0.4,eom,3,193
10,15,0.5,eom,1,132
10,16,0.0,eom,6,281
10,16,0.1,eom,6,281
10,16,0.2,eom,6,281
10,16,0.3,eom,6,281
10,16,0.4,eom,4,214
10,16,0.5,eom,1,146
10,17,0.0,eom,5,226
10,17,0.1,eom,5,226
10,17,0.2,eom,5,226
10,17,0.3,eom,5,226
10,17,0.4,eom,5,226
10,17,0.5,eom,1,172
10,18,0.0,eom,6,249
10,18,0.1,eom,6,249
10,18,0.2,eom,6,249
10,18,0.3,eom,6,249
10,18,0.4,eom,6,249
10,18,0.5,eom,1,163
10,19,0.0,eom,6,261
10,19,0.1,eom,6,261
10,19,0.2,eom,6,261
10,19,0.3,eom,6,261
10,19,0.4,eom,6,261
10,19,0.5,eom,1,145
10,20,0.0,eom,6,251
10,20,0.1,eom,6,251
10,20,0.2,eom,6,251
10,20,0.3,eom,6,251
10,20,0.4,eom,6,251
10,20,0.5,eom,1,158
10,1,0.0,leaf,24,144
10,1,0.1,leaf,24,144
10,1,0.2,leaf,9,57
10,1,0.3,leaf,1,3
10,1,0.4,leaf,1,3
10,1,0.5,leaf,1,3
10,2,0.0,leaf,21,133
10,2,0.1,leaf,21,133
10,2,0.2,leaf,9,73
10,2,0.3,leaf,1,6
10,2,0.4,leaf,1,6
10,2,0.5,leaf,1,6
10,3,0.0,leaf,19,173
10,3,0.1,leaf,19,173
10,3,0.2,leaf,12,120
10,3,0.3,leaf,1,10
10,3,0.4,leaf,1,10
10,3,0.5,leaf,1,10
10,4,0.0,leaf,18,190
10,4,0.1,leaf,18,190
10,4,0.2,leaf,15,162
10,4,0.3,leaf,1,19
10,4,0.4,leaf,1,19
10,4,0.5,leaf,1,19
10,5,0.0,leaf,16,271
10,5,0.1,leaf,16,271
