dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
60,None,5,0.0,18,258,0.6894433071663317,"[{'cluster_no': 0, 'count': 5}, {'cluster_no': 9, 'count': 6}, {'cluster_no': 16, 'count': 7}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 8, 'count': 8}, {'cluster_no': 14, 'count': 9}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 4, 'count': 15}, {'cluster_no': 10, 'count': 15}, {'cluster_no': 11, 'count': 16}, {'cluster_no': 15, 'count': 16}, {'cluster_no': 6, 'count': 23}, {'cluster_no': 7, 'count': 24}, {'cluster_no': 3, 'count': 27}, {'cluster_no': 13, 'count': 39}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 12, 'count': 53}, {'cluster_no': -1, 'count': 258}]"
60,None,6,0.0,12,241,0.6795324492928623,"[{'cluster_no': 1, 'count': 8}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 21}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 10, 'count': 34}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 9, 'count': 50}, {'cluster_no': 3, 'count': 102}, {'cluster_no': -1, 'count': 241}]"
60,None,7,0.0,11,259,0.6959479188592953,"[{'cluster_no': 3, 'count': 8}, {'cluster_no': 1, 'count': 10}, {'cluster_no': 5, 'count': 19}, {'cluster_no': 7, 'count': 24}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 9, 'count': 30}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 8, 'count': 47}, {'cluster_no': 4, 'count': 101}, {'cluster_no': -1, 'count': 259}]"
60,None,8,0.0,9,251,0.6762075456836845,"[{'cluster_no': 2, 'count': 9}, {'cluster_no': 7, 'count': 16}, {'cluster_no': 4, 'count': 18}, {'cluster_no': 5, 'count': 26}, {'cluster_no': 0, 'count': 35}, {'cluster_no': 1, 'count': 38}, {'cluster_no': 3, 'count': 91}, {'cluster_no': 6, 'count': 100}, {'cluster_no': -1, 'count': 251}]"
60,None,9,0.0,8,254,0.6846271297477684,"[{'cluster_no': 5, 'count': 18}, {'cluster_no': 4, 'count': 22}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 1, 'count': 34}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 2, 'count': 90}, {'cluster_no': 3, 'count': 100}, {'cluster_no': -1, 'count': 254}]"
60,None,10,0.0,9,283,0.7365257902690332,"[{'cluster_no': 4, 'count': 19}, {'cluster_no': 2, 'count': 22}, {'cluster_no': 5, 'count': 22}, {'cluster_no': 7, 'count': 29}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 41}, {'cluster_no': 6, 'count': 46}, {'cluster_no': 3, 'count': 82}, {'cluster_no': -1, 'count': 283}]"
60,None,11,0.0,7,268,0.6992791620636962,"[{'cluster_no': 3, 'count': 16}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 0, 'count': 39}, {'cluster_no': 4, 'count': 50}, {'cluster_no': 5, 'count': 77}, {'cluster_no': 2, 'count': 98}, {'cluster_no': -1, 'count': 268}]"
60,None,12,0.0,6,219,0.5898194472150681,"[{'cluster_no': 4, 'count': 18}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 3, 'count': 95}, {'cluster_no': 2, 'count': 176}, {'cluster_no': -1, 'count': 219}]"
60,None,13,0.0,6,231,0.580316909517492,"[{'cluster_no': 4, 'count': 18}, {'cluster_no': 1, 'count': 31}, {'cluster_no': 0, 'count': 39}, {'cluster_no': 3, 'count': 96}, {'cluster_no': 2, 'count': 169}, {'cluster_no': -1, 'count': 231}]"
60,None,14,0.0,5,185,0.4880589848494689,"[{'cluster_no': 1, 'count': 33}, {'cluster_no': 0, 'count': 41}, {'cluster_no': 2, 'count': 147}, {'cluster_no': 3, 'count': 178}, {'cluster_no': -1, 'count': 185}]"
60,None,15,0.0,5,184,0.497101692068929,"[{'cluster_no': 1, 'count': 32}, {'cluster_no': 0, 'count': 41}, {'cluster_no': 2, 'count': 146}, {'cluster_no': 3, 'count': 181}, {'cluster_no': -1, 'count': 184}]"
60,1,5,0.0,37,157,0.4342187431308181,"[{'cluster_no': 2, 'count': 5}, {'cluster_no': 3, 'count': 5}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 29, 'count': 5}, {'cluster_no': 34, 'count': 5}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 16, 'count': 6}, {'cluster_no': 27, 'count': 6}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 9, 'count': 7}, {'cluster_no': 12, 'count': 8}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 21, 'count': 9}, {'cluster_no': 31, 'count': 9}, {'cluster_no': 14, 'count': 10}, {'cluster_no': 17, 'count': 10}, {'cluster_no': 24, 'count': 10}, {'cluster_no': 25, 'count': 11}, {'cluster_no': 33, 'count': 11}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 26, 'count': 12}, {'cluster_no': 18, 'count': 14}, {'cluster_no': 23, 'count': 14}, {'cluster_no': 19, 'count': 15}, {'cluster_no': 28, 'count': 15}, {'cluster_no': 11, 'count': 16}, {'cluster_no': 30, 'count': 16}, {'cluster_no': 32, 'count': 16}, {'cluster_no': 8, 'count': 17}, {'cluster_no': 35, 'count': 21}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 15, 'count': 33}, {'cluster_no': 13, 'count': 38}, {'cluster_no': -1, 'count': 157}]"
60,1,6,0.0,29,160,0.3828602851708996,"[{'cluster_no': 3, 'count': 6}, {'cluster_no': 14, 'count': 6}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 7, 'count': 7}, {'cluster_no': 10, 'count': 8}, {'cluster_no': 2, 'count': 9}, {'cluster_no': 19, 'count': 9}, {'cluster_no': 24, 'count': 9}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 21, 'count': 11}, {'cluster_no': 27, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 22, 'count': 12}, {'cluster_no': 17, 'count': 14}, {'cluster_no': 20, 'count': 14}, {'cluster_no': 18, 'count': 15}, {'cluster_no': 9, 'count': 16}, {'cluster_no': 23, 'count': 16}, {'cluster_no': 26, 'count': 16}, {'cluster_no': 6, 'count': 17}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 25, 'count': 29}, {'cluster_no': 13, 'count': 33}, {'cluster_no': 11, 'count': 38}, {'cluster_no': 16, 'count': 45}, {'cluster_no': -1, 'count': 160}]"
60,1,7,0.0,27,172,0.4088778384242866,"[{'cluster_no': 0, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 9, 'count': 8}, {'cluster_no': 2, 'count': 9}, {'cluster_no': 17, 'count': 9}, {'cluster_no': 22, 'count': 9}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 19, 'count': 11}, {'cluster_no': 25, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 7, 'count': 12}, {'cluster_no': 20, 'count': 12}, {'cluster_no': 15, 'count': 14}, {'cluster_no': 18, 'count': 14}, {'cluster_no': 16, 'count': 15}, {'cluster_no': 8, 'count': 16}, {'cluster_no': 21, 'count': 16}, {'cluster_no': 24, 'count': 16}, {'cluster_no': 5, 'count': 17}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 23, 'count': 29}, {'cluster_no': 12, 'count': 33}, {'cluster_no': 10, 'count': 38}, {'cluster_no': 14, 'count': 45}, {'cluster_no': -1, 'count': 172}]"
60,1,8,0.0,24,186,0.40751007682463913,"[{'cluster_no': 6, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 14, 'count': 9}, {'cluster_no': 19, 'count': 9}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 22, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 17, 'count': 12}, {'cluster_no': 12, 'count': 14}, {'cluster_no': 15, 'count': 14}, {'cluster_no': 13, 'count': 15}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 18, 'count': 16}, {'cluster_no': 21, 'count': 16}, {'cluster_no': 3, 'count': 24}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 20, 'count': 29}, {'cluster_no': 9, 'count': 33}, {'cluster_no': 7, 'count': 38}, {'cluster_no': 11, 'count': 45}, {'cluster_no': -1, 'count': 186}]"
60,1,9,0.0,23,185,0.42253772729277744,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 18, 'count': 9}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 15, 'count': 11}, {'cluster_no': 21, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 16, 'count': 12}, {'cluster_no': 11, 'count': 14}, {'cluster_no': 14, 'count': 14}, {'cluster_no': 12, 'count': 15}, {'cluster_no': 17, 'count': 16}, {'cluster_no': 20, 'count': 16}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 19, 'count': 29}, {'cluster_no': 8, 'count': 33}, {'cluster_no': 6, 'count': 38}, {'cluster_no': 10, 'count': 45}, {'cluster_no': -1, 'count': 185}]"
