n_neighbors,n_components,total_clusters,outliers,cluster_results,adjusted_rand_score,adjusted_mutual_info_score
None,None,3,106,"[{'cluster_no': 1, 'count': 8}, {'cluster_no': 0, 'count': 486}, {'cluster_no': -1, 'count': 106}]",1.0,1.0
200,768,Error,Error,Error,Error,Error
200,600,Error,Error,Error,Error,Error
200,500,3,3,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 585}, {'cluster_no': -1, 'count': 3}]",0.14092687643941526,0.2063264552208933
200,400,3,2,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 586}, {'cluster_no': -1, 'count': 2}]",0.1441583438937992,0.20851504135555227
200,300,3,7,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 581}, {'cluster_no': -1, 'count': 7}]",0.12845734581719978,0.2000151815170469
200,200,3,3,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 585}, {'cluster_no': -1, 'count': 3}]",0.14092687643941526,0.2063264552208933
200,100,3,1,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 587}, {'cluster_no': -1, 'count': 1}]",0.14743669519726013,0.2111926471176624
200,50,3,1,"[{'cluster_no': 1, 'count': 587}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 1}]",0.14743669519726013,0.2111926471176624
200,30,3,9,"[{'cluster_no': 1, 'count': 579}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 9}]",0.12248797742227803,0.19768134081666383
200,15,3,38,"[{'cluster_no': 1, 'count': 550}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 38}]",0.15149690381119926,0.15831665603404244
200,10,3,5,"[{'cluster_no': 1, 'count': 583}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 5}]",0.1346020682502445,0.20281101547837282
