n_neighbors,n_components,count,min_cluster
200,500,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,400,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,300,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,200,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,100,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,50,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,30,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,15,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,10,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,4,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
200,3,12,"[55, 80, 152, 163, 214, 267, 280, 291, 358, 359, 362, 510]"
