,parent,child,lambda_val,child_size
0,584,298,4552.840162822253,1
1,584,370,5570.124833997344,1
2,584,164,5733.84005468216,1
3,584,402,5797.241188666206,1
4,584,143,6309.596088755171,1
5,584,427,6326.250377073907,1
6,584,372,6455.258176221624,1
7,584,45,6759.555197421434,1
8,584,380,7081.982271000422,1
9,584,492,7200.521888412017,1
10,584,317,7222.2195436935,1
11,584,146,7300.790252393385,1
12,584,71,7588.066938037087,1
13,584,308,7738.568265682657,1
14,584,82,7774.428174235403,1
15,584,253,7843.485741000468,1
16,584,344,8112.773694390716,1
17,584,85,8244.332186732187,1
18,584,149,8252.442695523856,1
19,584,401,8397.005005005005,1
20,584,271,8413.849548645938,1
21,584,554,8648.049484536083,1
22,584,546,8747.24504692388,1
23,584,500,9258.949227373068,1
24,584,571,9331.043381535039,1
25,584,508,9351.848383500557,1
26,584,339,9351.848383500557,1
27,584,448,9372.746368715083,1
28,584,162,9441.314575126618,1
29,584,377,9880.574793875146,1
30,584,452,9956.80474777448,1
31,584,433,9962.717339667459,1
32,584,246,10192.719319562575,1
33,584,557,10414.162631905649,1
34,584,420,10512.040100250626,1
35,584,297,10545.076052796983,1
36,584,398,10625.215959468018,1
37,584,520,10754.625641025641,1
38,584,302,10830.998063266623,1
39,584,543,10994.24377457405,1
40,584,369,11052.184453227932,1
41,584,279,11184.810666666666,1
42,584,412,11222.218060200668,1
43,584,270,11405.31339225017,1
44,584,221,11444.212824010914,1
45,584,468,11452.02457337884,1
46,584,50,11452.02457337884,1
47,584,248,11642.75919500347,1
48,584,299,11715.932960893855,1
49,584,237,11724.120195667365,1
50,584,312,11773.4849122807,1
51,584,563,11790.03232607168,1
52,584,220,11941.07900355872,1
53,584,309,11958.101211689238,1
54,584,438,12026.678136200717,1
55,584,142,12069.939568345324,1
56,584,107,12096.046142754145,1
57,584,158,12166.218999274837,1
58,584,525,12175.047895500726,1
59,584,125,12183.889615105301,1
60,584,34,12183.889615105301,1
61,584,466,12210.491994177584,1
62,584,195,12237.210795040117,1
63,584,37,12345.265636497425,1
64,584,179,12390.85376661743,1
65,584,129,12409.183431952662,1
66,584,51,12464.499257057949,1
67,584,193,12690.783661119516,1
68,584,114,12787.512195121952,1
