Cluster,NumDocs,DocIds,TopWords
0,76,"[13, 14, 15, 18, 23, 44, 49, 56, 74, 80, 86, 90, 115, 116, 117, 123, 151, 154, 157, 160, 174, 185, 193, 194, 198, 209, 224, 234, 239, 254, 255, 258, 259, 264, 270, 279, 286, 287, 294, 297, 298, 302, 310, 317, 319, 338, 340, 346, 351, 355, 357, 358, 370, 372, 393, 394, 414, 428, 434, 442, 448, 457, 460, 462, 467, 491, 497, 509, 516, 525, 534, 542, 543, 564, 595, 596]","[{'topic': 'road traffic', 'doc_ids': [394]}, {'topic': 'positioning accuracy', 'doc_ids': [358]}, {'topic': 'urban environments', 'doc_ids': [13, 194, 351, 358, 414, 462, 516, 543]}, {'topic': 'traffic flow', 'doc_ids': [18]}, {'topic': 'large scale', 'doc_ids': [542]}, {'topic': 'nlos multipath', 'doc_ids': [358]}, {'topic': 'nlos signals', 'doc_ids': [358]}, {'topic': 'short term', 'doc_ids': [209]}, {'topic': 'urban planners', 'doc_ids': [74, 194, 198, 239]}, {'topic': 'smart card', 'doc_ids': [258]}]"
1,77,"[29, 35, 61, 68, 76, 78, 79, 100, 101, 106, 107, 152, 163, 179, 180, 182, 183, 188, 190, 191, 196, 201, 215, 216, 229, 268, 274, 276, 277, 283, 289, 290, 293, 316, 318, 321, 345, 349, 354, 361, 366, 369, 379, 380, 382, 386, 390, 391, 396, 399, 401, 407, 408, 418, 425, 433, 444, 451, 478, 493, 498, 508, 517, 522, 527, 535, 549, 553, 554, 556, 561, 565, 568, 569, 571, 578, 581]","[{'topic': 'urban design', 'doc_ids': [190, 379, 498, 556, 581]}, {'topic': 'urban environment', 'doc_ids': [79, 215, 268, 390, 451, 535, 554]}, {'topic': 'traffic safety', 'doc_ids': [408]}, {'topic': 'social media', 'doc_ids': [188]}, {'topic': 'expert systems', 'doc_ids': [183]}, {'topic': 'decision tree', 'doc_ids': [277]}, {'topic': 'using machine', 'doc_ids': [152, 277, 380, 493, 561]}, {'topic': 'neural network', 'doc_ids': [100, 163, 229, 380, 382, 386, 391, 493, 522, 535, 568]}, {'topic': 'media data', 'doc_ids': [517]}, {'topic': 'urban planning', 'doc_ids': [29, 76, 100, 101, 106, 107, 179, 180, 183, 188, 191, 201, 229, 274, 276, 277, 289, 293, 316, 318, 345, 361, 366, 369, 382, 386, 396, 401, 444, 451, 517, 522, 553, 561, 565, 569, 571, 578]}]"
2,97,"[3, 12, 17, 21, 22, 24, 32, 34, 42, 43, 46, 50, 51, 62, 67, 82, 91, 93, 96, 118, 128, 132, 133, 136, 141, 161, 169, 176, 184, 187, 207, 208, 211, 217, 221, 226, 231, 233, 238, 240, 249, 252, 260, 267, 272, 278, 280, 281, 282, 285, 288, 300, 301, 304, 305, 306, 308, 311, 325, 332, 334, 336, 353, 373, 374, 376, 383, 387, 404, 405, 409, 419, 421, 426, 455, 461, 471, 475, 476, 479, 482, 494, 495, 500, 506, 513, 514, 515, 526, 528, 546, 550, 563, 570, 573, 593, 594]","[{'topic': 'smart cities', 'doc_ids': [240, 280, 285, 305, 405, 500]}, {'topic': 'big data', 'doc_ids': [32, 169, 282, 300, 573]}, {'topic': 'smart city', 'doc_ids': [231, 240, 305, 500, 515]}, {'topic': 'artificial intelligence', 'doc_ids': [34, 231, 282, 305, 306, 409, 495, 593]}, {'topic': 'urbanization process', 'doc_ids': [50, 288, 594]}, {'topic': 'urban data', 'doc_ids': [46, 91, 169, 233, 252, 260, 288, 373, 374, 419, 563, 573]}, {'topic': 'energy consumption', 'doc_ids': [22]}, {'topic': 'ca model', 'doc_ids': [50, 594]}, {'topic': 'building energy', 'doc_ids': [22, 479]}, {'topic': 'air quality', 'doc_ids': [42, 495, 526]}]"
3,44,"[20, 28, 36, 37, 39, 53, 64, 70, 71, 87, 98, 104, 143, 181, 192, 199, 222, 235, 236, 247, 248, 263, 284, 312, 326, 352, 364, 367, 377, 388, 403, 443, 450, 458, 485, 505, 510, 519, 520, 523, 537, 574, 582, 592]","[{'topic': 'change detection', 'doc_ids': [53, 71, 450]}, {'topic': 'remote sensing', 'doc_ids': [20, 37, 53, 64, 70, 71, 222, 364, 450, 485, 505, 537]}, {'topic': 'semantic segmentation', 'doc_ids': [450]}, {'topic': 'satellite images', 'doc_ids': [64, 367]}, {'topic': 'deep learning', 'doc_ids': [37, 326, 364, 450, 505]}, {'topic': 'building detection', 'doc_ids': [367]}, {'topic': 'neural network', 'doc_ids': [37, 104, 143, 235, 367, 505]}, {'topic': 'high resolution', 'doc_ids': [37]}]"
4,59,"[9, 16, 41, 48, 52, 58, 66, 69, 89, 95, 111, 127, 129, 130, 144, 146, 156, 159, 165, 173, 175, 197, 200, 203, 220, 227, 230, 256, 262, 296, 299, 320, 322, 331, 337, 344, 347, 360, 406, 410, 412, 422, 430, 436, 437, 439, 446, 468, 487, 496, 502, 512, 530, 540, 547, 552, 559, 587, 597]","[{'topic': 'land cover', 'doc_ids': [437]}, {'topic': 'land use', 'doc_ids': [203, 437, 512]}, {'topic': 'random forest', 'doc_ids': [89, 111, 130, 347, 430]}, {'topic': 'cover classification', 'doc_ids': [437]}, {'topic': 'urban land', 'doc_ids': [512]}, {'topic': 'forest rf', 'doc_ids': [130]}, {'topic': 'landslide susceptibility', 'doc_ids': [130]}, {'topic': 'urban expansion', 'doc_ids': [9, 540]}, {'topic': 'rf model', 'doc_ids': [130]}]"
5,40,"[5, 7, 11, 19, 27, 31, 38, 65, 72, 88, 94, 112, 131, 150, 158, 164, 166, 178, 205, 225, 246, 328, 329, 348, 359, 398, 413, 423, 432, 435, 438, 469, 473, 474, 492, 521, 529, 536, 538, 577]",[]
6,45,"[6, 33, 45, 75, 97, 102, 119, 120, 125, 134, 137, 138, 153, 167, 189, 223, 228, 232, 250, 265, 271, 275, 303, 324, 327, 341, 395, 402, 415, 420, 445, 454, 463, 464, 466, 470, 477, 483, 490, 499, 531, 539, 544, 557, 579]","[{'topic': 'climate change', 'doc_ids': [120, 138]}, {'topic': 'landslide susceptibility', 'doc_ids': [120]}, {'topic': 'land cover', 'doc_ids': [102, 531, 539]}, {'topic': 'urban thermal', 'doc_ids': [45]}, {'topic': 'land use', 'doc_ids': [6, 97, 102, 271, 324, 539, 579]}, {'topic': 'urban expansion', 'doc_ids': [75]}, {'topic': 'burnt areas', 'doc_ids': [120]}]"
7,22,"[465, 472, 481, 486, 518, 524, 532, 533, 548, 555, 558, 562, 572, 576, 580, 583, 584, 585, 586, 589, 590, 598]","[{'topic': 'proceedings contain', 'doc_ids': [533, 584, 585, 586, 590]}, {'topic': 'topics include', 'doc_ids': [533, 585]}, {'topic': 'special focus', 'doc_ids': [533, 585]}, {'topic': 'discussed include', 'doc_ids': [584, 586, 590]}, {'topic': 'topics discussed', 'doc_ids': [584, 586, 590]}, {'topic': 'visual analytics', 'doc_ids': [585]}, {'topic': 'international conference', 'doc_ids': [586, 590]}, {'topic': 'urban data', 'doc_ids': [465, 533, 585]}, {'topic': 'big data', 'doc_ids': [472, 481, 586]}, {'topic': 'smart city', 'doc_ids': [584]}]"
8,91,"[0, 1, 8, 10, 25, 26, 30, 40, 47, 60, 73, 77, 81, 83, 84, 92, 103, 108, 109, 113, 114, 126, 135, 139, 142, 145, 148, 162, 168, 170, 171, 172, 186, 195, 202, 204, 206, 212, 213, 218, 244, 245, 251, 253, 257, 266, 269, 273, 295, 307, 313, 314, 315, 323, 330, 335, 339, 342, 356, 362, 363, 365, 368, 371, 375, 378, 385, 389, 397, 416, 417, 424, 431, 440, 441, 447, 452, 480, 484, 488, 489, 501, 507, 511, 541, 545, 566, 567, 575, 588, 591]","[{'topic': 'land use', 'doc_ids': [73, 77, 84, 103, 113, 244, 335, 431, 484, 507]}, {'topic': 'built environment', 'doc_ids': [73, 103, 114, 213, 218, 440]}, {'topic': 'urban land', 'doc_ids': [25, 77, 84, 186, 244, 431]}, {'topic': 'urban design', 'doc_ids': [135, 195, 212, 489, 566]}, {'topic': 'use change', 'doc_ids': [84, 244, 484]}, {'topic': 'learning algorithms', 'doc_ids': [77, 108, 113, 170, 204, 213, 245, 253, 315, 335, 356, 389, 447]}, {'topic': 'public spaces', 'doc_ids': [135, 212, 269]}, {'topic': 'closely packed', 'doc_ids': [171]}, {'topic': 'urban planners', 'doc_ids': [30, 186, 212, 213, 253, 295, 441, 566]}, {'topic': 'urban data', 'doc_ids': [1, 47, 92, 170, 339, 480]}]"
9,49,"[2, 4, 54, 55, 57, 59, 63, 85, 99, 105, 110, 121, 122, 124, 140, 147, 149, 155, 177, 210, 214, 219, 237, 241, 242, 243, 261, 291, 292, 309, 333, 343, 350, 381, 384, 392, 400, 411, 427, 429, 449, 453, 456, 459, 503, 504, 551, 560, 599]","[{'topic': 'remote sensing', 'doc_ids': [2, 54, 99, 105, 140, 147, 237, 292, 504, 551]}, {'topic': 'high resolution', 'doc_ids': [242, 503, 504]}, {'topic': 'object detection', 'doc_ids': [237, 292]}, {'topic': 'reinforcement learning', 'doc_ids': [122, 149]}, {'topic': 'sensing images', 'doc_ids': [292]}, {'topic': 'deep learning', 'doc_ids': [59, 99, 210, 219, 237, 292, 384]}, {'topic': 'aerial images', 'doc_ids': [54]}, {'topic': 'soil erosion', 'doc_ids': [503]}, {'topic': 'proposed method', 'doc_ids': [59, 503, 504]}, {'topic': 'neural network', 'doc_ids': [99, 105, 110, 155, 210, 242, 400]}]"
