Cluster,DocId,x,y
3,0,8.29,7.95
3,1,9.0,6.8100000000000005
0,2,7.36,5.14
4,3,4.55,4.97
0,4,7.51,4.54
2,5,7.02,4.01
2,6,6.12,3.91
3,7,7.92,7.32
3,8,9.07,7.3
2,9,7.33,2.93
3,10,7.8100000000000005,6.42
3,11,7.35,7.25
4,12,4.79,6.24
3,13,8.84,5.06
3,14,9.23,4.96
3,15,8.8,5.42
2,16,6.86,4.3
4,17,5.34,5.92
3,18,8.91,4.74
4,19,5.41,6.68
0,20,6.5,5.54
4,21,5.03,4.73
4,22,4.44,5.39
3,23,9.42,5.74
4,24,5.46,4.1
3,25,8.99,6.02
3,26,8.82,6.57
2,27,7.23,6.55
0,28,6.93,5.76
4,29,5.36,7.07
3,30,8.63,7.53
3,31,6.46,6.8
4,32,5.05,6.27
0,33,7.13,4.62
4,34,5.28,5.23
4,35,4.93,7.52
0,36,6.8,5.28
0,37,6.41,5.68
4,38,7.06,6.7
0,39,6.0,5.3
3,40,8.01,6.25
2,41,7.4,3.36
4,42,4.82,5.98
4,43,4.53,5.0
3,44,9.38,5.57
2,45,6.18,3.93
4,46,5.01,4.65
3,47,8.63,6.54
2,48,7.09,3.19
3,49,8.22,5.73
4,50,5.05,5.91
4,51,5.39,5.46
2,52,5.62,6.18
0,53,6.71,5.62
0,54,6.46,5.96
0,55,7.46,5.87
3,56,8.72,5.23
0,57,5.98,6.01
2,58,7.96,3.44
0,59,5.76,5.78
3,60,8.32,7.89
4,61,4.27,6.57
4,62,5.57,3.92
0,63,7.4,5.11
0,64,6.19,4.85
3,65,7.76,7.08
2,66,7.37,3.04
4,67,5.38,5.17
4,68,5.86,6.59
2,69,7.19,3.34
0,70,6.94,5.35
3,71,8.3,6.07
4,72,5.3,5.58
3,73,8.96,7.01
3,74,8.22,5.84
2,75,6.38,4.2
4,76,5.13,7.51
3,77,9.41,6.15
4,78,5.17,7.37
4,79,5.11,7.36
3,80,8.5,5.84
3,81,9.36,6.21
4,82,4.85,4.78
3,83,8.67,7.59
3,84,8.25,7.0
4,85,5.91,6.32
3,86,8.82,5.9
0,87,7.18,6.08
3,88,7.33,6.58
2,89,6.99,3.33
3,90,8.82,5.62
4,91,4.24,5.77
3,92,9.33,6.22
4,93,5.24,4.38
