0,1
spatial heterogeneity perspective,[-1]
landscape pattern change,"[-1, 4]"
urban ecological management,[-1]
using four landscape,[-1]
four landscape metric,[-1]
geographically weighted regression,"[-1, 4, 5]"
gross domestic production,[-1]
urban landscape pattern,[-1]
landscape pattern indicated,[-1]
different urbanization mode,[-1]
infilling mode made,[-1]
leapfrog mode made,[-1]
mode made PD,[-1]
SHDI increase slightly,[-1]
GWR effectively identified,[-1]
explanatory ability compared,[-1]
ordinary least Square,"[-1, 5]"
landscape pattern decreased,[-1]
spatial differentiation characteristic,[-1]
artificial intelligence technology,"[-1, 3, 7]"
robot assisted urban,[-1]
assisted urban search,[-1]
structural collapse disaster,[-1]
collapse disaster routinely,[-1]
disaster routinely inspire,[-1]
routinely inspire sympathy,[-1]
heroic rescue personnel,[-1]
often frustrating task,[-1]
frustrating task environment,[-1]
denied area within,[-1]
crisis site involving,[-1]
site involving collapsed,[-1]
involving collapsed structure,[-1]
remote inspection industry,[-1]
inspection industry show,[-1]
industry show great,[-1]
show great potential,[-1]
paper discusses key,[-1]
discusses key issue,[-1]
discusse ongoing development,[-1]
automated search asset,[-1]
numerical method shortcoming,[-1]
search asset allocation,[-1]
initial expert system,[-1]
expert system prototype,[-1]
system prototype designed,[-1]
various structural collapse,[-1]
structural collapse simulation,[-1]
collapse simulation package,[-1]
specific entry point,[-1]
entry point within,[-1]
various collapsed structure,[-1]
collapsed structure entry,[-1]
structure entry point,[-1]
decision support tool,"[-1, 9]"
overall search efficiency,[-1]
related military application,[-1]
governance intelligence framework,[-1]
system within rapidly,[-1]
within rapidly expanding,[-1]
rapidly expanding smart,[-1]
expanding smart city,[-1]
smart city produce,[-1]
extant conceptual study,[-1]
specific path toward,[-1]
path toward implementation,[-1]
big data analysis,"[-1, 4, 7]"
drive governance intelligence,[-1]
urban governance issue,[-1]
panoramic data set,[-1]
collaborative urban governance,[-1]
urban governance via,[-1]
governance via similarity,[-1]
via similarity calculation,[-1]
urban public service,[-1]
public service delivery,[-1]
citizen participation via,[-1]
participation via simple,[-1]
via simple statistical,[-1]
simple statistical analysis,[-1]
statistical analysis technique,[-1]
uses ontology model,[-1]
via data mining,[-1]
Bayesian Net technique,[-1]
blood donation governance,[-1]
synthesizes previously published,[-1]
previously published framework,[-1]
mutual supplement cross,[-1]
supplement cross multiple,[-1]
cross multiple disciplinarie,[-1]
health hazard based,[-1]
may cause severe,[-1]
cause severe consequence,[-1]
urban data source,"[-1, 2, 6]"
increasingly effective channel,[-1]
public health disaster,[-1]
predictive analytic approach,[-1]
physical sensor data,[-1]
mining raw microblogging,[-1]
raw microblogging text,[-1]
network information diffusion,[-1]
information diffusion data,[-1]
artificial neural network,"[-1, 0, 2, 3, 4, 5, 6]"
current health hazard,[-1]
smog severity observation,[-1]
alternative machine learning,[-1]
machine learning method,"[-1, 1, 2, 4, 5, 6, 7, 8, 9]"
integrate social media,[-1]
health hazard forecasting,[-1]
current smog observation,[-1]
next day health,[-1]
day health hazard,[-1]
provide decision support,"[-1, 5]"
health hazard management,[-1]
function like early,[-1]
like early warning,[-1]
travel block based,[-1]
GIS hotspot analysis,[-1]
hotspot analysis using,[-1]
analysis using spatial,[-1]
using spatial distribution,[-1]
spatial distribution learning,[-1]
distribution learning algorithm,[-1]
improving urban planning,"[-1, 5]"
take full advantage,[-1]
fully mechanically control,[-1]
built environment conducive,[-1]
evaluate travel carbon,[-1]
travel carbon emission,[-1]
index data collected,[-1]
conducted hotspot analysis,[-1]
comprehensive carbon emission,[-1]
hotspot density surface,[-1]
E block within,[-1]
lowest travel carbon,[-1]
public service facility,"[-1, 5]"
old urban district,[-1]
residential building area,[-1]
total road area,[-1]
transit site buffered,[-1]
shopping service buffered,[-1]
recreational facility buffered,[-1]
dense road network,[-1]
higher volume rate,[-1]
bus station coverage,[-1]
carbon emission assessment,[-1]
deep computer vision,[-1]
modelling urban system,[-1]
artificial intelligence across,[-1]
computer vision show,[-1]
vision show promising,[-1]
show promising potential,[-1]
computer vision shows,[-1]
vision shows progress,[-1]
subdivide computer vision,[-1]
computer vision algorithms,[-1]
understanding urban system,[-1]
urban system related,[-1]
one another relying,[-1]
also show recommendation,[-1]
related urban planning,[-1]
area closely relate,[-1]
trending AI technology,[-1]
public perceive AI,[-1]
perceive AI technology,[-1]
key AI technology,[-1]
key application area,[-1]
study examines public,[-1]
examines public perception,[-1]
testbed case study,[-1]
social media analytic,[-1]
media analytic method,[-1]
popular AI application,[-1]
AI application area,[-1]
popular AI technology,[-1]
AI technology utilized,[-1]
central community discussion,[-1]
community discussion topic,[-1]
deep learning architecture,"[-1, 4]"
semantic address matching,[-1]
unstructured address data,[-1]
traditional address matching,[-1]
address matching method,[-1]
matching method mainly,[-1]
method mainly focus,[-1]
matching method based,[-1]
corresponding vector representation,[-1]
enhanced sequential inference,[-1]
sequential inference model,[-1]
two address match,[-1]
Shenzhen Address Database,[-1]
several popular address,[-1]
popular address matching,[-1]
proposed method achieves,[-1]
higher matching accuracy,[-1]
unstructured address record,[-1]
large data set,"[-1, 7]"
data analysis associated,[-1]
machine learning technique,"[-1, 0, 2, 4, 5, 6, 7, 8, 9]"
visualization may improve,[-1]
may improve pattern,[-1]
improve pattern identification,[-1]
urban data set,"[-1, 4, 7]"
conducted analyzing socioeconomic,[-1]
analyzing socioeconomic data,[-1]
socioeconomic data released,[-1]
Chicago city government,[-1]
explore open urban,[-1]
open urban data,[-1]
urban data using,[-1]
specific visualization may,[-1]
visualization may lead,[-1]
effective data interpretation,[-1]
region like Iran,[-1]
face serious water,[-1]
serious water tension,[-1]
since studying aridity,[-1]
water resource management,"[-1, 5, 7]"
Iran meteorology organization,[-1]
meteorology organization data,[-1]
Iq aridity indice,[-1]
compatible aridity index,[-1]
main climatic area,[-1]
recognize aridity change,[-1]
correlation analysis result,[-1]
analysis result showed,[-1]
Iran arid area,[-1]
arid area show,[-1]
Caspian south plain,[-1]
south plain region,[-1]
nonparametric test confirmed,[-1]
urban functional zone,[-1]
functional zone classification,[-1]
zone classification based,[-1]
functional zone prove,[-1]
rapidly developing city,[-1]
varying urban function,[-1]
support urban planning,"[-1, 5]"
identify urban functional,[-1]
functional zone using,[-1]
zone using various,[-1]
using various classification,[-1]
various classification approach,[-1]
classification pose tremendous,[-1]
pose tremendous challenge,[-1]
machine learning technology,"[-1, 5, 6, 7]"
learning technology provides,[-1]
technology provides us,[-1]
commonly used urban,[-1]
used urban functional,[-1]
zone classification approach,[-1]
including Multinomial Logistic,[-1]
Multinomial Logistic Regression,[-1]
Support Vector Machine,"[-1, 1, 4, 8]"
newly developed eXtreme,[-1]
developed eXtreme Gradient,[-1]
eXtreme Gradient Boosting,[-1]
geotagged Weibo data,[-1]
Baidu Heat Map,[-1]
XGBoost classification model,[-1]
classification model performed,[-1]
commonly used approach,[-1]
area using multiple,[-1]
using multiple classifier,"[-1, 9]"
obtaining accurate information,[-1]
area intelligent classification,[-1]
supports various type,[-1]
implemented using Python,[-1]
using Python module,[-1]
Python module including,[-1]
module including Numpy,[-1]
involved seven type,[-1]
Gradient Boosted Decision,"[-1, 4]"
Boosted Decision Trees,[-1]
receiver operating characteristic,"[-1, 0, 5]"
obtained using POI_RN_NTL,[-1]
objective accuracy assessment,[-1]
reasonably low cost,[-1]
NTL data coverage,[-1]
effective reference information,[-1]
urban management department,[-1]
could also potentially,[-1]
kadaster knowledge graph,[-1]
different administrative level,[-1]
likely scattered across,[-1]
scattered across several,[-1]
across several dataset,[-1]
proprietary incompany data,[-1]
organization invest heavily,[-1]
get answer related,[-1]
virtual assistant like,[-1]
assistant like Alexa,[-1]
first open government,[-1]
open government knowledge,[-1]
government knowledge graph,[-1]
improved data browsing,[-1]
detecting Transportation Modes,[-1]
Transportation Modes Based,[-1]
GPS Trajectory Data,[-1]
human travel behavior,[-1]
trajectory data generated,[-1]
different transportation mode,[-1]
provide useful information,[-1]
proposed transportation mode,[-1]
transportation mode classification,[-1]
mode classification method,[-1]
classification method based,[-1]
Light Gradient Boosting,[-1]
Gradient Boosting Machine,[-1]
discover seven kind,[-1]
GPS trajectory data,"[-1, 9]"
original trajectory must,[-1]
one transportation mode,[-1]
transportation mode label,[-1]
computed including eight,[-1]
including eight basic,[-1]
three advanced feature,[-1]
heading change rate,[-1]
velocity change rate,[-1]
transportation modes automatically,[-1]
Microsoft Research Asia,[-1]
decision tree method,"[-1, 5]"
street view image,"[-1, 4, 6]"
information technology could,[-1]
identify sidewalk segment,[-1]
view image using,[-1]
random forest classifier,"[-1, 4]"
include geometric context,[-1]
classifying sidewalk segment,[-1]
arbitrarily large urban,[-1]
large urban environment,[-1]
fuzzy logic based,[-1]
logic based transport,[-1]
based transport mode,[-1]
transport mode detection,[-1]
mode detection framework,[-1]
emerging research area,[-1]
intelligent transportation system,"[-1, 2, 7]"
machine learning approach,"[-1, 0, 1, 2, 4, 5, 6, 7, 9]"
machine learning model,"[-1, 0, 2, 3, 4, 5, 6, 9]"
learning model require,[-1]
model require substantial,[-1]
require substantial training,[-1]
substantial training data,[-1]
approach also fall,[-1]
also fall short,[-1]
ground truth information,[-1]
interpreting smartphone global,[-1]
smartphone global positioning,[-1]
global positioning system,"[-1, 1, 2, 6, 9]"
positioning system trajectory,"[-1, 2]"
detecting various transport,[-1]
various transport mode,[-1]
transport mode used,[-1]
expert system using,[-1]
system using kinematic,[-1]
well explained fuzzy,[-1]
explained fuzzy reasoning,[-1]
fuzzy reasoning scheme,[-1]
fuzzy rule base,[-1]
provide alternate prediction,[-1]
varied certainty factor,[-1]
different membership function,[-1]
membership function combination,[-1]
model performs best,[-1]
performs best using,[-1]
existing machine learning,"[-1, 4]"
semantic image classification,[-1]
Spatial Pyramid Matching,[-1]
Pyramid Matching scheme,[-1]
proposed method handles,[-1]
method handles problem,[-1]
large scale urban,"[-1, 9]"
scale urban environment,[-1]
urban environment due,[-1]
varying light condition,[-1]
high resolution image,"[-1, 4]"
resolution image collected,[-1]
two main Avenue,[-1]
approach shows promising,[-1]
shows promising result,[-1]
urban development pattern,"[-1, 4, 5]"
using artificial light,[-1]
artificial light data,[-1]
light data measured,[-1]
change research method,[-1]
Defense Meteorological Satellite,[-1]
Meteorological Satellite Program,[-1]
Satellite Program Optical,[-1]
Program Optical Linescan,[-1]
Optical Linescan System,[-1]
light dataset provided,[-1]
dataset provided consistent,[-1]
valuable data source,"[-1, 4]"
investigating urbanization process,[-1]
integrate heterogeneous dataset,[-1]
detect correlation within,[-1]
capture physical variation,[-1]
single landscape metric,[-1]
landscape metric model,[-1]
longer statistically significant,[-1]
create analytical unit,[-1]
integrating heterogeneous form,[-1]
creating standardized unit,[-1]
landscape metric used,[-1]
civic query posed,[-1]
since urban problem,[-1]
increasingly becoming complex,[-1]
smart city lies,[-1]
solve urban problem,[-1]
optimize government performance,[-1]
approach includes scientifically,[-1]
includes scientifically processing,[-1]
scientifically processing civic,[-1]
processing civic query,[-1]
analyze diverse informal,[-1]
diverse informal civic,[-1]
informal civic query,[-1]
civic query data,[-1]
civic query accumulated,[-1]
civic participation platform,[-1]
applying Dynamic Topic,[-1]
Dynamic Topic Model,[-1]
specify civic demand,[-1]
machine Learning Assisted,[-1]
Learning Assisted Urban,[-1]
Assisted Urban Filling,[-1]
drawing urban scale,[-1]
urban scale plan,[-1]
process usually costs,[-1]
usually costs much,[-1]
costs much time,[-1]
early design stage,"[-1, 5]"
time working forward,[-1]
backward drawing sketch,[-1]
generative Adversarial Network,[-1]
generate image data,[-1]
creating urban design,[-1]
urban design plan,[-1]
helping designer automatically,[-1]
designer automatically generate,[-1]
automatic design tool,[-1]
urban design task,[-1]
different machine learning,"[-1, 4, 9]"
learning model trained,[-1]
different city inspires,[-1]
city inspires urban,[-1]
inspires urban designer,[-1]
slum using multiple,[-1]
using multiple methodology,[-1]
urgent policy issue,[-1]
critical step toward,[-1]
step toward designing,[-1]
toward designing effective,[-1]
designing effective urban,[-1]
effective urban policy,[-1]
combining household survey,[-1]
household survey data,[-1]
high spatial resolution,"[-1, 4, 5]"
spatial resolution satellite,[-1]
resolution satellite imagery,"[-1, 4]"
geospatial data using,[-1]
data using multiple,[-1]
including machine learning,[-1]
define slum quantitatively,[-1]
slum quantitatively within,[-1]
defined slum area,[-1]
higher monetary poverty,[-1]
result also suggest,[-1]
important policy implication,[-1]
structural health monitoring,[-1]
health monitoring installation,[-1]
monitoring installation scheme,[-1]
installation scheme using,[-1]
scheme using utility,[-1]
using utility computing,[-1]
utility computing model,[-1]
efficient environment logging,[-1]
provides structural information,[-1]
novel utility model,[-1]
would enable early,[-1]
enable early detection,[-1]
proposed utility computing,[-1]
computing model takes,[-1]
International Mobile Equipment,[-1]
Mobile Equipment Identifier,[-1]
