0,1
health hazard based,[0]
may cause severe,[0]
cause severe consequence,[0]
urban data source,"[0, 1, 3]"
increasingly effective channel,[0]
public health disaster,[0]
predictive analytic approach,[0]
physical sensor data,[0]
mining raw microblogging,[0]
raw microblogging text,[0]
network information diffusion,[0]
information diffusion data,[0]
artificial neural network,"[0, 1, 2, 3, 5, 6, 7, 9, 13]"
current health hazard,[0]
smog severity observation,[0]
alternative machine learning,[0]
machine learning method,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
integrate social media,[0]
health hazard forecasting,[0]
current smog observation,[0]
next day health,[0]
day health hazard,[0]
provide decision support,"[0, 2]"
health hazard management,[0]
function like early,[0]
like early warning,[0]
increasingly becoming accessible,[0]
social connectivity phenomena,[0]
modern smart city,[0]
present paper aims,[0]
case study example,[0]
social media data,"[0, 2, 12]"
consider Twitter data,[0]
use machine learning,"[0, 5, 8, 10]"
machine learning technique,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14]"
identify temporal pattern,[0]
shed significant light,[0]
solve opportunistic crime,[0]
opportunistic crime security,[0]
crime security game,[0]
deter urban crime,[0]
recommending optimal police,[0]
optimal police patrol,[0]
police patrol strategy,[0]
large scale urban,"[0, 1]"
scale urban problem,[0]
real world data,[0]
generate patrol strategy,[0]
game abstraction framework,[0]
handle opportunistic crime,[0]
merging similar target,[0]
fewer total target,[0]
use real world,[0]
abstract game back,[0]
mixed integer linear,[0]
integer linear program,[0]
geographically neighboring target,[0]
large scale problem,[0]
heuristic propagation model,[0]
local police department,[0]
two large scale,[0]
approach provides high,[0]
provides high prediction,[0]
high prediction accuracy,"[0, 8]"
project significant crime,[0]
significant crime rate,[0]
crime rate reduction,[0]
rate reduction using,[0]
planning strategy compared,[0]
current police strategy,[0]
large data set,"[0, 3, 14]"
data analysis associated,[0]
visualization may improve,[0]
may improve pattern,[0]
improve pattern identification,[0]
urban data set,"[0, 3, 6]"
conducted analyzing socioeconomic,[0]
analyzing socioeconomic data,[0]
socioeconomic data released,[0]
Chicago city government,[0]
explore open urban,[0]
open urban data,[0]
urban data using,[0]
specific visualization may,[0]
visualization may lead,[0]
effective data interpretation,[0]
handle big data,[0]
historically urban planner,[0]
data poor environment,[0]
urban planning student,[0]
planning student take,[0]
student take course,[0]
use census data,[0]
several basic variable,[0]
detailed population characteristic,[0]
larger geographic area,[0]
new data source,[0]
including distributed sensor,[0]
cell phone tracking,[0]
phone tracking record,[0]
real time data,[0]
data rich environment,[0]
frequent time increment,[0]
New York Times,[0]
simple visualization technique,[0]
J Plan Educ,[0]
Plan Educ Res,[0]
big data revolution,[0]
new data rich,[0]
data rich landscape,[0]
facilitate proactive property,[0]
proactive property vacancy,[0]
property vacancy policy,[0]
therefore prevent vacant,[0]
prevent vacant property,[0]
future vacancy risk,[0]
city activity features,[0]
reactive strategy aimed,[0]
policy development based,[0]
predictive analytic within,[0]
provided using data,[0]
using data mining,[0]
data mining technique,"[0, 12, 14]"
Educational Data Mining,[0]
student modeling based,[0]
Intelligent Tutoring Systems,[0]
user adaptable system,[0]
huge impact EDM,[0]
novel data mining,[0]
natural language processing,"[0, 4, 12]"
language processing approach,[0]
automated detection student,[0]
urban planning firm,[0]
input excerpt must,[0]
six possible personality,[0]
possible personality class,[0]
personality classification method,[0]
