,parent,child,lambda_val,child_size
0,600,131,2.2659700973182044,1
1,600,383,2.65009662602263,1
2,600,535,2.7037230837669948,1
3,600,23,2.9073935844458427,1
4,600,139,2.969451622205909,1
5,600,226,3.0476909953986135,1
6,600,256,3.1127137412611487,1
7,600,338,3.166854137055381,1
8,600,552,3.177854741198345,1
9,600,601,3.182183922520332,12
10,600,602,3.182183922520332,579
11,601,266,12.521979429936588,1
12,601,213,12.521979429936588,1
13,601,290,12.521979429936588,1
14,601,162,12.521979429936588,1
15,601,54,12.521979429936588,1
16,601,361,12.521979429936588,1
17,601,279,12.521979429936588,1
18,601,357,12.521979429936588,1
19,601,79,12.521979429936588,1
20,601,358,12.521979429936588,1
21,601,151,12.521979429936588,1
22,601,509,12.521979429936588,1
23,602,145,3.186079431120647,1
24,602,440,3.2530291121379484,1
25,602,148,3.3432602202372936,1
26,602,311,3.488884969995962,1
27,602,557,3.50480268991204,1
28,602,425,3.597840092638632,1
29,602,216,3.658366808134179,1
30,602,317,3.667971803209787,1
31,602,411,3.667971803209787,1
32,602,479,3.667971803209787,1
33,602,390,3.667971803209787,1
34,602,217,3.667971803209787,1
35,602,33,3.726665215614355,1
36,602,385,3.739381934611739,1
37,602,249,3.7568283294096605,1
38,602,258,3.9137286778378666,1
39,602,313,3.9137286778378666,1
40,602,227,3.9194688100253217,1
41,602,486,3.9586929584696358,1
42,602,197,3.996832479264955,1
43,602,29,3.99960399412506,1
44,602,308,4.02521409921622,1
45,602,270,4.0318318640707815,1
46,602,156,4.032614127507805,1
47,602,222,4.037740262231028,1
48,602,335,4.109285099424789,1
49,602,225,4.14021285239164,1
50,602,128,4.1610350646090675,1
51,602,456,4.16343423648845,1
52,602,451,4.167875250055173,1
53,602,387,4.199570209682887,1
54,602,321,4.2357305755380565,1
55,602,511,4.242048647113714,1
56,602,414,4.243312837412783,1
57,602,585,4.2512634376000715,1
58,602,176,4.262429076535971,1
59,602,506,4.275011484902483,1
60,602,194,4.275011484902483,1
61,602,127,4.288030599898107,1
62,602,473,4.325025979844256,1
63,602,523,4.359346344201007,1
64,602,415,4.379391484308137,1
65,602,322,4.437781872601855,1
66,602,603,4.438553751538208,14
67,602,604,4.438553751538208,522
68,603,292,4.438553751538208,1
69,604,444,4.461043254394732,1
