1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
traffic,0.0059906809,90,22,7,smart city,0.0027402956,49,24,7,planning support system,0.0053166187,8,1,1,traffic,0.0059906809,90,22,7
IoT,0.0056611198,38,13,4,support system,0.0022506553,14,6,3,traffic light control,0.0033228867,5,3,1,IoT,0.0056611198,38,13,4
intrusion,0.0035313418,10,2,1,traffic light,0.0018983659,9,5,2,urban design problem,0.0033228867,5,3,1,planning support system,0.0053166187,8,1,1
internet,0.0032637216,13,8,2,planning support,0.0018983659,9,2,2,road traffic safety,0.0033228867,5,1,1,intrusion,0.0035313418,10,2,1
Design,0.0028701497,15,5,3,light control,0.0017801584000000001,6,4,1,interactive machine learning,0.0026583093000000003,4,3,1,traffic light control,0.0033228867,5,3,1
smart,0.0026006156,88,30,9,urban aesthetic,0.0017801584000000001,6,1,1,smart urban environment,0.0026583093000000003,4,1,1,urban design problem,0.0033228867,5,3,1
control,0.0025959617,39,16,7,traffic safety,0.0017801584000000001,6,1,1,smart infrastructure system,0.0026583093000000003,4,1,1,road traffic safety,0.0033228867,5,1,1
thing,0.0024874631,13,8,3,turning movement,0.0014834654000000001,5,1,1,let spatial agent,0.0019937320000000002,3,3,1,internet,0.0032637216,13,8,2
routing,0.0024874631,13,5,3,design problem,0.0014834654000000001,5,3,1,person detection method,0.0019937320000000002,3,1,1,Design,0.0028701497,15,5,3
AIs,0.0024719392,7,1,1,IoT system,0.0014834654000000001,5,2,1,traffic control system,0.0018898856,4,2,2,smart city,0.0027402956,49,24,7
AI,0.0023641960000000003,80,33,9,Western Cape,0.0014834654000000001,5,1,1,decision support system,0.0014403865,4,3,3,interactive machine learning,0.0026583093000000003,4,3,1
aesthetic,0.0022961198,12,3,3,smart infrastructure,0.0014834654000000001,5,1,1,topic discussed include,0.0014403865,4,4,3,smart urban environment,0.0026583093000000003,4,1,1
section,0.0022961198,12,4,3,cooperative design,0.0014834654000000001,5,1,1,smart city initiative,0.0014174142000000002,3,3,2,smart infrastructure system,0.0026583093000000003,4,1,1
waste,0.0022961198,12,2,3,traffic control,0.0014468498,9,3,3,large data set,0.0014174142000000002,3,2,2,smart,0.0026006156,88,30,9
outbreak,0.0021188051,6,1,1,Smart Cities,0.0013657885000000001,14,6,5,smart city network,0.0013291547,2,1,1,control,0.0025959617,39,16,7
motion,0.0021188051,6,3,1,air quality,0.0013657885000000001,14,5,5,light control system,0.0013291547,2,2,1,thing,0.0024874631,13,8,3
Futures,0.0021188051,6,2,1,traffic congestion,0.0012860887000000001,8,6,3,turning movement agent,0.0013291547,2,1,1,routing,0.0024874631,13,5,3
developer,0.0021188051,6,4,1,smart urban,0.0012655772,6,3,2,present study aim,0.0013291547,2,2,1,AIs,0.0024719392,7,1,1
