1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
temperature,0.027994335300000003,77,17,6,surface temperature,0.013567496,24,11,2,land surface temperature,0.0133921147,12,10,2,temperature,0.027994335300000003,77,17,6
thermal,0.0272672098,50,12,3,thermal comfort,0.0115680356,16,4,1,urban heat island,0.0120705985,15,7,4,thermal,0.0272672098,50,12,3
cooling,0.026670748600000002,32,7,1,air temperature,0.0090449973,16,6,2,electric consumption data,0.0071365628,5,1,1,cooling,0.026670748600000002,32,7,1
LST,0.0175953464,27,7,2,electric consumption,0.008479685,15,2,2,urban thermal landscape,0.0057092502,4,1,1,LST,0.0175953464,27,7,2
energy,0.0134518235,74,12,12,building energy,0.0079530244,11,5,1,thermal landscape pattern,0.0057092502,4,1,1,surface temperature,0.013567496,24,11,2
ventilation,0.0116684525,14,3,1,energy use,0.007349060300000001,13,4,2,natural gas use,0.0042819377,3,1,1,energy,0.0134518235,74,12,12
comfort,0.0092708513,17,4,3,cooling effect,0.0072300222,10,5,1,urban thermal condition,0.0042819377,3,2,1,land surface temperature,0.0133921147,12,10,2
heat,0.0090478078,28,10,7,thermal landscape,0.0072300222,10,1,1,urban thermal environment,0.0042819377,3,2,1,urban heat island,0.0120705985,15,7,4
CFD,0.0084718335,13,3,2,heat island,0.0065219591,16,8,4,natural ventilation potential,0.0042819377,3,2,1,ventilation,0.0116684525,14,3,1
consumption,0.008231279900000001,32,6,9,thermal patch,0.0065070200000000005,9,1,1,outdoor thermal comfort,0.0042819377,3,2,1,thermal comfort,0.0115680356,16,4,1
UHI,0.0076348187000000005,14,6,3,urban heat,0.0064234375,18,8,5,electric consumption forecasting,0.0042819377,3,1,1,comfort,0.0092708513,17,4,3
surface,0.0075766733000000005,33,13,10,urban thermal,0.0056531233,10,4,2,urban form metric,0.0033480287,3,1,2,heat,0.0090478078,28,10,7
Istanbul,0.0075011481000000005,9,2,1,energy performance,0.005087811,9,3,2,stacking ensemble model,0.0033480287,3,1,2,air temperature,0.0090449973,16,6,2
electric,0.0069934185,17,3,5,CFD simulation,0.0050610156000000005,7,3,1,energy per square,0.0028546251,2,1,1,electric consumption,0.008479685,15,2,2
island,0.0069934185,17,9,5,natural ventilation,0.0050610156000000005,7,2,1,per square foot,0.0028546251,2,1,1,CFD,0.0084718335,13,3,2
downscaling,0.0066676872,8,3,1,land surface,0.0048914694,12,10,4,Urban Energy Simulation,0.0028546251,2,1,1,consumption,0.008231279900000001,32,6,9
load,0.0065785734,14,3,4,urban vegetation,0.0045224987000000005,8,1,2,building energy consumption,0.0028546251,2,2,1,building energy,0.0079530244,11,5,1
wind,0.0065441303,12,6,3,energy modeling,0.0043380133000000005,6,3,1,minimum air temperature,0.0028546251,2,1,1,UHI,0.0076348187000000005,14,6,3
indoor,0.006108675300000001,13,3,4,ventilation potential,0.0043380133000000005,6,2,1,urban air temperature,0.0028546251,2,1,1,surface,0.0075766733000000005,33,13,10
microclimate,0.005213436,8,4,2,consumption forecasting,0.0043380133000000005,6,1,1,normalized difference vegetation,0.0028546251,2,2,1,Istanbul,0.0075011481000000005,9,2,1
outdoor,0.0050898792,14,6,6,cooling efficiency,0.0043380133000000005,6,1,1,estimated air temperature,0.0028546251,2,2,1,energy use,0.007349060300000001,13,4,2
vegetation,0.0048873224000000005,19,6,9,urban park,0.0039571863,7,1,2,urban vegetation configuration,0.0028546251,2,1,1,cooling effect,0.0072300222,10,5,1
forecasting,0.0048215194,21,5,10,urban geometry,0.0036150111,5,2,1,urban vegetation type,0.0028546251,2,1,1,thermal landscape,0.0072300222,10,1,1
air,0.0046629039,29,10,13,consumption data,0.0033114876000000003,7,2,3,turbulent air flows,0.0028546251,2,1,1,electric consumption data,0.0071365628,5,1,1
