DocId,key-phrases
1,"['hyperspectral image classification', 'hyperspectral imagery', 'hyperspectral image', 'residual network', 'supervised deep learning']"
2,"['land cover change', 'new urban land', 'Landsat imagery', 'Landsat data', 'Landsat satellite data']"
3,"['building detection', 'automated building detection', 'building detection framework', 'building extraction', 'automated building']"
4,"['smart city', 'big data', 'Big Data processing', 'urban potential', 'AI technology']"
5,"['watershed soil erosion', 'soil erosion', 'land cover pattern', 'land cover', 'land cover type']"
6,"['Flood risk mapping', 'flood hazard determination', 'flood risk map', 'Urban flood risk', 'flood vulnerability map']"
7,"['urban health monitoring', 'smart city network', 'coronavirus', 'safe city concept', 'urban data']"
8,"['energy efficiency market', 'electricity consumption', 'energy use', 'energy efficiency', 'support vector regression']"
9,"['Cellular automata', 'cellular automaton', 'urban simulation', 'artificial immune system', 'urban agglomeration development']"
10,"['urban ecological management', 'urban landscape pattern', 'urban landscape', 'urbanization index', 'Urbanization impact']"
11,"['place sentiment', 'deep learning model', 'deep learning', 'street view', 'street view image']"
12,"['OSM urban area', 'spatial data quality', 'urban area', 'spatial data', 'geographic information']"
13,"['urban activity inference', 'foursquare', 'specific urban activity', 'Foursquare place category', 'urban activity']"
14,"['cultural ecosystem service', 'cultural ecosystem', 'nature photograph', 'ecosystem service assessment', 'social medium photograph']"
15,"['urban visual experience', 'urbanising city', 'urban environment', 'city appearance', 'urban space']"
16,"['street walkability', 'Street View imagery', 'urban design quality', 'urban design', 'streetscape']"
17,"['Land use', 'remote sensing', 'environmental impact analysis', 'GIS modelling', 'evident environmental impact']"
18,"['Traffic volume estimation', 'Citywide Traffic Volume', 'citywide traffic', 'Traffic Volume', 'trajectory dataset']"
19,"['land classification dataset', 'Urban Atlas land', 'deep architecture', 'land classification', 'convolutional network']"
20,"['building type information', 'building type', 'LiDAR data', 'urban planning', 'Environmental landscape attribute']"
21,"['deep belief network', 'land cover classification', 'deep learning architecture', 'Deep learning', 'sar data']"
22,"['urban building energy', 'building energy simulation', 'building energy model', 'urban scale energy', 'building energy consumption']"
23,"['AI approach urban', 'urban land dynamic', 'land dynamic modeling', 'urban land', 'land dynamic']"
24,"['dust storm intensity', 'regional dust event', 'urban arid environment', 'regional dust', 'particulate matter']"
25,"['SAR feature', 'land cover mapping', 'synthetic aperture radar', 'urban land cover', 'support vector machine']"
26,"['urban water type', 'water type classification', 'urban water', 'water shadow index', 'complex urban area']"
27,"['visible street greenery', 'urban greenery', 'accessed street greenery', 'street greenery', 'urban planning']"
28,"['Urban air temperature', 'land surface temperature', 'different climate characteristic', 'random forest', 'random forest machine']"
29,"['land change science', 'land change', 'urban planning', 'improved urban planning', 'artificial neural network']"
30,"['random forest', 'urban structure type', 'urban structure', 'urbanization process', 'urban planner']"
31,"['SVM modeling', 'SVM modeling framework', 'land use', 'land', 'classification']"
32,"['urban functional region', 'geodemographic classification', 'geographical space', 'probabilistic topic model', 'region extraction']"
33,"['mobility data mining', 'human mobility data', 'Urban human mobility', 'mobility data', 'mobility data set']"
34,"['expert system prototype', 'robotic system', 'expert system', 'Artificial intelligence technology', 'AI technology']"
35,"['water resource management', 'dynamic water resource', 'sustainable water development', 'Urban water resource', 'efficient environmental planning']"
36,"['urban form classification', 'urban form', 'urban block boundary', 'landscape ecology', 'tree classification']"
37,"['aerial image dataset', 'image classification', 'convolutional neural network', 'convolutional', 'feature learning']"
38,"['automobile choice', 'household automobile choice', 'vehicle choice problem', 'household vehicle choice', 'vehicle choice']"
39,"['influence urban temperature', 'urban vegetation configuration', 'different urban vegetation', 'urban vegetation structure', 'urban vegetation type']"
40,"['human mobility analysis', 'Human mobility pattern', 'mobility analysis', 'human mobility', 'mobility pattern']"
41,"['scene classification algorithm', 'scene classification', 'Street View image', 'SVM classifier', 'classification algorithm']"
42,"['land use coverage', 'air quality', 'heterogeneous landscape', 'potential urban planning', 'centralized urbanization']"
43,"['urban space', 'street view', 'urban environment', 'street view pattern', 'Visual Exploration']"
44,"['smart city', 'collaborative urban governance', 'urban governance', 'governance intelligence', 'urban governance issue']"
45,"['urban thermal condition', 'Urban heat island', 'urban area', 'different urban geometry', 'regression tree']"
46,"['health hazard forecasting', 'smog severity observation', 'Smog disaster', 'smog observation', 'smog severity']"
47,"['Semantic framework', 'model urban data', 'IoT application', 'urban data', 'pollution detection']"
48,"['urban information system', 'urban planning problem', 'intelligent information system', 'intelligent information', 'existing urban information']"
49,"['landscape ecology', 'urban land use', 'landscape pattern index', 'land cover', 'landscape shape index']"
50,"['predicted urban expansion', 'urban expansion process', 'urban transition rule', 'urban expansion result', 'accelerated urbanization process']"
51,"['urban plan', 'public transit ridership', 'transit ridership', 'public transportation demand', 'predicted ridership']"
52,"['urban data science', 'urban climate solution', 'urban sustainability science', 'urban climate', 'global urban sustainability']"
53,"['random forest', 'support vector machine', 'SVM classifier', 'heterogeneous landscape', 'classifier']"
54,"['automatic building detection', 'region descriptor extraction', 'automatic building', 'region descriptor', 'descriptor extraction']"
56,"['lidar point cloud', 'urban lidar', 'point cloud labelling', 'urban lidar point', 'urban point cloud']"
57,"['traffic flow forecasting', 'extreme learning machine', 'intelligent traffic management', 'flow forecasting', 'traffic management system']"
58,"['urban area extraction', 'unsupervised urban area', 'area extraction', 'SAR image', 'SAR image show']"
59,"['urban perception datasets', 'urban perception assessment', 'urban perception derivation', 'urban perception', 'local urban perception']"
60,"['urban traffic management', 'Traffic light control', 'traffic light system', 'traffic management', 'urban traffic']"
61,"['point cloud data', 'point cloud', 'Terrestrial laser scanner', 'outdoor urban data', 'laser scanner']"
62,"['visual quality', 'perceived visual quality', 'street renewal', 'efficient street renewal', 'experienced urban designer']"
63,"['urban area extraction', 'green urban area', 'satellite imagery', 'satellite image', 'area extraction']"
64,"['hyperspectral data', 'land cover estimation', 'multilabel classification', 'multispectral image', 'land cover map']"
65,"['social medium data', 'urban data analysis', 'urban data', 'probabilistic topic', 'mobility flow']"
66,"['common wild bee', 'urban habitat', 'habitat selection', 'solitary bee', 'bee']"
67,"['Landslide susceptibility mapping', 'landslide susceptibility evaluation', 'landslide risk management', 'landslide susceptibility', 'landslide risk']"
68,"['urban land cover', 'thematic land cover', 'land cover map', 'urban land', 'urban growth']"
69,"['soundscape classification model', 'soundscape classification', 'urban soundscape evaluation', 'comprehensive urban soundscape', 'urban soundscapes']"
70,"['urban expansion trend', 'urban area expansion', 'urban expansion', 'urban development', 'boosted regression tree']"
71,"['change detection approach', 'change detection method', 'Change detection', 'traditional change detection', 'new change detection']"
72,"['big geo data', 'Sentinel datasets', 'GEE platform', 'big data analysis', 'Big Data Application']"
73,"['sustainable travel', 'environment determinant', 'desirable environmental benefit', 'environmental benefit', 'environment factor']"
74,"['future urban extent', 'future urban area', 'urban growth', 'urban extent', 'land use change']"
75,"['new urban growth', 'urban growth zone', 'urban suitability index', 'urban expansion', 'urban expansion cell']"
76,"['land use mapping', 'Random Forest landcover', 'Forest landcover classification', 'landcover classification', 'Random Forest classification']"
77,"['land use classification', 'land cover classification', 'land cover class', 'land use class', 'complex urban area']"
78,"['restaurant data', 'socioeconomic data', 'urban neighborhood', 'timely socioeconomic data', 'neighborhood level']"
79,"['environmental sensor', 'human physiological change', 'machine learning', 'signal processing', 'feature selection']"
81,"['LiDAR data', 'raw LiDAR data', 'LiDAR data set', 'Deep learning', 'Deep learning paradigm']"
82,"['crime prediction', 'Traditional crime prediction', 'crime prediction model', 'census feature', 'predictive feature']"
83,"['air quality monitoring', 'aerosol monitor', 'air quality monitor', 'Air quality', 'meteorological data']"
84,"['land use datasets', 'land use change', 'SVM model', 'SVM model building', 'SVM technique']"
85,"['GIS hotspot analysis', 'travel carbon emission', 'carbon emission assessment', 'hotspot analysis', 'dense road network']"
86,"['turbulent air flow', 'reduced order modelling', 'turbulent flow', 'Gaussian plume model', 'turbulent air']"
